,UKF243,UKF251,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.01818617155907099,
BMP1,0.019053221203472075,-0.004407035666413363,-0.004959683513146457,-0.005375671465737225,0.02971612986544625,-0.02358541055711522,-0.004526663340292199,-0.031965182297969894,0.04642512543963671
NDP,0.06417346329130108,-0.0029744455058257338,-0.01635948333069132,-0.04738106301346784,0.013343890681782673,0.00611504442588217,0.01365473352200054,-0.04596319744378013,0.07330083654055058
TNFSF18,-0.06477009328953899,0.03513489845743696,,,,0.027874909761582224,,0.05054472624697822,-0.030335010329468583
IL36G,,,,-0.00042910511342249925,,,,,
RTN4,-0.06605715782334695,0.018460971884851008,0.023798494082609617,0.0017112034573303772,-0.03332153414941788,0.11346759995884954,-0.054308790928139124,0.021900238489599315,-0.13684423068264828
HEBP1,0.049442492030577,0.03707491021771572,0.004360398771914982,-0.003733996467798448,-0.037191262696719206,-0.0236137669234997,0.023514743637819323,0.01953639408465202,0.02680903375889011
WNT7B,0.004727105909247324,0.022130210676688983,-0.039022436614580165,0.013306863755992713,-0.0038155739226057067,,-0.027919961396701956,0.0874916586156577,0.0019260900625957728
PTMA,0.014762141595473831,-0.08344576553606325,0.014128694353349264,0.0030090254537258093,0.12875015705266618,-0.08438880986487651,-0.028377231722851885,0.008188470500235051,0.03154469664824684
FASLG,,,,,,,,-0.01577286038888019,
CEACAM1,,0.021674151365134595,,,-0.011462409855504101,-0.04828880925448212,-0.01883431436874546,-0.02194561861961013,
PDAP1,0.03827909832363537,-0.01692900459750041,-0.025549578403058305,0.007961089456024107,0.037433255469233505,0.005222780698435051,-0.10206403700292975,0.012578280899121747,0.007718434548586621
QDPR,-0.03209141429838488,-0.007841050247203534,-0.016912666942637423,-0.045358006032939525,0.04726916666106235,0.035133092673003845,0.029207623120572877,0.011581614205739405,-0.03660313088725255
POMC,-0.0016082452172103254,-0.005605803976562889,-0.04875322632592077,-0.0047439212197008225,-0.07465362793343279,-0.039533574896328534,0.0224495037023872,-0.004467772179913309,0.015042167659485248
CCL18,-0.02747532442378847,,,,-0.04547835500654697,,0.21697547394775468,,
CCL17,,,0.050725609487516546,-0.017070503217095575,,,-0.012340505001346685,-0.014296326340851704,
VEGFD,0.049835046777197405,0.0049312276127896045,-0.035427781367146215,-0.018294987028206137,0.10037637521082171,0.07232704699349668,0.1774972822449223,,
TNFSF13,,,,,,,0.025393994891020445,-0.023294670506543,0.09223587038231996
WNT5A,0.06728577410744577,-0.06007830368509655,0.0225962150219911,-0.035122117518713684,-0.03523598798284599,0.01029905716767827,-0.04345059562137099,-0.0035673525824423476,0.011354728159365068
CXCL8,0.01390170953098542,-0.0013181562425472095,0.05253255924378289,-0.023043934505792472,0.04233490245851385,-0.02577113185546883,-0.0734385141588912,5.362813668778873e-05,-0.010046265965568218
GRN,0.024230106609560695,-0.010479638731675364,0.04125936975635699,-0.04915038359687734,-0.2270592279505852,0.1272665066127159,0.012919359477001636,-0.06596734150265064,-0.0179944228162499
MIA,0.0854322966342899,-0.016578536404052664,0.06338570439961498,-0.025055823149748642,-0.03860017023628125,0.10168188634990766,0.0888855878951484,0.054409611330061176,0.04956955211022691
COL4A4,0.007101063069817439,0.021210585369788572,-0.049783439078567845,0.05841638256760235,,0.0262852623091394,-0.030156682217277134,0.011528139923150806,0.04838059215832533
TAC1,-0.04588473674812319,0.06405708535192557,-0.0008136041267339178,-0.02635414327902556,,,,-0.01879397468669875,-0.10792919110769066
