,UKF296,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,0.07430949465927159,
BMP1,0.00752126009427594,0.05290969119733984,0.07886693277025163,0.10704132581868583
NDP,-0.027408715908035775,0.04901974811239837,0.133521811574284,0.038107248983818676
TNFSF18,,,0.06487769607206355,-0.027315563104464233
RTN4,-0.027706947129145017,0.02425138032834794,-0.0018991971064330703,-0.049149393151525736
HEBP1,-0.018505279998862884,-0.04849952141562199,0.03882137823863346,-0.009618771134277128
WNT7B,-0.01786092374799787,-0.01181730704933265,-0.0005866247590706763,0.10844291546337823
PTMA,0.03672283591030377,-0.07413502497911258,-0.04886076575510518,-0.051862861379042946
FASLG,,,-0.025154836016511733,
CEACAM1,,0.03567746839392593,0.013403402666305894,
PDAP1,-0.028590710575626007,0.11630490391937871,0.012500744655758865,-0.011166220372608721
QDPR,-0.010838038535973194,0.034696810882342305,0.03447649527587271,-0.00721331003541736
POMC,0.04089981769168121,-0.07303628130412188,0.04217172318843807,0.050777218433080785
CCL18,,-0.044493081199866995,,
CCL17,-0.02210681668373895,,-0.022800033467372468,
VEGFD,-0.016215617384664077,-0.02784607566057334,,
TNFSF13,,,-0.03715075149361436,-0.02971543637430767
WNT5A,0.07112659760217115,0.07069478681635609,0.024910148352451297,0.044554611756993705
CXCL8,-0.015100687987083604,-0.07575730542498041,0.024077515965692166,-0.021244971974639804
GRN,-0.003609638011051587,0.05254117156037322,0.04651441794695574,0.004671325511054061
MIA,-0.003032544383833029,0.08819273262739558,0.021819242733721402,-0.054434180962601254
COL4A4,-0.021806420995068646,,-0.02148548409242187,-0.003150270547845723
TAC1,-0.0034690439064806035,,-0.02997296239784593,0.05493108488311439
RARRES2,0.042542841053096456,-0.05387661502154811,0.021380338686084743,0.0300194549771076
FGF7,0.015491624356572095,-0.009382761635877404,0.0780641644422676,0.025696000013373087
HBEGF,-0.02074130294421533,-0.0012484539446160285,0.03314462077512354,0.04568690169408139
CSF3,,,0.04617314678864829,-0.020328080224407952
PI3,,0.033421417968576055,-0.052154711789804936,0.013652352078490936
PCSK1N,0.020189814574644124,-0.028780609981234,0.06373624815760172,0.009585401963585326
NTS,0.08803749098863124,,-0.012584838479744434,
SFRP1,0.004277782439055814,0.04423784731385311,0.04876424783536554,-0.01942270930693608
CXCL13,,,,0.13274568712015913
MICA,0.012097515884017663,0.011441298128288174,0.09435091368344338,0.0590639125395966
TG,0.001419110510256275,0.0888819125039298,0.0787313103234878,0.017973134045521835
ADA,-0.025983024754418063,0.12171348672755883,0.08660009817013098,0.055484207709288504
LAMC3,0.007000983481870983,0.01315141098195765,0.02393815094500097,0.05437868578565222
CCL7,,,-0.009042959410218456,-0.025879150114261194
NGF,,,-0.0032255265534431904,-0.013166429949373167
TNFSF15,,,0.005713566074428307,0.012526496522190247
HMGB1,0.01392488130470098,0.028102575959302097,-0.03246207874011021,-0.05445637609307748
ITGB3BP,0.021850065383206607,-0.0414282347036665,0.014561747676206604,0.011698769817809257
AANAT,-0.01844185082361473,-0.06059346119928534,-0.026614856052994972,-0.021331083358753552
RELN,-0.010403781373600022,,,0.024424342978039155
IL15,0.003399534258186672,-0.054381746373038234,0.0814826994538955,0.015481254198201977
UTS2,,0.0195156663639855,,
BSG,0.0373518040028264,0.0844488710762912,0.04998218417873409,0.026774070386679345
ADAMTS3,0.0035942394903099406,0.12314508245518138,0.0391720806123043,0.039504059265590336
CD34,-0.016308676836578453,0.00025402648845328826,0.0171761726827827,0.025126079684065557
PLAT,-0.05057606900185316,0.05991648631961742,0.10158729731056615,0.04635011813742144
NTF3,0.011586671420872226,,,
LTA,,,0.023982958403747263,
CKLF,0.02865422332376764,-0.015978525271838604,0.021653602646028558,-0.014928700608233416
CD24,0.02683532886275207,0.0815105415153205,0.016269597540290944,0.021814034037022697
HSP90AA1,0.044777845039199335,-0.12780280417956696,-0.1230491467819969,-0.06553917894621202
BMP4,-0.01498782261487033,0.002777050225080455,0.04183160538422592,0.02296569053517278
SCGB3A1,-0.015555881543735113,0.035511244650359874,0.006773020765607023,0.10588514735022944
IGFBP4,-0.04522552781727675,0.02970673913276791,0.021501827685097327,0.04483615294700885
RSPO4,-0.015555879268335538,,0.025864841703174712,0.046119890479297806
LEFTY2,-0.01705721187031354,0.172189631553693,0.0796079684112142,0.04715221805771501
PF4,,,0.021956139682979107,-0.02107045215818816
ANGPTL2,-0.005179914110474125,0.19321011852765338,0.05028079314283005,0.022926703407853848
LRIG2,0.020184832715838125,-0.03256262650254385,0.07937056937521199,0.02719176623854174
ICOSLG,0.02990685359523214,0.009161621022540162,0.10973244736026641,0.0587660092897283
WIF1,-0.029272944011898495,,,0.04506012822776125
NPPC,0.018164630054555528,-0.06262194221025956,,0.06199911088081034
LYZ,-0.010325008715786814,0.018233791763629294,0.03135414016754373,-0.03533751402659997
EREG,,,0.04215058074018192,-0.024258332192903992
SPTAN1,0.042648362808773294,0.11041586690897363,0.009990778450876795,0.015683546884675888
LIPC,,-0.045148198759518976,0.08772394112620399,-0.032858108885222274
COL8A1,0.014986936053586287,0.0897505991818937,0.07147229583658125,0.12711282271408503
GSTM2,-0.03231693684191837,-0.014038905569772,0.07831815417724092,0.0029848637770009457
IL4,,0.10712050498984615,,
SPX,-0.006958483083050199,,0.04630965675684201,0.03299814574564452
MFGE8,0.027596169320093965,0.05837867575040813,0.04108447673017389,0.05100877027065829
TGFA,0.03554928329062538,-0.08892678250168148,0.04969741904281651,0.014913859873336734
SLIT2,0.054489040631550245,-0.0357324546940509,0.015580296165266787,-0.0025763204960586902
PLTP,0.003535348304756445,0.12131169906670654,0.03479582382485844,-0.022451854841937124
APOD,-0.008765336217483006,0.05588557107711905,-0.0733495987357641,-0.06010004609840924
B2M,0.004227787967675196,0.17265358878208137,-0.013570072338365333,-0.04546493052146739
OMG,-0.01621373878706153,0.10790846003140807,0.04410372767869946,-0.007860324733378853
CXCL3,-0.016641502666882246,-0.07282012993324105,-0.0035429335206874457,0.026586345771439535
CXCL10,0.031005844943264634,0.005503495280417976,-0.02530819429045733,-0.04880452854044146
RSPO3,0.011589939858168584,,0.02442820619113837,-0.001303670704727274
CORT,-0.03732220791391089,,,
NCAN,-0.05185210577368379,0.11850370664134803,-0.0033782903900790736,0.012131812075225986
PRG4,,,-0.013679461265657175,0.05624937880042054
ZG16B,,,0.019297987330204897,-0.01797525667254002
TGM2,-0.017677112821315337,-0.09977683368790416,0.00031728300178568257,0.025278075224088554
VEGFC,0.046286728666108806,0.0883669621126096,0.026958644381764683,0.02953002587316426
WNT6,,-0.0349698050443941,-0.027842286153621696,-0.01857383310888514
NRG4,0.011708268042178996,,-0.025527233552399088,0.009641007701439983
PMCH,,,0.020040607709662574,0.05067711351928821
COL9A1,0.04514121085284036,0.06439261637329083,0.13074045603302278,0.008927450507040325
GDF11,-0.008205985463037318,-0.014583234854183948,0.03183591066481882,-0.0026175315263896677
RAET1E,,,-0.02800319383109488,
IL24,,,,-0.031227266095928526
SORBS1,-0.04518937585562758,0.09491892971589361,0.009646974246494052,0.04312920120728763
DLL1,9.366378550071305e-05,0.1167411994405654,0.1454006043453068,0.06317229084177164
TLN1,0.03471627751082279,0.011686968577238686,0.027632130973671055,0.017502988719086763
COL2A1,,,0.18189551812306579,-0.02516540949496195
SHH,0.04503970609961671,-0.03424476525474567,-0.006720166471527655,0.10033747191184177
PON2,0.03778919474901923,0.13072122637977715,0.05696663329565308,0.09475195040711322
