,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.022046867844512173,,,,,,,,,,,,0.011567581012079478,
BMP1,-0.01879583597598758,-0.04208402267687595,0.05722108085424222,0.056582461189897966,-0.01620769102757669,0.03784592110166123,0.15609872968244223,-0.035417788978860804,-0.02806937357156261,0.1034698313453354,0.02809008092023601,0.01085827781802768,-0.0179525080872616,0.06007849278909942,0.03594971036448854,0.027515935213528207,-0.03608519816600197,-0.053782920640641003,0.04917173305809162,0.13498494483668771
NDP,0.034911861805410775,-0.019303600054217523,0.06068362350760762,-0.04615365272833604,0.03416684799535837,0.05179361009225611,0.0320441830902656,0.023930735682283627,0.04704501552040289,0.024069667785622563,0.06169993554050642,-0.001564910478090965,0.089880072602889,-0.0017263397700501186,0.0675654925528147,0.14899130780867936,0.10159382103815714,-0.030915944215096736,0.0833067233600086,0.09615191374418779
TNFSF18,0.0014910677424022991,0.08608044644902564,-0.009996417042096589,,,,0.08923227558647087,-0.005194424414679328,,,,-0.018127672360507333,,0.07996600554203587,,,,,0.026282621760068188,0.07501300589752452
IL36G,,,,,,,,,,,0.015078842489320867,,,,,,,,,
RTN4,-0.00013859946349869696,0.04584891264641413,0.03972210725107246,0.01785820855704798,-0.05899233518983515,0.019851545816178942,-0.18509248749206747,-0.006366966507497325,-0.054549330282984206,-0.024747953770878333,-0.025821485849989282,-0.10227906214317597,-0.08212344966824799,-0.08703361616248685,-0.06560812544035192,-0.0047080482015289145,-0.11745039442948552,0.07449998349112734,-0.023792723902366645,-0.06657190308645268
HEBP1,-0.007220325084005985,-0.012770738263090423,0.004482665757193297,0.04654032488974955,-0.01657306736399557,-0.007796229256030772,0.09726798135016149,0.018031476484641693,0.014976366238950116,-0.05035473948243399,0.04634989796179256,-0.05690671568754478,0.07547113678414805,0.006526320332178936,-0.02772669509812669,0.04805099024555112,0.053653985574942775,0.022510042646216664,0.03388015381947087,0.05284811304117025
WNT7B,0.03984995001371041,0.0024355709379097145,0.013928729311718813,-0.03258194395831322,0.0071373507230637285,-0.03151764571100858,0.0010187041348261848,-0.0055069726887498425,-0.03391107870412255,0.013422907204484138,-0.021343239590479852,-0.04129758549183261,-0.060576084478481985,,-0.040737503515429624,-0.005955208550705776,-0.03257123904038212,0.04850601415363261,-0.07207226706580003,-0.012970613232482232
PTMA,-0.0021845211460763533,-0.025823501524795327,0.004936433016570624,-0.0372045280625351,-0.014488550950294127,-0.0584596590663971,-0.07576059843730913,0.0023654204221361936,0.01785062407960976,0.09093586161369384,-0.005145594828671696,-0.01919484695011447,-0.03598788244610377,-0.08782322226557804,-0.0815051401794226,-0.07887682188968523,-0.029841202846007706,0.06329704173031717,-0.048105277141724544,-0.04277263550231531
FASLG,0.029847459975314405,,,,,,,,,,,,,,,,,,0.009696728513101023,
CEACAM1,0.12533789000319692,,-0.0011069676954151397,,-0.029755691543107574,0.006846148937503658,0.02958240883149734,-0.016147751492294308,,,,,-0.06553321613229059,0.121525932613904,0.02465573851400977,-0.0075183019998665244,0.034702863834806835,-0.030535518828000555,0.06505094440444076,
PDAP1,0.07152243743734427,0.0622120063314386,-0.004843342230188437,-0.0029347214445639073,0.0017788586594527328,-0.045912035689135676,0.13845883148919394,0.055793631569142244,0.05695436171749823,0.07314487623945394,0.0488924699615138,0.0717018816443068,-0.11620567837471235,-0.016503718823770337,0.0008129306816395255,0.017931164123007652,-0.06201739373653116,-0.020258747531329724,-0.0010781936642607667,-0.0717608613279301
QDPR,-0.0014704711677088528,0.028388289293114977,-0.05824682791714803,-0.024777728061432434,-0.03617069870495795,-0.03430495274221406,-0.15678765423093033,0.062318357482851874,-0.06493670684530456,0.051840147347865975,0.011644449490003251,0.009766821699108011,-0.06594399098096677,-0.060972914583902464,-0.09319310538757657,0.04786219900030504,0.22942185962237174,0.03373883522804039,0.0869496957237417,-0.011798043591966803
POMC,-0.012330147902390703,0.025214054397766156,0.018422949995129143,,-0.026921886987278456,-0.03181690643648281,0.007469609310637433,0.04913373649808403,-0.006757234052253618,0.007062581903068304,0.02364790611059468,0.051241925620729406,-0.09370243580218722,-0.02591028397102047,0.10415321341551353,0.04534979091872187,0.07274835585467034,0.0371404314275938,-0.0014746709787664093,0.04588535581822759
CCL18,,-0.0070207144553443655,-0.023794584745395555,,,,,,,0.075532429474483,,,-0.03177881250630412,,0.030902218198802227,0.029503836043651584,0.0018336176574653277,-0.05940751603109157,,
CCL17,,,,,0.023485108907312306,,,0.017076267971200928,-0.03802194818436054,,-0.01773940945031736,,,,,0.02380902718040325,-0.019132612598899833,,-0.0286493858682985,
VEGFD,,-0.032145913532083036,0.030956635254197448,,-0.013335920033705751,0.032875728486645474,0.04007181815496612,0.004338596895199265,0.0810179599078289,0.008133999726067164,-0.001412120831853081,,-0.047203894471041466,-0.05417165913068214,,,0.0012953690000180487,,,
TNFSF13,,,0.02646355228519058,,0.02471264719545223,,,,,,,,,,,0.016307998572594747,0.03843927451623411,0.04036341131420786,0.04918264629141493,0.04696044227515982
WNT5A,0.02673366440624363,0.06565716613541059,0.029944563559542406,0.028523625333926043,0.010885718779645132,-0.0243046966209781,0.03818140785368439,0.04381280821691405,0.09093322183372188,0.05914836473508369,0.0012223531933772173,-0.03220862236258172,0.006491341893843259,-0.019760483313536168,0.036398116755354246,-0.005101100553845741,-0.03422139783722644,0.01655228429704394,0.08871706835782776,0.06238416537927483
CXCL8,,-0.05138717147314825,0.0017756293661969156,0.027671224357355667,-0.01545688978166278,0.002765110853945799,0.0970288084506481,-0.007517702824219308,-0.034783356786561095,-0.033068812172359525,0.0242213839470003,,-0.10595166127951328,0.1392718628211013,-0.04560673063698211,-0.13169706150687766,-0.26640091571277447,-0.088438458442873,0.02090624527482446,-0.009056933216487538
GRN,-0.09602841958090112,0.028281959489690044,0.020507999689606395,0.05088522857977223,0.023339841742092825,0.11301485847131833,0.11467495497465462,0.015006937998172595,0.04619531622056593,0.0438469100967911,0.050347257611064254,-0.06897064636059487,-0.07165543947315171,0.042214975928355554,0.02253126828669843,0.03049819184263741,-0.09391709992284107,-0.06267747244327765,0.04547932060197229,-0.021643995002162852
MIA,0.06274859964013588,-0.008366484561186978,0.015604519405144566,0.07629898965559974,-0.034462110854017534,0.03639503840735359,0.006662970551776783,0.018514589745607175,0.0018535751741064802,0.01730589847593346,-0.026037633473101323,0.0013310636652446586,-0.007675056805314974,-0.05188178913036182,0.06862726082272083,0.1565568375590026,0.30441213157308367,-0.011251418929701778,0.061682711881797164,0.039045900650338874
COL4A4,0.014160265312341642,-0.03236047210585207,-0.04048517549051003,0.03948760054985478,0.01128718204875204,-0.0017160597493322935,-0.02172555182831627,-0.02744514460669171,0.030346025060333452,,0.0013691450237112615,,,-0.03474761356570284,-0.03274978771080368,0.13661602653326618,0.12743370554357006,-0.0127683861915908,0.04987699699113225,0.104745837879622
TAC1,0.08643405266070842,-0.026573576209297678,0.06578415386473162,0.03459902187971919,-0.011730306183902526,-0.03807979198287374,-0.11859458005243737,0.053713801072804566,-0.04159139046790369,,-0.010991047003074614,,,,,,,0.05908521708373627,-0.037662530916049965,-0.017587184753839046
RARRES2,0.08130752158009712,-0.053966643337769626,-0.008909777206192269,0.060741358086739305,0.05838690358826384,0.0042440935699233065,0.1576819326505998,0.03037268747299732,0.06070527968161856,-0.04383955344346604,0.032873493959819575,0.008802145717183265,-0.07085870596856973,-0.044894498826680264,0.02338619911247606,-0.06496888569584222,-0.10532727861425763,-0.016791931393270745,0.02167409631474112,-0.045068998637484266
