,MGH258,UKF269,UKF275,ZH1019T1,ZH1019inf
IGFL3,,-0.01008221844748046,,,
BMP1,0.010823102705498187,0.16770976140869684,-0.009055336850260838,0.08477735839373376,0.04120621952714761
NDP,-0.01808143235190703,0.02605570620458529,0.024174780190201875,-0.037474279078058934,0.09580588432040724
TNFSF18,-0.022885144712043486,0.06455650839122719,-0.014848267395679047,0.08179837944561157,
RTN4,-0.07283150353824842,-0.18646114419696433,0.010330391761841636,0.05388468582401685,-0.08266259212890903
HEBP1,0.03882617592205172,0.13076563586162626,0.023371709636558373,-0.055272995837917914,-0.011670282987708863
WNT7B,-0.020161095708645688,-0.061538429338202194,0.02184824910645202,,0.03697605585368035
PTMA,-0.016688502581845094,-0.10820157719147855,-0.048126417558888454,0.10100913522232495,-0.14450450448586188
FASLG,-0.020161101408135797,,,,
CEACAM1,0.15992664920352495,0.016392049678104707,0.009476820397202238,0.02733634013222688,0.01314505027672457
PDAP1,0.10152079917839134,0.17512599490800065,0.001081130282738466,-0.0707141051867379,0.05368891988069443
QDPR,-0.11124703393835839,-0.1446307206692646,0.009345071825441193,0.06192812380877874,-0.11717839859432859
POMC,-0.02122335930184571,0.06781339262236229,-0.0045463718324653965,-0.042355782463650814,0.014353246586993756
CCL18,,,,,-0.04966437785230815
CCL17,,,0.005447007638587985,,
VEGFD,,0.10316542909068518,0.005529304473735529,-0.016969682732872533,
WNT5A,0.020921670525621796,0.10284701185035576,0.019483649647964306,-0.026895501133105126,0.06014227239591506
CXCL8,,0.03833758737122221,-0.020703633504288898,0.08902396505968457,0.03507211293153354
GRN,-0.10307856881096288,0.15981129037089795,0.0368718605108625,-0.02068287373683081,0.052634485532922534
MIA,0.04536150461684813,0.09897908760348852,-0.01211315799187211,-0.0033505543022807048,0.1127445479517301
COL4A4,-0.02334901204774236,-0.025271988973680434,0.03134392713116831,0.05143491040045708,0.05298304425941439
TAC1,0.12175177517833773,-0.13258493616321254,0.010593484364168166,,
RARRES2,0.0787377713725581,0.1842945777125089,0.05397171239177758,0.006056641136271224,0.101043448113826
FGF7,-0.058244780025051804,0.16001608694579353,0.0010417670695695661,0.009716417133073543,0.0650482138918214
HBEGF,0.06321789133327643,0.08275510307886647,0.042392494957432164,0.05448549978492231,0.07279742056183335
CSF3,,0.019610978266852257,,,
PI3,,0.011544821665327259,,,
PCSK1N,0.040974137055604244,-0.07006926217082525,0.048006682703536155,-0.0563897719663903,-0.020465633141864538
NTS,,0.003043550721626439,0.06348269732334738,,
SFRP1,-0.029334895854045234,0.02890025669363202,0.040880589035752916,0.021267231205870298,0.033691220235011594
MICA,0.009451851448867381,0.088831704161471,0.020126799000988845,0.0667049872872529,0.1710396927565715
TG,-0.023349006785952597,0.004772048435936957,-0.016504299565751262,0.026701179817629962,-0.00472313465337275
ADA,0.06247711607624128,0.12451685798132185,0.018569852754398434,0.01364491852379345,0.05992465951729064
LAMC3,0.12698572788624032,0.11516411091499824,0.021876686371398186,-0.018480060199259372,0.07195272597861904
NGF,,,,0.11299091683183585,0.02786421517429056
TNFSF15,,,,0.0910239619087476,0.07599540251772438
HMGB1,0.04723754496913024,0.1099229105832097,-0.0014899791705351897,-0.07392938954899424,-0.01618833535472077
ITGB3BP,0.005192050211646712,0.14010715986859418,-0.0035135015784251355,0.09354212193160658,0.08327609567992551
AANAT,,-0.02411774823580062,0.02085256264986989,,-0.05172753137153922
RELN,-0.019356945657979106,-0.07076904050963966,-0.0312642321124673,0.036869794333174714,
IL15,0.025793421726105725,0.08285652121956733,-0.0061546516288527265,0.0058303532695510385,0.0590219768729385
UTS2,,0.17545112775850838,,,
BSG,0.0943375778552025,0.023679643168766373,-0.08989777079741375,0.09520794974977417,0.08578704716617541
ADAMTS3,0.06409458663070963,0.15868191909303778,-0.017998543748607005,,-0.0619384527364357
CD34,-0.012990225141576573,0.12710087226220473,0.00139164943001328,0.035909653969479566,0.06388735888471961
CCL23,,0.0011141668988509873,,,
PLAT,0.01938817416019222,0.13814026325819806,-0.021808585449472586,-0.026018169973225425,0.060388275579116274
LTA,,,0.10533456466695189,,
CKLF,-0.05369962318593911,0.17066723640920237,0.02932942627429242,-0.04802767038509745,0.08775991783919988
CD24,-0.053952435937054774,-0.06055952143583184,0.08634881384196119,-0.06794834855352232,0.15465073419098282
HSP90AA1,0.011474505210335146,-0.21036469800397029,0.07125912888875054,-0.1164197006289974,-0.11833798455129424
BMP4,0.05261901015286927,-0.019446846804010206,-0.016463613108370977,0.03462350002685537,0.03982432788819362
SCGB3A1,,,,0.047543548390099874,
IGFBP4,-0.022162008752221688,0.19791798056779897,0.01875859357443843,-0.010672545447004243,0.057870636534631203
RSPO4,,,0.0049346035671682074,0.02445512324608858,
LEFTY2,-0.023118148656472683,0.135376420987639,0.04687981223228965,,0.005646732212239508
ANGPTL2,-0.03272741601872316,0.14948821760949912,0.02958230972147981,0.09862920332502605,0.05280193663503536
LRIG2,-0.02746789059392003,0.028137412357628913,0.07317931979025358,-0.009418428978630404,0.07812797890069918
ICOSLG,-0.00035875165213337517,0.05656545497843804,0.017631446981456345,-0.055202599323549414,-0.014635466056239615
WIF1,,-0.09243570201898224,-0.028233509236578306,,
NPPC,0.08865244085046745,0.04154939373814005,-0.005358484984499415,0.0473986139704266,-0.022859742908223686
LYZ,-0.045608678746745554,0.13888074167685163,-0.028853472125151092,0.02519591417993416,0.058744675755429895
SPTAN1,0.07434479607863773,-0.0658078191154915,0.05689115872891168,-0.08488694377422329,0.0503699296895821
LIPC,-0.02989371818837864,-0.0046694226365224184,0.08363572255833204,-0.07094525462730579,-0.035650323325353075
COL8A1,0.08153536127847537,0.06166577871482543,0.009970391040039451,-0.10708767264571105,0.014837859552405429
GSTM2,0.0022817135959853365,-0.031045555215788195,-0.05688260388778556,0.09429981682172352,0.0017507704216489228
SPX,0.007219466806153778,-0.05264058142163204,0.042148659830262586,,-0.07178188606564648
MFGE8,0.036875405268425726,0.07236724639046063,0.025972810960719236,0.07939475220697116,0.07001593533998424
TGFA,-0.01980079454240632,0.07814270228246507,-0.03476146766644977,0.0065970358695754934,-0.0033822161593559255
SLIT2,-0.024029513838716397,-0.020044617428270677,0.005004210962340933,-0.05822412733495193,0.03944514507861782
PLTP,0.013123427802693472,0.19401625875186063,0.08989592363991349,-0.11112971543412582,0.02920207232679025
APOD,-0.09355975447235218,0.019092779057984628,0.0922187816935575,0.09042090251235402,-0.1919603324735512
B2M,0.01692275439500553,0.217506154153095,0.0825254784943726,0.05229885382201879,-0.029425714662558916
OMG,-0.016803409815248662,-0.06441603816571673,0.07918910499456233,0.0593824785447819,-0.05839849888337806
CXCL3,-0.018803029219366985,0.04267424079916059,-0.020685551852408474,,
CXCL10,-0.02620971235340294,0.16211278940521334,0.07856913895821319,-0.011828702736442825,-0.0260311266563009
RSPO3,,-0.0396026214317346,0.070655090248059,,
CORT,0.059835471418385106,-0.056803841974465245,0.0029199238652641,,
NCAN,-0.004065435955152697,0.054749906451011014,-0.08085131321782722,0.035743658421502546,-0.0892437316238587
PRG4,,0.14339260210291416,0.004802018221544844,,
ZG16B,,0.03686639354408577,-0.02267761812267555,,-0.0023486578788150937
TGM2,-0.023362991334792346,0.10745150443795455,0.04696387046096676,0.02828343035038748,0.023191575436057665
VEGFC,-0.003216263413501885,-0.0014917959762250695,0.005213952390094881,0.014888692063250393,0.07068668412224548
WNT6,,-0.009949658438997202,0.008188497335833433,,-0.0035621465341414017
NRG4,,0.04013865208805673,0.06760167079381538,-0.03863192324793477,
PMCH,,,-0.003512495063587162,,
COL9A1,0.06835526514367439,0.04913662493659941,0.02533433083237495,0.04673508622600185,0.1390337918670068
GDF11,0.018895644720638975,0.06400373546507736,0.007768961869197887,0.054815849259788066,0.07995677909201901
SORBS1,0.036986979843583075,-0.014073467236457011,0.005603900965526755,-0.08399381231395865,0.06733235864544558
DLL1,-0.013474620299903596,0.06095838118266949,-0.024335483685503364,0.06312579934677458,0.11410185120798334
TLN1,-0.01789365748288922,0.13934648306256317,-0.004828735755607154,0.04295113783113211,-0.016650234040129372
COL2A1,-0.021930693258033002,0.044119483457202326,,,
SHH,,0.03892232687227402,0.00538531701668956,,
PON2,0.10700803652537227,0.11322695591894906,-0.033556741722635466,-0.08082741925101604,0.006918573883709542
ICAM5,,-0.049129617476883665,0.020791209204130915,,
HPX,-0.024910682120681017,-0.003901452201137122,0.033616684483137836,0.049248874780298824,0.14190551105391785
SFRP2,,-0.025271981531997886,0.01143870678203668,,-0.011759283985361791
CFC1,,,0.06762337321958078,,
CD70,,,0.011434520025630323,0.07622905799339048,
HP,-0.04351537643362323,0.05298374301191073,0.10320429989402652,-0.08193890562470482,0.055402729327979086
CXCL2,-0.03830544495684848,0.04557808639460621,6.703514552366712e-05,0.024239751441154016,
NPPB,,,-0.02722598126780729,,
CCK,0.06739279277020123,-0.09617274052869179,-0.015089771112773133,,0.014671572193646475
SEMA6A,0.0493432700459936,0.06993304568799966,0.022865064345443872,-0.02671836292279867,-0.05634401574630422
IRAK4,-0.007719881389846997,0.09019836323899436,0.012628238239932393,0.05760591190610928,0.08554266061268131
GSTP1,0.03420205472779715,0.15880006269534735,0.05456461330452991,0.003872436421889152,-0.05171386798014212
VCAM1,-0.05073261108417903,0.17137340471575235,0.07269302559277013,0.03909056598264923,0.09816144871752373
NXPH3,-0.05213712954595398,0.08951933610710681,0.03948441544041498,0.11444463176073492,0.13866985963716935
MTMR4,0.02825178229012895,0.04173214881189402,0.08440051330675229,-0.026060679307093746,0.05847645567211472
LAMC2,,,-0.018856482479334837,0.03519108732203185,
IL10,-0.024252515104610118,0.015452052127001922,0.07557944839235259,0.09839464842866823,0.006535595109965434
SEMA4D,-0.0756847051499859,-0.05044200600629274,0.03716734674735355,-0.044204780445502544,-0.06866388039625455
TRH,-0.021438874643227097,0.0240688042017896,0.039774879405727465,,
SEMA6D,0.0699210310868335,0.09853723128979056,-0.012236987504388681,0.03193213718083629,0.0477010223209612
CEL,,,,0.11940865508190364,0.049192853998222354
PDCD1LG2,0.014518369911575837,0.07370369927801865,0.017026004382667957,-0.08142203131013333,0.11648019169060327
SPINT1,-0.03540512581841168,0.0931368523516065,-0.015422039593352163,0.0512934248140166,-0.023388286029759817
CTHRC1,0.025029157957058668,0.0911682729627443,0.027963805418198248,0.04195260295699238,0.1171095557514281
PODXL,-0.03841095308639894,0.1896467581213324,0.024528621175931763,-0.015356169217835143,0.020928224578192232
