,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8812bulk,ZH881inf
IGFL3,,,,,,,0.004318065964272431,,,,,,-0.03795826612118766,
BMP1,0.18115074365102293,-0.0255722636915357,-0.03526906511835588,-0.009008684396568864,0.011377098785052569,-0.013702843058705052,0.04221191277344903,-0.058785699116857146,0.025187551386412717,0.02209347029084011,-0.13516391770365188,0.08355731849969879,0.05923429735452249,0.01638032583573993
NDP,0.10315263735589897,0.025578071698878123,0.03994376726428362,0.02936238034731396,0.10569904194675644,0.05698844113497595,-0.002174400283285387,0.02998057952447448,-0.005772898541861816,-0.019342698854335334,-0.020758211575407817,0.09230993766805919,0.17409214157935343,-0.00937679742250036
TNFSF18,0.003200989822659451,-0.0035583814763564085,-0.005004669925031368,,,-0.031246859024328485,-0.005742408009224748,-0.028091930957429123,,,,,-0.03914568984803785,-0.006853346361523433
IL36G,,,,,,,,,,,-0.0198460285259087,,,
RTN4,-0.11424103819802324,-0.016477522390956276,-0.004440317340863453,0.03272504462544101,0.046205220688141715,0.1502050739427929,-0.08969356125267931,0.024246144830691565,-0.021251504956624114,0.07406636691911266,0.19324307792521145,0.061694524571385495,-0.04598445074309903,-0.0452967792108985
HEBP1,0.011318862941108431,-0.015265442272345286,-0.03837284514423934,0.025769484323922842,-0.03334218088566102,-0.038578050977301236,0.06658250154130567,-0.02545120240710694,0.024394332463934878,0.05560500304933794,0.022734206876976047,0.003886695636145282,0.01147395248181675,-0.02874932550195378
WNT7B,0.080443129390709,0.003784531585589694,-0.024580779531760685,-0.03571126252702694,0.007944988829970877,0.024321770445232843,0.011104791700459237,-0.016250468527652426,0.06139823058907198,,0.040684245140636684,0.04559048441858283,-0.002342472616950277,-0.03597294646811939
PTMA,-0.16726508262371437,0.0862416787679011,-0.0004068124479619419,0.020094558207127754,-0.026964287326919602,-0.10693558271162641,-0.026638077003032605,0.09748976960249998,0.0011160923871522462,-0.06691260501029853,-0.2166700379211703,-0.12341622415255689,-0.08268076363576185,0.049141064992959796
CEACAM1,,-0.03264579816212223,-0.0027876291124601035,-0.04123626995701153,0.06474209653011656,,0.025119103663756796,-0.018841042524405542,,,,-0.04449316691222827,0.04892373934727553,
