,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.017553683977627802,,,,,,,,,,-0.02032217807323154,,-0.0033672733973248493,
BMP1,-0.04025521072589673,0.0598568334553227,0.06798242084312366,0.04617803336198094,-0.011309162023616063,0.026934635944018466,-0.029720014454244385,0.0636506912258628,0.01449192687694491,-0.006088304813957129,-0.0073604629134338675,0.05906267100294705,0.04767066998831612,0.08681092411371463,0.05290901917829835,-0.023410598826648588,-0.08817774816752875,0.011828533804790872,0.05108010701235156,0.07295012877151705
NDP,-0.025864306853309645,-0.02933578895209016,0.0545003699731192,-0.006317520404547632,0.05170878370068975,0.0011390798988393993,-0.0013612832542959645,0.01481249820615495,0.04802700326627738,0.02362389137980191,-0.002810690148376886,0.026393533493618032,0.016434174944400748,0.020642727550679748,0.03914184819136873,0.07678179552608573,0.05759730895333506,-0.06325281867355392,0.020575414261258213,0.041140102866944174
TNFSF18,-0.016143817804257214,-0.01966975740689188,,,,-0.01103526762187848,-0.02606669373074354,-0.015882542521870806,,,,0.14551379222080618,,,,,-0.02095790353941558,,-0.02911130809314868,0.06983001636098983
IL36G,,,,,,,,,,,-0.023497289585218815,,,,,,,,,
RTN4,0.01866634931744895,0.005570506924040911,0.07471584287503281,0.08396992776902619,0.11993878732641965,-0.050822410280820754,0.02242252666623662,-0.043443072753402076,-0.017140919595586626,0.06829613710591106,-0.021981252869638458,-0.08150109227385183,-0.0003644887793045302,-0.04439142678861621,-0.021736984869984297,-0.05095091752805181,0.06833420983065369,-0.036291812903743455,-0.027919750079392982,-0.10960255673128817
HEBP1,-0.028327679696264,-0.014932480169267405,-0.02260719990425932,0.026227964451740533,-0.02933093512089203,0.044735997880152714,0.07759129178083618,0.0009936975783628042,0.07149388622048285,-0.05238819183263757,0.002333509233990684,0.0836210142725739,-0.04973903992988281,-0.011893916655391705,0.05355588722378275,0.009963586675723952,0.03656055388417755,-0.011162265347094325,0.03321058668018229,0.0574122114945499
WNT7B,-7.181730538883855e-05,-0.029609721657156276,0.06043116488724777,0.005972931237238682,0.020840236742378893,0.04688276140517989,-0.008791036579697481,-0.03880203697911675,-0.019958664061313445,,0.02966046357805188,-0.037055470900099,0.011943351923330021,0.08255941087604528,0.14810551177522077,0.05315051039988356,-0.04382467175119813,-0.033176457538173255,0.06225470976688025,0.04486650573698633
PTMA,0.041325676758378574,-0.04502629973874703,0.05679593484164864,0.07766426843581219,-0.05238144099121824,0.02872617177684838,0.010257605472912743,-0.025172931694442697,-0.006757918040429031,-0.04977841630675248,-0.0007254268677804914,-0.0062221470987494434,-0.024328271487013085,-0.1147466824713741,-0.10188058455572177,-0.03797154509462064,0.0878975189926547,-0.007535681096696283,-0.027063930111092933,0.03552284987878028
FASLG,,,,,,,,,,,,,,,,,,,0.034351298149849725,
