,MGH258,UKF248,UKF266,ZH1007inf,ZH1007nec,ZH1019inf
BMP1,-0.02780252297987253,0.02402666283326674,-0.005775215893143737,-0.03126865175376492,-0.045196573488056495,0.0060907977484551575
NDP,-0.07808073354979611,0.028553922324171914,-0.019060803919111684,0.0063352180784139725,-0.1189619728817003,0.03550042159538032
TNFSF18,-0.024051777214429446,0.06151145821646319,-0.014769708708083452,-0.040080692842058535,,
RTN4,0.03167966239054857,0.04285647720015267,0.004273564722949404,0.01758910664105899,-0.134442675572222,0.03244850630334683
HEBP1,0.05070993342135154,0.03248369941692933,-0.008470253166368383,-0.022116918130722397,0.02622203160572525,-0.04186034687704768
WNT7B,-0.02118886240330164,0.025838720344170764,0.0598950311969927,-0.026777529389546587,-0.027729174818311553,-0.05039194529304461
PTMA,-0.05757409987294066,0.04568120659468399,-0.018827054904401036,-0.0007600586683631122,-0.08914073569983547,-0.011790755443371785
FASLG,-0.021188868393338764,,,,,
CEACAM1,-0.029420929202499335,0.011553759490585907,,,0.02474909457355059,-0.045192303684138166
PDAP1,-0.03119292846715586,0.06784747867783679,-0.034959045207307256,0.07654873087494775,0.05788551730905081,0.010655962075959802
QDPR,0.014533067020248713,-0.019907888915918954,-0.008117386131084252,0.08125616975727,0.03349875745932848,0.02562438970215191
POMC,-0.05099688496868357,-0.05007807599217351,0.04860462585003842,0.019448464690109194,0.13471271132947726,0.11238386546608997
CCL18,,-0.026366988194423985,,,-0.01286979231485082,0.06134815994607634
VEGFD,,-0.02636699656717769,,,0.02471793526072569,
TNFSF13,,-0.019897381721548982,-0.014323536311797579,,,
WNT5A,0.0015303018178185533,0.03339963487991162,-0.013031899902489635,0.05834391979842191,0.04069814480596323,0.04064176254983726
CXCL8,,-0.04450849174585093,-0.020374301391061757,,0.07236440813850564,-0.032287198599598006
GRN,0.03865257177191351,0.04327315920366391,-0.0375737040547881,0.04660041534183375,0.04693637873112172,0.0863605074700845
MIA,0.07795438795242692,0.02533504132335338,-0.02589971610631205,-0.05082224070875467,-0.03485202990602057,-0.023150760409169798
COL4A4,-0.024539291449347474,-0.020871608006093088,-0.01362821198088461,,,-0.004049014310430296
TAC1,-0.021188856865347307,0.015997802026656068,0.024370763280725644,,,
RARRES2,0.017502131253308323,0.0076666877579525325,0.0666035242226809,0.04920459734749922,0.007214794412874768,0.011663665768488983
FGF7,-0.032212507628436124,,-0.020158304955662117,-0.019060288192780463,-0.028649738125354814,-0.06098093197945368
HBEGF,0.05878853811886617,-0.003348939173024009,0.00980480239819028,0.11820493460180956,-0.03821839761996554,-0.04322511263939006
PI3,,-0.027739183259009332,,,-0.02973527759626262,
PCSK1N,0.028020787639083524,0.011650826839083988,-0.01908559947210993,0.005574525005884086,0.012724968544628812,0.06898405065755764
NTS,,,-0.016636950387449823,,,
SFRP1,-0.030830321965090366,0.048278129253296685,-0.005552139796021026,0.05609498470295415,-0.04981908870927804,0.00908389381627901
MICA,-0.027990245884771784,-0.004855116739282016,-0.035312472898941544,0.07428947568639639,-0.0028827484196603873,0.012973065153886297
TG,-0.024539285919323663,0.021085811571912413,0.05736361018252516,0.13702702639635575,0.07959765438230099,0.12388524444313123
ADA,-0.0097533452220301,0.05137981154967985,0.01389040635876435,-0.06056039678311183,-0.032140105691268565,-0.03574326507434938
LAMC3,0.014690873262513034,0.02810002703867306,0.005814464908228458,-0.03364578019198313,-0.07937579909166201,0.036539519011843616
CCL7,,-0.01677163191589201,,,,
NGF,,-0.02879605913567098,0.06353834315158144,,,-0.04761656329059431
TNFSF15,,,-0.02225083401116452,-0.04734578487147835,,-0.04808870301501482
HMGB1,0.0022417208457580096,0.06474502425277856,0.08202211348245479,-0.009200794167730198,-0.060367985983628684,0.04077470371245579
ITGB3BP,-0.020144956740050554,0.020285834388681912,0.02101047864899623,0.03764585371407228,0.05868757009844106,0.09986530209038925
AANAT,,0.004445181878243587,,,-0.054961138224979035,-0.033373176072784054
RELN,-0.02034371861640541,-0.052532140134890284,-0.031059664653745652,,,
IL15,-0.02799820202773672,0.014789645365629373,0.07703393488428555,-0.02602196542424972,0.07185999146628684,-0.043277792498471204
UTS2,,,,0.013462811924039128,-0.01750793289801272,
BSG,-0.03909328797746474,0.01281799360607022,-0.048920831061947716,0.0600260300086567,0.04453432283649303,0.04906040686911568
ADAMTS3,0.0399697126737603,0.03754217648467522,0.03540438343520781,0.12046320651216978,-0.1485826811071016,-0.039960980817000724
CD34,-0.014068539628093442,0.06622649535507892,0.01113917055932906,-0.025258119790849146,-0.0023086710049618777,0.053914360442148604
CCL23,,,,0.0052215778887360715,,
PLAT,-0.03685608298452235,0.07768712390874472,-0.020035719269628424,-0.04039964547405052,-0.10124585009819742,-0.001359921008684044
CKLF,-0.050774955162694924,-0.009146947941842835,0.03003831212988,0.002864577607178148,0.033712010055799296,0.04774227100242173
CD24,-0.019464415187678472,-0.0014804596172126063,-0.05167925668248953,0.08254626649660265,-0.0652895239304215,0.07791585861897679
HSP90AA1,0.03357260848716051,0.019621625266889636,-0.027107512636997493,0.052941716516810136,0.0898669617203132,-0.05375599035880379
BMP4,-0.025254487711270104,0.010457516239814446,0.004934144192180822,-0.06537382138228007,-0.04153852928867728,-0.03356145550038218
SCGB3A1,,-0.016771630238751226,-0.020210837985073032,0.09679066843616131,-0.045467000665268674,
