,MGH258,UKF248,UKF259,UKF269,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.016649267645266957,,,,,,,-0.01921107527629264,
BMP1,-0.03026164567405249,0.01729360338612649,-0.010683411144372774,0.08812571928195105,0.023571729809829283,-0.06653006332113963,0.07752661491859604,-0.04774378582306693,0.005377097317523339,0.0013547670942473467,0.06010129488127515,0.07254171023867079
NDP,0.020827545427942823,0.012675682735058239,0.010650080450651463,0.00885377859535968,0.07721359980158421,0.10982555303338642,0.1410440829422958,0.02515559060275888,0.015188242888486471,0.07171388434489141,-0.03351679695938163,0.022869290625900516
TNFSF18,-0.029639462327877106,0.04810547211276565,,0.08938863794065217,,-0.06266394051904112,,0.02594503181310108,,,0.07497181112877353,0.02244686621319788
IL36G,,,,,0.037201094375234736,,,,,,,
RTN4,0.04718105772262719,0.07095082815896049,-0.01008476329046202,-0.10057926322391253,-0.02602453790520598,0.04282120508959547,-0.055742278012964074,-0.020488008321516694,-0.057542217293916426,0.02149706500573161,0.033703176265139335,-0.029539270996341526
HEBP1,0.027481486533167628,0.037856336742681775,-0.032619088814444475,0.07110945823176994,0.012288389996880013,0.006168413509053783,-0.038389983858515685,-0.10847887760358225,0.06249317420944156,-0.045147629015034156,0.03901496761621135,-0.021725203938801185
WNT7B,0.04839850399572164,0.041032788634552904,0.03944317998066663,0.02910744910242118,0.017786433673034008,0.015477085076336815,-0.004108552684902934,,0.021216740191661077,-0.03348587504138266,0.0017827100136005628,-0.037600090473343895
PTMA,-0.015221214967929208,0.039275887991803225,0.0034007754644625647,-0.07105169770805572,-0.005500833695652427,-0.08113885918841862,-0.07930118015021553,-0.05878460994998461,-0.04752154106425258,-0.046447964842441763,0.04161142735026084,0.060053698904061606
FASLG,-0.026111445358721206,,,,,,,,,,-0.016661759033175568,
CEACAM1,-0.03625597039978671,-0.015803933934479673,0.007838458778913615,0.03857622517345296,,,0.10715021937738231,-0.03526149231589365,0.03161086690511934,0.07121692311434194,-0.02318239052770028,
PDAP1,0.040980791412599,-0.008300966852193089,0.07309644739382685,0.0454793614804458,0.008557079473766199,0.05961838617669759,0.04499694740124877,0.06126068098608655,-0.0029140082517756486,-0.003701917399643786,-0.05152051431321534,-0.01908979420456778
QDPR,0.0061310852075335265,0.005052548805308264,-0.04071436991896869,-0.13151562628656843,-0.0757444924576689,0.0650241285558444,0.06736244812677712,-0.05605997502849846,-0.016843875758590705,0.021253211194838282,0.027023679747151138,-0.062247667995529096
POMC,-0.032729243003006385,-0.005606780453763412,0.023057434591583503,0.10410289296447711,0.050551702824301034,0.04146798346206924,0.0669945753876561,0.05882621406531296,0.020154545378351086,0.057737761444192015,0.06889714982981185,-0.03497702052398722
CCL18,,-0.019721816330907405,,,,,-0.07325612814274822,,0.18722143630322202,0.015964583229049988,,
CCL17,,,-0.02715817043105937,,-0.02044625345617492,,,,,-0.013311998947282532,-0.01510201312114848,
VEGFD,,-0.019721822593507802,-0.010231771179717129,-0.027891989368054107,0.00873865945763492,,0.035594933482865264,-0.047937226089186345,,,,
TNFSF13,,-0.014882720198635716,-0.018733098145542606,,,,,,,-0.025543726486917263,-0.024607469867093463,0.03451263918317141
WNT5A,-0.054165686637956276,0.0013042246498705106,0.11200635734575994,0.07360488026851895,0.08396927639462895,0.01687516019022339,-0.058421187116285044,0.059683209173087545,0.024916370647270907,0.023536370092555495,0.012693280163539357,-0.010043942305985945
CXCL8,,-0.06665955641681684,-0.015808316169295192,0.01799538982460949,0.062051278361514514,,-0.08771193535459985,-0.05475565107537643,-0.048783879919128276,0.00941671273395403,-0.012703789527223846,0.024019336855787016
GRN,0.010635378379418303,0.01668921442567755,0.01611827735648468,0.06075510923110408,0.08356791497063305,0.043159759507020154,-0.02555206417106827,-0.04029746996685776,0.056368448998892096,-0.013106178059628637,0.011944843137604688,0.099641709903714
MIA,0.063510568003397,-0.013413538863096918,-0.04017598089817268,0.07930286489775425,-0.030010697643629257,0.02196264651996216,0.0919954778806483,0.07308860101036549,-0.033651882316841124,0.06473903964857547,0.012643429278392628,0.02313933577363227
COL4A4,-0.030240235388068595,-0.023685741178276907,-0.006089291121677946,0.03070191580156944,0.040934078361559254,,,-0.03753579211465735,0.049735782155813826,0.052185718835815076,0.013676522353221669,-0.035090682540461104
TAC1,-0.02611143115255817,0.08365735249691343,0.018934547527176833,-0.020733545457554722,-0.006946196916212639,,,,,,-0.01985313188507894,-0.013009150193468278
RARRES2,0.08983602057277888,-0.012713153122542961,-0.03379345808140695,0.08072863420822868,0.056228602570933324,0.08424598757853188,0.031286609442742794,-0.08301821909207036,0.05356121644477816,-0.00590289620204254,-0.034919860413787494,-0.02504835425912018
FGF7,-0.049041456395855644,,0.05453458331893946,0.02843485549404235,0.03262725996118292,-0.06920989713794387,0.0418645512287122,-0.10015770933040095,-0.07475779360037288,0.004256859672479911,0.006412993012031164,0.000658389636809983
HBEGF,-0.027249373657676296,0.0653077834400845,0.0066110523777300695,0.017344088774702265,-0.009022162444454973,0.06349842414638623,-0.08763089801925783,0.0894650667794891,0.043648156437036095,-0.05234070470096962,0.059756701342160906,0.023001856712305167
CSF3,,,-0.03237017115045393,0.0721655174082112,,,,,,-0.006838414757575929,-0.015900090056066594,-0.023073686962167807
PI3,,-0.020748182286487157,-0.044508667380031855,0.01903466584797322,,,-0.005137989993331314,,,-0.0517461832018883,0.013737672502649389,0.01643652471579749
PCSK1N,0.012082515511863625,0.04241023681386162,-0.012134274631241882,0.016920588198443533,-0.03583270597996468,0.016575859458432013,-0.042729428416932405,0.023796346737607516,-0.0030058102334257985,0.054245402902063894,-0.029891804031053137,0.010264678440871772
NTS,,,,0.048975620387779854,,,,,,0.023227179716724996,-0.02354586521739644,
SFRP1,-0.011980081599780203,0.044034412409093386,-0.023696553461897567,0.03216149844360116,0.004876409472682352,0.11463725452607189,-0.0006452667677627033,0.027247131218351726,0.0035134984570625114,0.05007092858660057,0.06985964929461626,-0.013015391818866988
CXCL13,,,,,,,,,,-0.015162739392762114,,0.019698799368333065
MICA,0.04835958254150538,0.019121793004302775,-0.012763564730373565,0.02019413357867638,0.032915390833003474,0.1077517803721512,0.051986517124884446,0.04435112803684037,0.10979130608545642,-0.016208276805532724,0.09684770668122603,0.015668507900320323
TG,0.01710214484735987,-0.031057076206851067,-0.025572335530910064,-0.0025828429388519277,0.035264989167115554,0.05964428691506627,0.07115080589330432,0.111065491869097,0.05890627811543682,0.08153322589436321,0.03765706525432908,-0.032994195497033765
ADA,-0.03116108489777235,-0.016015990845213244,0.013657533796829846,0.012894837017925754,0.011812973352019003,0.09610741986974852,0.04634327945345684,0.0014259963608157704,-0.035906375785609686,0.05858255744896141,0.07276478971989858,0.004789338339434274
LAMC3,-0.044609987759936486,0.05200423409593717,0.07946289781781182,0.08418827722982597,-0.0031053294856108965,-0.047223637070958,-0.0593604603237234,0.10801170162029179,0.06468172826130127,-0.008675171749081029,0.017115472417059695,0.10205220562615935
CCL7,,-0.012544741241426906,-0.0027450540218190373,,,,,,,-0.019951617997940953,-0.016661753108452936,-0.036245438985774876
NGF,,-0.021538697751142904,-0.013361262698894394,,,,,0.016419743865982214,-0.041175485791666716,-0.023042521539834115,0.017449654319975253,0.03301299286586694
TNFSF15,,,-0.006361651617791786,,,0.02973981560804459,,0.014522923622969355,0.024579244973200735,0.11254485450639237,0.027750807856834158,0.06941866155742495
HMGB1,-0.041978576138177084,0.014955398023864622,-0.0026244334189334272,0.035168082729931605,0.016197329386329753,-0.07558996087749571,-0.04513479854225302,0.029259626123736802,-0.042131930377054656,-0.004759831680539831,-0.005902608718892949,0.023889821946577905
ITGB3BP,-0.023257128518417547,-0.026353069696066912,-0.05852881014100781,0.019015171317652665,0.05769095886014965,0.04483445430570029,-0.03206992341390064,0.06460329776663236,0.05518997382215539,0.03602308277957141,0.020575028117842228,0.008651543965312158
AANAT,,0.0005694311312003654,0.04156744749889492,-0.015657282454036293,-0.0022711163657537356,,0.01492060524379608,,-0.005251141989284993,-0.01750319863103479,-0.017628829620140396,0.021168594684183858
RELN,-0.025069951220824328,-0.020541726992710074,0.059238332044374425,-0.012040524566253862,0.049761508613035944,,,0.010658579768675187,,,,0.06834950950534606
IL15,0.07900113748864127,0.09204143286640108,0.018534030739941917,0.07585272595023748,-0.025436990400348886,0.06898669968174337,0.011878313207684617,0.013491536318284817,0.02576899178601742,-0.03206657702757842,0.018510908614087145,0.05771316301497584
UTS2,,,,0.0715485669486731,,0.06788149281675873,-0.0032383038374574724,,,0.19045357340788763,,
BSG,0.037405233895102384,0.04236601059009026,-0.008958438763012604,0.015752970308535688,0.045047511568896276,0.06790911513347399,-0.019127510954901162,-0.007941978178488808,-0.007752632122621837,0.07342643576277887,0.024303939027955142,0.06438449046753378
ADAMTS3,0.0002755927524207042,-0.014058217672738101,0.05252565392279977,0.0673186214919738,0.005879216531691869,0.10341882209833649,0.042140045090206614,,-0.03455547154484576,-0.05266642696222751,0.06037376340380908,-0.011201775542906389
CD34,-0.010300593519265528,0.03210673341743634,-0.009568193231613089,0.09782165735014112,-0.010772883970473431,-0.04992860292596427,0.07352798284160329,0.024734719485287885,0.07252417156655133,0.04685403190810351,0.0740770685597803,0.0704493937036039
CCL23,,,,-0.017815502002692604,,0.10099906797601409,,,,,,
PLAT,-0.024687415629499075,0.027820406861234607,0.018763660579926136,0.049678279169943954,0.03270126560617423,-0.049450327801382594,0.042940874495500846,-0.027064906807372842,0.07456058407046437,0.1141132798534471,0.026480661988321948,0.10162404336743791
NTF3,,,,,,,,,,0.05524324979617179,,
LTA,,,0.013296264136002347,,0.02947185028138249,,,,,,-0.023725747940323515,
CKLF,0.05992826565280829,-0.04155903120510576,0.02034360103796772,0.07977919346229177,0.02247943693859316,0.1443947366021766,0.003787583711972352,0.0698547267390952,-0.025931000108436783,0.029776433838527638,0.04606480263928188,0.029626032369608007
CD24,0.009223575697128193,0.02510192932265085,0.003054261653958211,0.03506223861123551,0.042875654259361594,0.1736329381033387,0.04185555937192911,-0.02062908155586725,-0.027006500218606656,0.04929341780357207,-0.040021470724006636,0.00013383510853541688
HSP90AA1,-0.011573328435865018,-0.03868415456334126,-0.037629857238360244,-0.06086576646814705,0.007113732820620412,-0.061206740635085036,-0.10433210213430409,0.1046636406556184,-0.03894126159671425,-0.05270575025950599,-0.0767190817820109,-0.035912282385448864
BMP4,-0.031121585338773152,0.1166117317772951,0.011262912704631681,-0.04795879025902204,0.04013666209881686,0.054669415193871314,0.11801138115069554,-0.0567651920519239,0.04616795227075694,-0.014874479627021486,0.03277756208437214,0.018844771216252314
SCGB3A1,,-0.012544739986969542,,,0.07719868431535006,0.0936857733889292,0.062047709925837254,0.030458384449105102,,-0.01613844569703899,0.01716229536489644,-0.04529033221145503
IGFBP4,0.0402492938089534,0.046505316715416675,0.022038093462265637,0.09827405052273877,0.03268426473422348,-0.09434645382836572,-0.06486970908963313,-0.038498019870506904,0.04554463452904566,-0.03337829010560395,0.058527694422457,0.09757217820102317
RSPO4,,,-0.003629730106399437,,0.0047350972278128525,,,-0.026222253291685864,,,-0.00346533462719101,0.007207987177595786
LEFTY2,0.0006866668346343266,0.015940443542000762,0.0010483509686746006,0.048897212086978274,-0.010069967642639717,0.09371665438985317,0.04306567122423491,,-0.03687909687813259,0.08290518684499813,0.033465375735497196,0.12903248098263373
PF4,,-0.01301315401116035,0.07384358687089394,,,,,,,,0.04626418185984668,-0.02226266674699551
ANGPTL2,-0.050614193158338906,0.04069794612674429,-0.010007553630143409,0.060890157301464735,0.07647125993352843,0.09202046643390283,0.06063944015123898,-0.03640577890360078,-0.08258637645123958,0.06683701258951545,0.06753992460034144,0.07592789463638164
LRIG2,-0.03877069250784529,0.010965900095878969,0.03129303379253933,0.025252905191986516,-0.025864511182995677,0.08903727039140592,0.025047154052259626,-0.0064345216722807175,0.061219805483290944,0.050154677155589265,0.01501295146910904,0.09220108698031848
ICOSLG,0.025437608929662573,-0.004524926884127969,-0.0712533581134054,0.04414211859850109,0.04870919724693615,0.1038830806012131,-0.08563779056936377,-0.02183954100246021,0.17716890106943342,0.04015236606646588,0.019380217081166273,0.02607251783928272
WIF1,,-0.008899733968954543,,-0.02802819703385028,-0.037299519113097236,,,,,,,-0.040851517823837086
NPPC,0.04984856594618175,0.0011587234947610591,0.020273081652543313,-0.042156613424545776,0.03285085915130559,-0.032557747085425866,-0.05326450256690928,0.04396617130205032,-0.03455540517899343,0.02685557213566347,,-0.004487171461537805
