,UKF243,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH881T1
IGFL3,,,,-0.015697202402999887,,,,,,
BMP1,0.02857383128005203,-0.00036619691682109637,0.015811286785241168,-0.07137356465599146,-0.05647812035178738,0.009849363627644816,-0.0807004549588798,-0.043828481276241595,-0.06427041917849326,-0.05610695933344387
NDP,-0.018925931398179285,0.012571590330222803,0.03174011200253639,0.05661297859973735,0.008199590163664967,-0.004345616823891264,-0.09122780625733869,-0.056646827677253625,-0.03729710399186118,-0.013829039070967513
TNFSF18,-0.018985863889745994,,0.04230711405025383,-0.02330987432552521,-0.010176854652504733,,,,,
IL36G,,,,,,,,-0.01414503763551665,,
RTN4,0.09616427644360168,0.07292558281099086,0.036366782198692,0.11037507334456381,0.0874129960682261,0.023714408576891034,0.20230955986465596,0.05661155597916991,0.07853061342089769,0.07576971761183364
HEBP1,0.011842545661538,0.06552762332816818,-0.028305291957840574,-0.09874325116241539,-0.04642178134526241,0.04448164501363643,-0.055844843303796805,-0.03916031486652443,0.048112945623016025,-0.034730880522288905
WNT7B,0.11241380640331004,0.045286641591121064,0.019339964796419706,-0.023508272985982744,-0.029171006521779525,0.03562706776667146,,0.006423173752704967,0.015687100776349217,-0.02039558993615796
PTMA,-0.0364098523701795,-0.03954304775764021,-0.015892072513165524,-0.06550930698349013,0.05638445829672976,-0.018913980065956813,-0.22138185378801034,-0.05303875922764462,-0.056834526311366505,-0.000607845236962674
CEACAM1,,-0.01678583063554987,,-0.01816897235415797,-0.01600576789521785,,,,0.18120037992877008,-0.036419739651068365
PDAP1,-0.01653976976847782,-0.012148601288185653,-0.003136865141388472,-0.008961366371710206,0.008906427392053199,0.031198169688235772,0.02771355247562029,0.00281216425234547,-0.049000859033330235,-0.03488929671701603
QDPR,0.012133437297269565,0.040738682587405234,0.037289706743822724,0.07276128465435935,0.039166769871187404,-0.0009175613575236676,-0.21644771197443904,0.026920287464548505,0.08549135249690222,-0.012064460775499861
POMC,0.09362820449318578,0.022269273593244834,0.027917469159251227,0.0027197497982565416,-0.011808417372057406,0.03891369094287218,-0.022982547580507703,-0.03030589474249503,-0.0034651372196750777,-0.005976658962407048
CCL18,0.0633753050512716,,,,,,-0.06580254609222413,,-0.037619170289686754,-0.029228035387014687
CCL17,,,,,-0.012692519124414325,0.02025157164133594,,-0.012921893457526777,-0.021220108900151014,
VEGFD,0.0737263045664791,-0.01605973236927397,,-0.026297024701691974,-0.01352280557902569,-0.018966983401161343,-0.019686351470691695,-0.01384879345258909,,
TNFSF13,,,0.04506823081461421,,,,,,0.01325728522623108,-0.040896926684865165
WNT5A,0.017333984064859916,0.04102827963500171,-0.06984621251359925,-0.06904205676757881,-0.028544386557560877,-0.027295273616610938,0.07789835708160539,0.0002910792771404873,0.014050041859317804,0.00912950791385496
CXCL8,0.006002272113383321,-0.028518411021257583,-0.031192784472548366,-0.034343392674800056,-0.036410899251260995,-0.017662879655017494,-0.07102861185709371,-0.033603378020916806,-0.08939070046987645,0.007801960423191328
GRN,0.0006467691066610648,-0.022167123380271454,-0.038610630819027186,-0.09027524352696888,-0.008580107160282114,0.017456355329879335,-0.12833304247927377,-0.014897399270077305,-0.029635299614563314,-0.044466299912884935
MIA,0.00875185555024904,-0.040529424949493485,0.016318755741748937,-0.044840507411519445,-0.024947314234521224,0.006153851209908426,,0.01588675772900479,0.11860226525784859,-0.09437921347540297
COL4A4,-0.028879263547382072,0.0057747720503260255,-0.020864611301589366,-0.015468427840684532,-0.013251382655568222,-0.03623747919095728,,0.07335827584117507,-0.007069911630105015,-0.03509912506183359
TAC1,0.09919846318845661,0.07414332935147501,0.08104830585164059,0.07194239326433646,0.08823395564254204,-0.04426581718041381,0.24226786033366499,0.13503892164443998,,0.06753489561116761
