,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,0.04582817292044941,
BMP1,0.05245093761729916,-0.026172624004060292,-0.026091337984417727,0.08246990016429788,0.13860216727723815
NDP,0.03204868601386517,-0.06853333829228403,-0.029460683256128564,-0.023769009431222926,0.035344553440060655
TNFSF18,-0.029395992225074264,,,0.0187954602892334,-0.026674492887896424
RTN4,-0.001704573141306419,-0.05247563214828815,0.0025228037543671453,0.01659427558044379,0.03961221023504181
HEBP1,0.0036243207105677196,0.015387558625598713,-0.0011880615570166752,0.005287691785050067,0.017653830236398396
WNT7B,-0.0323621182319373,0.029260574936634698,-0.030376916454716445,0.06908197126242689,-0.05799862906905848
PTMA,0.0751202726984995,0.008200306683717032,-0.032872800742204035,0.02794075282536359,0.08642299153659147
FASLG,,,,0.050947189155597074,
CEACAM1,,-0.007266053834057334,-0.014716201787083698,-0.04369782691667724,
PDAP1,0.011172622238165895,0.03595191575797554,-0.0143404607488246,-0.03438169617166106,-0.0034899251660047864
QDPR,0.008984224703276788,-0.02288788770212082,-0.002668912094050763,0.008331495748718007,-0.028179919539320798
POMC,0.09098674031592553,0.03349544493232378,-0.03447480661439305,0.022292345413871782,0.0036125508233120847
CCL18,,-0.03573719331317638,0.039167350581359416,,
CCL17,,-0.017965868781232488,-0.021243761154472563,0.028374511556314458,
VEGFD,,,-0.014716201787083698,,
TNFSF13,,-0.03447380367629384,-0.023091242073825156,0.0599266356576362,0.04311522417633591
WNT5A,-0.012911548217353233,0.006683247260962956,0.022098988566342105,0.03883394448080876,0.028601634673406297
CXCL8,,-0.005122637830468845,0.03359143898734367,-0.017931835942312613,-0.05002286452655397
GRN,-0.032861709428045054,-0.0949946950172164,-0.017799937945973354,0.05538209271469831,0.08695151244742451
MIA,0.1231452374832569,-0.04997394683416288,-0.007459454181324172,0.09414486837929105,0.07453046333308087
COL4A4,,-0.03724763279154152,-0.02356294007043112,0.05928473159739752,0.07884873026986544
TAC1,,,,0.0076964261920530715,0.006567150532614852
RARRES2,-0.06778029471070389,0.005123638807424277,0.02779506759872542,-0.04879930036074963,-0.059159263819374336
FGF7,0.02118386268084509,-0.018966803287156782,0.051231757037090445,-0.007080312406757275,-0.06222300141026717
EFNA2,,,-0.013986764945115101,,
HBEGF,0.024443912683143842,0.08390483466900998,0.06431929376140372,0.0443667383630416,0.050756286979153374
CSF3,,-0.031348047820169755,0.02000702122626718,0.013246126209191973,0.024779555730143683
PI3,,0.05816837596789547,0.03533590772576588,-0.028850914749126967,-0.015649580821135867
PCSK1N,0.004359626888295435,-0.02623172775795226,0.03934114095058361,0.01592702195254403,0.04445622803014379
NTS,,4.88713054066244e-05,0.08078585196040491,-0.03426050571446842,
SFRP1,-0.061161269042509396,-0.024803477522148717,0.04370661132059912,-0.04335161377332014,0.031689170875833124
