,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.0400137730861499,,,,,,,,,,0.012009783735045309,,0.09864981274864139,
BMP1,0.0763387362905783,0.05947788588546403,0.015932519131584173,-0.002228800854692991,0.046186469746449105,-0.01434170873926917,0.2515051229798068,0.044383800243270266,0.004893359365947204,0.10487885771443374,0.15871956786649646,0.026391532936790252,-0.062185512765662046,-0.06467544188484749,0.03679463194325861,-0.0008442376101210421,0.06286467771849566,0.041531675319722475,0.03721059136921032,0.10941688778032586
NDP,0.11340445601595438,0.06052484865925336,-0.0362059271761597,0.014503009699557989,-0.01311808609591522,0.002055281769842051,-0.0006335808124595785,-0.018362904215928177,0.0319864500118173,0.044709434502232075,0.04931269850712308,0.13298949841916807,0.017129430698243013,0.041547535804551484,0.1169045853501993,0.08011500907484768,0.03006229220806263,-0.025042378896598775,0.13947407713055832,0.023207904692341904
TNFSF18,-0.055591022410973245,0.05472757148577323,0.0781867389100881,,,-0.014511900768749728,0.08796417262592805,0.0024054624408961726,,,,0.09386073652013177,0.011245268917319159,,,,0.010295032304553906,,0.04745540226382569,0.03350561461309578
IL36G,,,,,,,,,,,0.09900672861000225,,,,,,,,,
RTN4,-0.11554063399212192,-0.053478677317179986,-0.018989530099134486,-0.034749203267237946,0.011700450930890085,0.16832584389242763,-0.2956688330230142,-0.04053977088263147,-0.022641075713895512,-0.08450740830514306,-0.10448936778008276,-0.07257369206978528,0.063357178892513,-0.07656006044200005,-0.07563973385758907,-0.03424645542869763,-0.05931427336669817,0.039264673943697904,-0.06809174266638958,-0.12761900528084077
HEBP1,0.027793189871929344,0.019945308774088413,0.06213780787306479,0.028821027174221824,-0.009965021273102096,-0.05047504260013389,0.12775150152130482,0.025849438724480506,0.006004671091067868,0.00834605662372284,0.007607058840498676,0.06428908429074376,0.0924842667053104,-0.010601423507609469,0.0576153191589671,0.0499080739018809,0.0024098561119729398,0.06360407775592358,0.12445878657360955,-0.06155683144716718
WNT7B,-0.048973949584827495,-0.030202898984886515,-0.06401892650459444,0.01621890852072494,-0.01068348328849816,0.09415071510689002,-0.05715743887229051,-0.0002633629565932857,-0.012626034856331863,0.020643792688714916,-0.04851275975983394,0.02259060838636093,,-0.038875507493708286,0.011601315347832568,0.061803816907423155,0.026794963119629377,0.07008464643457701,0.06362570387760211,-0.014005858087722058
PTMA,-0.048259274429172896,-0.07301819730558239,0.18178907296056118,-0.006746377285795357,0.00761283807423288,-0.14660254973413647,-0.14932187938889324,-0.08357512392541466,0.013793928889756665,0.11782642723731986,0.06581452605183236,-0.06033762467027263,0.032327817153130205,-0.08586320634553499,-0.0956611444178786,0.026111568729605714,-0.0683518148860793,-0.031242500477070955,-0.08395694558847101,0.03437693048629164
FASLG,-0.048973963429637585,,,,,,,,,,,,,,,,,,-0.04075535903659346,
CEACAM1,-0.008842569334677612,,0.014849725392791514,-0.012436292361493337,-0.022521714927864922,,0.07851623761647952,-0.009770295245605111,,,,,0.03233284302228488,0.045144739959990084,-0.04466988661457161,-0.018368436672055594,0.05085785263381291,0.0007781403212303185,0.09612091547924162,
PDAP1,0.07296063398632671,-0.04665617491858074,0.11206432586289139,-0.0030494111070473837,0.07470678618547358,-0.008921695342398854,0.23803288584395427,-0.015657568394115133,-0.031955064375125734,0.052149120219934786,0.0762864549026264,0.019124618958474403,0.06343011447207864,0.06663354221676494,-0.0072236919599582726,-0.03898942842072958,-0.001794469200589719,0.029183929181755826,0.06095262469079565,-0.02159630979676096
QDPR,-0.19550953456751216,-0.06853565150787516,0.03223242694149236,-0.012452218021611526,0.07518204399299334,-0.10416892228653704,-0.3233659531137844,0.00656113859071148,-0.014993322083327999,0.04672922130102139,0.0272654024416662,-0.05935195020649638,-0.0012459447352053924,-0.0004549287788203739,0.05330165378940784,0.05952095004595258,-0.022353406102069224,0.011193417921554398,0.10927004598422439,0.005500421000673025
POMC,0.005124407202206666,-0.05438071032287885,-0.025416824633023367,0.006664161378430405,-0.02692168749167779,-0.006144405335251719,0.008440568418619482,0.061387150819306645,0.027787141265830467,0.02129471889452969,-0.013277959514042528,0.07163352338981958,0.0369196763827319,0.04065899896716247,0.06127915679181098,0.05792610590304703,0.07830228973103857,-0.011770834896530712,0.036618625363016084,0.04489228165676524
CCL18,,0.03456998797309483,-0.06618762001544272,,,,,,,0.08819800284066978,,,,-0.024719275284325295,0.0891151305250771,-0.01945869255761383,,-0.01266526965372563,,
CCL17,,,,-0.018100665586127513,,,,-0.02772811250923054,0.002334161665397445,,-0.0029914053907392187,,,,-0.0007979811371734366,0.06621124160752787,-0.006671018956049437,,0.06005693308244934,
VEGFD,,0.011049740237402891,0.003311857364964848,0.03020437205321164,-0.02154750170495478,,0.016491054800805427,-0.020020531919024143,-0.011462954167679031,-0.002530112508569675,0.10176732746895138,,0.03773576807305464,,,0.004307254242351032,0.00603319244898627,,,
TNFSF13,,,0.05736662132685859,0.041137099458022276,,0.024652001441334687,,,,,,,,,-0.0016537968884024728,0.031704379620562585,0.08768700207055291,0.0188265776323015,0.10300359740022308,0.053108778732686775
WNT5A,0.005361439574858821,0.08866593265679681,-0.03897235582754547,0.009910099900350846,0.025712524309798084,-0.027968088024965615,0.22609809171028838,-0.03282829410914875,-0.026199082285495046,0.022371786395807548,0.054076027311556606,-0.0498612416877135,0.04818851647012289,0.0829281339063754,-0.004559151163741192,0.09273592356588628,-0.029934521900340693,0.04256630989107818,-0.024338389826548908,0.02525661387072519
CXCL8,,-0.012014543814184216,-0.10388840990549315,-0.04731077244246482,-0.0004124970103152976,0.07517777458982723,0.10728867782962938,-0.039214039722426645,-0.010674801346760226,0.02581416044182225,-0.033769906909223706,,-0.06296175722760285,-0.010058739390626712,-0.05062563365066442,-0.12060480652602869,-0.03908379551747814,-0.015879707903898265,-0.016266321790757026,0.01451644216350189
GRN,-0.21737935169839584,0.07774542385561123,0.00296729495784935,-0.05840493339120877,0.024231703142879462,-0.03814987406440356,0.22633189043368998,-0.03197661685837825,-0.0539918620427604,0.05535641816002352,-0.027588720637562507,0.053328246954371404,0.04219576686828207,-0.08156626777133759,0.07099866741549428,-0.04048910432398056,0.11855667169094979,0.019167778090632234,-0.09455858788958715,0.04302446627408813
MIA,0.07246981929061506,0.10481658629825556,0.015044017724527545,0.020727864927405505,0.06234249396413269,-0.020493377207519953,0.16347674731585926,0.033483071333005515,0.030752657477763883,-0.01405843842551705,-0.00901619821143718,0.16615627243236958,0.0428183593847221,0.02155658653138985,0.130576115776642,0.1517660673592126,0.04615363665921133,0.03994401930711447,0.21956262201751403,0.08144906452036292
COL4A4,0.038380660590355845,0.06312549479986027,0.08324606216567519,0.038246234842058455,0.04986646311465084,0.0458309991452053,0.060060376841975495,-0.02894900733060085,0.03087520124118086,,0.04383577760491307,,0.056085446018684836,0.013201839570633363,0.01318975941925089,0.06918145309427476,0.14020608271628324,-0.027523751162144647,-0.056580613437190834,-0.01084390208316231
