,UKF266,UKF269,UKF275,UKF296,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,-0.014860830376714278,,,,,,-0.01660307221009506,
BMP1,-0.02447657842092333,-0.11630562275352212,-0.020988256670646754,0.05781335465340815,0.013855900369944888,0.03924292330503392,-0.014970568320494513,0.02780367037961054,0.006332710037911791
NDP,-0.012333691866868994,-0.052797894134653696,0.0334639320401606,-0.02841809762337826,-0.04147267274657829,0.029863833547607695,-0.005365495089964639,0.04899071327080605,-0.0012437333097499506
TNFSF18,-0.01183302918593378,-0.022067886975067365,-0.013259369605847693,,,,,-0.017122455308836482,
RTN4,0.047667999276966064,0.14798811787273497,-0.0014893699532686367,-0.045577598308882736,0.07675948148831255,-0.014217162371384855,0.10145419605214966,-0.0005463033155831378,-0.058515302008218646
HEBP1,-0.05480042118121784,-0.07803920434404611,0.04940863780353977,-0.005243599959608561,0.03540973621908715,-0.011123295627638542,-0.01415990857504183,0.029350654141276914,0.006685118097155629
WNT7B,0.05775819427150833,0.048208210073440914,-0.015055598914847293,-0.016779663905598877,,-0.04664463385036181,0.013283355241110654,0.09159334026608316,-0.015905731781333227
PTMA,-0.0838324128515927,0.03311409447440541,0.03519126815370355,0.03374435791594483,-0.06548238570890032,0.07296766011868974,0.02740522862408086,-0.02322849862995592,0.060545648727012916
CEACAM1,,-0.02904008236632782,-0.007556343314637873,,,-0.026137288946778522,-0.021606667133974685,0.015570466926788208,0.0553814309915767
PDAP1,0.0642325418691498,-0.075316690594385,-0.0009636996885927704,0.0345482397729404,-0.08145163222292748,0.07524458620221754,-0.08295512164286058,-0.047659142713899164,0.08647207550213015
QDPR,-0.008204391879912731,0.011572511681048395,0.045650967077842865,-0.05052335750573869,0.0006274889615018952,0.004778194930039255,0.00493278507339632,-0.03190720054627172,-0.03677361663140679
POMC,0.02003767897791441,0.007532967072462785,0.05670170431938114,0.0034708811765042672,-0.0014138918940073476,0.041434979454299505,-0.050616706797206326,-0.01657887028809428,0.047386970825375525
CCL18,,,,,0.0017003960910800442,-0.0018034422564705982,-0.03613890918360683,,-0.04473988358693381
CCL17,,,0.0005003250548063524,0.03468509094580802,,-0.01854314142739382,-0.03119058046222344,0.13521419570483373,
VEGFD,,-0.0248958772060826,0.013936685608557601,-0.015233960660458554,-0.01951585624141696,,-0.021606667133974685,-0.023087395779263734,
TNFSF13,-0.011475569801218952,,,,,-0.022264936017525962,0.012997861922957491,-0.02347439961789538,-0.013016394757875518
WNT5A,-0.05426518938271073,-0.10790673066385038,-0.047750483136425236,0.0360032436965078,-0.005577832966379051,-0.01610873030935925,0.06915115723352061,0.038379085776942566,-0.009221751461217221
CXCL8,0.07539262042570385,-0.02047255800282956,-0.02769812392023136,0.06638714301344854,-0.0019455463622235067,-0.11425541341619523,0.03205871561461946,-0.03107930039271371,-0.011684369023670914
GRN,-0.020592422895120897,-0.08230112591923709,-0.03953071636591272,-0.01329822840439671,-0.03690144327722027,0.1019237251522704,0.031529351731735294,0.03412402145340345,0.06647984300567664
MIA,-0.020750043392911175,-0.042451333526860854,-0.03250372255511472,-0.00038927709584979646,,-0.02210830989449309,-0.01843837361850761,-0.014569308689064345,0.1114978233376241
COL4A4,-0.01091849767041383,-0.014644245288633501,-0.0172651557301601,-0.019231677770525476,,-0.013350616058907052,-0.02266916913158298,-0.03372007071523806,0.04416558427864911
TAC1,0.07084701807660351,0.09947747290852212,0.030421899077048578,-0.047279363973000386,-0.024665516243947572,,,,-0.013547084982070355
RARRES2,-0.014463799129256464,-0.1184896417156004,0.12620594733564877,0.024153960313350282,-0.07248536641566924,-0.07030962859686261,-0.012464271208751522,0.018463764269506477,0.018664936321418784
FGF7,-0.031294250489160076,-0.04173386936454248,-0.016884246621655108,0.006597698643807902,-0.01958842926003455,-0.023850514850287934,0.031505796955124614,-0.007868099483065846,0.062403637978896136
EFNA2,,,,,,,-0.020535691126190785,,
HBEGF,-0.024394327846438416,-0.01716371440509361,-0.03986931293398259,0.02992247367481253,0.015904283131300035,0.09081613901665947,0.09754912772879468,0.11281397800864619,0.02487187310759355
CSF3,,-0.01549332964865386,,,,-0.07121743050638839,0.04091155557494809,,-0.034331340297332306
PI3,,-0.017445693674201512,,,,-0.0868476055329694,-0.004873851846095654,-0.018599288001174025,-0.007316459569112636
PCSK1N,0.007650111592014393,0.012450646606151595,-0.014673191166711943,-0.04723580283116773,-0.012924824657572772,-0.01198625986845186,0.01967496873985393,0.04056470938564219,0.00484436957524532
NTS,-0.013329004883615728,-0.019043165851964264,-0.0056840307447557845,0.007713168821883036,-0.017570539639122133,-0.043259218680225704,0.058676231114038545,,0.020380615091187337
SFRP1,-0.00037344987507650646,-0.03892736528253414,0.07310133158118741,-0.02076852031536875,-0.011871111828716327,0.023468994399481642,0.023541325598121526,-0.018209690170158215,-0.02362197438393512
CXCL13,,,,,,-0.041651697522611004,-0.045206464855410515,,0.06822348280371406
MICA,-0.028291250064531058,0.009298128339453583,-0.019950530697942854,-0.0019068881314878083,-0.033788420759971446,-0.006950153815249833,-0.06511826435651676,0.074841466676885,0.011260584466473706
TG,-0.01538518533832075,-0.0186990627290898,-0.01666041721566588,-0.0150300878110519,,-0.024639198905949008,0.06462242649157009,,-0.015189815490939845
ADA,-0.03005647082247672,-0.09610869606155506,-0.0175528058717522,-0.024410071325614558,-0.010717621050844743,0.009674951296539704,-0.031230252903800704,0.03130573284692299,0.026419305235460572
LAMC3,-0.06035265715438162,-0.07318789114091674,-0.03772593166933237,0.02785156688371183,-0.026831069573575117,0.045260934732605375,-0.05676754091328542,0.009641156656066106,0.0674686132810576
CCL7,,,,,,-0.027791894794033063,,,
NGF,0.13774695984853771,,,,-0.017570551208156697,-0.03209741357770586,-0.020259656888506162,,0.12206620222167092
TNFSF15,-0.017826673055601747,,,,,-0.02709397666355369,,,-0.021319172928253433
HMGB1,-0.008239311397769431,-0.12623473046168987,0.0010289381728083914,0.01022553051277578,-0.07399609786870556,0.11284113536535702,0.009427832349564224,-0.01425050932866789,0.015516753457453401
ITGB3BP,-0.02657513788576273,-0.10761533484545688,-0.05222252213001722,-0.018507725204838753,-0.018850428746590594,0.055336963489465214,0.02803433634074637,-0.0024672566975127495,0.040059554265086894
AANAT,,-0.013975402622342023,-0.014982810565829594,0.049679866866621694,-0.01651890216980469,0.030726457324144543,-0.02763547825356472,0.027596951664906246,
RELN,-0.015842029548357044,0.09198031675488709,-0.03298731239866731,0.005035431799448205,0.049544628540152263,,,0.03202298782211114,-0.010441748774453963
IL15,-0.012684737662527921,-0.036453544957042394,-0.0024869865290520475,0.013336265927726612,-0.03385092030257213,0.0587010348401114,-0.017443323962804885,0.03147097981667891,0.0525515336528217
UTS2,,-0.04609988199013178,,,,-0.02076248999894496,,,
BSG,0.035592593605877354,0.04682419834912419,-0.059942292073204596,-0.028949351343885443,0.04638267943145295,-0.0871037694794326,0.020123890521817008,0.02538984352286291,-0.008042615002134008
ADAMTS3,-0.02043144283944653,-0.10157200442633023,-0.008850280337288305,-0.022439641987747328,-0.02652547536901359,0.0347474725858584,-0.020699575548754783,0.031135732239097463,-0.032062421690776034
CD34,-0.05193464766328428,-0.0837968416434871,-0.031769270364620114,0.04022460845374147,0.06751857338309851,0.06790834132955528,-0.04308647273390661,-0.023576394254629682,0.10789488939006212
CCL23,,-0.01590178973507535,,,,,,,
PLAT,-0.005918780953990382,-0.1264345769233758,-0.10012792333045487,0.011050223263520573,0.05967499891348943,-0.011147584221875863,0.012487831457818921,0.11682798397736208,-0.08203894000300892
NTF3,,,,-0.017097701301351364,,-0.0072807760624771485,-0.0052626363397137626,,0.13137003266304462
LTA,,,0.061848792947203204,,,,,,
CKLF,-0.03704180045898535,-0.1470653860583803,0.048052150297805435,-0.008763885722959126,-0.08974872688304886,0.06916802796340382,-0.014255394736082255,0.0650600513493045,0.018202462166986084
CD24,0.05337929615704867,-0.024909561977120194,0.08430138832514068,0.04805292937844871,-0.00973990224620823,-0.05464524249509208,0.018055113229756795,0.015889981469394784,-0.02794623963251216
HSP90AA1,0.08508145183575404,0.10729976887912887,0.07560438175058662,-0.03212695251233279,0.05173617066143058,-0.08911356655927884,0.05457758949136776,-0.0036055732918514297,0.032804708875279864
BMP4,-0.03361210730284108,-0.023323722153843627,0.11403599204811908,0.05249780183875634,-0.026348007402440816,0.005889547393527447,0.022401189425685576,0.08253273811929646,0.0024052624093080475
SCGB3A1,-0.01619229197246515,,,-0.014614163732065833,-0.029077890600584556,0.0025984100603731013,-0.017443556224505552,,-0.0008498869934826475
IGFBP4,-0.021336289382087776,-0.05238781670623652,-0.015805496339762037,0.0642613012970321,-0.02019555837920476,0.06217862380686253,-0.06345367782750005,0.05365255179389827,0.059315511340152845
RSPO4,,,0.05108699589353706,-0.014614161594413791,,,,,0.04466456497994469
LEFTY2,-0.0028086768087915407,-0.08793938192268687,-0.028140642960175828,0.055109134908328666,-0.017570551208156697,-0.02359217149658119,-0.005552356648478269,0.03553463835363069,-0.040547943434341024
PF4,,,,,,,-0.01882238266928352,,
ANGPTL2,-0.03371245068386276,-0.04866708820004566,-0.013989661546241509,-0.005010483110061663,-0.033883866313991054,0.02762891824986875,-0.021964657987652677,-0.006324914933901535,-0.09253787076849558
LRIG2,-0.03452932436542565,-0.03818224974600278,-0.013540200165924951,0.029088656181918332,0.022602061182076298,0.008102671728358272,-0.01965221970279127,0.014879865779901096,-0.08004013723544254
ICOSLG,-0.0005527003995354808,-0.0670533291930019,-0.028387391068597806,0.0031197087266893386,-0.0006012629470857345,0.03080439212044015,0.010018828012083402,-0.0036686052302473114,-0.01589772131366858
WIF1,-0.008697164856637428,0.1585022348143851,-0.01295102646203678,-0.006380667223445024,-0.040249149115696777,,,,-0.027716964792727415
NPPC,-0.031064854907148713,0.04212932277218651,-0.02526333761032151,-0.020310108220510582,-0.04362269526509992,0.0427554241646235,0.06122442633580656,0.05079708209271512,0.10398195436780079
LYZ,0.009799870655469656,-0.08582593132848976,-0.024435881448465473,0.05276004822314156,0.01065742845937473,0.08918299589937127,-0.05395299242541299,0.018719445924912387,0.07132167042915752
EREG,,,,,-0.01807496240407745,-0.024818179214348368,-0.04383657907537713,,-0.03713647105965583
SPTAN1,-0.00430858000384801,0.0456941617707691,0.039263580524555496,-0.015150369359189154,0.04791486480329396,-0.030193976921680438,-0.02093982978661384,-0.008696003136387801,0.0035284903680503975
PTH2,,,,,,,,,-0.013775904247753108
LIPC,-0.01967077557814634,-0.03655246979377784,0.04206635087133019,,0.03723244012723417,,,-0.0003908575760537023,
COL8A1,-0.03998113225766123,-0.04901303519113604,-0.0249879250562976,0.026569202442989104,-0.007101371561086279,-0.004451121011102034,0.0008811706240932702,0.01888156408059408,0.05489470765716674
GSTM2,0.1942683776527427,0.01531317445465471,0.009933351714449062,-0.008216556953799395,0.08127279580870565,-0.010005881286419022,0.02676529923040601,-0.002251419482792544,0.050747643649218084
SPX,-0.02387103502237154,0.06723463536912574,0.06077818445470742,0.015619079209741562,-0.015827179917823005,-0.0280210685484232,-0.005016609080206098,-0.01861979238384107,-0.009508486131087516
MFGE8,-0.012678615287803553,-0.07049521108051983,-0.029089707337114343,0.0040542931291095785,0.03349130476371628,-0.09799091393275668,-0.028319826260361117,-0.004342450713729615,-0.054389302620541154
TGFA,-0.002605737058752291,-0.06151031784634222,-0.016257953153144843,-0.010614095698311633,-0.05352008859337379,-0.013785731806967273,0.0744218810757162,-0.022145683391310098,0.07941811724248801
SLIT2,0.1178583496452618,0.07658399091551708,-0.014738344326393588,0.06708820426118742,0.03797720927817853,-0.03704014353057579,-0.0560949791658501,0.0716726926649649,0.07501386793458006
PLTP,-0.05418397500624406,-0.09657668186268298,0.06349257346668429,0.030848681667125934,-0.024730128209427896,0.02899766985069948,0.051391685450070085,0.011682379093157507,0.10350553384379085
APOD,-0.04362775874993393,-0.11548323690504442,0.07491061174677965,0.06906755185264662,-0.009791239242938529,0.05150355819078947,-0.043786991382871746,0.02434600322904099,-0.1036498687859135
B2M,-0.04318618395445259,-0.14693007532009697,0.08933000156132768,0.07428952748882056,-0.015164134692404761,0.05024039430529866,-0.05139612564783572,0.035070918929816376,0.07714631786580971
OMG,0.03731144404493901,0.003495083544096655,0.064099128180773,0.010156023324910961,-0.03165138280189675,0.05860469367294402,-0.03240541618648843,-0.04872242068877956,0.044313328244929825
CXCL3,,0.0030139492338937725,-0.035365497582102265,-0.015634063812948806,-0.025444934287523303,-0.06587538093954502,0.003880955987349009,0.059526804370404966,-0.036250094719737135
CXCL10,-0.017338599356348263,-0.06707457752307945,0.07271920541127246,0.038499749589450995,0.005735209557756914,-0.028698696730126518,0.04239904236501389,0.05156017569976131,-0.04074097423809543
RSPO3,0.02376516111578756,0.04461556859311929,-0.014115432208631857,0.026055331853567638,-0.03881962146396208,-0.02678984122009861,0.01657135637922153,,0.026483485871068232
CORT,0.010716740525918068,0.06408707268719462,0.017652458455348755,0.07308549370868174,-0.030835917484264435,-0.03169011483595668,0.04248241536456432,,0.09523050568662746
NCAN,-0.04230638549864275,-0.04384655137314857,-0.08572162042576352,-0.031104091714211125,-0.0063878843137062475,-0.03397667811591333,-0.018528387565484958,0.039028609119722786,-0.12003017729689643
PRG4,,-0.01987950772198833,0.029819307397762815,,,-0.030439815598502236,-0.01441686970221793,,-0.055527951201907406
ZG16B,,0.08553319429068101,-0.011465951312435031,,,,,,
TGM2,0.008240710517065684,-0.03487052028403993,0.012745593478192782,0.007978720416763478,0.02291589658290646,-0.01332822890266601,-0.026933681794015073,0.02421579073100727,-0.019609976617425046
VEGFC,-0.026003865217904796,0.004581019706549502,-0.030874978034971138,0.053812022683511,-0.020424628815852067,-0.035766572023815855,-0.0064366805843410054,0.056609617393250884,0.04045262788708905
WNT6,0.18745823599357542,-0.019548892735679647,-0.025517065682511435,,,-0.02007416544358224,-0.0027239768807450896,,0.06673296148429599
NRG4,-0.015927419219455792,-0.02476118798914723,-0.022027948974006218,0.016208326383188046,-0.02275424507413776,,,-0.020195856284672745,-0.020846677179407563
PMCH,,,-0.0005627580527845995,,,0.035045513709202,-0.02763547727355497,,-0.0226693192295964
COL9A1,-0.057426070435456694,-0.03227516760865271,-0.011321844928361594,-0.03095737518337992,-0.017824393317523127,0.004262403624818035,0.05977117435583558,0.07449083820157144,0.027018689952587254
GDF11,-0.014110982297326154,-0.09114012866173589,-0.02660929067332809,0.010417141428204692,-0.015926411473988236,-0.03103261121554426,-0.0009613818832520377,-0.01762194555883372,0.05387899513303474
IL24,,,,,,-0.02106143667743332,-0.018522269347273006,,
SORBS1,-0.04819845905937233,0.03517620839910613,-0.01696865311641568,0.05433028076396979,-0.055681195570523596,0.00018182293133129482,-0.0027177189011847727,0.014353073910414006,-0.01404973465121371
DLL1,-0.015085935803118115,-0.0414066338984509,0.0041099640287335934,0.017104154123147454,0.039844186775734314,0.031959035508470304,-0.05540788244060469,0.043740475525904855,0.011810439094871639
TLN1,-0.05865637384599948,-0.12589367378022798,-0.07973052253562511,-0.011219871135224659,-0.0051330391953269515,-0.02122526584028216,0.001848892628953051,-0.002719573106834391,0.02596060737696878
COL2A1,-0.014095400992962363,-0.018349041827178652,,,,-0.046043061572026214,-0.018990765754496385,,-0.005154913539320763
SHH,-0.015385186983053514,-0.014424576401337584,-0.038642351512618085,0.0006985400237878181,,-0.07560115664137855,-0.04351411557135532,-0.038849902672649,0.021426660139992608
PON2,-0.05202652891813114,-0.1295608027486125,-0.03573552533346694,-0.002323457935248472,0.04193609735298781,0.04797129191903126,-0.019267997028082188,-0.07678654422103562,0.01140113570380247
ICAM5,0.06643611522616648,0.021768338788826946,0.004099928047530011,0.0036372679833606503,-0.012527647854168196,-0.051520854484966995,-0.004409502962888017,,0.10450270242754368
HPX,-0.013010633274403322,-0.026720027714109373,-0.022501218815411186,0.06329928367634621,,-0.035111974800014545,-0.039618119363755075,0.14512637570442286,0.0007360691361093124
SFRP2,-0.017813380775332142,-0.014644240976435331,0.05513354446341795,0.046926335983795434,0.013037624605451326,-0.014362381593974677,-0.024984932317078584,0.018600708757036687,0.0397490704363886
