,MGH258,UKF248,UKF251,UKF259,UKF269,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,,,-0.019913156391264994,,0.18315583794290083,
BMP1,-0.012559685044103562,0.018839441545778213,0.007939029337763769,-0.018516361724335094,0.08783174684399336,0.03112170543357804,0.015001227463330774,0.0073693335313923065
NDP,-0.04183952607963975,0.01690188946741481,0.00033881036063176093,-0.04463245877041467,0.0070119297173633485,0.08303637769040809,0.0030318237295203377,-0.01448791543729833
TNFSF18,-0.022158376174676937,0.029201685669740553,-0.02528979954525549,,-0.029570439431691863,,-0.021874336520115577,0.12799511001118474
RTN4,-0.04082105613053116,0.06447245758233608,0.0009422474436568024,0.002005171565643686,-0.17898348315032472,-0.027015499796757117,0.03262480116187004,-0.02444084104836447
HEBP1,0.015105788691198538,0.02879162461108894,0.0007486069563950112,0.03161326895563855,0.02168297207346774,0.049397112366356,0.019709998593374977,0.06308212463408437
WNT7B,-0.019520835390249333,-0.03674641898678701,0.004394332315142966,0.13578394102917768,-0.06380630157000619,-0.015274681029275846,-0.022005675410396674,-0.014706676379252288
PTMA,-0.0024249512688815623,0.01585812587488522,0.0651379942412056,0.01913165826644491,-0.046922243494828646,0.030650064597044252,-0.02856757787593624,-0.009945287052752383
FASLG,-0.019520840908739494,,,,,,-0.017673827774533926,
CEACAM1,-0.02710485844207845,-0.015803933884392458,-0.012055896488437145,0.009863272476368949,0.013750986224772058,0.19428489655919523,-0.00797543718681185,
PDAP1,-0.03164307811800238,0.06547717181690556,-0.0016121993899544842,0.016644020260227,0.12124236644855041,-0.024469359552874426,-0.01797520127293936,0.021011843799243268
QDPR,0.02585672518014681,0.050508183017818,-0.0036870186152391854,-0.04101595253171075,-0.13787115905715125,0.06643641525116165,0.09477338816917899,0.02192431309552907
POMC,-0.03932934359315161,0.06996522554757274,0.00832375801946828,-0.023751664242139484,0.011084998987326403,-0.02640619226197439,-0.03541233387643007,-0.037300749522339485
CCL18,,0.07127710111815011,,,,-0.04926100762858045,,
CCL17,,,,0.024450149339430974,,,-0.016019339760014475,
VEGFD,,-0.019721822531003668,0.0010793390607430806,-0.016470168412261142,0.028282523720488242,-0.05549803155632195,,
TNFSF13,,-0.01488272015146809,,-0.010197152144401426,,,-0.026102177058982094,-0.025665209667461043
WNT5A,-0.025575229566012592,0.003171701685407931,0.013409051083825493,0.005849347055597257,0.12959722362231954,0.1384063329397136,-0.020470949427514346,-0.046415894183349606
CXCL8,,-0.001336471681107608,-0.016168406738585335,0.11935438401061649,0.032057661955675124,0.12049726997177244,0.05512771035862739,-0.015264803691917732
GRN,-0.014634349145674626,-0.024219697835224468,0.032040512719389395,-0.02381343708892705,0.11737113932963694,0.0885043841801621,-0.0511067860903526,-0.003861229107576047
MIA,0.051151883708585574,0.017739276666959777,0.06837500436217074,0.027223913530886205,0.12372936840553653,0.005779584078952116,0.11848825456992401,-0.03642709404503317
COL4A4,-0.02260751237411515,0.03769986142232391,0.050321894244302855,0.013476169979788722,-0.0196229375662304,,-0.029020764706930643,0.04262150501173475
TAC1,-0.01952083028825316,-0.010997294383157505,-0.0225519247203504,-0.02190670375757823,-0.08257062581659197,,-0.0014994227248060097,-0.056022934666613455
RARRES2,-0.049087981423023334,-0.0670415434223441,-0.003926508911796352,-0.01687602898444355,0.14514845059676024,0.11768913481423622,-0.06065972424694564,-0.00015999534366247686
FGF7,-0.01460016065413543,,0.04788377033700417,-0.014915458051572688,0.039245207526700965,0.06635336322117528,0.0644469017247675,0.027708166750736802
HBEGF,0.05514166387196102,-0.019814818392128564,-0.001161974797220499,-0.005133370736773407,0.043382293266919406,-0.024980394385871567,-0.04092488294025055,0.005395310923981404
CSF3,,,,0.032436222565575136,-0.02076069025042468,,-0.016865893492455677,-0.030173083396857477
