,UKF251,UKF259,UKF266,UKF334,ZH1019inf
BMP1,0.04443242352123331,-0.0032268848406015326,0.02303740594325618,0.07329529682624913,0.07246679643745595
NDP,0.059051642669463084,0.011858172264228903,-0.023718239967369163,0.031951115482932106,-0.060746208574839346
TNFSF18,-0.037000320233290085,,0.13514576137805712,,
IL36G,,,,0.02164370838827771,
RTN4,-0.027639995276313317,-0.04645008299934956,0.05642879460476521,-0.039400062899996834,0.011740381181933662
HEBP1,-0.04716485160108693,-0.011440656045486485,-0.042145019170977925,0.05517037117502514,0.00042024597730141473
WNT7B,0.006212711970647544,-0.028867303561951038,-0.01645280415371518,0.025466259668094713,-0.0063321276301452015
PTMA,0.00532338725402572,0.0014288840028893238,-0.08023512984646641,0.0069213871131003695,-0.03832630537164086
CEACAM1,-0.017638417021587565,-0.024189418288682218,,,0.07382127472905632
PDAP1,0.03169836510010857,-0.05146906988385461,-0.011509463317244914,0.04622737663335365,-0.03332268680227735
QDPR,-0.018510962727789574,0.01975693114890015,0.07473321095139944,-0.04223394915660743,-0.06103007648946303
POMC,0.062375651722182124,0.006963689773184434,-0.006103674473306126,0.041320449873429664,-0.01864323836655684
CCL18,,,,,-0.01937285827631332
CCL17,,-0.01932048539992305,,-0.012665770685654745,
VEGFD,-0.02526349359899785,0.031166719778935856,,-0.02780853228104368,
TNFSF13,,0.008548706802918592,-0.016185192214994662,,
WNT5A,-0.015387041891388396,-0.011421716375682707,-0.03843177806330517,0.05591596233896049,0.021568863987458272
CXCL8,0.030947012650920272,0.008725039684307991,0.008844497535800955,0.02696378506657004,-0.03410896712089341
GRN,0.02996808031476712,-0.009864403895054236,-0.0437067037842995,-0.027879908236782897,0.03197208531968239
MIA,-0.0224675844595104,-0.012702048401727027,-0.015898262942659197,-0.038085059356077935,-0.0057834914821351165
COL4A4,-0.020628373537367302,0.038343352944699816,-0.015399495324044653,0.029489873746534452,-0.024493345974206406
TAC1,-0.026955219418725994,0.01383448577163409,0.07635749570834721,-0.02472691069040848,
RARRES2,0.005554481751132679,0.024057260203756075,-0.0712397027704572,0.05977496515229663,0.019327119526957533
FGF7,-0.005866578890785162,-0.017429261691129766,-0.006800378556460952,0.029013043036450827,-0.009967363920125505
HBEGF,0.04574229915328777,-0.006120205918026078,0.0027105844361430685,0.011237925884806611,0.07341733228917251
CSF3,,0.002066228596270784,,,
PI3,,0.017764315155146582,,,
PCSK1N,-0.01576554283107872,0.02721296577530232,-0.012604853038129003,-0.056042129106104,0.008466664548805888
NTS,,,-0.01879928489938754,,
SFRP1,0.041148642197372756,0.01800460007166151,-0.012154956782796128,0.044725311523939375,-0.017301783166698725
CXCL13,-0.04265120561470555,,,,
MICA,-0.04659043252692518,0.028683014695940524,-0.039902098826349916,0.03228603601901497,-0.08941485369727042
TG,0.0033076861206794133,0.04390873861841096,-0.004387296333623946,0.0740701306661597,-0.03154354260657237
ADA,-0.042728327247225265,0.005468673668476156,0.024451041563286213,0.04205865513347896,-0.03275726223337302
LAMC3,0.005976996162260101,-0.04333222995169142,-0.007833269393589097,-0.047421564908334136,0.10710269341672513
CCL7,,-0.01315301318675783,,,
NGF,,-0.020461338829802944,-0.02070698144111124,,0.06786376211491467
TNFSF15,,0.005058458563589162,-0.02514281512436381,,-0.029074749321144313
HMGB1,-0.0029543811324408867,-0.05012704553045635,-0.05954079488063579,-0.00140772049760368,0.021850094960957685
ITGB3BP,-0.0009123537111265456,0.015029863948996363,-0.034398228358899,0.06559455307635809,0.05543848378703585
AANAT,,-0.013326839845983528,,-0.014077039182665736,-0.02017764396897217
RELN,-0.005882483632785413,-0.023132409492923146,0.006602136756855845,-0.01019347985799921,
IL15,-0.019862681691013743,-0.03917390936370354,-0.01789060768407236,-0.010617902032572466,-0.013940851622957226
BSG,-0.06699837801390764,0.06709073939887014,0.017739977841372292,0.010023355565126364,0.004990964425292589
ADAMTS3,0.013547103836734575,-0.010763608326797893,0.07834890927307984,0.02339281070651529,-0.024160674483538976
CD34,-0.013415478850742126,0.02268980962493526,-0.018782593560418264,0.01140219287800668,0.0923435502845558
PLAT,-0.017391490569249896,0.0229494693095213,-0.012746851394874487,0.03624324718538735,0.050842691982504316
LTA,0.05461576320158885,0.034681187226898245,,-0.01115879598699017,
CKLF,0.018632232284349817,-0.07135796681735179,-0.07474099594549914,0.05579579765431962,-0.015911562417219024
CD24,0.023508963513651344,0.03494783182589634,0.00027622117924445933,-0.022333051746923967,-0.09805008592115001
HSP90AA1,0.0319867187691887,-0.03072841685991883,0.06073270933568822,-0.08727997641044144,0.04645788763862372
BMP4,-0.018697757925713716,-0.0315445358895741,-0.05260982422190954,0.03674386959417113,-0.0496388094019934
SCGB3A1,,,-0.022837677127616397,-0.022525117212004994,
IGFBP4,0.005540390262377569,-0.038729063507626005,-0.033643227868963003,-0.0030290237378105163,0.02373662137662261
RSPO4,0.02806760112263566,-0.025803922819543208,,0.040555854900247726,
LEFTY2,-0.017855045451241412,0.0022114061808308164,0.01970626558698401,0.005751681891559487,-0.02578531894039118
PF4,-0.01604453923920046,-0.011475744875635106,,,
ANGPTL2,0.027140467474982687,0.003378336502003845,-0.04623109870767259,0.09490172951770351,0.029618329495468346
LRIG2,0.06921235545946393,-0.0010200138035189178,-0.042449847124646604,0.0560947713127136,-0.03842754931974605
ICOSLG,0.06542216376568481,-0.03204905668034383,0.04066862080544226,0.008502060988790971,0.09492960255792443
WIF1,,,0.0704120078844467,-0.04611639419796316,
NPPC,,0.04819065597240669,0.03926122851020767,0.00591058828582914,0.005461744582165682
LYZ,0.012165460999790116,0.1073273842634972,0.02301663115715854,-0.004955002728942275,-0.02355935442256125
SPTAN1,-0.03785488626432036,-0.026325421670520145,-0.015034516210748874,0.027218715677555346,0.006048681250948707
LIPC,0.02910168232750668,-0.020622768224614913,0.00011915684397197324,0.03404251923327185,-0.03449570503278658
COL8A1,-0.006888014743300453,-0.002925756695575133,-0.004086422454117067,0.020859288114719713,-0.05086450549735081
