,MGH258,UKF248,UKF266,UKF269,UKF296,UKF304,ZH1019inf,ZH8812bulk
IGFL3,,,,-0.012238776841440578,,,,0.04734341517899443
BMP1,-0.00470676114800599,0.015293745737256184,-0.012886717101191596,-0.02171352939419582,0.03420418617680701,-0.006493843502532341,0.04607364418103882,-0.017456761340826774
NDP,0.07228684807670117,0.016027749396445103,0.03253581039273698,0.025080102197019234,0.00902597257686079,-0.0009564783249640417,-0.008086499810004767,-0.05974068579798592
TNFSF18,0.08941805368620448,-0.007826931291189842,-0.013463318374752075,0.06600575272446098,,,,-0.01609853884721083
RTN4,-0.07269960231021845,0.035522155659825215,-0.0686844069480512,0.012042291748535687,-0.016267897747868656,0.03423998099967312,0.01050529945373899,0.061823136826833935
HEBP1,0.028076049274438093,-0.01584818985658791,-0.03626696837500442,-0.0013159425680172611,0.025741544851910995,0.03343967001921301,0.054757285440837286,-0.07213661956397363
WNT7B,-0.015439742256936576,-0.04180329565422725,0.060138456664555084,-0.034471440900342404,0.006414284170251033,,-0.03093602627052985,0.07626045817012711
PTMA,0.04466247121543421,0.0073618517572543105,0.04691831087540964,-0.020712286049557455,0.02268729675504398,-0.017536768772178246,-0.043528606587881026,0.11215685292712163
FASLG,-0.01543974662171216,,,,,,,
CEACAM1,-0.02143822330808033,-0.029163043764255894,,0.04363734414656778,,,0.07359041464871226,-0.023131919613237985
PDAP1,-0.007994872755610376,0.03620963126225074,0.11096156290826822,0.02789736582532403,0.030900124512900223,0.04931068840615217,0.0675347195513935,-0.0020179538391409575
QDPR,0.05540391293821894,0.02674919209484736,0.0175875047498519,-0.01754057101127873,-0.006029245246275649,-0.026861841044362098,-0.031246850961281433,0.02285202463971709
POMC,0.0008451373515283806,0.002149547819479585,0.06262854001249775,-0.0308293507391534,0.0019011980315970934,0.030292910594420137,-0.002407578543787713,-0.03971483705038726
CCL18,,-0.03639272317597203,,,,-0.028652477266127886,-0.019670898179479982,
CCL17,,,,,0.01634879249875411,,,-0.020581166311027296
VEGFD,,0.010993435310926952,,-0.020503234184987715,-0.012596570142083935,0.1293413526092686,,-0.021706778095171724
TNFSF13,,-0.027463125465050756,0.09866337628487336,,,,,-0.02207063924813476
WNT5A,-0.011874082629727018,-0.03966148192076956,0.039739878484995994,-0.0299581584913603,-0.04470659424364853,-0.04218896735426747,0.03839306486143422,-0.0007992447627549218
CXCL8,,-0.005392651028127683,0.04209254919359299,-0.029188040708390484,-0.011730473833387343,-0.03483889061432473,-0.034633713294784305,-0.02922076978399399
GRN,-0.03490973201535077,0.0005652869955154233,0.03248072843699318,0.005169474676747878,-0.0001623200283926134,-0.03859048967090943,0.04039352260227944,-0.08797257459648715
MIA,-0.02020929661642755,-0.00976085927236895,-0.023608869385767377,0.03615837855411487,0.005290816173821972,,0.06680644485305079,0.034327142381386164
COL4A4,0.0075120684465469585,-0.018005979714087017,-0.0124227877748761,-0.012060406151983153,0.07301608062971701,,-0.024870161535351838,-0.015325853580804656
TAC1,0.014975985453973984,-0.006125740467886379,-0.0020925378599034187,-0.002612542135531272,-0.045660598589029634,0.02036468795030394,,
RARRES2,-0.01251867827111674,-0.05984660434522177,0.03088272602388463,-0.028958000487061073,0.013059329547069398,-0.0035337558234951453,0.006495226251821532,-0.053212780801290195
FGF7,0.02024100631911672,,0.08231426966529637,-0.022855356464707065,0.00329211454037055,-0.006017803476267241,-0.038305107126915774,0.031043109247056163
HBEGF,0.02781775776283393,-0.008885959175859274,0.027876359524695304,-0.007100519536017754,0.011163775724682525,-0.020973772101001938,0.009777039656649797,-0.00570878257762084
CSF3,,,,-0.012759677574805497,,,,
PI3,,-0.03828667916217187,,-0.014367565358746235,,,,-0.017487057493608304
PCSK1N,-0.038311301584983304,0.020647176391894853,-0.02730476724886325,-0.012238532390871611,0.009890224200184457,0.009190260391174978,-0.0014674322580665675,-0.055921753434798674
NTS,,,-0.015165401314150702,-0.015683178618465788,0.006684258025289931,-0.007077743529836086,,
SFRP1,-0.022465209116898772,-0.011508535260630727,-0.02939798887221941,-0.03538121127812681,0.015644753949376946,0.022116463058079256,0.0003687894992903637,0.03522222960550443
MICA,-0.005449062655268467,0.04509709436584442,0.004318835445484349,0.04730491470372419,0.01783227061084886,0.11619076120824785,0.014943824688365543,-0.011981791256971422
TG,0.007512066753673411,-0.00445688449338632,0.003662020721764219,-0.015399789250271242,0.07989988525391845,,0.16843688783366553,
ADA,0.019391699929763306,-0.024868455249925744,-0.03419748481525592,-0.013666009398523594,-0.0201840599749271,0.04057225139183184,-0.03256004823108415,-0.05663606150550838
LAMC3,0.0850542667051907,0.06256580965379424,0.006835118859294633,0.033570895888868885,-0.013031812770993129,-0.012263444070678836,0.023948342447860066,-0.07599294820980722
CCL7,,0.006980967689263126,,,,,,
NGF,,-0.039745419573746214,0.02927521213730458,,,-0.027202180086250475,0.01836183605642576,
TNFSF15,,,0.016118699945831146,,,,-0.00547409024328985,
HMGB1,-0.028836614397791824,-0.0042410121226147185,0.048027392752220115,-0.04081936098594942,-0.03240942675645022,-0.06218223012801214,0.004256658116348699,0.020897179754230406
ITGB3BP,-0.06359365638452992,0.014310411869173617,0.07084170572793433,-0.015685018835720557,-0.06914418911699383,0.04445188396098546,0.06927631352213127,-0.05288827052630303
AANAT,,-0.0025941341323787327,,-0.011509574473855524,0.12245708568021249,-0.025574049802238475,-0.020488065021398733,-0.02545824244015713
RELN,-0.014823909184289132,-0.0025151563612053826,0.0034792616208515017,-0.00765585459213387,-0.03617431702351331,-0.02257191952837013,,0.0005626825447967195
IL15,0.04912524153324049,0.023040813976822633,0.011240556282533103,-0.01677891759764404,-0.02054765907091176,0.029980157986593398,0.1044037775965103,-0.031703619005340127
UTS2,,,,0.004521949164742963,,,,
BSG,-0.005789474287012307,-0.02843349400060968,-0.01172467179803958,-0.019933283860528252,0.04076713574561239,-0.020303344866798155,0.006906921641403992,0.01003076538506833
ADAMTS3,-0.003330745822438714,0.007247418104175035,0.04107101290844069,0.06043861792700397,0.056069361617188174,-0.04106591474070242,-0.024532372091646684,0.01681506092935136
CD34,0.014280989617625665,0.041548848193445176,-0.014373887893317335,0.044075289588151406,0.040575198166951376,0.009239856740878039,-0.00307650473533364,-0.06453665024048374
CCL23,,,,-0.013096068726553067,,,,
PLAT,0.03776389665079019,0.06744518160208912,0.018182808975536643,0.006367737833806569,0.0489694535749731,0.02637033575192353,-0.007935140407667277,-0.003099803757337134
NTF3,,,,,0.026582700139182666,,,
CKLF,0.02306723842883445,0.045308852363825175,0.0009187489349040544,-0.03502816654351776,0.04226036229130253,0.006385978149562159,0.05765949192653748,0.029797582766018738
CD24,0.12314846167600157,0.05399529550578956,0.04564609639924871,-0.036696889260039445,-0.027847683303432225,-0.016210254047961455,-0.04499636052922115,-0.005527080025351409
HSP90AA1,-0.014400773297683845,-0.0034338567442391784,-0.05257646755093455,-0.01664269434035664,0.008671053173696007,0.011707827652123321,-0.006167582601065288,0.04818411664750082
BMP4,0.006610965690139005,-0.03602272499758972,0.007349953113913832,0.11201479558784605,-0.0065068875813173,-0.040791164362694234,0.07784853186448236,-0.03310032762609254
SCGB3A1,,-0.02314884400098883,-0.018423176231271786,,-0.012084076007672005,-0.045017484498619316,,
IGFBP4,-0.009404397418102731,0.03879633781044065,0.03649928062326136,0.023759465290885493,-0.014669092068386876,-0.02210486156488894,-0.035015989296921186,-0.07321651792922321
RSPO4,,,,,-0.01208407424010253,,,
LEFTY2,0.008630700728912184,0.053201101576478935,-0.023453360974368804,-0.020277020365361453,-0.013250335195747604,-0.027202180086250475,-0.026182010737259995,-0.08529996444494127
PF4,,0.04991441480207068,,,,,,
ANGPTL2,0.0022325740933609294,0.0655392716017655,0.018024860900957795,-0.01672638114445907,-0.029096536003650045,0.024239095226023733,0.002459663565666328,0.055907185274658815
LRIG2,0.020185918546169544,0.06753618018121241,-0.006210658196607773,-0.021061468860435483,-0.027699151651425006,0.003633241924526867,0.012565778526145762,0.03375764972736571
ICOSLG,-0.02963749357705734,-0.01929371994188313,-0.02128629545277382,0.0660470948205746,-0.022933316304706842,-0.046452365719258815,0.05894943999790142,0.008335055105303973
WIF1,,-0.043207873224007314,-0.05307521167913134,-0.012485618681888277,-0.010116020994591635,-0.052229043100588214,,
NPPC,0.019337638134455,-0.03305713897055025,-0.023917239103544884,-0.03098907381914582,-0.016793905964128716,-0.04042726539503305,-0.024532324975757042,-0.024152447469984534
LYZ,0.04198924917389262,0.043697954820742756,0.029527776361915475,0.011195148576859297,-0.026478578791415953,-0.03956497848899099,-0.07461059448587912,-0.014979919345748924
EREG,,,,,,-0.00905127775546126,,
SPTAN1,-0.010268044624513792,-0.04736240229401592,-0.073976725196396,-0.01597952808783991,0.01858790842077531,0.007018599073000696,0.06180457663439671,-0.03848907771480439
LIPC,0.036834028282003134,-0.029398480441972477,-0.005997181856170164,0.0754861047786287,,-0.02775276208761181,-0.021110154180932043,-0.029645910928271985
COL8A1,0.016224698921523197,-0.03903541694203819,0.007178434587870296,-0.030732319892590523,-0.0010785298598777618,-0.008706798552303633,0.10182634720789814,-0.06875886189268766
GSTM2,0.004852335448657767,-0.008595315788939378,-0.012204512635715366,-0.04216287040526996,-0.018762225220455356,-0.021024777025278153,-0.03779789660744128,0.048445708181308084
SPX,-0.035725413217903554,0.049766869875177006,0.015431652522611335,-0.007883966673772011,0.051919979778309665,-0.002500818603803001,-0.0038556751857146236,0.02234914024478514
MFGE8,0.020302390717167527,-0.004880179719613318,0.01590999881220791,-0.04413928791437821,0.022557499402498817,-0.011605388060609007,0.024381514874350706,-0.002014413583914841
TGFA,-0.02200358890392925,0.045164979204851956,0.05288318676566348,-0.009883400910322436,-0.018597148527338625,0.02451629714428793,0.08105897890845161,0.02368771736830576
SLIT2,-0.018402248845541258,0.08222383092704745,0.010111902556373915,0.013450304316219823,-0.009753140472435834,0.0103058674958003,-0.027743889974300325,0.05492410889454038
PLTP,-0.059930178700961435,-0.004278101917557987,0.023590370793658395,0.049871808591901934,-0.0009461057282119462,-0.025209915847311196,-0.01847207630078523,-0.0011669596664717113
APOD,-0.01799316832027594,0.002837868878422681,-0.03429372945308786,-0.017528464372059523,0.026709681244612475,0.006596414748256048,-0.004379604207910292,0.10054103425512978
