,UKF243,UKF248,UKF259,UKF266,UKF269,UKF275,UKF304,UKF313,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,,,-0.024126902489926473,,,,,0.03957569688146898,
BMP1,0.02200226454799514,-0.03714323692577651,0.01889961342439847,0.040900744411881455,0.15673542844739344,-0.017539884157229096,0.017538300963046094,-0.016637953506137258,0.07051252673246534,-0.008276062984539255,0.029942586519973714
NDP,0.11634559512903601,0.023743044717088463,-0.03742293701383529,-0.0029509478000403285,0.03224776841639939,0.0015694680953703235,-0.045635575350359774,-0.015213578858413731,0.07230040033652473,0.06275238140442384,0.0258158796243508
TNFSF18,-0.022596686962750606,-0.02377154685635402,,-0.0003624449998081543,0.10526619095499579,-0.018341876341015174,,,,-0.013771797406405665,-0.0015176165779091089
RTN4,-0.06242033887465991,0.009803367599253439,0.01256174967695588,-0.015144630215298105,-0.14668825122346116,-0.06583794858527534,0.06945678120752248,0.04622081178026479,0.009337333660975089,0.01844962129953139,-0.05317751762755262
HEBP1,-0.006821597339847033,-0.007246851040062033,0.012918628467592584,0.03285654847821687,0.06859868977153381,0.007786496510217369,-0.00761992168513114,-0.0011389674098060056,0.12115939869293917,0.02246507254256778,0.09056999758260227
WNT7B,-0.04116776574106107,0.016856773087494118,-0.04698301312613757,-0.01591840867184714,-0.011242452657691667,0.023389868343477564,,-0.00520231572172924,-0.057311878389161464,0.009009664340178417,-0.002328563915452927
PTMA,-0.12032008201852092,0.03371984272947481,-0.013057433140615488,-0.02652635375405036,-0.09137018365760392,-0.006320574228539177,-0.05549879938311241,0.009413963825538574,-0.03255503860030969,-0.025952965522500645,-0.041403139356519604
FASLG,,,,,,,,,,0.014159618798436005,
CEACAM1,,0.009232081870501209,0.008171798091575259,,0.007508947485163794,-0.01858770435130357,,,-0.04315728162801352,0.034640160645798695,
PDAP1,0.09659355297075728,-0.04540881712436407,-0.004229435764323828,-0.0176348881746189,0.08693477110283516,0.029341950156438965,0.031922921660455524,0.002698951412824893,0.10327296249021145,0.06095541774811488,-0.017716447898015162
QDPR,-0.022449558291833236,0.03168250930512009,0.0028552627898345943,0.057894352084804854,-0.15299599601941072,-0.013328551806217358,-0.028568211771497883,0.006549942066902528,0.04914222053752402,0.00847129386513641,0.06945410761228217
POMC,-0.04266631607188505,0.006881833024420654,0.08998728327973209,-0.020852548004094917,-0.014248166635202517,-0.008421997764577149,0.03461367967377206,-0.02259548195155445,0.05243746170006836,0.06024691935179307,-0.00770188077389851
CCL18,-0.030304015212157063,-0.02701086600262848,,,,,-0.02830498858040077,-0.02813920221765248,-0.03700511273889262,,
CCL17,,,-0.035357822560594866,,,0.0011298493918314367,,,,-0.020398995601991408,
VEGFD,0.10088578422324619,0.07862178710990082,-0.008531815274352527,,0.04183977330217372,-0.024372326832144856,-0.020426077168516164,-0.015266420993872926,-0.041690395982415585,,
TNFSF13,,0.04908827874575236,-0.0009304910376779076,-0.018718601952730646,,,,,,0.06885537988636176,0.09639978253699236
WNT5A,-0.014677895187876473,-0.01981884170127665,-0.0320930866320225,0.03550631913423064,0.06931364022081159,0.01818884226373917,0.02784218219434073,-0.0182927500202565,-0.008192197217347508,0.09293289316315057,0.015804601944003002
CXCL8,-0.09419651730846366,-0.06047004349773169,-0.000362163493546983,-0.0266259972050428,0.00813857089254162,0.02996906277697954,-0.04654419999412615,-0.035329867740101065,9.643682757792871e-05,0.03557633461976029,0.01780224606371902
GRN,0.058451682857304246,-0.03138355882208793,0.013372019113937978,0.019806237034941512,0.13939428491953665,-0.009503520289817788,-0.029264522548299178,-0.006436784385991213,-0.07190757219207809,-0.015163643401628442,-0.04325412662338658
MIA,0.02624984657871223,0.018626105312243974,0.023563169997559235,0.04405565943688604,0.02200681640827876,0.0613995242854913,,-0.02070400952479019,-0.012675986846402648,0.02364948372349697,0.07391929773064043
COL4A4,-0.034371661036051916,-0.03243983061219093,0.03560373052591885,0.0030225628484887536,0.04164944269027588,0.055898412535740474,,,,-0.00895705906735289,0.013947578062825589
TAC1,-0.013076489875557186,0.10518115023283503,0.009409609275947193,0.0029545411181038455,-0.10855037650769767,-0.010191856078051089,-0.014628293314050852,,,0.005889219338327376,-0.03297166689599634
RARRES2,0.0033265011040896726,0.03747700889275561,0.045103366033217226,-0.011370307373773479,0.14490773335279045,0.01680581434278834,-0.03088860344613436,0.05834879576290427,0.09588811826921849,0.03068727465915699,0.016001783589204878
FGF7,-0.022864862630911403,,0.044374473033078,0.03319326925132418,0.037937821573811516,-0.04337656677428129,0.018094001992464963,-0.02107032598711589,0.11354385684048952,0.028952926315968668,0.017978000061337998
HBEGF,0.03280753769388457,-0.006456070042437598,-0.009994857363866131,0.0400346792510288,0.10167334474611144,0.013949034717315748,0.04151693788977789,-0.039291883801850384,0.11705503523227875,-0.01307152465398671,-0.028235873737597648
CSF3,-0.0343716338239052,,-0.0005880402885948009,,-0.025153779714966823,,,-0.02293514483847705,,-0.021476995452398593,-0.005348445796444552
PI3,-0.04071832579624987,-0.028416569860258353,-0.006337591460610895,,-0.028323487953009666,,,,-0.05923551149142605,-0.03769664816414404,-0.05063888161798954
PCSK1N,0.0009208695194727424,0.03574213453350491,-0.032065658992266134,0.03418366676665646,0.004787665019459985,0.05823231355099991,0.07135159308921718,0.011101939188873387,0.0807801053715741,0.027053588825954558,-0.02741802845000446
NTS,,,,-0.02174186913279926,-0.03091702105218592,-0.01682649758332528,-0.018390030861137496,,,-0.03180450163575449,
SFRP1,-0.02931201645828541,-0.03519628742257101,0.028207031500690108,-0.026291288670905417,0.008177235460255396,-0.012721753994805301,-0.044127805146441844,0.08404385626680601,0.021018205187365135,0.026368305875823953,0.012952288726226974
CXCL13,,,,,,,,0.03879777665858265,,,-0.034065643627695
MICA,-0.03559118347042965,-0.056809989934772515,-0.010246932173359926,-0.04614783038022827,0.05620443510057489,0.03663025123718735,0.005999594109722161,-0.012025687844941065,0.0045621881662958755,-0.03589177103279001,-0.033365648357712385
TG,-0.00605611183797322,0.04601115991253897,0.005410484088862129,0.05063752007356356,0.09000820259573394,-0.023046594328639463,,0.03050790359051498,0.02100555312140532,-0.030977396172379042,-0.03754051556534868
ADA,-0.04051964799058634,-0.038411288403626155,-0.002880024601533502,0.022551913584683995,0.09571343975611511,-0.03114988641339284,-0.03336880020146282,-0.014928261983082959,0.008329692029469593,0.05280630156736709,0.027042176493945566
LAMC3,-0.02827374228897425,-0.015943885058542214,-0.012140301566924971,0.06354533453750758,0.12942438482557603,0.029350565585228923,-0.016380632797673163,-0.0016892567843878588,-0.037356013194875116,-0.0026320912936248957,-0.023412279534676363
CCL7,,-0.01718119259526838,-0.02407092248295169,,,,,,,-0.02250580936821161,-0.012854540966001927
NGF,-0.019802475311148135,-0.029499254483751118,0.014667055165904955,0.024619730410022175,,,-0.01839004296975266,-0.009881641554522667,,-0.006443181433400922,-0.026183768153199276
TNFSF15,-0.02449813337626261,,0.008806621563295227,-0.029078329255060834,,,,-0.014605551038217602,,0.1203255722599654,-0.0012488064992990846
HMGB1,-0.013286553789303494,0.017966575388341635,-0.03520961948960861,-0.02870975333715266,0.1301221425116267,-0.032028919178172945,-0.0642370487419996,0.024046406804655685,-0.0031790883825132408,-0.03445712064352201,0.042379823502586546
ITGB3BP,0.01466499332588456,-0.017626217698225456,-0.08313300434099125,-0.017323056773656097,0.08833339394612258,0.039924436677605216,-0.0441322158574025,0.037460398671974454,-0.1195502503308342,0.09261785627586282,-0.005827465594187404
AANAT,-0.01880699208141705,0.05802405858754002,-0.02438903727385791,,0.05011143599176643,0.07026117178055204,-0.01728934494524137,,-0.05039587734656535,0.030604924812630184,-0.005494594863749253
RELN,0.09232866560836528,0.02390729356892803,-0.0004033493461422537,0.07738559689003681,-0.024070170844664174,0.02433469356172636,-0.016978814371557252,,,,-0.006356086183224057
IL15,-0.03482367372192641,0.01392296784516025,-0.03679431276974741,-0.020690959951674893,0.13422259193938382,-0.02670425939568368,-0.005709333456911018,0.013003413761555583,-0.05808648638601674,0.006199698190393931,-0.01784388122889211
UTS2,,,,,0.048765054904122924,,,,-0.008339674695441172,,
BSG,0.07989798563025624,0.024338923824080778,0.014205536009928767,0.02402835747497218,0.022451607237733057,0.0329510987286133,0.009593429688883775,0.0264635155442318,-0.0699617786628088,0.04457593708612172,0.05212445754045018
ADAMTS3,-0.05564446428015932,-0.030717557719639337,0.04966259567836548,-0.03332715084796436,0.11700166146805602,0.0015653638388759199,0.01363508899821457,-0.02865542831746087,0.06514074096663282,0.04934919341871857,-0.013787525098072727
CD34,0.007883838105265498,-0.03536134232923115,-0.01959988891022192,0.011793308100078587,0.06458416945620662,0.011680583423007762,0.0059831525885267614,-0.029027651231181586,-0.0005887314238515179,0.0012342599429101427,-0.03703145567358697
CCL23,,,,,0.033160289211924855,,,,,,
PLAT,0.025668640518050297,-0.009956846111042464,0.01535678565398073,0.004444449485593742,0.11061827263589286,0.03279705342300142,-0.025268341760959268,-0.018633102088271444,0.06546700557320961,0.03959055522192001,0.04091355305216177
NTF3,,,,,,,,-0.031110689954971356,,,
LTA,,,-0.011294131120822603,,,-0.019961237277212315,,,,0.06121570020059812,
CKLF,-0.050615547344895935,-0.047141211033512966,-0.03592623133349924,-0.01811570219657895,0.12389861175110728,0.028568498412899285,0.0291789316288417,0.09969344066896893,0.05191277773806317,0.04165462414572903,0.003981682594632549
APELA,,,,,,,,-0.02692455056472247,,,
CD24,0.01965958250666299,-0.021986988526561772,-0.007828801506003258,0.0020728125573230382,-0.013303325590734223,-0.05077571120864617,0.03694545055388708,0.02032520576161301,-0.009801831186696043,0.03974802650264085,0.02480347869751722
HSP90AA1,-0.015886067826029318,0.02392568338184608,0.015496336953591507,0.014468633296682371,-0.1327432911735389,0.016438944570100728,0.08605184264898606,-0.05016763278878003,-0.014012868953244518,-0.08839906668649651,-0.01814611924270868
BMP4,4.2139752052237194e-05,-0.03525527441217848,-0.06771563781583083,0.045088262001730425,0.02607105659286446,-0.006813617428142907,-0.027576880347004225,-0.03588148151322678,-0.03808819640197128,-0.017546940208109065,-0.0467707746757595
SCGB3A1,,-0.01718119087717208,,0.01553316651500562,,,0.0395251503866559,0.048296582164070984,0.17187741050155786,0.08953510024778114,-0.009758872934093247
IGFBP4,-0.0037272980020914732,-0.043524493200735634,-0.001081069260983542,0.0047589076194291926,0.11843369792999281,0.034004263242116806,-0.04959494801796207,-0.04800296942995214,-0.031267269650123976,0.009178712546094921,-0.06950666448509414
RSPO4,-0.024190753817090516,,-0.0006905803407718296,,,0.036630240417433756,,,,0.016166726568202193,-0.01590242679371161
LEFTY2,0.020480877273799353,-0.030859839854010192,-0.003667584412441368,0.0090882076077467,0.16763066929052473,-0.04659923778020379,-0.01839004296975266,-0.016514348465265425,0.06843480317319238,-0.026257166438796716,-0.09920640156728748
PF4,,-0.01782272755051294,-0.006419968726361303,,,,,,,-0.032047470228586186,-0.0058869214534076775
ANGPTL2,0.02118824176083552,-0.021320346085860892,-0.009602630319905674,0.008548951335659666,0.0887193437282207,-0.012226124549311332,-0.002394285843113801,0.02846142435696689,0.07755449144621501,0.027946126972600575,0.015252878753756423
LRIG2,0.08568200509119772,-0.010612406738192503,-0.007375868270774818,0.044044112636774116,0.10855492439431766,-0.03027396935379567,0.027750858283947834,-0.005967718535754809,-0.022288694124319088,0.056212449313975704,-0.00739103617558648
ICOSLG,-0.046505632057413496,0.013739252128610829,0.01265455946962606,-0.03681720078703397,0.06357119897254351,0.006017616842873471,0.0604856353999754,-0.019678252334231153,0.0441902383782547,0.03778293457312056,-0.02614222165141996
WIF1,-0.05629575038649036,0.06588490327494737,,0.016217766500972765,-0.0722572965947309,-0.002047624697740484,0.0592309594164451,,,,-0.02343019309021261
NPPC,0.0340871539456328,0.07667534611967647,-0.03257835923065074,0.05573221270838059,-0.029487939171251896,-0.034947137623003936,-0.04565726088372235,,-0.05208297490141007,,-0.02602648858737951
LYZ,-0.0007071525888710757,0.02452372547775255,-0.009627203634602354,0.02455072004679444,0.058796749211735146,0.0060946434941140225,-0.09604038398811449,0.010948346824774358,0.031608608189437046,0.00033453444625584374,-0.0381823757409812
EREG,,,,,,,-0.018917979939829084,0.0004407983046583493,,0.03969813800316563,0.07558822585573134
SPTAN1,0.09491763255350218,0.029566328871359873,0.007804223972490197,0.001868656807964719,-0.023368768804581847,-0.019652884011870167,0.06021618677246231,0.03354273761783672,-0.01932109277945227,0.012842406756884127,-0.04292413193957477
LIPC,0.05735582751223781,-0.021819703132941033,-0.03774109006583821,0.014817229667457143,0.03592995545753386,-0.01646224970566156,-0.033881757270025986,0.10729156170026463,-0.03754997720991564,0.05370996078759869,0.036283473949427596
COL8A1,-0.00934639319702588,-0.06707325928946735,-0.0074067610407231406,0.003157143598397702,0.02650463757566715,0.05661153304440729,-0.06868509623809298,0.029967161628995643,-0.03553886582751094,0.006991009646254267,-0.04509379206388268
GSTM2,-0.007498964150098417,0.05113104145269237,-0.004867919875516795,0.02613287247629094,-0.028762740550566827,-0.03473964600485815,0.004509250960539432,-0.03540098683896489,0.0296685526460171,-0.0497539726555398,0.01283629995308651
IL4,,,,,,,,,0.34304692799418196,,
SPX,-0.014868735174943123,0.04505322364800408,-0.006888299221379897,-0.012473795234985924,-0.06306989571900301,0.004156215741298618,-0.005693689319903636,,,0.013598361394144571,0.07815091172808182
MFGE8,-0.11805779663439182,-0.030039500128498858,-0.035123291780917436,0.0696297528698504,0.04261724764234205,-0.01963978071789338,-0.022099643658575332,0.0028575558057589733,0.018908840683460354,-0.025616786934517695,-0.02617733620992799
TGFA,0.008085850603962042,0.023967287700321627,-0.016992905373855987,-0.010541407467684371,0.035147059099381275,0.013971179630206892,-0.055622591859588615,0.0027021560931799306,0.03487253751883232,0.08041869654501248,0.022468089835152395
SLIT2,-0.036084636567070685,0.025396956597404274,-0.014319660800624974,0.05409117226443473,-0.02179746924158498,0.030326411018242724,0.05262811987770037,-0.0319840080308672,0.006078100770299179,0.03716956240588507,0.019813834255344307
PLTP,0.06852979408675781,-0.004600575572248313,0.033603587088755014,-0.028161580244726554,0.13226087217817217,-0.0498205298710362,-0.06364662952134828,0.012531865433875864,0.041936413803764776,0.03978370531710162,-0.00862579456103471
APOD,-0.026124430890149798,0.021081173490540388,0.05856223718290558,-0.052802982885215344,0.038609846456074993,0.032745384211948676,0.017443384914110856,0.08115188760788533,0.08090785132010363,-0.019186187418119935,0.021754702680736808
B2M,-0.007393073197584205,-0.015059819960593456,0.03871912530131673,0.032369213932052845,0.16711317909570414,-0.028178291290491816,-0.06706452911636164,-0.00335419105135608,0.024807347878444318,-0.03128370552418241,-0.016646961195952395
OMG,0.07583693992208783,0.0587930878049862,0.002015072597903873,-0.017892232979852624,-0.06904906223471535,-0.07403847910822967,-0.0036278861666752564,-0.012229732621739807,0.061396369816938794,0.0951861270580755,0.025453998490792787
CXCL3,-0.05279407216813672,-0.02815313089451468,0.010166360347905119,,0.046226907592603,0.009797687420494867,-0.026631687837593836,-0.02485977248162119,0.07874486246655184,0.04504311158030268,-0.06063456576390527
CXCL10,0.0224694365604878,0.030277908953478337,0.034167121727221875,0.05023853286248153,0.12822337842259496,-0.0011252055610487843,-0.043072184605089034,-0.016664263527667856,-0.01590656087288228,-0.016398298916695503,0.00959525684223766
RSPO3,,0.051410758906337804,-0.024389035471784188,0.03221653986576979,-0.03725718149125287,0.01301154990378374,0.01122570963070345,,,-0.022838995712448504,-0.018563637432062248
CORT,-0.0271220971601467,-0.019717244661188665,-0.007048552231461565,0.042786984765044486,-0.023452205865556117,-0.006678217903437007,-0.04629187339066758,,,,
NCAN,0.0673237777646732,0.025365886038620222,0.027504771809563417,0.024526697150156943,0.026022897061474842,0.03727323548060009,-0.0351370502285321,,0.07516201977437512,0.021308881531008236,0.012205111000824243
PRG4,-0.037015294620438254,0.0001827698436851201,-0.01166169748437018,,0.09102196027832175,-0.02966929781432865,,,,-0.0022569493580259625,-0.035256289434264315
ZG16B,,0.006415188455528901,-0.007194505527105168,,0.01315402293703284,0.0021779634682378437,,0.049896813390486114,,-0.02847776972341816,-0.021609320948700682
TGM2,-0.06554172286344336,-0.032038697277918214,-0.04878121900910682,-0.017395566478754558,0.07967448030679311,0.00885975614227036,-0.01806640777989322,-0.05844660197152735,0.00022147856982604152,-0.026538745224465133,-0.00840997683670472
VEGFC,-0.026559212925169308,-0.02237439569243723,0.045623490202590634,0.01914897800452914,0.021418134562336853,-0.022442000722112707,-0.021377234960642574,0.02139819328404823,-0.04068858396039571,-0.063595297790949,-0.005503460140183035
WNT6,0.03409756494069336,0.009858392405479907,0.004127849359775159,-0.02122254957327609,-0.031738080367219514,0.005927073161467505,,-0.02436055819011992,-0.02139501838956217,-0.01044325747989725,-0.02232891180411645
NRG4,-0.025102629136352566,0.06944113123992578,-0.029295418372373094,-0.02598032391137528,0.058125123104346386,0.006433833343937261,-0.00030039520431448125,,,-0.02283899827215502,0.028329497534951658
PMCH,,-0.018238566618072032,-0.040591656217829904,,,0.07602819405769806,,,,0.005182520743523629,0.020288118750859077
COL9A1,-0.0235500060574627,0.025874239180120336,0.07913727021320024,-0.027102122336372762,0.07234836958613629,0.03238357653106971,0.010693349500055457,,0.06295234595887447,0.07711153798905787,0.029529810299939386
GDF11,-0.028836867636659654,0.030530981200589516,-0.01657588537377624,-0.011806481362891736,0.058557655956995094,-0.03770320732964425,0.05228091288311904,-0.017947188630468226,0.0088131033688199,0.057063905376257454,-0.0007136978651040223
RAET1E,,,,,,,,,,-0.02505421882909403,
IL24,,,,,,,,0.09807115779588757,,,-0.03754049400853675
SORBS1,0.049266411811689996,-0.009165589742135535,0.04573304547237116,-0.009369861053193889,-0.05177740874154994,-0.041934072377544394,0.0459366319194668,0.026410568851237937,-0.017707672732171317,0.059114302162647264,0.014240838213537233
DLL1,0.038050316900088775,0.03801725664326635,0.004810863721195189,-0.018000853499753063,0.11004677808821317,0.015017679788940651,-0.011651104910736147,-0.010951618725231862,0.06850892198730704,0.027584014325826398,0.0362265435908619
TLN1,-0.012456283550021659,-0.07715135800380453,-0.023800499372381923,-0.015878184660959405,0.09667877698601812,-0.0288456633240297,-0.07594244526250443,-0.03852599929468554,-0.06583684243135869,0.017822375595425054,-0.07710947485516816
COL2A1,-0.025694193975487677,0.03998365098199268,,-0.022991991258103854,-0.029790094612855925,,,,,-0.00721892915010515,-0.03025310962111946
SHH,,,0.023029281687118614,-0.025095851107412633,-0.023418634051491912,-0.019194212991855787,,,0.021465182572663864,0.0015028480196751526,-0.015257102385994334
PON2,0.0839450464865499,0.03321481836633464,0.018923961301370647,0.04365095351203277,0.10755721530080861,0.03509073952492789,-0.04785913311437084,0.02000111651303274,0.053745781517652656,0.04020559448170095,0.11281382505540744
ICAM5,-0.04999333253464769,0.04847771288885308,-0.007966550380142772,0.025424472946985965,-0.058212756047126564,-0.006666458134689822,0.012742145170581826,0.10563217055901719,,0.011857833975086196,-0.05929130640427666
HPX,0.06341212804366499,0.03945645949418639,0.05419232282539365,0.04942882546762262,0.05778489825638371,-0.021651954791573797,,-0.025821934877042384,0.05765075435136739,0.029373370708634553,0.05443790180949817
SFRP2,-0.0334523538160203,-0.022842439058043645,0.03328236579709853,0.05606675959734195,-0.023775264579499213,-0.0038754515386386803,-0.02445690487732713,-0.013558009304472431,-0.0358942156408253,0.06590208346897436,-0.03926097764903131
CFC1,,,,-0.01548645433187444,,-0.019961238483573,-0.019432630349826164,,,,-0.029712360387818892
CD70,,-0.03296958318470978,0.0025785783824516986,,,0.025845960423712327,,-0.007042145563259578,,-0.03484501855706953,-0.03330685944820692
HP,0.05025642515473085,0.024973496717739428,0.02276084575523837,,0.08315820899727852,-0.03256971012612881,-0.043849634666926686,,0.006656914677476192,-0.009013206922886308,-0.02935973179921933
CXCL2,-0.12341767187576867,0.021488721887051695,0.013010159636448193,-0.03280037131495712,-0.029247083550177983,-0.034450548314193495,-0.05035575594319453,0.00037014064349190893,-0.029124145034111683,0.04000391522445075,-0.024051551386067474
NPPB,,0.04027087477944746,-0.004431715823953873,,,-0.01747887221359529,,,,-0.02316762016282971,
CCK,-0.0623726336254217,0.13884499083358523,-0.010406914903685333,0.012679004177862703,-0.10917648383821103,0.007820208439493232,0.058710462449351866,,,0.024541730380014067,-0.00850188958446318
SEMA6A,0.12066610481442237,0.010286885532670906,-0.004494609904135463,0.03783345464013006,0.04887272026869032,0.015443762627251808,-0.0026445989943887074,0.010678751643530203,0.0719776405311894,-0.0014280044510957314,0.07678590688055623
IRAK4,-0.03363799485631586,0.009826756388620388,-0.013079417537061842,-0.023489018241954276,0.11259864321399642,-0.008553339401295936,-0.06224517782877019,0.03065488881955992,-0.04445439025467604,0.03354409622700351,0.04360006766661009
GSTP1,0.032017016454959794,0.019718412763289443,0.002968966229332257,0.020687421085276415,0.08727399601271453,0.036274607900772506,-0.06791981715503644,-0.03173719297722451,-0.045739720281637204,0.0655616646395202,0.04365529809200471
