,MGH258,UKF243,UKF248,UKF251,UKF259,ZH1007inf,ZH1007nec,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.017760856175751585,
BMP1,-0.0277928704569929,-0.028569027691683662,-0.0010303998832049586,-0.05307793946286803,-0.028508389321260208,-0.028429351351423673,-0.07398739256315744,0.012006085300227436,-0.014865528105517167,0.0059574465260891826
NDP,-0.040323487456681045,-0.121814088127132,-0.03758669635353013,-0.04916685225231736,-0.03796422807401455,0.08245455796701151,-0.07875805014924936,0.11801117250962442,-0.062415241063648895,0.03591944650414107
TNFSF18,-0.018422621783868935,-0.022596679299915837,-0.024469135685761024,0.08436900074326739,,-0.02670041271916361,,,-0.02995938905334747,-0.013564534815617079
RTN4,0.04219871882064918,0.08417812732834394,0.05453494560221143,-0.032146652097577506,0.029732880029934114,0.06309793149990096,-0.000996838451177192,-0.011080052602058967,-0.016438929213945377,-0.09106609034369557
HEBP1,-0.01636836772483001,0.015058833949974617,-0.006050765437527956,-0.001672200081074114,0.05440025383819087,0.005690835032960969,0.10037835150841969,-0.03582966611252953,0.001539403684579851,0.053793573494065605
WNT7B,-0.016229752779028734,-0.007295255075580152,-0.03621163680854763,0.09092332856498163,0.10735512111009195,-0.00398965404949079,0.1256781439654799,-0.034477280638715524,-0.013686508404815861,-0.0014681447807904401
PTMA,0.05663950418173774,0.15641566262000256,-0.04423249915591557,-0.007405596200450724,0.0811141960679224,-0.002421186599610017,-0.00012562622196986574,-0.06671769970193589,0.01994529110266934,0.03672779805867244
FASLG,0.012031324971303131,,,,,,,,-0.015403984502025708,
CEACAM1,-0.0018071740700030333,,0.005884762271426386,-0.006197525245137038,0.004012291327695544,,-0.05066414851079639,0.16318623748565292,-0.0023293855776261503,
PDAP1,0.016011683431969397,-0.07786401030858928,-0.07934214485281298,-0.008960989260663943,0.036910277748376755,0.0425647727795219,-0.14501805078776409,0.023080770804620444,-0.030290879623246354,-0.06987503674258363
QDPR,0.10123129420523422,-0.0657520463604293,-0.05495187983466333,-0.0439941419192496,-0.06320057273672293,0.017420117786585403,-0.135159973782982,-0.03940533660871043,-0.044312310798351635,-0.028673151664369505
POMC,-0.052615694214169784,0.05849463806062086,0.00262567158819196,0.035531795266286595,-0.0006557642011306814,0.08075266418409732,0.06892065662389824,0.027120360718271754,-0.04095699390409083,0.13274604172782736
CCL18,,0.18811193344083885,0.12218247541952183,,,,0.11808227912419782,-0.02192263062549804,,
CCL17,,,,,-0.01842476461938127,,,,-0.01396198178141716,
VEGFD,,0.018504630458897293,-0.0020439915905842805,0.01553928763777092,0.07771870467450237,,-0.07852697509417418,,,
TNFSF13,,,0.030694695810494416,,-0.012708990276040725,,,,0.05004227043118054,-0.03300015789200527
WNT5A,-0.05265049819604257,0.01827292184777152,0.06470691858697725,-0.011754647119899474,-0.026064541460759472,0.038303486402994635,-0.0030885945752685854,-0.029866159690093923,0.03483583642235802,0.0892775826041021
CXCL8,,0.194746527277538,0.17948886065293704,-0.004819772161609026,0.17408611741356245,,0.2482850759625777,-0.038598242786035755,0.06239500437763922,0.12352013961015554
GRN,0.12010260956070296,-0.006021066111420961,-0.03382207244802836,0.05540804250201687,-0.022798480007292857,-0.01014984153127283,0.1466503581224876,0.01270822000122827,0.050450007033183385,0.013713165100814932
MIA,-0.021243352542062343,0.061098614402834,0.057908733800406516,-0.02908599043989748,0.029162467790179294,-0.040225392798213834,0.06290580875280212,0.005877231936010262,-0.017484987557765914,-0.05197474371589313
COL4A4,-0.01879603661654745,-0.03437164938016804,-0.02334103507280893,0.0005684227848786369,-0.011084398898870616,,,-0.027717054908287925,-0.009376737740833896,0.13466770053872398
TAC1,-0.016229748537195075,0.013431759455482068,-0.004276582465542057,-0.0272999281738807,-0.050793831989824914,,,,-0.018354444765736274,-0.06423866311622897
RARRES2,-0.05125698489798397,-0.08364940898491732,-0.02549193011540115,-0.041809096236738556,-0.03472523899512012,0.06391442304851427,0.06635540121194188,-0.011021963389723556,-0.009241800490315751,-0.009859391172902566
FGF7,-0.03294467474055141,-0.05351584508232099,,0.06613772573052325,-0.032659604790110465,-0.015135505920701096,0.0405667088905328,0.0800566584314819,-0.006615024491921407,-0.0267782079028768
HBEGF,-0.04995160237018527,-0.005800301578249729,0.0007721962737501436,0.030639488851078242,0.00768740856276344,0.07385298444384343,-0.06257467946918069,0.03659578228022029,0.02372345560875226,0.013576169423025829
CSF3,,0.08536891056650182,,,0.24854642584750886,,,,-0.01469981292592146,-0.03879635230283476
PI3,,0.06251106605715491,0.01361669957679881,,0.1996933731692601,,-0.00929825890448074,,0.1339324271597819,0.02057800622494568
