,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.02741276928431157,,,,,,,,,,-0.020377990277083015,
BMP1,-0.01246179412681012,0.010695199492378049,-0.04493104213656062,0.002396735776424774,0.1561193498332915,0.027701777793964353,0.02346097109590416,0.03174235088042523,0.013968289711674102,-0.04894494698659438,0.03584581918943941,0.07431023594742216,-0.021464616779690342,-0.00969634168297624,0.04413821973263354,0.06781443637024255
NDP,0.022282759186876513,-9.741156393836707e-05,-0.018950931131634263,-0.03154101572387835,0.040473085346758864,0.04395278066687561,-0.020173814556708112,0.010426989410613909,0.019971396643420503,0.07362782805480433,0.010361000649685871,-0.020707378391082488,0.02218252761659127,-0.00193811133052122,0.07112587767971304,0.013104930147650778
TNFSF18,0.02292196932481908,0.01505144782906966,,-0.011440820628234333,-0.010620759297811415,-0.01749266208521617,,,,-0.0252577245950281,0.07087530106859517,,,,0.09105166794548078,0.05264790533396936
IL36G,,,,,,,,,0.004429088783463201,,,,,,,
RTN4,-0.06656857037758156,0.04163185139371164,0.017084318941111978,-0.05070907489940555,-0.16839211042785696,0.009701088120975466,-0.027799850381866387,0.007318978731909135,-0.045220366533752464,0.10292586550251713,-0.0634956753029754,0.01841746898590572,0.005530086800817308,0.04003056465432604,-0.08655963504125462,-0.022288688736228943
HEBP1,-0.06048820789473667,0.07076942170435585,-0.015862493855763486,0.008139746699472828,0.07449468680574534,0.0069863846450142495,-0.0073334412035035166,-0.001064819936972904,0.03302453309388149,-0.017640837307763484,-0.04760087029223052,0.06735950013757312,0.045925519872340746,-0.01969145258654548,0.09442462234273183,0.010614041253937051
WNT7B,-0.0466436467722692,-0.015709239525174813,0.02352066580158004,0.03989268041261273,-0.07609227721518431,-0.0019086655703697021,-0.013874671960206017,0.034893032363835876,-0.01792677553494723,-0.027806289488564614,,-0.014406619162634663,0.004535555775492086,-0.013341348871128813,-0.03329876580295833,-0.022504536459108576
PTMA,-0.015248120116738666,0.029178567838340285,0.056616188118335624,0.06959137501437127,-0.11816164726806416,-0.006732870585258671,0.052890451968555956,0.07127727270720936,0.03494651645244304,0.05740638985120671,0.006024198067891484,-0.04247678033220131,0.03592095280527346,0.022060732333126554,0.0017794374245001415,0.010835252943623653
FASLG,,,,,,,,,,,,,,,-0.017673824015262258,
CEACAM1,-0.020060542769649418,0.04080521898560223,0.05488733375625129,,-0.009201481101060161,0.014949757626355302,,,,,-0.020790896634047738,-0.021078386136005725,0.06633861060789226,0.003384617543198945,0.07744971123757845,
PDAP1,-0.021994838349744143,-0.04319057178352828,0.000410570294285969,0.015239411804420774,0.09206608098062864,-0.009307406572563183,0.011606012426143241,0.013358980544749589,0.009348378577953642,-0.00047032137078472394,-0.030539797416152217,-0.007106817876154313,-0.038019851506466334,0.09943030605180808,0.005460017531611184,0.009749498268258976
QDPR,0.039360658708859554,0.029905817083184294,-0.0022338289627484584,-0.009910890408314893,-0.132945187812797,0.016365525059278692,0.03833658315929171,0.011141160379829177,-0.030908597832212142,0.08684935148010538,-0.027175544406122888,0.03038007589656643,0.006587442876351622,0.03310757859610379,-0.03745700854944547,-0.03727081332512028
POMC,0.016442217898139128,0.00832046472176122,0.034117076303133494,-0.030183192321109626,-0.029746998225473095,-0.020297101796551427,0.0021155130852900227,0.0197078555733624,-0.015389715062301903,0.0840585980888903,-0.04162350872164874,-0.050610648073073125,0.06828737397171651,0.010050658615337433,0.06864782258719301,-0.03578444087534691
