,UKF243,UKF260,UKF296,UKF304,UKF334,ZH1019T1,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,0.14615465860557134,,
BMP1,0.07710876600231441,0.026049733535332537,0.06313170763859802,-0.020724490328255966,-0.006105136982111232,-0.04770602616370583,-0.02806076207056014,-0.047286415376695756,-0.030873159705713575
NDP,0.05220798131989074,-0.0004170260668070488,-0.0241334998711029,-0.01353299973921641,0.018952151433499067,0.06893096443064346,-0.013261453033607035,0.036804016673190214,0.06322029601837133
TNFSF18,-0.025051868972210303,,,,,0.05252012620902561,-0.03308634363919443,,-0.026674467786702304
IL36G,,,,,-0.014337272967615493,,,,
RTN4,-0.07587561863869244,-0.0031917825435485137,-0.018434181882548202,0.06321715369678833,0.028734807763786428,-0.046318024459094345,-0.03386265389806828,-0.0872389498388852,0.005975021428628237
HEBP1,-0.0498590434105147,0.007167696437287498,-0.002962278559946646,-0.003731069785068747,0.05639319355688015,-0.11841544913919476,0.041428292104295855,-0.01492422340744739,0.05732456156579776
WNT7B,0.03772629199724673,0.07575854363193468,-0.016214408650917184,,0.04910377864578158,,-0.03741181742224023,-0.020366673885378588,0.08945298162381901
PTMA,-0.07412709482318885,-0.054043867941777464,0.026679014171678492,-0.06509122920632468,-0.046179210644995486,-0.06785467856518831,-0.02250971973891108,0.01848107218988867,-0.0074587562532903015
CEACAM1,,0.029571226512910873,,,,-0.031613104479251884,0.004233865863105265,0.013322800042084368,
PDAP1,-0.03487515328272043,0.014208571552422332,-0.026371538412242365,-0.03341328315256841,-0.0002525302443390975,0.05572642762642305,-0.05486184645871973,0.043231934179033385,-0.09493797486947488
QDPR,0.0770609764798742,0.04585350067591212,-0.008883801635455693,-0.09338415052401149,-0.04167457966297889,0.08509440777233443,-0.021843015059751014,0.04435326110081696,0.017466565774558594
POMC,0.12168883560990869,-0.02109577534140885,0.02733995183638461,0.05879208362587562,-0.01843457827421298,0.19219212077244374,0.058495193065870775,-0.02211311218353496,-0.035481313569512986
CCL18,-0.03359661616228432,,,0.007877698214715255,,,,0.056898308354680405,
CCL17,,,0.023021084624872165,,-0.013097505890958297,,0.022872135982698605,,
VEGFD,-0.037853566636208175,-0.015506872953334102,0.02361047627767507,0.07320188012086501,-0.01403700273680069,-0.06801085015882716,0.0017124613873341153,,
TNFSF13,,,,,,,-0.0011808507277171006,-0.015179423569579693,-0.029018016114217636
WNT5A,0.03462244913956184,0.05132344928784214,0.041593238036118446,0.03177408586145293,-0.038605498587000235,0.01673865174764045,0.06903366609193823,0.03683897118440046,-0.050366394232208324
CXCL8,-0.07609937572540162,-0.06816694463804249,0.028005469236036314,-0.025377384594193954,-0.042203896166476504,0.0029091758703593583,-0.0600556634146036,-0.004855443856159538,-0.06943731495623523
GRN,-0.008431565202550938,0.03925136713326212,-0.01899236470221501,-0.03103601874901391,0.03565398845209821,-0.025519312216618503,0.02983316360666313,0.0539398212139879,-0.05564621201978213
MIA,-0.013981199795792867,-0.047053210622199554,-0.016741781842856872,,0.05074512786271662,0.0730314031167091,0.07361315013140399,-0.026420968643675984,-0.042036113734827185
COL4A4,0.06739511996178439,0.11375862063056769,0.024233010528764948,,-0.018648302178633044,-0.053253835095784054,-0.02362686591183927,-0.027242752328947763,0.15718972672986828
TAC1,0.030983407246180455,-0.013176823448793852,0.0316424593822053,0.025528040912755318,0.02094704197663632,,,0.06069914069043101,0.01613663539259758
RARRES2,-0.013273628104171313,-0.049342154714615026,-0.024364217862872063,0.006207574923699702,0.008473454700366083,-0.12210010039964682,-0.0296527335570805,0.020777649728787505,-0.002984473709312392
FGF7,0.028123994220105294,0.047614354029781196,0.08549972750436821,0.05475483971430708,-0.026193790714250383,-0.01595700526147695,0.03729977244092553,-0.0036268583757551286,-0.02592349938877935
HBEGF,0.008371819929442918,-0.016857279488472782,0.001848639477141881,-0.0649358687791976,-0.007850879641553178,-0.007471133789603425,0.019324886796418417,0.008067391639652444,-0.13694943782080984
CSF3,0.039789293022490194,-0.05166481441791418,,,,,,-8.520406714320033e-05,-0.03411478151046248
