,MGH258,UKF248,UKF334,ZH8811Abulk
BMP1,-0.0031786536344547266,-0.016759546797497436,0.019177019580062467,-0.0014395684550021716
NDP,-0.03296113737218239,-0.021451404838205162,0.11657172879289315,0.020830462386462707
TNFSF18,0.05321880296970837,-0.03208689608753052,,
IL36G,,,0.04061246612032038,
RTN4,0.013836173306313907,-0.0056021827088914376,-0.07067178681137726,0.03321885272225948
HEBP1,0.04956701526736862,0.03558791962620331,0.010782439791171253,-0.001940688962744416
WNT7B,-0.016736849900030465,0.02492899056890038,0.03065283566599322,-0.04215438910946966
PTMA,0.025093729185585213,0.020673422964246988,0.047392295491212925,-0.004878354648209913
FASLG,0.09308063392436142,,,
CEACAM1,-0.02323926913154746,-0.003484394779562365,,0.04900455713209541
PDAP1,0.00973922218874616,0.058412190121194904,0.052455935915835444,-0.01657323846200088
QDPR,-0.003849204976156762,0.010621697377170555,-0.020187812440807782,-0.008859393222546157
POMC,-0.0018703947153629783,-0.009859745986543354,0.055429860774861575,-0.02449358533181354
CCL18,,-0.02548526304152712,,0.008469776219951751
CCL17,,,-0.004173251712277115,-0.016758086290267295
VEGFD,,-0.025485271134291793,0.069074273728714,
TNFSF13,,-0.019232003415490116,,-0.01811252300682785
WNT5A,0.015116047475420624,0.041137321868486634,-0.009434407396167376,-0.03276074071524196
CXCL8,,0.011674877716009861,0.030389859442409538,-0.04840017752986673
GRN,-0.03328980484936038,0.026872094562414326,0.031260129742949706,0.016313025278625045
MIA,0.041591238469103155,0.0503810439010919,0.017714542521962248,0.11150292510875105
COL4A4,0.00499865787148612,0.029005655279380545,0.028937733695407253,0.06132835241507948
TAC1,0.03832281998846779,0.017259637247881154,-0.05159165570508292,
RARRES2,0.05952161081874638,0.001591398879316705,0.05701074368722462,-0.001386813473132016
FGF7,0.09139462885549554,,0.05318942938257465,0.07198979462903085
HBEGF,-0.009115041347276072,-0.03288227686447205,0.02516869126639365,-0.039870777691919775
CSF3,,,,-0.0535151296218136
PI3,,-0.02681157122308267,,-0.023718224546920488
PCSK1N,0.04793636000672554,-0.0032798974295064295,-0.06996427925388489,0.030291113530322614
NTS,,,,0.00702621811179403
SFRP1,-0.024352533008989024,-0.013366000506966678,0.03385511020907941,0.05236632012094143
CXCL13,,,,-0.037642097697042146
MICA,0.0015041696654296422,0.012210609152711216,0.05479716932729971,0.014735607845115049
TG,0.07638655310621631,-0.040133106563412346,0.03931671437433104,0.053952425167377534
ADA,-0.024368662353934673,-0.002145050272192624,0.035457137723679026,0.005577896252054862
LAMC3,-0.01909278198210717,0.01623747358170998,-0.01662786782127445,-0.0031801197844858607
CCL7,,-0.016210780232479145,,0.10301063085071124
NGF,,-0.0026893902829144127,,-0.029007556704225106
TNFSF15,,,,0.028211350112548886
HMGB1,0.04742127164026451,0.043656583335715565,-0.009959176526019686,0.03169712391690151
ITGB3BP,0.053076980568595236,0.005041086882215048,0.09433024225329088,0.04284553258304854
AANAT,,0.005485289676839759,-0.027426694772215238,0.016190564386548437
RELN,-0.016069280096801124,-0.022348231568388652,0.036649409514500304,
IL15,-0.02136091383407992,-0.04427817679427303,0.054252397740601165,-0.04036767633394081
UTS2,,,,-0.018763789316146803
BSG,0.006302639362997727,0.006612962736404587,0.08553413034867806,0.0524326787612114
ADAMTS3,-0.01431086111934542,0.02768304205251947,0.04109563419734216,-0.038902075008009664
CD34,0.011466909872903741,0.005029399079538032,0.02047653480410786,0.052255088625401964
PLAT,0.058306729305353876,0.030305453325571594,0.015538903600411286,0.05129310774316062
NTF3,,,,0.04333504491780741
LTA,,,0.11190507396790422,
CKLF,-0.04630187062080709,-0.03314781024837981,0.07147410074377553,0.05868984425134587
CD24,0.01722495422659404,0.04918836231653298,0.011227478788093381,0.02604818369808631
HSP90AA1,-0.08759458225217383,0.033491062746574735,-0.028777232461282536,-0.08328126729745815
BMP4,-0.01994824271735465,-0.01998932859999903,-0.021674946900180295,-0.010867713341856189
SCGB3A1,,0.0247994047861717,-0.017749598651011833,-0.038228387886399706
IGFBP4,0.033103044099111655,0.04329427849601697,0.0608259300190427,-0.02642248571301882
RSPO4,,,0.012364522433881456,
LEFTY2,-0.01919166446216756,0.0603499328157269,0.0141671390946847,0.13859030012692208
PF4,,-0.016816080598752142,,
ANGPTL2,-0.06712729897153046,0.005839604155262633,0.09116923215186075,-0.009331678822004266
LRIG2,0.019978824189202528,-0.008844103280367596,0.04902885162521719,0.013706159077518284
ICOSLG,-0.028785196199539557,0.043728389767336666,-0.00882189176659953,0.07591110050708685
WIF1,,0.018529076698519553,-0.015551164030449266,
NPPC,0.07976976815312105,0.02781333291114606,0.0974611139506207,0.037057124618920065
LYZ,0.017601492197751114,-0.04586945496099374,0.058634861236104764,-0.004808617796227965
EREG,,,,0.028536799964859492
SPTAN1,0.046627752594579505,-0.006732993464713155,-0.031582081430318466,0.07771591246412068
LIPC,-0.024816442593353135,0.1488259141079448,0.09147417130975484,
COL8A1,-0.01931046253324844,0.02785326716819444,0.06156539968937554,0.07573814450087107
GSTM2,0.029672059561782118,-0.0022062736671959065,0.04072187910394586,0.044962566043129384
