,UKF255,UKF259,UKF269,UKF313,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,0.0036177287313297612,,,,-0.02037798997183978,
BMP1,-0.06219719643892546,0.006819021616647469,0.03404820497801016,0.07547355911590518,-0.02177275829683058,0.11835796156409295,-0.018924439419494773,-0.00860169195014124
NDP,0.03987351128181182,0.022935797813522073,0.00930645452887463,0.05337299243937162,0.10261470390036874,-0.04477320247649615,-0.02662722214712338,-0.00572257635490584
TNFSF18,,,0.03364558264410234,,0.11797905807231542,,-0.009057783707817551,0.10866906470151934
RTN4,-0.026525724235847745,-0.05381846169860116,-0.0464155164619758,0.02039715053189686,-0.024060318903475052,0.04166553334461099,-0.011402594845257812,-0.09168955954717954
HEBP1,0.022628281530458375,-0.031356613316145435,0.0017152860871203887,0.0493569232003231,-0.02461343194937759,0.08611791196101722,0.04005277969560418,0.10394331047379911
WNT7B,0.020721396301827465,-0.02495040085018759,-0.02878195615313453,-0.0035458305474310296,,-0.03139835164796874,-0.013550799963448422,-0.03121248654838245
PTMA,-0.06045639590154575,0.03351740876694741,-0.027097992930108814,0.12593504565547492,-0.06248683827148308,-0.07619098507602175,-0.01034918754324776,0.052845084526785276
FASLG,,,,,,,-0.017673823750524908,
CEACAM1,,0.02469370941651065,0.03140084996025,,-0.040885649546989866,-0.028158544676230572,-0.024590529936641622,
PDAP1,0.01429434446832139,-0.0066841706545780945,0.02988191709800372,0.057889920332794616,0.0026439810844893414,-0.02425296804535254,0.02171850276217154,-0.005645001250081915
QDPR,-0.005553401720620845,0.0024231101133823717,-0.04376563844891475,0.09581386679982494,-0.035556285545433754,-0.04319052556749714,-0.03289142879119266,-0.0596297021164585
POMC,,-0.026829562242784637,0.017781592187083122,0.02236649473893212,-0.008847754939455735,0.05384008284959745,-0.03362624125312677,-0.026776235912385486
CCL18,,,,0.07246584908915885,,0.050944187289915344,,
CCL17,,-0.01669895680813275,,,,,-0.016019336112702273,
VEGFD,,-0.003301674847501266,0.0601984995005588,0.05632053424930532,-0.05558314459804848,,,
TNFSF13,,-0.011518566672560836,,,,,-0.02610217111599129,-0.03962936334404332
WNT5A,-0.01666910462949802,-0.024408842777685225,0.0659141475951836,0.02507285818918763,-0.04117309466174591,0.1489603304615052,0.007828565814341664,0.04299435378572428
CXCL8,0.08193964115057648,0.014924862591015794,-0.010397283634819277,-0.001055848306358839,-0.01531281378913133,-0.03515129898698339,0.052372656193414545,0.08180046264965996
GRN,-0.07648177755251281,0.06731728667958387,0.08905846721473192,-0.022843164010638066,0.008001301170984992,0.09893670555117662,-0.01345114961896435,-0.08234873382863639
MIA,0.024008293072597546,0.10902270787746707,0.06116810653253281,0.02998725208890938,-0.03788766824714135,-0.06333211009513447,-0.009243591457977379,0.03260401459350564
COL4A4,-0.03154178384809588,0.03291509640174569,-0.01758575373544453,,0.0019810909070810765,-0.025241835218269254,0.0009720599327859608,0.0135528687989032
