,UKF266,UKF304,ZH1019inf,ZH8812bulk
IGFL3,,,,-0.021110095843645194
BMP1,0.09332481361746572,-0.031211388261719496,0.11680436635285024,-0.07146746967964064
NDP,-0.027464035818204707,0.06058049168693663,-0.003081755999527318,-0.08939583720657711
TNFSF18,0.23059314963453545,,,-0.021770469228477814
RTN4,-0.03838932531076152,-0.12973003840149003,-0.05821028559843925,0.1039216011438194
HEBP1,0.01888733447765373,0.0013871448216576682,0.03427187617302613,0.028415531406356553
WNT7B,0.014261895118011696,,-0.0070679295222964246,-0.010325601363263373
PTMA,0.06659840620951879,0.0806843331925338,-0.007266347551040504,0.1040292108283819
CEACAM1,,,0.10002360675975462,-0.03128189141357201
PDAP1,-0.03560919536571569,0.028600210354484706,-0.053277502319701464,-0.06715126822806508
QDPR,0.01163109374215956,0.08842371107243024,-0.06275526935521214,0.1070720664512852
POMC,0.025665872479291953,0.00018450870869525429,0.05376824690408484,0.027669596774898227
CCL18,,0.09707529563628721,-0.01937285663407552,
CCL17,,,,0.08563883248615806
VEGFD,,-0.021864775920350438,,-0.02935463578747132
TNFSF13,0.1752189641833745,,,-0.029846694607790446
WNT5A,0.05031835781414246,-0.023037130431919704,0.07906108853087947,0.013925050351115456
CXCL8,-0.016847673788011018,0.07388879448111194,-0.03410896422947521,0.01309404183325254
GRN,0.03368717123067161,0.07088400439952218,0.08593618941632282,-0.04091876592091023
MIA,0.15200347176954143,,0.010169490444461231,-0.06721738133598142
COL4A4,-0.011269278163742829,,0.035687982192825735,-0.029713201007677943
TAC1,-0.049774716001761976,-0.022866881093514747,,
RARRES2,0.056917892840580624,0.04216450137584278,-0.0015989386765574867,-0.014238430836087257
FGF7,0.0371883101119349,0.0077823839718188,-0.018670488299022864,0.0005954627300378323
HBEGF,0.028883364692359182,0.010158975911577717,0.0449870469778579,-0.011236670217102474
PI3,,,,-0.02364819880079867
PCSK1N,-0.027306467220013037,-0.06337069208467959,0.04923133379456714,-0.010440248326418206
NTS,-0.013757228165773752,-0.019685321886811925,,
SFRP1,-0.04186951700353929,0.08987282667485007,-0.04685598944076199,0.022248082527975045
MICA,-0.014889038985743069,0.040815779309011264,0.06596234649226072,-0.030745921034142257
TG,-0.0158794678912729,,0.0585584278630269,
ADA,0.10511444687522992,0.09327492231354609,0.047014709513954034,-0.00932294993151804
LAMC3,0.07338076365523358,-0.053278689160903794,0.1403081924377647,-0.013966697011349402
NGF,0.058482314702875876,-0.019685334848290287,-0.028789288066620858,
TNFSF15,-0.018399393713481572,,0.11645883702839412,
HMGB1,0.011856313622485525,0.11173519711327813,-0.05842819559068064,0.017936275583155924
ITGB3BP,-0.012928556159715223,0.04962779257430396,-0.01186915864634586,-0.027894349227967866
AANAT,,-0.018507109804716735,-0.020177642258512662,-0.034427837763089525
RELN,0.007157676644837587,-0.03238587742054531,,0.06342750284300441
IL15,-0.013092262458459104,-0.037925201843956716,0.06653491747667771,-0.018505268320644367
BSG,-0.038029692934921706,-0.030878166201789983,0.014167786649657791,-0.044940756383050555
ADAMTS3,0.04847694223338983,0.04450108123660049,-0.024160672435437847,-0.053343668879173446
CD34,0.06962785358768553,0.04545737004192623,0.14025060802510314,-0.00541403423508744
PLAT,0.06903425619499909,0.013251092095315142,0.06919153253200225,-0.054101499097873144
CKLF,0.023672361937203734,0.11142443291849376,0.09705070703534753,0.04248153959144094
CD24,0.0011034979276888393,-0.015296326297620544,-0.002672925380608495,0.00014147542888100282
HSP90AA1,-0.07555844962357079,-0.0793824349664182,-0.05547302768714533,-0.02814517727121918
BMP4,0.024045495719260065,-0.010903402118093854,-0.013902950107755491,0.06604536465817228
SCGB3A1,-0.016712504582082642,-0.032577692433959235,,
IGFBP4,0.06922230672510704,0.06808524298401836,0.09025966129438014,-0.029859485446640136
