,UKF243,UKF275,UKF296,UKF304,ZH1019inf,ZH8812bulk
IGFL3,,,,,,0.06435537665910007
BMP1,0.07283103726122055,-0.03385716347890719,-0.03440931265601344,-0.04453468443831646,0.01528858730777417,-0.08815212532439856
NDP,0.08938148419254872,0.01633202301711219,0.050633445199919545,0.015256899655676573,0.005119991260825028,0.0012804033652616695
TNFSF18,0.1799964736034858,-0.011533386373278422,,,,0.019108121380091665
RTN4,0.02148235962797246,-0.010354166573344448,-0.06009934356597025,-0.011133537331597382,-0.030965766367622705,0.1403847135963139
HEBP1,-0.041703573614979714,-0.019398837902533498,0.005568606795678119,-0.0054274355831640825,0.03459357637858314,0.026134939504728484
WNT7B,-0.007874120474979032,-0.03305937842300843,-0.013536461848819611,,-0.03613094794680744,-0.002129640696961757
PTMA,-0.06798748556153157,-0.004915866478529439,0.00853386595133683,0.04382581822561681,-0.08060537896524521,0.1526743488174149
CEACAM1,,-0.018139269119966134,,,0.054530324014788294,-0.010149326835496372
PDAP1,-0.09623577105808832,-0.018142122585002973,0.05515834617451272,-0.0625497875237914,-0.03173505881883402,0.04088481101921587
QDPR,0.06770318021055964,0.007129149237540569,0.05948453336192762,0.0789225999527378,-0.016743211165242133,0.10843395441872498
POMC,-0.007904596534377454,0.00704749463638203,0.04358408165386527,0.008227332513471677,-0.005278008287610799,-0.030419379263008754
CCL18,-0.027416988923804293,,,0.017097375802370623,0.10444101244768267,
CCL17,,0.06148211237768371,-0.01891840857666659,,,-0.04415129236318125
VEGFD,0.008612083553081257,-0.015325338419296619,0.010335027032746791,0.025493160923074798,,-0.0481987298653803
TNFSF13,,,,,,-0.03829280322315497
WNT5A,0.035731991929798444,0.013290171016025837,-0.012285367260498238,0.04870905787319144,0.041530967829470446,0.07888646323661865
CXCL8,-0.11719329651916277,-0.052778814200607774,-0.010370940553988232,-0.031027522550806354,-0.04044956780536999,0.07942895454056728
GRN,-0.00445984851626023,-0.020767084589721388,-0.023694621912488903,-0.02446698493501038,0.022428582244001773,-0.07284776239392528
MIA,0.06793581876842027,-0.028272685801944347,-0.030445263644709685,,0.0933200978828433,-0.004463231368804642
COL4A4,-0.03109711512882759,0.057021536813467,-0.04407564977078866,,-0.00398609962410421,0.0030808207460669423
TAC1,0.05171042780261008,-0.05722451891855193,-0.014965938268941313,-0.026468555317466863,,
RARRES2,0.0286119347054445,0.014875161052651867,0.05832062198610422,0.051829456568216,0.04059565643677924,0.0774364172261012
FGF7,-0.013155985076578443,-0.024895284699248763,-0.02277191042974787,-0.036057051938672494,0.03992226412399438,-0.012856879260656739
HBEGF,0.018735550838985607,0.01782301422083469,0.019184303357063004,0.01067262612795789,-0.006944086213758425,0.02104799385883323
CSF3,-0.03109709050914865,,,,,
PI3,-0.03683914093680172,,,,,-0.02484695658223803
PCSK1N,0.09855603737552222,0.0016388184425465307,-0.036513559269029966,-0.014732758725503423,0.04751981500274685,0.016469998208156707
NTS,,-0.017156017642437037,0.05377338118992158,-0.02757688561183457,,
SFRP1,0.007805400972009521,0.03972924633292666,0.0517632340260456,0.013051570966138437,0.049994016296139636,0.06339251961237016
MICA,-0.010453925133027604,-0.0069985385378253055,0.05645378021309968,0.04672925519004661,0.09513852241801592,-0.010711227099563021
TG,0.021351863534548793,-0.014491716770875062,0.040423379800677735,,-0.037407250151077175,
ADA,-0.0366593909215266,0.02063340484427796,-0.04748577818542769,0.0906120801354081,-0.06352051489642578,0.02574386769138041
LAMC3,-0.024862602242878305,-0.02286091651178472,-0.019028300691645097,0.0011206434135441277,0.0018791437655028907,-0.06145723803306896
NGF,-0.01791591782371636,,,0.053473704697014075,-0.03414100328243906,
TNFSF15,-0.02216422631550885,,,,-0.03447952674501736,
HMGB1,0.06610523957025323,-0.02523310846851225,0.035374610292727406,0.06544139623595605,-0.10587555618122449,-0.014008086805589673
ITGB3BP,-0.03484128554085219,-0.006487519547804549,-0.006125308536585214,0.006021774082809412,0.029571026755678586,-0.06530870641615498
AANAT,0.06247996625222497,0.05077184292278316,-0.005615520476350495,-0.00535703953565078,0.03413779476673039,0.02754909826999387
RELN,0.12475422334949252,-0.0184405576253601,0.044789665664025737,-0.02522070551877462,,0.03774154526626467
IL15,0.04532219836824181,-0.03696579088107649,0.05614408680910628,0.04558360028103431,-0.04044967352390549,0.03622458182330927
BSG,0.005142901313856145,-0.020040075735409044,0.0482677344362801,0.00013300840826123076,0.024078256658269213,-0.027036666396907733
ADAMTS3,0.0563174914641838,0.041498118221275575,-0.008345038824508622,-0.041631618326741976,0.01983829624722537,-0.04087256708072666
CD34,0.05797848125906279,-0.004789923559463004,-0.020006717574858144,-0.06197915350149932,0.044979500180715455,-0.0511805921556687
PLAT,0.023487138328582954,-0.01919609397340583,-0.03230794523929705,-0.02069872349606977,0.10512247087045301,-0.027658785243341335
NTF3,,,0.029808817335200324,,,
LTA,,-0.01255164181278281,,,,
CKLF,0.05058698101845671,0.004514638845617643,0.011642900177448344,0.01412438224914954,0.04138266387853726,0.019250565627932408
CD24,0.055057218952874236,0.05156455175808521,0.0812138943248842,-0.015411175123269474,0.035587294858765675,-0.02852746431840027
HSP90AA1,-0.06691602477665548,0.06164686288598909,0.01989261905078289,-0.020013801139007217,0.02045881344197667,-0.08109453952332253
BMP4,0.021312617469441963,-0.01978782262065136,0.03557964361681165,-0.028361097172278672,-0.025936450290116507,-0.012282593429058809
SCGB3A1,,,-0.0228538998310871,-0.03277196029855278,,
IGFBP4,-0.06474972770409856,0.06377982314951534,0.03279684324949662,0.017159212667383253,0.030564503699290008,-0.04050116922056725
RSPO4,0.08158818227159499,-0.014598323552770333,0.014858974583547327,,,
LEFTY2,-0.005756527979058901,-0.020506506476206665,0.006664972771672642,0.10993291542678633,0.06065242100816117,-0.0998129431818152
ANGPTL2,-0.03839866004362226,0.017684916793280162,-0.004416202288711496,-0.011055780309185585,0.06527623923366581,0.019707553370624728
LRIG2,0.04050429964619959,-0.005787740191759358,0.0015503447586636243,-0.0243082354909581,0.06211037600737298,-0.03574017550443198
ICOSLG,-0.06099330298368288,0.033447075122329556,0.024451395403051624,0.023146036740979946,0.04901119327543017,0.021285627299378964
WIF1,0.02092635797146095,-0.011265180514415099,-0.002232802966785797,-0.0631708646367277,,
NPPC,-0.044666410297176655,-0.008990271297210226,0.02092574337558354,0.06714646904369073,-0.02865190729287742,0.04395392149362161
LYZ,-0.052917098484045515,0.010588574669829936,0.023036676639038564,0.006913953227571268,-0.02400919456938456,0.009698047444046828
EREG,,,,-0.02836857494949189,,
SPTAN1,0.10607754686442078,0.0451212724023509,0.005837563270994214,-0.0005232985691067363,0.10417350131790697,-0.01385727045138711
LIPC,-0.007116347599607585,-0.01728617654094746,,-0.02845888714778513,-0.035147018968271944,0.07280151252746732
COL8A1,-0.061997326647395365,-0.01133212063303111,0.04739921108010222,-0.04111657609330243,0.05148492676763215,-0.09556310272800476
GSTM2,-0.06721978741260681,-0.0010169942827838263,0.02802181441417217,0.05223296964358061,0.0957704528997182,-0.03624321353255654
SPX,0.08678986104402986,-0.029272441210826283,-0.007203019293524006,0.002573032078783609,0.06806227444617644,-0.04493208283488634
MFGE8,-0.06516859008838043,-0.04416410187041635,-0.03647460288846004,0.015501481564754288,0.026884645884870845,-0.0874783409011611
TGFA,-0.09264984779483257,-0.02398797811860493,0.021272804479388636,0.023087099891350896,-0.009345688545213364,0.13193224355462707
SLIT2,-0.029694848965066332,-0.037566849593471674,0.013313108623163733,0.06208359475621327,-0.010209014617425204,-0.016429647093753545
PLTP,0.006997616106695556,0.05247227803568152,0.029018280041091304,-0.020910484287707018,0.04932740692103353,-0.0540487257627332
APOD,0.04596885722203658,0.04045698806440068,0.03125283171507616,0.03414654074652503,0.017100135815942382,0.09789119028839591
B2M,0.04648490604819756,0.1026832489211086,0.05812967297204978,-0.002569770252171092,0.0006651147991431023,-0.10045210970393319
OMG,0.06415893402228301,-0.017818702374489938,-0.01898372335489703,0.03817257386877574,-0.01803733471222203,0.0950910838186215
CXCL3,0.041271707864554676,-0.04172141040805072,-0.015532625947858947,-0.03993571379477199,,-0.036481791592447035
CXCL10,0.012166895232079568,0.06670803680218382,-0.028754843986663486,-0.024946772042791394,0.0416648879626667,-0.046520999457177456
RSPO3,,-0.02204856098592908,0.0470011499651005,0.04559745162613174,,
CORT,-0.024538208294317822,-0.003820629561260247,0.06720178039226044,-0.05160301062168751,,
NCAN,0.12593274739614788,-0.043985481447153585,-0.0614873480078477,0.04106193758778087,0.02627713083510988,-0.09841246727355779
PRG4,-0.03348889299041738,-0.018656077969042624,,,,
ZG16B,,-0.009973418839247872,,,-0.02660049913557514,
TGM2,-0.025288635734502837,0.021482467015846968,0.009107673255743572,0.030431991261908334,0.017957546659074175,-0.012911626896156148
VEGFC,-0.024028949348672623,-0.026855956318372887,-0.02974360972822698,0.08137758359649348,-0.034479529819785894,-0.06229510707435972
WNT6,-0.011065084891804277,-0.00983448706865304,,,-0.02529707780092877,
NRG4,0.0022725470845357666,0.07002152091404662,-0.02672036859200693,-0.00564708973820244,,-0.01935566720107389
PMCH,,-0.014598322848243547,,,,
COL9A1,0.03172544933149163,0.08128946643453527,-0.01580172023622458,-0.027975307856978406,0.0103958371107985,-0.04043970126887809
GDF11,0.03798573161705616,-0.006169759727429785,-0.002551871206357838,-0.07512903920518395,0.008271294454178395,-0.014485593144325452
SORBS1,0.08333579787000128,-0.023597406189974787,0.04174969900014164,-0.07636536373511153,0.09518239342655174,0.005087667610058085
DLL1,0.22014282112694625,0.051933013626543824,-0.04701969904813327,-0.016778504993940655,0.06845104707380788,0.015078007723584473
TLN1,0.06960271672751683,0.004886179171882322,0.017615445541889943,0.08625845631997586,0.05953942796273818,-0.06833491412071493
COL2A1,0.002546078765522811,,,,,
SHH,,0.05091234911473613,0.0028450138124929145,,,-0.03634310214566377
PON2,0.10491876779323377,-0.01199739234527256,0.03661716355656786,-0.0026865385557017112,0.04053913537063591,-0.008313265850571006
ICAM5,0.023831113135931177,-0.0324062952395096,-0.06298640808663257,0.012371644676050708,,
HPX,-0.03701829205185485,-0.019572216340765336,-0.013264134820759825,,0.21071150706937766,0.0122568370470194
SFRP2,0.04639391035039824,0.017465166898361608,0.04521257216867543,-0.020952931965473875,0.017748065233275163,-0.011827069503859228
CFC1,,-0.012551642571343363,,-0.029140322185466635,,
CD70,,-0.023413208130285967,,,,
HP,0.16629248561951526,0.056998544891528974,0.024784909274396336,0.028510401457091935,0.017318404706528838,-0.06406539379570773
CXCL2,0.0436978202051931,0.04125436279709834,-0.01814093184664122,0.0280776280937802,,0.021988276900135596
NPPB,,-0.010990728694303108,,,,
CCK,0.03875926498045753,-0.037304141567110226,-0.06457569060161567,-0.0033921251446593545,-0.03310760901904051,0.08890701850024334
SEMA6A,0.0876519998583599,-0.023848904961161408,0.00806273740820293,-0.02368968152549026,0.018496785750691195,-0.0187327732996853
IRAK4,0.033669901014106024,-0.024625244769013177,-0.017776799450057574,-0.0371797856838648,0.04583087011913842,-0.05197603187715006
GSTP1,0.08861140989292762,0.025431099506781563,0.035907843604775,-0.02661515907965968,0.015334682503139324,0.033086801607977195
VCAM1,0.022097121568871617,0.016574153660093675,0.013564804326723827,-0.05411533089066342,0.028475301317662644,-0.040960008536618533
NXPH3,0.004656055756604505,0.017166841184015635,-0.04756747902399021,-0.012023787334682628,0.06853205568977903,0.02158713616850598
MTMR4,0.07086130802645865,0.03508129363290619,0.03196876988972666,0.06694033465863312,0.015569019234384576,-0.019127362984909926
LAMC2,-0.020739731899442542,0.006165476899592515,,,,0.028280353660483957
IL10,0.041204439274956456,0.1378677719652262,,-0.027674791762444514,-0.045772630792251655,-0.04665134689314575
SEMA4D,0.028588192200474198,-0.00012630860049508033,0.05660004595252399,0.042369253657465536,-0.00017906458000296188,0.08728028221573232
TRH,0.1239184849853821,0.07761024613384854,,-0.045379686349338644,,-0.03783424965711756
SEMA6D,0.08113143220597435,-0.062115231913503044,0.0069364157944319495,-0.010473485383219313,-0.02043651101666436,-0.020886619867901246
CEL,,,,,0.09769326612983409,-0.035706534391268335
PDCD1LG2,-0.04225367928487911,-0.007514770388371641,0.053454201664989626,0.02400301980572363,0.032552686909999254,-0.011153923741377803
SPINT1,0.0379020141640826,-0.02403720242261911,-0.006959542546443661,-0.03142553835443856,0.05338288805003586,0.015376950839200503
CTHRC1,-0.02002750729324535,0.035296606454516224,-0.04201495508074163,-0.009123666490512682,0.03230997706182187,-0.024385159877882135
PODXL,0.03850367453789209,-0.054905245046434646,0.07195921026327765,-0.09255690709183415,0.054383175875831594,0.0005149845668425889
JAM3,0.07524428299186806,-0.059742167730735145,0.038592539829163455,0.08019691959954639,0.04637905018824198,0.03651201024645981
TGFB2,0.09397675898102671,0.00326564649232582,0.06093940442796236,-0.02004687618623333,0.01003048054986548,-0.061775034738568664
COL18A1,-0.010327542222773352,-0.011194354514376543,-0.01992446461308015,-0.01996601410777794,0.1039526170676811,-0.05090751275571848
NODAL,,,,,-0.040836300937740065,-0.018178555375580708
INHBB,0.020224161173152674,-0.019557491581541478,0.046640397327506515,-0.0029863060056888823,0.00678423371222593,-0.07121281387644832
ARF4,-0.03355333297828428,0.00032807234305248366,0.08730445888949062,0.000995200087642695,0.07435392614011926,-0.04170693510239526
CXCL14,0.02607034916719331,0.03343010378744071,0.006383952586534682,-0.08272962859413631,0.08179091952514798,-0.11327813706554915
LIF,-0.00198465885290532,0.05351073428720935,-0.007699296375994277,0.0018487978992893458,-0.04255598621052112,0.04849155049397025
IL17B,0.190493806044576,,,,,
MATN1,-0.01953170223265212,-0.011128763628302299,,,,0.020291474864094196
ADAM28,0.09438585488971592,0.00010161981534837805,0.056349249335890424,-0.05965948389105166,-0.01741988356196939,-0.045384729289194514
TCN2,-0.029728751440774314,0.03907316892554898,0.02188644185348849,0.013891533247529946,0.08197553906705074,-0.03145512612386546
THPO,,0.03699716431445222,0.003970849705858434,-0.02430119089527048,-0.002118898616053841,
CUBN,0.015488141720623263,-0.010060394253404647,-0.008874103223232028,-0.030263934302041384,-0.0027724410203101703,0.010705311099195643
TIMP3,0.07308330844865048,-0.026281807253888873,0.010108258139362438,0.0014391521715910029,0.05322895026576184,-0.06626074492143583
PIGF,0.06807967131669761,-0.019307966309722393,-0.01684461810935491,0.018058238747592062,0.0524443719726214,0.05712989132312163
CRH,,-0.0175192717000732,0.012173699760580496,0.0156432682375561,,-0.05442339047941972
BDNF,0.09858159047643653,0.008766810806813845,0.01730086601540639,0.017803509232185245,,-0.03424379244765364
CCL5,0.008351655629726904,0.044477346354582274,0.024750120960525975,-0.06985311068866625,0.028681903555573526,-0.035769045663483885
GAD1,0.03563818440108315,-0.0022629648733485334,0.03208337941356762,-0.05395003675540967,0.014434355465160927,0.0025718821110767595
COL14A1,-0.00231829723301095,0.021783110778908637,-0.028338008935196928,-0.06941725210690378,0.05144059623749908,-0.07311696017009214
HLA-A,0.06013561250447607,0.07787707201803058,0.009619902709601502,-0.020811327303339153,0.09590073927650684,-0.11110030401535957
CD5L,,,,0.026818514295851435,-0.0313195396837636,
FGF18,,-0.011924908666750842,,,,
ADM,-0.10032906419329908,-0.03830811276839305,0.05683546136045762,-0.07118848082577682,0.014750719264808164,-0.0025580801122747155
CCL15,,,0.02755691502981897,,,
GNAI2,0.08920052305079054,-0.010423191292859575,0.032153940701029664,0.014035949016206185,0.0075757242968137566,0.010577513265729843
HDC,,,-0.020957460545391632,,,
COL11A1,,0.014743743735333974,-0.009793604185316331,-0.049855793425390836,0.1500958729753827,0.016131151626693714
NUCB2,-0.007280419307781409,0.02403819492441462,0.003506826475307808,0.005655876590302557,-0.017041923527641327,-0.014725254697653064
CXCL1,-0.03939701422291909,-0.0251814683615234,0.040575168739214594,-0.045679092302162196,,-0.05085334931650783
VCAN,0.050665378984244246,0.02800306103980139,-0.03166146864162202,-0.00738278663599029,-0.05178887867210499,0.05015985105700537
MMP7,0.01164356767738593,-0.010990728634253861,-0.030942544789224202,-0.0241708421757341,,
PTPN6,0.021937637441293862,0.0510721275600019,0.04613326463015545,-0.01150046091474814,0.11651171240194216,-0.06424735832675323
PTGS2,-0.03248124393829427,-0.03713847506653562,0.023447572016235534,-0.012613674442388284,-0.0483886634025558,0.048224358648489625
XCL1,,-0.018051860547462176,,0.10230089006523285,,
CD58,0.02715248043679288,-0.013878740243231814,0.0394400394108249,0.04463946117652897,0.01490037781315397,-0.020046105953082424
TNFSF14,0.04383364549839656,-0.00911412632332008,-0.02609351478821112,0.005936004807604258,0.09467272231591076,-0.02566799626859128
CNTN4,-0.032311122287226234,-0.030447148753919497,-0.05990994437234314,0.005333829492837195,0.008433667459171481,0.03305304989429742
INSL3,,-0.012673466072649239,,,,
BTLA,,,0.010761757807924493,,0.042386880947422614,
MFNG,0.05860759324010972,0.0057746422371752525,-0.0399461628752016,0.010237780957449158,-0.05879445143493732,0.036199859577555255
ICAM1,-0.0529770926179847,0.018486248102359746,0.037627692447041845,-0.040904863089245826,0.057216866574122,0.028391800501422853
PROS1,-0.04673808719173971,0.0369208362126853,0.043837558479655814,-0.07525730315304384,-0.056465446815935544,-0.08795074808191136
CLCF1,-0.020923796631246525,-0.0059807110998642875,0.008656927955243317,0.02309395030427426,0.012991382675024369,-0.029912900205474043
PSAP,0.016932358074197643,0.009690097340216914,0.030128641349746247,0.003398596786222888,0.06659721288981657,-0.004567538114753231
EFEMP1,0.011823032925637418,0.07099357004038723,0.06103303172602012,-0.024482304742038503,-0.015997659482271803,-0.06873587240996282
C1QTNF1,-0.03807916292253941,0.020657962459242896,-0.005947174996161711,-0.0004659675219243105,-0.011161591545650879,-0.10635586116570206
ALB,-0.027645009494322213,-0.013836100900267477,0.04278841092014961,0.013771713752406453,0.07052416133360269,0.026890305804139918
EFNA3,-0.0013871259461051687,0.0118031447819598,-0.006140473330235138,-0.04028753744111958,0.03188002578019767,-0.007466170405392689
DRAXIN,0.10108759313871307,-0.0019851813754988078,-0.032178972248260086,-0.03308942117561817,-0.024508418145914673,0.013999968241716756
RAET1L,,,0.03006106916935332,,,
NPTX2,0.07386604016301389,-0.013947356390947189,0.017562291024476106,-0.07309609277351797,-0.06743415230605083,0.025873777344189764
FGF11,0.008779470721544315,-0.025126876525911883,0.056388857768548226,-0.0645709169620949,0.04177135402359857,-0.013101112844888825
CD59,0.05564685706697911,0.020785147670051633,0.01709324074588941,0.03142281113103044,0.044416053186214034,-0.019235731596471965
COL9A2,0.09521144613994781,0.02928286208015545,0.05315900732832713,0.013647615656046353,0.02470796602935995,0.03752494058442492
DLL3,0.16289700342582125,0.06499206213961085,-0.030080758825647282,0.027871412548455456,0.09682727217458514,0.14125060297518588
FGF5,,,,-0.023246366415243865,,
LIN7C,0.03619778433493973,-0.011458119017504676,-0.02928461385276592,-0.028035317378836046,-0.03493961762993269,0.0005720531646869244
GDF7,-0.019531715524621476,0.07124975362284558,8.731609867199717e-05,-0.0427304372100477,0.03438790339858077,0.01679156385439924
PSPN,0.09708718461616231,0.07755542425842443,-0.008129021225018981,-0.029486717496544076,0.10417884570620477,0.004184525674078609
ANGPT1,0.10343931853729744,-0.0034926208865397874,-0.006986776844875833,0.05186182420961935,0.026343785710364553,-0.0027592107570173956
PNOC,0.04080298105237765,-0.05774375998914119,0.007852982631953779,0.009332468968045722,,
L1CAM,0.04761498424131046,0.015571470609809606,-0.02374507783806313,-0.05319554715398685,-0.00611859296859984,-0.005158722046812633
APOA1,0.019540651826583513,-0.016503057475616895,-0.03338325180714137,0.00975416092619653,0.08292232350242251,0.005681381012983183
PSEN1,-0.020564402738075374,0.03143392385784407,0.050152074624216676,-0.0007113234592669946,-0.04584148073934537,0.0214008251168422
CALM2,0.0907086928231823,-0.008821393151847668,-0.030720632118847024,0.00382908529500237,-0.08199847167089452,0.05897693545999503
CLEC2B,-0.07251205704486643,0.016295696176368887,-0.026781394635579065,0.0005484841584981274,-0.015305854889258737,-0.00037856210011674886
NTNG1,0.04927757625081175,0.10567155255920983,-0.028395240971729133,-0.034605768866621076,-0.03057864705380876,-0.036957479153293386
LRIG1,0.06663631042026676,-0.026809219562531742,0.06168149442009027,-0.0328216323035245,0.05462474015631826,-0.10155040518725976
CPAMD8,,-0.014057799998385434,0.024610268385350086,0.03097438178181531,-0.025924450744855387,-0.0009225968389626611
GHRL,,0.021014525991626558,-0.022986245451540873,-0.025926345399847055,-0.0533312071794558,0.02364910655184382
