,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,0.043403937706045864,-0.016880328944507698,
BMP1,0.026829793748702275,-0.038882535361757106,-0.03476956826084766,-0.025598368195815464,-0.055476601558451334,0.046396313976878274,0.055523832331703
NDP,-0.020156240478468243,-0.01801015227652714,0.021692057911460175,0.03447804440631544,-0.036666767096174904,-0.023153768005383674,0.04510687785605866
TNFSF18,,,,,0.013069071993474148,0.11834418797021753,0.03346173374670993
RTN4,-0.018019919081907903,0.01982493955272557,0.027569566358204813,-0.0336155377913625,-0.033187721323498516,0.04753973271073681,-0.052954673660165215
HEBP1,0.07121859462310615,0.030527291306884436,-0.0026831110923321994,0.006206090805564484,-0.0837564390195639,0.01901861288177853,0.1078071548246831
WNT7B,0.08123841883898025,-0.05908597293752606,-0.029588729669079283,0.023214390746398035,-0.006184183301838241,0.07017621098103752,-0.005990204008960542
PTMA,0.06511240607539531,0.028527224088944644,0.01364124321355549,0.02121256435137638,0.007859495869407821,0.03091194541345964,-0.027839706050024993
FASLG,,,,,,-0.014640303534764091,
CEACAM1,,0.0642061099703388,-0.022498121481132463,-0.02240930164386991,-0.024603168577143,-0.020369832099431467,
PDAP1,0.03469769692807825,-0.09148462887187296,-0.01871788505560401,0.004908098099499557,0.04639331800829974,0.02471968780976314,0.011173170106599628
QDPR,0.03778951341935224,-0.010665158782739652,0.055056618432934794,0.06630980344117776,-0.02825839929658967,0.010461073365700655,-0.014665515850398048
POMC,-0.027201861599235027,-0.023912917673663464,0.0822643696464872,-0.008891660837443166,0.11932922148734541,0.012606714957829631,0.05759428961753821
CCL18,0.08934235943741482,-0.03815060945993713,0.011862166072950363,-0.039926008828343205,,,
CCL17,,,-0.015961328251174474,-0.03234923376619734,-0.02189018087260856,-0.013269790760949723,
VEGFD,-0.01837867728961712,0.06251771066743349,,-0.02240930164386991,-0.02308738443118722,,
TNFSF13,,,-0.0024579336355302294,-0.01218111976157852,0.06195769214114424,0.09196579370797714,-0.03362220661069791
WNT5A,-0.005195171321430942,0.07179420160911257,-0.037513478853741816,0.02332306922424465,-0.01582231787820538,-0.030470169625167118,0.07507711218972679
CXCL8,-0.0610891840068293,-0.06593961530547836,-0.05121425331049193,-0.07910269041081505,-0.03107928511640095,-0.027017884564453577,0.05654491786229714
GRN,-0.02965590177247011,0.027624176546392005,0.04748757826490014,-0.07609620664447668,0.0034611143655075183,0.03144259510420812,0.08610956444722566
MIA,-0.024924788187748393,-0.010034098763211314,0.04825225311207745,0.10438850160946286,0.036773838412249286,0.0005240143320491659,0.058618809362735
