,UKF248,UKF259,UKF296,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.005057222229752153,
BMP1,0.05990165294647289,0.02021418157081206,0.03442199003356484,-0.00680527672900615,-0.026046356891156752,-0.03511130992621851,0.06210742910737863,-0.058465912663507334,-0.024699343216150433
NDP,0.001739588712494156,0.045480705153623145,0.02054407616871408,-0.15877507154834938,0.0028196115731081474,0.08255405469872773,-0.016887293205920594,0.02336167117853521,0.023284031039954103
TNFSF18,-0.0303515815826664,,,,,,,0.10822452805129813,0.034463649542816624
RTN4,0.06063891912670277,-0.030390629521135467,-0.03732807975853036,0.1048498515034542,-0.031178259585991012,-0.06791682690444611,-0.017012517089009593,0.04509581823466604,-0.08794190317010585
HEBP1,0.010103322857745208,0.01573431295932993,0.006747259868150297,-0.014540298012880084,-0.012390511250414649,0.01802651435138119,-0.01141470512370471,0.059098292745958805,0.03377258571080294
WNT7B,-0.009293991927596943,-0.024648099545544516,0.024482140064771486,0.04102272516530743,0.04142275315848168,0.03333299165591664,0.024986752274726697,-0.01656047650630093,-0.013003361356580775
PTMA,-0.0581099825739462,-0.020435678611635113,0.000502146011260455,-0.010082372135065172,-0.04611718328933348,-0.0003260065537200473,0.029164874231668334,-0.07014914759637779,0.0026073689799434954
FASLG,,,,,,,,-0.015589436743043535,
CEACAM1,-0.001738957581489509,0.03457208901893865,,0.016619212278265776,-0.03232349997803595,-0.01622066927466608,-0.018955044167183875,-0.021690411556458317,
PDAP1,-0.009612162396647885,0.039315483909137236,0.006959001441936859,-0.08541429213015243,-0.003933084618792801,-0.03209229986096107,0.016634331836286896,0.030877657576707535,-0.011264166359190635
QDPR,0.014017124174154728,-0.01021811843120076,0.039779523610960335,0.01904939034060851,0.02290528546980214,-0.024295133399408544,-0.044566623258706445,0.011011219684890567,-0.0004834501400204756
POMC,-0.03055850693109621,-0.026504492849403104,0.004112817829473557,0.015659847507466903,0.026333270520325223,0.019498982306560317,0.04614898041974266,0.014787895465403548,0.014955146593060102
CCL18,0.047847187341895615,,,-0.05106955383645755,0.01004739177712342,-0.033603934966956,-0.007550329595594136,,
CCL17,,0.001236964204851099,0.014016896511366403,,-0.003376873810836143,0.022158715320070226,,-0.014130073407974777,
VEGFD,0.1742257115001868,0.04418680495943065,-0.01330158295383739,-0.05753556102126119,,-0.0374320805429702,,,
TNFSF13,0.09373783037355744,-0.011379006680974281,,,-0.002825019276694581,0.015253243445701274,-0.021285244184631603,-0.02302377522898852,-0.033622214477782145
WNT5A,0.047724113394437356,-0.02419600299973218,-0.0414121917158916,0.0022001535088918777,-0.022801581137139083,-0.028770597753610988,0.08849538411999987,0.018420696624385318,0.07116431519710419
CXCL8,0.07453686175396816,-0.018762469881681502,0.05493190964601813,0.15321996900670087,-0.02640743441840592,-0.09268955632194419,-0.010885663400869083,0.013803164996448342,0.04506171429254433
GRN,0.032593477315619665,-0.004370783741212004,-0.012476214980231421,-0.04350231442941573,-0.030074999857843628,0.02390710561072494,0.04057023999797786,-0.035371905532339536,-0.01804193162533291
MIA,0.04557693834909584,-0.034736369965666196,0.02270907986928666,0.040836019395524996,0.08982759000705218,0.08633456301311151,0.02260010743396393,0.0737611972738214,0.1262115792786518
COL4A4,-0.028952282554405424,0.026669863104633016,-0.025413415792147575,,0.13021400744452435,0.02189313092591746,-0.03820096546651346,-0.03141390680364427,0.12750265527884191
TAC1,0.07189079792157266,-0.023457694849513225,-0.014528263518671144,,,,-0.032702851148617595,-0.01857541830112227,-0.061232760557783025
RARRES2,0.06853799824661751,-0.028488382243243588,0.0020186823780150636,-0.021964377476951794,0.04678774053436928,-0.039047870159045366,0.01693696663229378,0.021019794505523676,0.013246681336406727
FGF7,,0.00214489688305427,0.039910115404628375,0.01982394270484762,-0.01443121531197756,0.03610719901546774,-0.0037201047586293313,0.077228146523803,0.01424600419686045
EFNA2,,,,,,0.02996077997125701,,,
HBEGF,0.050906090375799955,0.036397840334537024,0.007292668014257562,0.01827808918010072,0.012399574500915583,-0.024236561071764893,-0.006912735581160888,-0.00433182209937126,0.022524280858693256
CSF3,,-0.019662545454230688,,,-0.003937747972968325,-0.05013480312430203,-0.02717464504740315,0.01252323747010997,-0.02672659816062377
PI3,0.0011642605830986242,-0.03393161714679752,,0.18365444614006032,-0.031226234493653044,-0.09139111556422938,0.02399371857911715,0.01888619781999906,-0.004205603392788089
PCSK1N,0.007412374873422802,0.00031280003971148693,-0.03782316272099034,0.0869474283249873,-0.04407713956894729,-0.008567712423175828,-0.02286283583870132,0.06682404060163281,-0.05831658170716663
NTS,,,0.02739302297499258,,-0.009658650352954327,-0.0008561501039105609,-0.0037686434296939405,0.01677980083151997,
SFRP1,0.025522633560734677,-0.014393947977214657,-0.018134101955533017,0.03158906578554183,0.01185839891751589,0.010466785136539017,0.02098247898943639,-0.02151856077815784,-0.04931394816220154
CXCL13,,,,,-0.017144294340334088,-0.0022899409987668863,0.0168912727031735,,-0.03206230797125617
