,UKF243,UKF255,UKF259,UKF275,UKF296,UKF334
BMP1,0.033532972170174695,0.06125632552559471,-0.011065191849109904,-0.0933716312110582,-0.012717371388542382,0.03807998341783183
NDP,0.04736259164931963,0.04370031313172892,0.024613185646220694,0.05217774950435877,0.0061994294515111785,0.013076697157591601
TNFSF18,-0.038687657007233145,,,0.005345069252089902,,
IL36G,,,,,,-0.01375290994419053
RTN4,0.015278179593821951,0.06343236863931065,-0.050759908167799676,0.09154539472970465,-0.04686274912170011,-0.06745704630268086
HEBP1,0.018706350292960066,0.01344343812673804,-0.026206887872208495,0.06797262206857715,-0.003111749230269765,0.032850078057832174
WNT7B,0.03570545692683919,0.05531630461989857,-0.02669571681640137,-0.022862069891839084,-0.01574878461297666,-0.015116032933254355
PTMA,-0.06931802878072138,0.04626600762819324,-0.036117602013260586,0.10656006331676154,0.016093083586252867,0.044771519163907834
CEACAM1,,,-0.010859183095633758,-0.02203177806904078,,
PDAP1,0.01812943567352668,0.03922342791840123,0.05895144281018746,0.06023975082516752,-0.020405850441405648,0.01462590403209339
QDPR,0.09119736912719222,0.11818102588134408,0.06479480896928337,0.08167687846392041,-0.03951306191088492,0.0029832289305001427
POMC,0.030067879583942785,,0.037313910517245384,-0.03235382430633588,0.006722838229652428,-0.029465756960951908
CCL18,-0.05188332910937477,,,,,
CCL17,,,-0.017867072547488868,0.010718163080016146,-0.01949258052623344,0.09554841802871471
VEGFD,-0.05845734720018606,,0.010556146083027726,0.02075670614095324,-0.014298043548063464,-0.013464878220679016
TNFSF13,,,-0.012324306766366474,,,
WNT5A,-0.012593249482160727,0.1300232031555869,-0.01078461469716189,-0.00959479062124305,-0.0012484949120180858,-0.03158247771100261
CXCL8,-0.05799168979114629,-0.05291206717255759,-0.013122211482739872,-0.051387347790071584,-0.01331495985155874,0.004380462760333801
GRN,-0.0351796472274543,-0.0014690672331271785,0.02103071143883462,0.009354451705339205,-0.032966326578533614,0.030705786044519703
MIA,-0.0730126437647452,-0.0011310829451604667,0.04244819550624645,-0.03578796524755053,-0.01626101339598851,0.09080193841190999
COL4A4,0.04623101858440126,-0.005355703163227848,0.04989754820875377,0.008745858636900873,0.004706773216399756,0.0769401528407297
TAC1,-0.03365242345216072,0.04800953117955381,0.030976960375095723,0.13704532655895574,0.007920655244183897,-0.03170168527845047
RARRES2,0.014638994277317425,0.007622058900966748,-0.032179858951770945,0.2118165008697027,-0.017320196943286126,0.04769780157570742
FGF7,0.01613214312376749,0.020126450258236697,0.03386045618372088,0.07136751267964012,0.015262934294635919,0.03287625270324649
HBEGF,0.015702162862378504,0.05401407863528592,0.06422896891141958,-0.13983706887270855,0.0486139933308734,0.0379249049456424
CSF3,-0.027965686782412,-0.025047406846725365,-0.021295992592282702,,,
PI3,-0.014351325414927577,-0.0024926317432092337,-0.00362129854770401,,,
PCSK1N,0.055036113887838606,0.08763621257817165,0.003417859074000323,-0.04045950505275221,-0.0072156295792562,-0.04596189904351143
NTS,,,,-0.03813827784733559,-0.03276443474126851,
