,UKF296,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,0.005211126115786622,,-0.027439737776861543,,
BMP1,-0.03807706848347889,0.04724769871944771,-0.039335470391938576,-0.029189944520772657,0.09307435342408862,-0.002277317647443117,0.07902591093731197
NDP,0.054578200860397066,-0.03639793103295979,0.025194962920095317,0.054389803907398816,0.03877315350324573,-0.07461782531166189,0.029633743590855913
TNFSF18,,,0.09904491137976786,,-0.0077487423821197944,-0.02731555726395384,
RTN4,0.028013831280973137,0.0009521812232018398,-0.04739621558974041,0.09753470977487651,0.07613769641617142,0.05637250528261406,-0.05372400511875084
HEBP1,-0.011560829516268868,-0.012293682691965,-0.0623667407630371,0.023811789386035443,-0.0034505229807240403,-0.0193906513777142,0.004580999735600862
WNT7B,-0.01796578800021191,0.03717537926049294,-0.04425492806682375,0.0312574749001042,0.028267302592116673,-0.022111519321751587,-0.05292296055263505
PTMA,-0.04131820383468149,-0.06956453508599361,-0.11426793340731542,-0.004589945796065839,0.017406367926703078,0.011153187226873093,-0.18428249302714642
FASLG,,,,,0.011445352596383877,,
CEACAM1,,-0.015399741502058499,0.11040925437769432,-0.02020353948150301,-0.03311208289865454,,
PDAP1,-0.032344825006825936,-0.026812831545064985,-0.08341617169383989,-0.01783884380187547,-0.009918010480558487,0.016639561310915013,0.06451858009020757
QDPR,-0.00028330229852966234,-0.0557782272158162,-0.06583293787415805,0.012147615740838506,0.03274444643421908,-0.005634349310990819,0.0124659911641259
POMC,-0.016320533767230107,-0.009766174256996612,0.15417485126261737,0.026549977321663698,0.03844738811260099,0.07144182684273624,0.0388930891772925
CCL18,,0.057451892446695886,,0.009677422822303532,,,
CCL17,-0.009677362476567504,-0.022230493645275035,-0.027056668869010533,,0.016546318677619305,,
VEGFD,-0.016310821788155384,-0.015399741502058499,0.04062078933634999,,,,
TNFSF13,,-0.024163786556016878,0.14247511036231061,-0.02268722074529077,-0.03514756518279446,0.09013739097976226,
WNT5A,-0.018572953549127604,0.0005764615381994766,-0.011291680732560282,0.03893977068763872,0.05443727539425387,-0.025374994084493258,0.13241914298441668
CXCL8,-0.01518934646723979,0.09258367366468409,0.01848529291455583,-0.007975352103169733,0.02422862953485764,0.006428121427893249,0.07727275086708875
GRN,0.020868346515633043,-0.027076808099727883,0.04752534798991688,-0.02529700771487971,0.04109176543903014,-0.021956609588223146,-0.09299951970420303
MIA,-0.01855012475694263,-0.05987916398392053,0.1096474513262452,-0.006510789857297028,0.1311175705014322,-0.02588296910561015,
COL4A4,-0.031162734349179783,-0.024657394031632376,-0.04167861126618182,-0.0010105304913009426,-0.011031386992110476,-0.033211492494538676,
TAC1,0.051237003245907894,,,0.019086779479747372,0.060120523956957515,0.03569146184199992,0.12672970177403317
RARRES2,-0.027820128527174227,0.030497353170522153,-0.003393348944429014,-0.05302814529171774,0.02611656792120014,0.011780892140891976,-0.02270404537081513
FGF7,0.04975310112438088,0.0031889161080948555,-0.05154157881265578,0.06389916180541448,-0.014087068878910852,-0.023410168864421592,0.03281314694626558
EFNA2,,-0.014636423699617549,,,,,
HBEGF,-0.0418877542761027,-0.044036513314566754,0.02753875590243245,0.015851753973080616,-0.035330599534249996,-0.026078407250408726,0.012835426528824414
CSF3,,0.10086962643355915,,-0.02896453362327393,0.051089110090757874,-0.03493469018192979,
PI3,,0.12600759971377384,-0.022989053047222208,-0.052124946938277295,-0.049342504754906806,-0.008741985621629566,
PCSK1N,0.03713512390284763,0.05019225295416673,-0.0055456204138557876,0.03970135570298739,0.04812545947914262,-0.013961133359397856,0.05710129454288358
NTS,-0.035888838716544844,-0.017831704820110147,,0.058755660667840715,-0.020560504154552437,,
SFRP1,-0.022236609455539163,-0.01867984081256394,-0.0749372114829899,0.06479863825213754,0.020915150397912464,-0.030445060516742253,0.08267915411158928
CXCL13,,0.034542855214873186,,-0.047247181739365526,,0.04643876354591966,
