,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.013231780592814936,,,,,,,,,-0.020417120836647963,,,0.07355668495427681,
BMP1,0.026799412731564113,0.1649173991364595,0.04670186527037134,0.02149090207817105,0.16653249822459484,0.008893786246529924,-0.015612566597140267,0.28304621959245385,0.1069323956446986,0.030077754901859034,-0.008671582792275966,0.005733014701900031,0.07072834185928518,-0.03501701058812109,0.11612929831154643,0.05302567084974187,0.08446900777856699,0.09520470069676656,0.03675088337549983,-0.03165943284827083,0.13102690161891903,0.15670178055070544
NDP,0.012529864267692193,0.1481273721370722,0.008248822144329026,0.006017432219989284,0.15333535171108076,0.009512434800385243,0.061475487529065356,0.0326231431860701,0.020655535651171425,0.014453029007610108,0.007465655326423285,0.07058146751875399,0.028383194577637716,0.08378025794681757,-0.014637288461125112,0.10071412001190418,0.035789083216269245,0.07574378192345388,0.0074491801169378445,-0.042686730396622456,0.0595088601716673,0.005788662077545765
TNFSF18,0.0830350781619595,0.10801365063956447,-0.00798819000373597,-0.0001376340264669994,,,,0.052765375747745605,0.0005244603697551868,0.04338573042267804,,,-0.029395999156425993,0.0414761883500409,,,,-0.009257726674555742,,-0.030078540452281075,0.07741672371119884,0.05374355726862129
RTN4,0.02384232706424028,-0.15904659362598744,-0.0033616891278463673,0.038084534071865996,0.11692504790542523,0.013762212630089418,0.06065414625990099,-0.3353856380757045,-0.07762469425376525,-0.04862362676254951,-0.07697724287668395,-0.027166230790205078,-0.0402074741508408,-0.08425916028442228,-0.06918784717560023,0.00247747259149806,0.06639575888306319,-0.17925859746835576,0.015128160833771283,-0.014157441487181665,0.030790374210084657,-0.07267873187707238
HEBP1,0.03616513851919892,0.05086137199773323,0.03838578286337569,0.019981070405826848,-0.005234398379391366,0.00046969301900907456,-0.06263073785168564,0.12357420764430961,0.04737175498575449,0.02614664513879554,0.02631216929420262,-0.031367653927734426,-0.05231646985895217,-0.08346454811834349,0.0451964921595491,0.017447476967026095,-0.06262450146749433,-0.009153494382882548,0.012604997516122826,0.07403814841461909,0.07609132881640511,0.045692565838336044
WNT7B,-0.019303083829320108,-0.060567343113843146,-0.04672128469784952,-0.026576981820981713,0.0723654640880758,0.028600315573036952,0.042359839946491326,-0.027725469920883834,0.00966264676514786,0.014426151582610333,-0.03405735918047886,0.026590995483435954,0.06114769580934887,,-0.06737926515889547,0.020692485216148183,0.0456955013651783,-0.05565031605841742,-0.03209588305840398,-0.03007850926309412,0.027097465835022625,0.07243030645196066
PTMA,0.11789832081545083,-0.27320896857944704,0.03522373214041005,0.07921309558422053,0.14597576334827458,-0.004031234933172927,-0.0027580271547549195,0.42249019167734464,-0.039094409701836016,-0.00011229311656393039,0.05520090576615083,0.046460633744006635,-0.07312664256443417,0.11843525430364542,-0.045831573994525476,0.03098024563380928,0.004469774204744346,-0.11364218446476257,0.15355239108787633,-0.09623879982282788,0.05125007808118386,0.08379616063881526
FASLG,0.07657040260561263,,,,,,,,,,,,,,,,,,,,-0.011703954193259612,
CEACAM1,0.11145263977439634,,0.037859260604896444,0.05946535624339632,,-0.000594746242310021,-0.023654899503965546,,-0.010637739715370855,-0.013402729673794387,,,,0.012718355144096105,-0.008334580938819502,-0.009678536515724048,0.014287781556649577,0.07436649726856255,-0.038540617596290676,,0.015533499054495171,
PDAP1,-0.02443250996039634,0.1016402706542308,0.06085111694088619,0.07174503086609314,0.03388543209406286,-0.021195271978306996,0.005824838093083021,0.19871821219040298,0.06968432967560852,0.028059050490889918,0.0030316094987709865,0.06457904743742063,0.027328995294578468,0.036881444933433205,0.0044224151378790925,0.08534290010450678,0.03028964295832119,0.0672733242420117,0.09583551680048644,0.006233849901473839,0.016093125761161654,0.037361487832813955
