,UKF243,UKF259,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,-0.013609680867719515,,,,,,,-0.027914070396640168,,
BMP1,0.0053285736381832585,-0.013649521742004749,0.05677605415058378,0.06560777587522143,0.01620074289871063,0.03299364839716289,0.04285572379882494,-0.003959603115258951,0.005850500504916875,0.06395621835413519,-0.023519450418009534,-0.018108408992624125
NDP,-0.018507902440613313,0.043488183254761135,0.0035567918716742333,-0.013983166632050062,-0.01570981528802681,0.0068960357369248736,-0.06754625003368339,-0.10341339087482815,0.06528787446633985,-0.021241600075198427,0.012603095697124098,-0.019002240769600894
TNFSF18,0.07613305724976359,,0.018441836713159927,0.08911435497835818,,,-0.028411559467978128,,,-0.028787288087777953,,-0.007789236388057393
IL36G,,,,,,0.08356882921273298,,,,,,
RTN4,-0.040473702067170755,-0.03922815334733401,-0.1047010673043147,0.03445615097714847,-0.008698397544775513,-0.021959308022286735,0.01882207003970874,0.1695333701133728,0.01285904659728197,-0.12004554692530373,0.035762433514749385,0.010071941075933129
HEBP1,-0.01558195559567794,0.03056332304131379,0.039449982611961906,0.0752453597628511,-0.009303830316268559,0.021244487799422646,0.03576088479984349,0.08115446567926073,0.0369867870440328,0.07436596174722639,-0.07803062697241218,-0.053995603605363617
WNT7B,0.0007533159486359962,0.003243469655695944,-0.009473758673137695,0.007964503887610153,-0.014901628566693944,-0.0059178276682348005,-0.006113273513342724,0.042960737612374664,-0.03611580246093204,-0.06019654822255303,-0.023907317639476268,-0.04821872115268519
PTMA,0.007791979709200178,-0.018862445436788697,-0.012224781490225182,-0.02517724078649766,0.06716988517413888,0.09217444278408532,-0.009358603234898878,0.0006959781739472664,-0.023886032822055172,-0.0087737448430971,0.007386112623739274,0.05393496069998771
CEACAM1,,0.008521233072816407,0.049110196366449824,0.047027986275643086,,,,0.11185914166099288,-0.01749642487610058,0.12149132806051684,-0.015867634418186644,
PDAP1,0.02560050096902257,0.08267727011324003,0.027434071024621472,0.04763323991011198,-0.055151240974334256,-0.05891201588687384,-0.01789169292845763,-0.16879930089130518,-0.0375577251777115,-0.036063859868790175,0.028969562251738138,-0.019414533171014527
QDPR,0.04100015103584585,0.027400471065077727,-0.05724931886924715,0.01020579435038953,0.010212911348728126,-0.0057482677844722385,0.04387886505444368,0.027457113519725143,-0.01720519663880459,-0.061319232825039295,0.05700205797321522,-0.0009922871528371753
POMC,0.08234502218849278,-0.02411225333334161,-0.022787520939659807,-0.012878323978205713,-0.04007946817713011,-0.03302843746195574,-0.07656822786005284,-0.02379541028191057,0.10091903363835039,-0.04397603812534534,-0.02595736544633713,0.0589147009393804
CCL18,0.0056728290273074635,,,,,,,-0.03758158801349942,-0.0427251109407031,,-0.008492708540138661,
