,UKF248,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.04548744607882561,,-0.010012099781757109,
BMP1,0.05391311138495969,-0.0008677109659085253,0.06561676045766152,0.015044576887750747,0.059470640333303855,-0.0006695315416007433,0.00621107565817017,-0.06013978720626309,0.050802204196688974,0.05451893595572978
NDP,-0.011318167243267726,0.05084209457683123,-0.044240411249302086,-0.0361909228471816,0.02541566078099038,-0.007129976770553217,0.03164477052261792,0.04119022502017207,0.09548216403243276,0.020499618566434438
TNFSF18,-0.024830504610871256,0.0330876192194868,-0.051826906197415805,,,,-0.017122455308836482,,0.01634039694498848,-0.030906822224398056
RTN4,0.07289531842847186,-0.018824938514018074,-0.030960521945112004,-0.010738031946939437,-0.07164865812450683,0.031402033118337926,-0.04903287068855386,-0.006219464008338772,-0.016835468555106318,-0.05659879376760789
HEBP1,0.05352818912770174,0.08652343484497817,0.06408841097537402,0.014131652235695406,0.033022068962817425,-0.014953209160456712,-0.011979683354292739,0.002385910835082188,0.11852521943664138,-0.015333361986162137
WNT7B,0.012078247555894237,-0.027806289488564614,,0.017239370732903412,0.02692794512912918,-0.03178787666294823,0.0332041756889523,0.002313160213560348,0.03247715678389101,0.049336314428063854
PTMA,-0.04298600904269017,-0.02097163496371434,0.0730425671968031,-0.058505153459706555,-0.0009336241970339151,-0.05213878175810301,-0.09398662562365827,-0.09013783531664547,-0.11018063664087012,-0.040545270132578526
FASLG,,,,,,,,,0.013000717813503525,
CEACAM1,0.07117863279495958,,0.17090588055530237,-0.0021591754777433754,-0.023400515689571556,-0.01539974631896,0.015570466926788208,-0.01777927263098074,0.07703250875631511,
PDAP1,-0.027933556333288798,0.0070953440396868475,-0.0007933435002534711,0.027033431621510375,-0.02400493760054895,0.016932000353201252,-0.033700351918017395,-0.030665637000633746,0.011190503351866539,0.07750982864500186
QDPR,-0.011998131954567568,-0.07533548974034418,-0.004523345737189,0.02776543414139898,-0.04281721822149993,0.035569076285223204,-0.06267118128228677,0.04322933810563072,0.007034387088435423,0.02616626694283349
POMC,0.052116067111711045,0.06603298584219117,-0.014132301190450138,-0.02422015167465668,0.011826199436133996,-0.036076107404481715,-0.030000189641625805,-0.016354139413594846,0.009224152299062396,0.023282359045009453
CCL18,-0.019721818518551773,,,0.12427848946476758,0.07617429603291678,0.044241923789753904,,0.009995174623125706,,
CCL17,,,,,-0.016601533264954588,-0.022230500598774752,0.04684287064733841,,0.0584235047444391,
VEGFD,-0.019721824781152864,,-0.009388730864539353,,,-0.01539974631896,-0.023087395779263734,,,
TNFSF13,-0.01488272184950288,,,,0.009659628503128988,0.009441371015600336,-0.02347439961789538,-0.019964931552664714,-0.0334335702563974,0.024953731712651205
WNT5A,0.04226398157212372,0.015374341713376972,-0.0261933172191061,0.08088874289751999,0.03565306849920251,0.006311434295208028,-0.011377510338890333,0.022918812535329656,-0.004643961892068545,-0.00037784806596755945
CXCL8,-0.023008012953208097,,-0.0288964743818932,-0.034633712344286305,0.022453650419867,-0.08337526674155837,0.05535075403273776,-0.04730638916265014,-0.034643762656685166,-0.05453455420351805
GRN,0.01394505479415133,-0.027113147329688433,0.013706129433991542,0.08085295901095338,-0.02275511445916773,-0.02724518095580023,0.05339694711756862,0.005655732986225431,0.002485572559180265,-0.008024231754741748
MIA,0.015627201744041596,0.018420765093615968,0.041156717332451465,0.0540260389370932,0.0637862465913576,0.12313452917614298,-0.023336743215750282,-0.11296798126404119,0.03700339658503454,0.012907253638067802
COL4A4,-0.023685743805620017,,-0.038793622793462317,-0.02487016085280768,0.058471934912178086,0.057925827237039346,-0.03372007071523806,-0.014948861032469247,-0.009144132133927932,0.003316992182876862
TAC1,0.1190992225328244,,,,,,,-0.018644244842729692,0.09983188382149402,-0.0220156727387472
RARRES2,0.045294611996379984,-0.01233541403058668,-0.024194550220880587,0.04470883101592976,0.0754973659370806,-0.031892937469019,-0.019201073965788216,-0.02921101147616523,0.056506285141156236,-0.020816595254885016
FGF7,,-0.04289581490182949,0.0549846610545835,0.058875384265176224,-0.05202668059002025,0.06621962741265215,-0.018199969503314428,-0.013448180013501558,0.09600612801297273,0.03407175407103873
EFNA2,,,,,,-0.014636428277760063,,,,
