,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.019707891479319777,,,,,,,,,,,,,0.025778581742076076,,
BMP1,0.11474423502309337,0.021937662579342567,-0.0788225154748686,0.07458439412338708,-0.08522693312345787,-0.054939122703582303,-0.04292865572313143,0.11257902587648241,0.08944369642502584,0.010667708512393959,-0.015298641026764152,-0.07012608673470676,-0.04342386663773266,0.0095865649451583,0.037396468172214044,-0.04441449669709619,0.051176972513954366,0.05812155365505963,-0.0364116843470841,-0.04589935344148218,-0.08428754962060221,0.04816836819018385,0.08507463008580914,-0.02929392876174945
NDP,0.014592876313610868,0.037543620643459646,0.028174458837127592,0.042051391360596393,0.021851211181765536,-0.10666097388752986,0.009507093264314447,0.03177151176751185,0.015058929621515076,-0.04433222762306586,0.003720332506120126,-0.09760683543008428,-0.10260057301732611,0.003859693352633563,0.08042546999641129,-0.019109399628684194,0.14041325634657584,0.03379095351531905,0.03497572235709408,0.07882004931079899,-0.03856906093662737,0.1155358013133751,0.027240579118878085,-0.0243618024077841
TNFSF18,-0.03926160259687246,-0.04405072678208884,-0.02721496688740118,0.05430309236508718,,,,0.0676401564382337,0.12378309188689189,-0.024518466551846592,,,,,0.09906224804177796,,-0.05644088284655222,,,,,0.03047194608873251,0.028145634148868927,
IL36G,,,,,,,,,,,,,,-0.03641618409383695,,,,,,,,,,
RTN4,-0.13121582172620924,-0.1251651187981406,-0.06252579464987246,-0.008773943063111835,-0.03896419681085462,-0.022718408834781854,0.06435353439574733,-0.17253906016755505,-0.16336644958879284,-0.09295693992669068,-0.012596352305587283,0.2860334069696872,0.12134872828151236,0.025558860452743786,-0.053727768080249524,0.05724244416220735,0.03307694347236265,-0.17680747192505294,0.030700624723016552,-0.0039298651938142,0.13086762124830914,-0.018968115827997543,-0.17293729448426523,0.05520115967300349
HEBP1,-0.022984787473912766,0.009531784097186944,0.003873459525608071,-0.035992740091200126,-0.01470149385229062,0.012103757218727187,0.01050948793537546,0.11782204433636612,0.05661902903344521,0.0007503168893272652,-0.008075725912322496,-0.061969593990871305,0.009614599491156053,0.025465625308520947,0.014798097761001317,0.041366637398766046,0.007207596476896577,0.007285227776150268,0.08553176419950136,0.034700302281623505,-0.0005534381174120233,0.1209473031102855,0.01573771763310858,-0.027858786350169345
WNT7B,-0.03780764844319225,-0.0851983188223158,0.03694765936810259,0.017735635089187678,0.00811845465591336,0.05355272387647463,-0.03134001175735197,0.012186258487360492,0.02726187124345806,0.08134235968140181,-0.021700879954619275,,0.00847675312996103,-0.040025582971145696,-0.022129290824429368,0.05414217913217228,,0.048193381481910616,0.016180185261080827,0.010337698260918701,0.022413839325166142,0.11053768398393585,0.09341882826462393,0.2955664976906094
PTMA,-0.08197787103911251,-0.08750136741755543,-0.10061310010909236,0.09032745533184625,-0.1406983823622063,0.08650478436408023,-0.08235776033096702,0.20696588341236677,-0.033229370619997596,-0.03138382713392447,-0.05218635202530514,-0.35463799620890346,-0.08591409378439162,-0.01024733773781828,0.0019541553957636093,-0.11647953708894111,-0.04427041175860174,-0.20520055031035622,-0.08733391607076364,0.06126729814286715,0.032947141505590576,-0.12676878411789538,0.004560609400307565,-0.18243557553844278
FASLG,-0.009582249403081763,,,,,,,,,,,,,,,,,,,,,-0.0037532206217005025,,
CEACAM1,-0.006087672524566758,,0.04028016594741741,-0.03490547570582576,,-0.013628894026135761,0.05004603482531479,,0.04620880196859148,-0.028549766788494496,,,,,,0.03897217917032026,-0.03195724944662196,0.038475783399674175,-0.02883066282116715,0.06938656095301662,-0.05542963552470016,0.02436452551081987,,
PDAP1,0.15336825187034184,0.059740271958597164,0.01864925445867995,0.032021188665817955,0.09473169435350709,0.009259424101592214,0.051621553508451386,0.13756454031668444,0.08703934613645882,-0.06572228953112262,0.051982735587664364,0.02989570207111912,-0.08070679697007599,-0.026105340198789965,0.01944476809116917,-0.08363131856818819,-0.08569624000256636,0.03813463359423837,0.010691186410652151,0.03210064476597171,0.0609126607510002,0.12220352218661634,0.03111340882336903,0.04248471211632325
QDPR,-0.1735402754279757,-0.0266530734958553,0.012326387843036215,0.024545024752557484,-0.03391232821287693,-0.00321151301250124,-0.0920070116494502,-0.021380358276724368,-0.17080496623749586,-0.07037960762665892,0.0023582632533486556,-0.3073109835130582,-0.053694597147146646,-0.01384109640965269,0.05773916400582071,0.027757541038830335,0.039406021178031984,-0.1599433717043246,0.03165653716785546,0.0059175473373861524,-0.02516620449182,0.04116813589407765,-0.08080954308263105,-0.06957466033679077
