,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.05754223923305433,,,,,,,-0.01887240396658153,,,,
BMP1,-0.0024317839533820424,0.05651488350031801,-0.01368218116404701,0.09190777413918874,0.018964790863435603,-0.11190020152932416,-0.05998434300172816,-0.47093457842050646,-0.09109857104069198,-0.010363279730540704,-0.10796491142497718,-0.1344073904206457,-0.11224602199149766,0.004641765082419817,-0.02121458349267216,-0.04993771481226939,-0.025696342729875036,0.004485700858271147,0.011089036641551735
NDP,-0.04209594363854794,0.007048818393002255,-0.023619459157209092,-0.006462964050008149,0.050699077733538225,0.1388295380639994,0.030275825352639577,-0.15053579777523957,0.049802821415458096,0.007635213941130342,-0.004200371821086893,-0.05190654219834261,-0.009710482852442024,0.06047947810851158,-0.0814380830647536,0.07583230846382556,0.02834218184497929,0.011717248787828056,-0.01999067312302998
TNFSF18,-0.014492926170305594,0.06148751258312075,-0.005995656602235169,,,,-0.025951016705585396,-0.10153075275813674,-0.02295869928253787,,,,-0.05713116616715484,,0.08372631582382255,,-0.04072959512087315,-0.05408468128355411,
IL36G,,,,,,,,,,,,-0.029220579172809187,,,,,,,
RTN4,0.24615438426383626,0.09296869125602648,0.04357162582071082,0.032167901489041424,0.07737898571579069,0.19686448368723566,0.3129694232078964,0.624743030023573,0.1461857259996234,0.10381713242826889,0.17521328598564623,0.19200693157237508,-0.03397913190070364,0.0154383111756571,0.06501852765536377,-0.03285444028566189,0.015280071091612956,0.21611708576429783,-0.023857234334307902
HEBP1,-0.1405971435783561,0.05137463147873931,-0.019158514386788738,0.06640305933751729,0.0015220715896374984,-0.011494306837801293,-0.12222629748483556,-0.22348907303131407,-0.013060187642234917,-0.06004887367077912,-0.09223092442296368,0.021694049334454343,-0.021012557773336795,-0.016517679413901042,0.004780690036646051,-0.00038078073273880745,-0.03129793911480413,-0.01422471229314525,0.031245029062038413
WNT7B,0.34998761009224466,0.050246740420516044,-0.015367955345973922,0.01925276710323887,-0.02428280661329866,0.07074827913544672,0.13904433285250997,0.4816145645612221,0.0018153103896033404,0.03873581481089443,,0.021660250447381124,,-0.0334858786319272,-0.015887033518558826,-0.023652670105438835,0.0603978056142389,0.0036561068665892683,0.06163658112100919
PTMA,-0.0004913387832893075,0.08271655681974362,-0.02781985968341209,0.026156475536773114,-0.010401575736220893,-0.19255634763101703,-0.3081814615579336,0.11804614283559255,0.04154152981810591,-0.0413770577128509,-0.27195021644994527,-0.20290416941030842,0.09130745843346022,-0.004039881462227173,0.02343080391828668,-0.08789577054580769,-0.1197026956215781,-0.07063791594097674,-0.10465521367099925
CEACAM1,,0.04711798780315995,0.08527387512887229,,0.03494739569351474,0.030030131604889196,,-0.13717597508127566,0.014056483697953752,,,,-0.04017290579550743,-0.0187637893835166,-0.027965978741559688,-0.015698621146328542,,,
PDAP1,-0.07101159943351895,0.03727238203215895,-0.0034607088426153133,0.019690784274718647,0.05061896323454244,-0.07477443227796855,-0.10475491698107377,-0.38456847709222974,0.03376179988092524,-0.007702690515925663,0.02445240585742535,-0.10706038386247202,-0.008850544565752854,0.06968318480962332,-0.052233153737287444,-0.07508929365632083,-0.026762610041533155,0.029377522369675124,0.033133262719739986
QDPR,0.16580787418831897,-0.035763332045524315,0.03161490720566327,0.049825066547070335,0.03052056198637386,0.20163328529691768,0.05688635968521569,0.15213322485195568,0.04005050217959273,-0.0014639859691967239,-0.1699753455071718,0.02915792607289047,-0.013613023190104013,0.044860858059380636,0.010784379892667364,0.10319465097169675,-0.0019205798397938247,0.08037058669325725,-0.10563386741568834
POMC,0.3077359028782966,-0.029885477413790027,-0.00023249172431585014,,-0.024921063629855567,0.14173832825695204,-0.018015707469493325,0.016954977617394496,0.03766719344376083,0.05956094826916738,-0.020847477843810355,0.014289776226306679,-0.05003323152484541,0.002681692500457472,0.040209317986651304,-0.025680881936112475,,0.061256189914934756,0.12279639760224315
CCL18,-0.007023376816278449,-0.06411152364223133,,,,,,,,,-0.06973211330808951,,,-0.03433750440404625,,-0.039728374727869296,,,
CCL17,,,,,-0.0072772498228080565,,,,0.0226550175810922,-0.04529316147619486,,-0.02669382864632264,,-0.013312000374670204,0.05961039946082109,,,,
VEGFD,-0.013524467550855237,0.06769206325246581,-0.0053299671677041124,,-0.022151026123440838,0.024112995730112607,,-0.10462618230589395,-0.008440914560958707,0.006251875720726731,-0.06316037362688123,0.09066937127685357,0.019838164494079144,,-0.026243014194547064,,,,
TNFSF13,,0.11788500961689302,,,-0.026645004345969926,,0.023938736086128554,,,,,,,0.04280875127581743,-0.026682914273692255,-0.01762849938593777,,-0.046729615588145534,
WNT5A,-0.08506936407840306,0.07135303904557055,0.013263142995578106,0.10571608840193739,0.006278038912628342,-0.0927299336451766,-0.1720695680267686,-0.4041742461829423,-0.03868506658777276,-0.0152591004642479,-0.02403096422001152,-0.026636829253355303,-0.030576698123409646,-0.05450353923062591,0.00560252139347687,-0.009654538903131022,0.09637128684462587,-0.08889031117748136,-0.050788260991354785
CXCL8,-0.17278190937887622,0.009046789338990906,-0.03674364218917502,-0.05558071254228876,-0.10210847118173928,-0.10327271479526572,0.007806429956768582,-0.1548543558314888,-0.07556641615876163,-0.030938778259454725,-0.045179379400423395,-0.08143587910893123,-0.05794250381361731,0.00027240720750498526,-0.004504868779168723,-0.030968613949314147,0.016120102672247977,-0.08579752242303426,-0.04476090146494337
GRN,-0.09434440593542076,0.03017236705315078,-0.009222988963611092,0.022311626664385846,-0.028579447892929412,-0.06183669345225776,-0.15947278039148,-0.49557966038157314,0.004509659111923122,-0.06856620759141327,-0.15701920681502568,-0.035404303468304574,-8.160747952379969e-05,-0.03841812015389683,0.02931016260445142,0.014654659315301912,0.0883062427914495,0.09876053700285806,-0.03227880943894204
MIA,-0.0027453428502561437,-0.011991190908465659,-0.014950131874922144,0.0626511637117571,-0.021108025536202262,-0.06927038731135106,-0.053430480959810435,-0.16077131461272492,-0.01847212436926626,-0.013308767237800063,,-0.039180792812372175,0.017472820643894584,0.07634877342061734,-0.020516312491827626,-0.024573793002123794,,-0.05077023330631992,
COL4A4,-0.06347185061872901,0.04651621724734372,0.0416976421126971,0.01860989024621727,0.08094195878577004,-0.10580320245217696,-0.025632504409409413,-0.04067718124626887,0.029236177090966167,0.016414468002263434,,-0.03800682260008924,0.1434529906266255,-0.011023334105325883,-0.038328978412364864,-0.006227302608550574,,-0.05330592617647719,
TAC1,0.45741090528953693,0.1161970818988379,-0.02169494847285392,0.03453180190433837,0.15338047104553212,0.2300794194900519,0.15819777021125425,0.5966390839792061,0.15474951167795734,0.07981018825756087,0.22927116279507517,0.19276748931036083,,,,0.03039826241638698,-0.04465529550990621,0.15021630520045137,0.11414638676688313
RARRES2,0.05663023484850875,0.0760116089317756,0.0056429011799462555,0.011859064259558419,0.0031186905139095385,-0.15974960338488936,-0.1270084813169551,-0.5688097489141001,0.1566408912336413,-0.010767153166466665,-0.011123392131524641,-0.10605347223647973,0.023129478752899748,0.03441026318141987,0.005561638326505393,0.0012779164771363329,-0.003126951646067194,-0.04662188132453136,-0.013946540727130644
FGF7,-0.05294959711513408,,-0.02005028170583366,0.008719218644025199,0.050556182164171404,0.1654299861533372,-0.06513552042731309,-0.10405823288270757,0.002152653252957267,0.0017121067198900327,0.020688182542577167,-0.011000448348424398,0.09224540067028705,-0.023533079163859525,0.00999756442107019,-0.02696249560386873,0.013171795037152677,0.10901265127054578,-0.05387974499221552
HBEGF,-0.02718361030223821,0.08532906330063593,-0.07924701854233239,-0.02953242364796281,0.05338065904899963,-0.12055101064148147,-0.15818602136732965,-0.22169674838414394,-0.13504549802744506,-0.04780957539110052,-0.12404430021952842,-0.020895379781978113,0.02777127163543107,0.04560744225952993,0.04996568760598148,-0.06540432644731772,-0.08488135925072249,0.038178940432949816,-0.09271871981136338
CSF3,-0.06347180036787528,,,-0.0274375888824916,-0.04604168217571961,-0.004742812382430581,,-0.03992247092992327,,,,,,0.02797858528714141,,-0.02250611782396682,0.01976524739808765,-0.019357977781188113,
PI3,-0.07519181251303227,-0.016577029399819455,,-0.06500348542846332,-0.0630339167069807,-0.044029512401918776,,-0.09042254500300963,,,,,,-0.013268505241478202,-0.02114146539912803,-0.010533094124702096,,0.04266615373373427,
PCSK1N,0.2849726752729485,0.07522659035569547,0.03201303757647969,0.03502053041494965,0.03636249901738022,0.04645236433264355,0.05560151921748375,0.328617131931377,-0.0751899782676816,0.052004941890224976,0.250475502567778,0.22182812381953415,0.027042496896117346,-0.006213495583038465,-0.049990882490610164,-0.042033872412405394,0.08701940065473278,0.14882266723103366,0.04941368659883628
NTS,,,,,,-0.02852365799352229,0.13669637524069583,-0.07910750334596095,0.0063001060785403675,-0.03801511994130008,-0.01330921557824727,,,-0.031055511145936448,,-0.052037264829321556,,,
SFRP1,0.1531804026711277,0.0816946568595151,0.004017148247905269,,0.09812331587457429,0.19076173231525292,-0.06324476862896015,-0.06978583396935044,-0.017228546052438086,0.009416925104765533,0.0010625801916473827,0.03749762093950425,-0.022656052137541127,0.012997923343615258,-0.008304396810644491,-0.04466814705773214,-0.035924170563213044,0.03140651060069485,0.0020859496090848634
CXCL13,,,0.028214738115616,-0.019922936020817867,,0.07414411096570077,,,,,,,,0.11958524141188823,,-0.004415834346505969,,-0.012287050501535656,
MICA,-0.08867917284344093,0.00966389387965292,0.011182745736868746,0.043483846668920335,-0.04152824689060569,-0.01849731936279828,-0.003178351790113899,-0.16858470415511276,0.024378348802967083,-0.016910850427930436,-0.00800867206048604,-0.07776555685046989,0.060035155293080886,-0.025395384693197617,0.054179412080255694,-0.04908454057777244,0.05062295271475468,-0.0467530983387159,-0.017047163107457998
