,UKF248,UKF259,UKF313,ZH1007nec
BMP1,-0.015202070862874216,-0.03897371260888896,-0.0017681023546150753,-0.11182863116831514
NDP,-0.027609316320531176,-0.011003968205619795,0.053516850363885406,0.03900347703978669
TNFSF18,-0.004707626575265232,,,
RTN4,0.0341898071125394,-0.08060971476074918,0.004765686976341471,-0.10028528091852479
HEBP1,0.006620463750680601,-0.0018956060759518544,-0.016475923301838658,-0.03077160155367472
WNT7B,0.027912788559794465,-0.025005005338058738,-0.016529750165000266,0.046629016764045655
PTMA,0.0808079915466857,0.022202252328998254,-0.003893067053279717,-0.11963147552000461
CEACAM1,0.0396169745292126,-0.009552226729615889,,-0.018256770557113125
PDAP1,-0.060096605958395534,0.025187198297212204,0.08553912411204469,0.043705751351921264
QDPR,-0.05285200152195144,0.022311244853351238,-0.008567801207304491,0.03295287953485915
POMC,0.014706324426233963,-0.01226844741532567,-0.02453574610870869,-0.02011646583401373
CCL18,-0.02764099413596111,,-0.005398842543633974,0.04944420481452664
CCL17,,0.029537948204665716,,
VEGFD,0.024822963596825422,-0.02514713814387492,-0.016577341890623296,-0.04169039165212919
TNFSF13,0.14623072466371628,0.0581730762821939,,
WNT5A,0.06937150964325067,-0.015382180713791872,0.058455295524949345,0.07917931471181168
CXCL8,0.05259908211483135,-0.0018783333893522903,0.01816848770251446,-0.08226049609602397
GRN,0.06288146447345268,0.006869257778780779,-0.002688640990502884,-0.07459262828977788
MIA,0.0875623286300038,0.03365332111074118,0.04523291006814481,-0.04078163398722811
COL4A4,-0.03319660938067978,-0.020411716868186106,,
TAC1,-0.010585860998529841,-0.04735787584730322,,
RARRES2,-0.030236151273543985,0.006690428223337279,0.06732856413244041,0.0007838604009733014
FGF7,,0.024542063266325145,0.0800994988302614,0.00557576263259752
HBEGF,0.059595485296453976,0.03412389024506784,0.04268066506753659,-0.004222513506220013
CSF3,,-0.026903254123259234,0.036708240399888625,
PI3,-0.005544902804078244,0.005085796716996938,,-0.02288424916795454
PCSK1N,0.06377015744161972,-0.05112567615806369,-0.04047280876699757,-0.07043598669786866
SFRP1,-0.0357854651327116,-0.019694501974293354,0.04575908382896859,-0.03337729697310061
CXCL13,,,0.003073960678322002,
MICA,-0.027270181720308966,0.008178979681718816,0.02813109800783591,-0.052893906711854254
TG,-0.0035117122742097336,-0.02125348791378501,-0.00030911636219892386,-0.037719147567425726
ADA,0.041019449517860615,0.10027577838012458,-0.008161666556525771,-0.022360651731879757
LAMC3,0.038120198560658715,0.014600402089474399,0.006512473694861538,0.027858009975625653
CCL7,0.02101379066477968,0.040562536252769316,,
NGF,0.003565927327085652,0.03342298174523341,0.0074121440512160295,
TNFSF15,,0.050777655554844425,0.08127420036827167,
HMGB1,0.06654699090189609,-0.07851879340736936,0.01279599206223137,0.015879750326514272
ITGB3BP,0.02501086514013072,-0.031258893225908316,0.052913633028966074,-0.07423130719140536
AANAT,-0.025508817705495405,-0.015569313840572217,,0.04781457093945391
RELN,0.06724156671445607,0.11754959798770019,,
IL15,-0.03369405167937834,0.0036280668430147536,0.1384672967157063,0.0015518743013793565
UTS2,,,,-0.03330182724825179
BSG,0.0174888265371082,0.006848181093716207,0.01301453967297803,-0.013061574667794004
ADAMTS3,0.06294180721787097,0.019298958762337233,0.007582801069199698,-0.00153686577548802
CD34,0.05552174082123319,0.027858647822699995,0.03298764000823732,0.04023091881211682
PLAT,0.05701259324476559,-0.010437356945766847,0.0074734941037370465,0.07451145536333341
NTF3,,,-0.033782151300801005,
LTA,,0.040933204434459664,,
CKLF,0.03171516661204282,0.019360084205019803,-0.040368609874875006,0.05443268563142233
APELA,,,0.09467044496508667,
CD24,0.04130909858956155,0.0019873605028104284,-0.008841037474934442,0.00891688726004488
HSP90AA1,0.003150029254348212,-0.014824268183630702,-0.10318211757071025,-0.04793711836147068
BMP4,-0.0008080625735262824,0.08523357729818812,0.1302551421768005,0.021651700503436438
SCGB3A1,-0.017582005561707203,,0.01831183784467591,0.14465077376191227
IGFBP4,0.05412381704784208,0.052916242169506855,0.0008425692820908036,0.00786287418901533
RSPO4,,0.009022988529330563,,
LEFTY2,0.014915955517406678,-0.016561823083211934,0.025182076573863177,0.08110478774581502
PF4,-0.018238508445550066,-0.013406739751355921,,
ANGPTL2,0.004889303841942683,-0.005961726822213712,-0.04954770079131151,0.031539328834773346
LRIG2,-0.043015947616613884,-0.03008962700766433,-0.07710472392172658,0.06445992180472396
ICOSLG,0.03517917193997548,0.00019187284271739895,-0.028462157389958248,0.03565255808323365
WIF1,-0.021917830932150825,,,
NPPC,0.024138554971078047,-0.020797159542520587,,-0.028753526992662943
LYZ,0.03377860916029361,0.05444937441616396,0.09126824304278659,0.043693209841218855
EREG,,,-0.0023399486033864477,
SPTAN1,-0.00766716960157338,-0.046047780867871035,0.07399396343595652,0.03051172301702541
LIPC,0.10036114225099008,0.09588880901999017,-0.026219260983257327,-0.037549973309685104
COL8A1,-0.029757313325897164,-0.03361136682213391,-0.0452992323436936,-0.0028864523082553053
GSTM2,0.016756006910677704,0.013184832270428883,0.09460448403954216,-0.04753872045972535
IL4,,,,-0.035894190785818514
SPX,-0.015293467641954085,-0.010269690075599504,,
MFGE8,-0.02752202547092746,-0.020144809638192537,0.01909771326272396,-0.008983720531456458
TGFA,0.02632906888675451,0.00799045410302773,0.05626795308301796,-0.019595666758808503
SLIT2,-0.04997793672819054,-0.0260866030503008,-0.034730460818087144,0.09838416752856931
PLTP,-0.009373039417546412,0.004378972880336105,0.020577339066302328,-0.00015272999692190884
APOD,-0.030552615058909785,-0.01647732069201648,0.021451453366795693,0.03175321045783869
B2M,0.050646317035667944,0.039106532827031956,0.10232749692674187,0.018958795842045986
OMG,0.0025200226839837865,-0.020959327656178216,-0.013279894415518639,0.08326147216730659
CXCL3,-0.006468198619494965,0.08197050756250278,0.046080890378191325,0.035816924995887095
CXCL10,0.001887341934994992,-0.017391451472575887,0.10878490247271305,0.05703039234577239
RSPO3,-0.02388292058499921,0.021004590862763795,,
CORT,0.018118934554336268,-0.01843687591406788,,
NCAN,0.006887107793635294,-0.021004289647443337,,-0.023351186002845675
PRG4,-0.013099493937958511,0.11625852432876208,,
ZG16B,-0.010284316698636324,-0.01783440103807459,0.041664110095868026,
TGM2,-0.03357115375069854,0.035837706062534766,-0.04203945676966365,0.026863923433728565
VEGFC,-0.02328243451431069,-0.02738675449493842,-0.038633949898284864,-0.04068857973416524
WNT6,-0.016325778830395123,-0.007593587989390114,-0.026452388672244604,0.13505107315249648
NRG4,-0.016193646002557332,-0.003312616405317467,,
