,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,0.010946380792593477,,0.20372900653753828,,
BMP1,-0.08212469720268678,0.1274845594637523,-0.006285195849094001,0.09010874189097795,0.0036432125833196485,0.043298878586814374,0.03792689401194948,0.06688942886897524,0.029100091111914958
NDP,-0.0714026037544142,-0.0575642729140218,0.06632340534576624,0.013256602984009122,0.07483453754517945,0.06712159601162235,0.009565537334213671,0.0068118267189479186,0.03513421889026536
TNFSF18,,0.001441475608687617,,,-0.027831791818062772,,0.035002928199231224,-0.018734636548336882,
RTN4,0.05577066008987207,-0.00014599197621430386,-0.05999439463201133,0.006955219375054014,-0.002940064957389755,-0.015154439695933268,-0.006540063060012775,0.00030048202166259584,0.016645554555710377
HEBP1,0.07362812866850561,0.02829741578434756,0.0330560179040949,-0.01493685864003677,-0.04478597011473966,0.01271460838910114,0.09450619592512575,0.012361928509597027,0.011898993125779899
WNT7B,0.02748658105603484,,-0.011041999810637294,0.033964224193438766,0.045097210095770945,-0.0005830317500979306,0.07570011028689655,0.09845792267205308,0.053472998617929625
PTMA,-0.04552797991222549,-0.046495575713152174,-0.06571407720245778,0.039935954875708446,-0.040494198674562235,0.0018276728857280799,0.018582177787817643,0.009725764071703384,-0.08273271866864797
FASLG,,,,,,,0.0322573857971223,,
CEACAM1,0.008706799117754472,-0.030603815919253267,0.04759863854373115,-0.008254101128427371,0.03509335774107582,-0.026292648246967778,0.032766331110199255,,
PDAP1,0.03422222379442468,-0.13044275006063094,-0.03061460791222675,0.04566908450056201,-0.008828101149062025,0.014967667137659324,0.045793238088594784,-0.013975235331583772,0.027797929022181412
QDPR,0.027457444638663106,-0.010429420127480809,0.0348139958817856,0.026899275987887255,-0.09305357772385477,0.05916321320593306,-0.004014378030297784,7.05902921363877e-05,0.0025583042995792776
POMC,0.16405348525854924,0.06900559191174244,0.021708294660322106,0.011415753694354025,-0.05641074848549998,0.0020090542248770633,0.0032950351346801685,-0.03699782434790638,-0.05677042521236336
CCL18,0.02638982971268672,,0.022758384458342936,0.058500412095122314,,0.09981103744896692,,,
CCL17,,,-0.017521773116765223,0.147930022047217,0.06102492552010543,,0.05687630440986666,,
VEGFD,0.06136480525436661,0.005892305087627297,,-0.007592065872152448,0.05846730517484991,,,,
TNFSF13,,,0.01713192650943919,-0.015523362509082482,-0.025196234842681988,0.020831581832697815,0.06333591724306625,0.11612628705545286,
WNT5A,0.04904661892567928,-0.07309456320597416,0.05307749605145843,0.07714309577916727,-0.005368691539926119,0.04248608672209218,0.018022536225977336,0.06006552145909808,-0.03253263880499706
CXCL8,0.04480156704645183,0.004698237934987725,0.03479843806658032,0.03254831429363575,-0.019370569450683148,0.02836891268909517,0.03413021472759489,0.008823527820096714,-0.010898707383527353
GRN,0.023601317238318025,0.08753807309019418,0.02511755717960017,-0.0038151543608714246,0.027405078959013045,0.0007525837476797376,-0.04777164903143374,-0.07824913809035326,-0.0043550756650012476
MIA,0.045524588509683626,-0.019859186200246202,0.069177524879861,-0.006898423173512103,0.018028620517530406,-0.017917815045147053,0.0689873374713927,0.010386553887044486,
COL4A4,,-0.03257770436852876,0.01632416800593986,0.01643095485627551,0.050057542333857445,-0.03159884537773842,-0.014275683340149108,-0.005540690524778683,
TAC1,,,,,,-0.02714357182943192,0.01876755815794335,0.07753753796941483,0.03209413715259894
RARRES2,0.08477076873629841,0.01780497880918529,0.008604546344300456,0.057237916080848224,0.00847351074758467,0.04681990600677242,0.016074112358398625,0.011364909200510215,0.018990816439175887
FGF7,0.11889040353146484,0.0654863365269724,0.033693789937103716,-0.00945431086215578,0.047121083302156225,-0.02748379533501725,0.022128463094041678,0.08913442704411692,-0.08193063987394848
EFNA2,,,,-0.023454806531930637,,,,,
HBEGF,0.0706439716522681,-0.03128956459202776,0.05921909634168337,0.06432949016006442,0.08848190573883803,0.00549367237382658,-0.006166544194327906,-0.038558095846317066,-0.04090298702150735
CSF3,,,0.029464776835066608,0.0409929179631487,,0.016315922833084164,-0.03148545965981392,0.023061157178452425,
PI3,0.022154298131341545,,0.01588628401574819,0.028363307792164835,0.07076916578833825,-0.019702107663841405,-0.027528827427823848,0.04776695230579049,
PCSK1N,-0.01124388915676739,0.05190989669916957,-0.016656272937354413,-0.06406348069135485,-0.004075625879536839,0.027255086535239136,0.004404527602074468,0.03050287042485882,0.06259854213269964
