,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.006387412533561807,,,,,,
BMP1,-0.041329487146891115,-0.023643773984199347,-0.04578782845675314,0.002550964997391235,0.008671100048000664,0.009925924534698049,-0.1631807392663777,-0.03605994340499832,-0.046579410603304006,-0.14007863076199586,-0.18677262900874025,-0.006920307656673291,-0.012218172967162306
NDP,-0.014425917302456544,-0.008283074924138467,0.04117861380975134,-0.013798564977676196,0.05986182947226072,-0.015562202760512421,-0.04633313225479228,0.008214370080784864,0.036856859745496094,-0.08812073829178635,-0.056648597059724075,0.02129391504084217,-0.005517900556975553
TNFSF18,-0.03236445652105298,0.0006031613515456911,0.05866692997469189,,,-0.0191178348995478,-0.04566157848272466,0.011382114729622245,,,,-0.08264553032070819,
IL36G,,,,,,,,,,,-0.028609464128402595,,
RTN4,0.16448903936079004,0.07658527608824929,0.043785446255221835,0.04757641506743693,0.16205036558084254,0.20083408794274663,0.24300188419168944,0.09099905157322921,0.10013543510920264,0.2850842263139515,0.2658316239386442,0.2383143291928011,0.03282075209502003
HEBP1,-0.056595123758112466,0.051798891519007274,0.009251966316061613,0.02304234246297066,-0.06108744194071955,-0.1094650352659964,-0.07236446015722063,-0.06306079421259939,-0.009150403053042568,-0.15609570807293702,0.004659680696765787,0.014491224485476724,-0.03824949356520399
WNT7B,0.29189247250340833,0.01746193535539338,-0.01722763696686439,-0.0035035703606623217,0.0517672963979139,0.14838671882320373,0.100138138276991,0.00292873559438702,-0.009197552309880863,,0.04706741896954676,0.03701397096533318,0.06633394179661088
PTMA,-0.031468599935162905,0.06166019162033742,-0.04472194658486067,0.004199847565834963,-0.07287919353414812,-0.18044957876973544,0.022321137882325044,0.10034657964216832,-0.03998724396272728,-0.322610403968084,-0.302197618861987,-0.15866068062914265,-0.09354906182933408
CEACAM1,,0.006034332909513572,0.08523997285571905,0.10016604176830905,0.05166443451122902,,-0.06008803659421583,-0.0164502448052573,,,,,
PDAP1,-0.03919948521829511,-0.0077623897072514264,-0.017319693477307333,-0.025820878679397585,-0.08323970167813785,-0.012204898702379818,-0.13736667621128432,-0.00886107399533053,-0.061794366118074366,-0.006871252588262923,-0.1416606300659664,0.027051074426283475,0.03367265483229459
QDPR,0.10179123757897024,0.01802805170353378,0.0258499335175086,-0.00175211133540522,0.10001485983673299,0.02682137638550755,0.036896129905447515,0.07521693019128992,0.07058052892002185,-0.26050281980745,0.06564244540957946,0.15689977503494795,-0.05899109518666248
POMC,0.11955961670255684,0.034709537538390046,-0.023491918988836902,-0.028093973591645317,0.03990362946336337,-0.02788522901581329,-0.02539432862308834,-0.032820117674038383,-0.05652288453462587,-0.04272036933252726,0.08412576261768227,0.10544291462293783,-0.008139452214236592
CCL18,0.00011551510463077434,-0.04431999041346804,,,,,,,,-0.0937559505594083,,,
CCL17,,,,-0.01748593761353205,,,,0.0055418294818465,0.0017241650725872372,,0.0004766858210655642,,
VEGFD,0.093752760573668,0.04701343511191134,-0.018936680917251696,-0.019481265468677553,-0.02011974734619947,,-0.00731770548546068,0.009804685225620982,-0.006189898163890976,0.12815892179977398,0.03539270026389788,,
TNFSF13,,0.043769822202606064,,-0.012061408418974762,,0.09361385810644823,,,,,,-0.06063721883353045,
WNT5A,-0.1103085243104892,0.000280866769193728,-0.03965334876197185,-0.013731876115909845,-0.007529484909202268,-0.08366491325674398,-0.1729452143853801,-0.032683135030094644,-0.008583276715278882,0.01095426786711455,-0.07712764342165099,-0.1516708714932184,-0.02908526423347293
CXCL8,-0.11353980416433528,-0.018757886368062176,-0.01773118559804074,-0.05565362602027562,-0.06870479343282859,-0.016358122047930718,-0.08404422122965281,-0.0790302672952293,-0.025225038630400765,-0.09814882979246044,-0.05777137346960884,-0.09831104546245617,0.006522852539541755
GRN,-0.023864250733677737,-0.026870717133112013,-0.0076162971444845885,0.04893104355432094,-0.05067029695044754,-0.1152716863241787,-0.17734302781404745,0.04694850910396118,-0.037816533489837996,-0.18598520093820128,0.012638261131066624,0.09274067857843629,0.005732174379506904
MIA,-0.04753555514270712,0.048624056333287466,-0.016840959712239822,-0.004306945854415387,-0.06105026541425403,-0.013046726747434973,-0.059022177366460864,-0.055221181222150036,0.03602184005863286,,-0.03836137127394835,0.054589865543899274,
COL4A4,-0.036843263235667875,0.044801511673604334,-0.02832147821449923,0.035908261649390545,-0.08796361926431304,-0.017170734739461353,-0.030301014153402805,0.009742227898741174,0.0010240754428246961,,-0.03721195330801784,-0.09499825521585413,
TAC1,0.3225485523241918,0.032128070071255996,0.044454636354835216,0.08336356948475059,0.17835658869163346,0.1598809950139301,0.25632917187740134,0.17935526440613309,0.08659301149352888,0.24682844408269103,0.28745107221777505,0.16287354064957046,0.07052686014485192
