,UKF243,UKF251,UKF259,UKF296,UKF334,ZH8812bulk,ZH916T1
IGFL3,,,,,,0.0010274360798457327,-0.016190500666549756
BMP1,0.03448330940571929,0.012110973283175671,-0.05545921364171618,0.0183870883236818,-0.040269681138317866,0.005177609490236579,0.014664523090663512
NDP,-0.06315064686462551,0.004359741462494815,0.012534993957169225,0.0668132142538357,0.041343373144007864,0.058364829605828,0.06395109480897106
TNFSF18,-0.01708490382133872,-0.019931747966810312,,,,0.022580470697636062,0.002443143273256151
IL36G,,,,,-0.013349798127669208,,
RTN4,0.06634156579073236,-0.05131246708654033,-0.016434258201291827,-0.053088896615960175,-0.0056081564947402535,0.049610694106124044,-0.059306699222593386
HEBP1,0.02964097996477781,0.003619289117119788,0.011562696217311062,0.004892094975664067,0.10313419398758095,-0.007102845043733357,0.07786755691152109
WNT7B,0.12932068721938134,-0.01919945654662704,0.07531741860915497,-0.017542922587586933,-0.014672966591727536,0.009051767256673988,0.029885488231942096
PTMA,0.052808207102994255,-0.01918519094839902,0.022754809675377245,0.0566347984901762,-0.011302158668092296,0.0006972829634676858,-0.031734105141320725
FASLG,,,,,,,0.044110173620375843
CEACAM1,,-0.014734428129983372,-0.013903985129834932,,,0.1390142031831971,-0.01953740245628668
PDAP1,-0.06408854125398446,0.010011248569050474,-0.04129346597298413,0.0843248617583669,-0.03047079151726101,0.007844260349995876,-0.03567303161708339
QDPR,0.05184024080182741,0.017741707158858543,0.020081854326748177,-0.012151096991884366,0.013404898368328992,0.004700699398739138,0.04321481009286083
POMC,-0.03225914965767452,0.023761275989594793,0.008877602183659482,-0.002553814781215309,-0.004712759093716824,0.01630886535132755,-0.024220603253804315
CCL18,-0.022912260817417915,,,,,,
CCL17,,,-0.018966973952240666,-0.02171322039176615,-0.012195419590266163,-0.029571733042067064,0.21637380199811349
VEGFD,0.061391191409598124,-0.021104112137225385,0.10011937848804486,-0.01592690974457458,-0.013070208907726153,0.03781591545849509,
TNFSF13,,,-0.01308299413884394,,,0.031554424690915864,0.08252124542785959
WNT5A,-0.05669786667233603,0.03592961509357118,-0.018799188910480533,0.002809747459355257,-0.022066953204984266,-0.007393429244069494,0.015225931719200843
CXCL8,-0.006929357931116882,-0.01976063972467862,0.09923128329501915,-0.014831830879206729,-0.01282067491812127,0.00718336458953965,-0.02761466736199737
GRN,-0.0021839068365963436,0.03658043733220717,-0.053321973614043706,-0.017192073939418052,-0.014721971094128703,-0.03695289282741871,-0.014735426227562354
MIA,0.05358998086283635,-0.01876852146469951,0.04250743527730412,0.01321249950082681,-0.017900250074917183,0.10756513263825096,0.04352578641661389
COL4A4,0.02068088160310691,-0.03156306296454839,0.0116382916863761,-0.02093301526048456,-0.017363906655808715,0.011722206316379484,0.05593027174578706
TAC1,0.04575763225258841,-0.03972694155093783,-0.06103353995938746,-0.021724557779211368,0.002641079052636775,,-0.016731606138420216
RARRES2,-0.07557017358786897,0.036582528405588746,-0.03764451394003291,0.010239766988246279,0.02525182962536713,0.0015954611900743227,0.03534918935807519
FGF7,-0.027213515480398975,0.0034139486784372217,-0.014950017270513503,0.013537411358300949,-0.010745241880769144,-0.0009982603832897887,0.0287883104890698
HBEGF,-0.00980504534389482,0.0041836499032065835,0.032818169237564525,0.024987667159472704,0.01470638201318042,0.009362608229245601,-0.056816002139514744
CSF3,-0.02598770603105311,,0.14839995877006884,,,,0.11084672189990444
PI3,0.04469774348836763,,0.05557795303945112,,,-0.02512601025993319,-0.029113975600641696
PCSK1N,0.06061396618931315,-0.006061697781181558,-0.08334510469033327,-0.005323877724259855,0.02603701386376626,0.011934141840783417,0.024630221221545477
NTS,,,,-0.027271301668983245,,,-0.01984372769426344
SFRP1,-0.023146104752070726,0.005287260858991734,-0.016549417914973948,0.029793462889627798,0.0889852471577675,0.015051810180694649,-0.01938260973557951
CXCL13,,0.013086109699601754,,,,,
MICA,-0.052624423446713905,-0.02578586540704268,0.024448014982778158,0.03475719977246747,-0.03770982761822632,-0.028318053977958352,0.029677278794082187
TG,-0.020716349650814904,-0.0041329012544624715,-0.0019816102860180556,-0.015713763305231523,-0.018319241034123752,,-0.026132759985563865
ADA,0.16141769886074409,-0.006260078342454484,-0.03666449708775057,0.0428774430163015,-0.023623839991764737,-0.03945726865950491,0.030949125603237166
LAMC3,-0.004533785212126468,-0.035629111466280755,-0.022619280239232636,-0.016657461942725636,-0.04638778725222259,0.002716668953060608,0.028731424583513958
CCL7,,,-0.012912349423048518,,,,-0.01404201071145631
NGF,-0.014972256183975463,,0.07854821399299847,,,,0.053177950506345315
TNFSF15,-0.018522549488149676,,-0.014378532617484948,,,,0.009009916275048244
HMGB1,-0.054786502583697085,0.004489039251761905,-0.03555722756873976,-0.021574936327323324,0.050318310193739946,-0.008560693384035525,0.01895509597536697
ITGB3BP,0.012386458184080094,-0.022202479028902204,0.07640727038919072,0.03819178825470007,0.022296291216636063,-0.0010233794279921578,0.014575620738548983
AANAT,0.05947518496082756,,-0.013082995535167003,-0.018113506666012455,-0.01635898887585855,0.17013334495871993,-0.014857032915153699
RELN,-0.025815407637444145,-0.017556551641403156,-0.022709150377070005,0.01936510060334233,0.20765678464845125,0.025662549991547014,
IL15,-0.026329484372003324,-0.012745326073439289,-0.01609703490082171,-0.031204597501181208,-0.015172206082192531,-0.04555285854674802,0.04288815683565337
BSG,-0.02801286348172749,-0.030633887646695373,0.035793961918841696,0.03196380787473924,-0.02550562999553742,-0.01149582187052804,0.03135596184264743
ADAMTS3,-0.03494716412301062,-0.03520444723238902,0.027349487538859164,0.03000671472471397,-0.025211309795269813,-0.03657895812410128,0.07457071190585973
CD34,0.0025962379915594014,0.04116822970117101,0.02167098248102999,-0.03388987915250078,0.005505127298657467,0.035553449269769104,0.044925249491823256
PLAT,-0.019749411959620333,0.0016799453524670544,-0.06775896793341493,0.015542704189809207,-0.00028491057695034463,-0.0027397802191666707,0.03695678546357056
NTF3,,,,-0.018724722391764814,,,
LTA,,-0.014734429641999619,-0.016549417140766163,,-0.01517220795505673,,0.06516502049293219
CKLF,-0.009219485821804934,0.028412744518651775,-0.05506827092427459,0.016162788716939668,-0.03173801216645013,-0.03536342863664186,0.05600161456812691
CD24,-0.041294310549894325,-0.024165719554742584,0.001222264201075648,0.08744563733773521,0.054315792259075645,0.08246804309429968,0.016620631430455193
HSP90AA1,0.06918147833213548,-0.02798830594553057,-0.012206961695922575,0.016232870441813936,0.014345994099378749,-0.02308987721165894,-0.07152959307522391
BMP4,0.043349487960850835,-0.015619359152869097,0.040292825275389764,-0.035214278985594503,-0.012928288230490088,0.027049370184711444,0.05846278515259939
SCGB3A1,,,,-0.015278920035365347,-0.010586966066979855,,0.02702387916783033
IGFBP4,-0.07144694257920878,-0.024959226690309397,-0.021958660588026365,-0.00841950752344963,0.08768824442889654,-0.05197859505173925,0.0183401908800643
RSPO4,-0.01829014594095014,-0.023819888342388486,-0.025331782398482276,-0.01527891780047766,-0.021046241022112194,,-0.02637174365269863
LEFTY2,-0.030636112764061776,-0.014915390856045428,0.01910870871229476,-0.016753520233494197,-0.01872992128284701,-0.039776268601443884,0.08762881234209052
PF4,,-0.013402966377842182,0.11871426561740284,,,,-0.019995322668133125
ANGPTL2,0.01446968897624196,-0.0023269921345706983,-0.027338101280172163,-0.03761752136546226,0.0052448472503577115,-0.046833232674727616,0.044479323975654274
LRIG2,-0.007526742935620648,0.01309830643229811,0.0013334959753923486,0.062398530721778464,0.027218382578929147,0.03217761883573096,0.02478106428523325
ICOSLG,0.022360338104699333,-0.03660409430227596,0.046633054907071175,0.010377970573758919,-0.03570500336732177,-0.02505894445256444,-0.010375097318280492
WIF1,0.08985105196988645,,,0.03350749918657622,0.009144130028600723,,
NPPC,0.024882477575202042,,-0.001249327828699364,0.06094704506740725,-0.0009142769793245482,-0.0036617266735414684,
LYZ,-0.0614512334754493,0.0046937241089225245,-0.02652297936998808,-0.003911940907598876,-0.03463461694974674,0.05680427725239198,0.00196048533285376
EREG,,,,,,,-0.030197568874118914
SPTAN1,0.03260821880447279,-0.021044100522745395,-0.07456676026071003,0.008469834217789884,-0.020862312417526133,-0.014761085948663828,0.018116997164331763
LIPC,-0.0058305013195431256,-0.02017218071447323,-0.020245428602995937,,0.004496695053929799,-0.017539557583799895,0.060258702818659665
COL8A1,-0.10464952257112518,-0.020583744406543487,0.018016737226184357,-0.023864204917968812,-0.006534339756817105,-0.022158766583353445,-0.001296839850990095
GSTM2,-0.008551981132089687,-0.029369361057544927,0.09062577996129034,-0.03128950481707968,-0.02460795453391109,-0.0008975806941399359,0.027769451402596484
SPX,-0.024051737715179634,-0.0043468835784120155,0.08904343797313478,-0.00468320272490931,-0.031070492537973032,0.02275633412527562,0.042655932046619875
MFGE8,-0.08837774208062774,0.02908187477850142,0.039069953546399756,0.020539835540758875,0.01949138693435934,-0.05360344239156625,0.05246221066825568
TGFA,-0.03639035294413632,-0.016079024026720547,-0.05250560145723199,-0.03749652963055675,0.0014339547098792056,-0.036433978090148776,0.027835328717006273
SLIT2,0.09699638859868207,-0.034947817379992786,0.07377799635326533,0.012657092116054256,-0.024239308470933457,-0.029889173159798974,0.014633053496773454
PLTP,-0.07986672502673978,0.015043244745826937,-0.06789131922370793,-0.0009006250665173218,0.04763813110526861,0.001006660110376373,0.018282355761603447
APOD,0.033837815672059256,-0.03328049199129892,-0.03755740022726442,0.02421422643890403,-0.0080471323958587,0.04904798263330932,0.04547123100143293
B2M,-0.052135992745030994,-0.016205462821718104,-0.05855787627503483,0.021627775243061743,-0.014292632379034664,-0.011369891948835073,0.010425070347998546
OMG,0.006128538797106033,-0.041358936871616646,-0.0577879331417004,-0.018890093465486767,0.011516360073830872,0.04418048729446245,0.05945932939692007
CXCL3,0.009714702030141744,-0.0275552233364843,0.1477639646259573,0.05599587869562516,-0.010926737207996366,-0.025759150148199524,0.05776234360473537
CXCL10,0.009848683009371393,-0.03703082117433841,-0.02039023990162962,-0.024829574029455428,-0.017363907752780055,-0.034703069808610675,0.031858763411858664
RSPO3,,,-0.013082994568481759,0.018623621807192937,0.01824269675261536,,0.10268276471412023
CORT,-0.020506476112093962,-0.02393684921343909,0.06173896150615478,0.012070244616796053,-0.030292209051122586,,
NCAN,-0.031562955207704,0.00938480434675467,-0.06097068732372835,0.001681523759437984,-0.01257553602954521,-0.03730416166326449,0.022793020263592513
PRG4,-0.027986525172968287,,-0.012912351435246501,,0.011756408493383396,,0.008941236852934622
ZG16B,,-0.016128291669976237,-0.014986363017840747,,,,0.004987128782164836
TGM2,-0.037061049835417546,-0.019384484373565457,0.0006112995881166177,-0.030944378842491297,-0.03792786843019359,-0.019548722114556355,0.04078220779533414
