,MGH258,ZH916bulk
BMP1,-0.032121593130868625,0.024621389858042714
NDP,0.004649003260439983,0.022170444708560416
TNFSF18,0.0927629759332913,0.010669190147047385
RTN4,0.041510423684230024,-0.02531322859078882
HEBP1,0.00010885041882481037,-0.0244622996557992
WNT7B,-0.01794568577105604,-0.019174480657274003
PTMA,0.025478604749572756,-0.02090021195484828
FASLG,0.10994967726073494,
CEACAM1,-0.024917748792321667,
PDAP1,-0.05962152066916165,0.040114037366560884
QDPR,0.08258912557476647,-0.017334707437153613
POMC,0.005497915571939204,0.05176315588426954
TNFSF13,,-0.020376455806831627
WNT5A,0.01770295911668085,-0.008646150072977421
CXCL8,,0.010986694762081518
GRN,0.05748075837304846,-0.02257595997635023
MIA,0.0543421460280422,0.043636815586077585
COL4A4,-0.020783296668429596,-0.03910400022960622
TAC1,-0.017945681080743445,-0.0020498300047414545
RARRES2,-0.02080631188151854,0.02412273470674723
FGF7,-0.032742736186614135,0.049001813359199085
HBEGF,0.08528951276962092,0.03156598516574442
CSF3,,-0.013173006049255894
PI3,,0.036110305648773926
PCSK1N,-0.12850207504911124,-0.0670558996325116
SFRP1,0.05042011124946643,-0.027416643806801873
CXCL13,,-0.030071330431858376
MICA,-0.016716926693569285,-0.02142415703364099
TG,-0.020783291984833675,0.010636415757496432
ADA,-0.05473065250791628,-0.03300052946924124
LAMC3,-0.014079023170700115,-0.005169861994476226
CCL7,,-0.0369005945618356
NGF,,0.03200105231499222
TNFSF15,,-0.0022193990547083424
HMGB1,0.028306324600529686,0.03979545005708946
ITGB3BP,-0.016761125882655905,-0.06534397972677722
AANAT,,0.0018865029351830473
RELN,-0.017229900065229904,-0.012474075116799554
IL15,0.016214300551782978,0.1753597401527861
BSG,-0.03554451081348046,0.09635025812194795
ADAMTS3,0.003931612366034797,0.0012069480577896383
CD34,-0.008949598822054565,0.09612196049977799
PLAT,-0.08858236856556842,-0.06385750735454168
CKLF,0.045609426155427304,0.01964837500835545
CD24,-0.01968115014332349,0.03444209074342331
HSP90AA1,0.0267930239815678,-0.03158849472253992
BMP4,-0.021389024674813628,0.07158709736510604
SCGB3A1,,-0.02145037617414865
IGFBP4,-0.0010500131062902958,0.009477373641906178
RSPO4,,0.011334103436543749
LEFTY2,0.048900718520393946,-0.004737308314333239
PF4,,-0.031177850208923805
ANGPTL2,0.024115288258037666,0.01698708736520805
LRIG2,-0.05822719982285569,0.0198549109639898
ICOSLG,0.06976871102659397,0.0018520745691135783
WIF1,,-0.0291753439572651
NPPC,-0.03952920463491818,-0.05399212223614461
LYZ,0.06003996757067911,-0.04464964684146905
EREG,,-0.022186928655657336
SPTAN1,-0.08270746295465428,-0.03750949275874913
LIPC,-0.02660883519872851,0.01991427912657557
