,UKF243,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,-0.015610213203398083,,0.022482345004819253,
BMP1,0.12149970085440273,-0.009202608546791962,-0.035192872156719075,0.0019335888929013709,0.04100477405844277,-0.01194401224724645,0.018620811215140882,-0.025375599439459412,0.1020421003224271,0.14239272416644064,-0.03880271274859757,-0.006219775122584786,-0.0015936798728275559,-0.0032610139897425354,0.0007233970282567376,0.027397234326447268,0.03897864950499359
NDP,0.08119626565554251,0.06372036635514303,-0.011845205635146806,0.020586559930102402,0.022519219864175922,-0.010628329269103337,-0.06270518395058501,0.046964011546585124,0.058084714956114565,0.040073572943910424,0.015772105189865538,-0.008729063289003585,0.08313636332323225,-0.003990415615739282,-0.009876814868232749,0.07735627405988978,0.07195209830011737
TNFSF18,-0.024578324814672047,,,,-0.017775831935903253,-0.012622089446573373,,,0.01952382009019802,,-0.025870947770833385,,,-0.01609853734022051,,-0.0073910328752876476,0.033420204341094516
IL36G,,,,,,,,0.040147294885279065,,,,,,,,,
RTN4,-0.06384410785834863,0.03237997990184587,-0.020721525070088908,-0.026019363819803423,-0.004075451043886842,0.01992399358749253,0.021491749409830736,0.029660336455118837,0.024167463340711286,0.03479686858331919,0.01112534280942483,0.057580111797374905,-0.0584667160755977,-0.03615721107939233,-0.05154184091153035,0.03476482234663719,-0.04080085905996014
HEBP1,0.0170675365753404,-0.054306665689546424,0.01276416457092176,0.08157571183846497,0.01764821854386606,-0.00840935685571631,0.007857405287668488,-0.015568525194063296,0.05487262993293928,-0.07444070359475062,-0.09215704426699393,0.009729647983637082,0.039028865290347325,0.03515853282817151,0.018178981754630917,0.015634652715378,0.05126966826540371
WNT7B,-0.05736608333422881,-0.03572384665777893,0.08181802326609212,0.08220186945159604,0.08757513609388043,0.03140310717685857,-0.013741241539051012,0.03390333010941331,0.060547113228108775,0.059334393698564886,,-0.01487576493675283,0.08614363867843837,-0.03366334391618464,-0.019708360475170862,0.023277193060446295,0.0828650062537459
PTMA,-0.05983721761934557,-0.006563818203077902,0.03202534962615567,-0.07826078362637011,0.011629578775161933,0.010792587692064004,-0.033077494057449364,0.024176831351722747,0.01371110982750491,-0.1813970824468034,-0.019667795474898355,-0.0217679305256585,-0.020938718038468702,-0.07354872776875652,-0.04307263035196503,-0.08760072867430195,-0.05472108296679324
FASLG,,,,,,,,,,,,,,,,0.03443496603636382,
CEACAM1,,,-0.00813880474699126,-0.014343782230472401,,0.009037883890056692,,,,0.022378269132180523,0.1203039404787923,0.08143429007840955,-0.02650698436377518,-0.02313191744785023,-0.0036258888985854893,-0.0051299417407815635,
PDAP1,-0.05122228170081298,0.04752792530029532,-0.012157564452545715,-0.031075687489134064,0.03192804386193965,-0.02647926919992618,0.004658119625953955,0.0009690811826284688,-0.02208324085964101,-0.03856139455144558,0.013637798719824226,-0.029276807399770285,-0.025296504609224175,0.014490505035549191,0.10953795848374794,0.026632902222505198,0.03841170110892643
QDPR,-0.0028433004132326417,-0.003285179852799582,-0.01524612625389264,-0.0011489211686816936,0.0010307526649920044,-0.015845434373798265,-0.028536791527480256,0.003949554047016662,0.0010135143979807194,0.08468349533633535,-0.05087681368644392,0.04812478460804473,0.05554874170568945,-0.07611443222261878,-0.008098539826246328,0.0027071149009722786,-0.03059565417084035
POMC,0.06108820037000522,,0.10702596553608205,-0.01560162550429752,0.01646137474294663,-0.014645674462481979,-0.003923215826297919,0.028876880820414237,0.010029525268136948,-0.03544339985491255,-0.09946142105650443,0.04121210747080209,0.0806724348465724,0.06988496721512377,0.007433550064330687,0.028487447467765978,-0.009074386609681684
CCL18,-0.03296155451022342,,,,,,,,,-0.0047066460982202185,,0.003406304072387612,-0.03926724470828413,,-0.04625154557840953,,
CCL17,,,-0.022722727165695577,,,-0.01574220298520926,0.11652529051450113,-0.020213634049731616,,,,0.05852673633830863,0.07460477558501105,-0.020581164384416525,,-0.0205187383883268,
VEGFD,0.02437145838848776,,-0.025315627326994133,-0.013723318719579602,,-0.01677198578689285,-0.012475430628971877,-0.02166357769479195,,-0.005840550155023452,-0.056538903157798165,,0.049579517237128175,-0.021706776063192008,,,
TNFSF13,,,-0.015673628649246176,,0.02488212814577965,,,,,,,0.025427884065897213,-0.04159219895504888,-0.02207063718209386,-0.021370595958660712,-0.00850559880023538,-0.03513417454329858
WNT5A,0.02049383043480556,-0.06542468060656564,-0.03135628695883873,0.016558360032085363,-0.014660441564423471,-0.00852580141969746,0.03947299361523257,0.02937500142232779,0.029570505879225162,0.0016040950074316224,-0.06288532959732662,0.05203803552640759,-0.0247107702722687,0.058001515380438566,0.08517871204113177,-0.011790288514478378,-0.002168792532522129
CXCL8,-0.07902034474381626,0.016255514461557662,-0.015801856682058656,-0.027665225624038836,0.005044010465531351,0.007532793738724674,-0.01161766345145625,-0.026976207494984465,,-0.020833092296632355,-0.01619437599936119,-0.06631191380828795,-0.057492004564589826,0.03795539297082749,-0.0750823269973951,0.035989324989989614,0.003189302400000831
