,MGH258,UKF243,UKF248,UKF260,UKF266,UKF269,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.07842862466370494,,,,,0.04690499544184722,
BMP1,0.02125532347710947,-0.02158489579908411,0.15253029739381813,-0.025432294155258363,0.03291252952954464,0.05438733836061505,-0.013553184635760432,0.16355744703135122,0.088239613581933,0.0413338145839541,0.11542865054750738,0.03946323418763978
NDP,0.047045298431367524,-0.006050950425152966,0.021089455060361948,0.010544575628977666,0.022274701413059685,0.07089749323874892,0.006813004068142309,0.12166231566747836,0.0210378281179026,0.005225677753652355,0.06588647619956105,-0.040978681112891345
TNFSF18,0.0808784450308954,0.0032678799162313456,0.08282587060155268,,-0.014769703914002534,-0.024260868257968023,,,,,0.004295654995635518,0.050517226672546746
IL36G,,,,,,,0.036559330186424786,,,,,
RTN4,0.048648466169093504,0.076121573436397,0.01858926357828484,0.03300817875342601,-0.06875732024167103,-0.09208512111648519,-0.020433904773542236,-0.02828320320038603,0.0391630958199552,-0.003932212294384153,0.0033770036887128606,-0.023251109674074046
HEBP1,-0.04203179003449486,-0.015657409714470924,-0.014380617124634992,0.003994348703278217,0.023001974250556587,0.041324222428760576,0.024440086139394062,0.041644300307130365,0.08536670259083641,0.05001557506178511,0.04100362991311031,0.019321535979904242
WNT7B,0.09694992575916064,0.04222590865273602,-0.026195202431901835,0.03506990774990096,-0.015726686262809878,-0.03042501012241543,-0.01489607560001998,0.027495374391318345,-0.019234554541011518,-0.042905679678502825,-0.01704383852763432,-0.012004034997290233
PTMA,0.0316851303119114,0.02239876818506322,0.19489659073603702,0.002491486772111941,0.14213441274844255,-0.016442197748362836,-0.05986815980041387,-0.11969542086222555,-0.09252970367043861,-0.001409631923744132,0.03859992331742462,0.028459669865132823
FASLG,-0.019520840288824132,,,,,,,,,,-0.0005065585393407758,
CEACAM1,-0.009682095355267855,,0.039718736218100605,0.03636136701163881,,0.04233350938701133,,-0.0416107196751367,0.018088402022896112,-0.02847712360997505,-0.028433524431932203,
PDAP1,0.0024363134489677105,-0.053672210543977514,0.058580866125974,-0.008072250713842403,0.055284336375226985,0.07757502703543022,-0.006599796074553597,0.08637603547426694,0.07540342611483772,-0.003976342140131186,0.04819543169179597,0.05542371120769312
QDPR,0.08206800827521109,0.055580708621144656,0.07632439563880683,0.023777813360463515,-0.07236024602173882,-0.06886212168662305,-0.0420839712284725,-0.018972730471622404,-0.03351939767443132,0.01962250791608435,0.025224055140231367,-0.06676479592364495
POMC,-0.03289685728689552,0.08357819008779228,0.05186122057479538,0.024385572629240192,0.0676447722352316,0.018495523537832726,-0.0173254161262159,0.0140742896638291,-0.00804642855180387,0.021799777356748644,0.01834389609120635,-0.015487440344714833
CCL18,,-0.030304012643033205,-0.0916037251665219,,,,,0.07697584944115507,0.025125485603057312,-0.021555256895098112,,
CCL17,,,,,,,-0.012380856390212844,0.0011969234631630694,0.08281563459804513,,0.09220891462013056,
VEGFD,,-0.03414376484782143,0.0017271452733381082,-0.013511377511093202,,-0.02736988809783748,-0.013268947269825462,,0.008727016188749858,,,
TNFSF13,,,0.06290105459009658,,-0.014323531662539189,,,-0.008330651835455472,0.054959149710621026,-0.03197790120498097,-0.030181404063485347,-0.034234123656253404
WNT5A,-0.022113582054788423,-0.05546536577068699,0.0419432848245645,-0.02915231304937622,0.10057269301120736,0.04375507917824301,-0.017691612641758652,0.09260680409427598,0.13779791681312123,0.04289174098920535,-0.01822691362748976,0.022170887221707333
CXCL8,,-0.024535314645802855,-0.15087211086735416,0.06827032256630679,0.08948595774643606,-0.03820735763952537,-0.022927162930132482,0.060560207701692265,0.0972496813228925,0.03369747816137739,-0.0084707516327854,0.0245764263434712
GRN,0.014558317195114369,-0.012060390404432218,0.11406800022187519,-0.02688904061620573,0.02843688723439089,0.07897165102248824,-0.03940425850170622,0.18249155364887343,0.17469615329758612,0.016692713640836573,0.04747274249841682,0.048054169327403785
MIA,0.04578307279380763,-0.03462302439296346,0.05224512933762029,-0.04099818794793355,-0.01092784933704841,0.10510906323012106,-0.018172431369506453,-0.08251819749258879,-0.1518574160397506,-0.03289610401500849,-0.028735721488008997,0.013403912526713026
COL4A4,-0.022607511656177623,-0.03437165812207983,-0.007542581638199962,0.020928640900001103,0.09606864051522479,0.007319139159765821,-0.017627932609240938,0.003325608943174071,-0.017825909462231292,0.009879685970264953,0.06347387394908963,-0.038261816843171086
TAC1,-0.019520829668338135,0.1814152798479436,0.05424894222973129,0.0019136404379695598,-0.05418484559182844,-0.07073414178664522,0.07813640392021781,,,-0.04096785224817689,-0.024350142399260272,-0.002603519993420735
RARRES2,-0.07899797017821915,0.055730308809674924,0.017677958047961392,-0.008292849920197305,0.057781694009174184,0.07686292350243647,-0.033216320185534526,0.12110158506403447,0.13432376325616371,0.017800737198478533,0.0019887250419424055,0.046100572919281074
FGF7,0.012629004360894782,0.06300982285435734,,0.0330446284801242,0.17864141721347174,-0.008083466882121634,-0.011525708615654369,-0.014805976889093393,-0.00649863422583144,0.001237518534061701,0.0019759203150481255,0.02108432032625205
EFNA2,,,,,,,,,0.015551307457495774,,,
HBEGF,0.010955279289795701,-0.009759926659474798,0.07687224312216374,0.03792092730005721,0.049972406432805934,0.0411930756217176,0.0485533645566639,0.005071830964360095,0.04253282625366921,0.050483031235986464,0.019390448643318705,0.08996800084785263
CSF3,,-0.03437163090993542,,0.05575815888443079,,0.07332489950886356,,0.0784745665621242,0.18752333821388772,-0.04082584663199265,-0.01950168161212234,0.1059560925907701
