,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf
IGFL3,,,-0.01284335305722187,,,,,
BMP1,-0.026096284548346085,0.03978976340174875,0.06009614786475722,-0.03503369510982132,0.04364340777869771,0.02289763319261193,0.021480222770850054,-0.0010952101809641687
NDP,0.032484435567077585,-0.05124064488914221,-0.038549922371184174,-0.02083505883397399,0.027770959363480518,0.0349889693557672,-0.04112505127686834,0.04408335929365481
TNFSF18,,,-0.019071993721949964,-0.017779782285822963,,,-0.046572464489810346,
IL36G,,,,,,-0.018982332775492654,,
RTN4,0.004109085154789847,-0.018223494684977932,-0.035081768623548226,-0.04188911191338649,-0.014922850055950036,-0.050893607383410845,0.1261084620258847,-0.03973744699600163
HEBP1,0.016082123299023022,0.03609577440374985,0.01470276311531665,0.009196212445895774,-0.0223470017871474,0.037654465593991125,0.08363850490601082,-0.0683425480149436
WNT7B,-0.03162463358144512,0.030304141145084538,-0.0035025448193018336,0.02303781686906197,0.047557952425651424,0.012378666715640535,,-0.011449888954242829
PTMA,-0.03702590437435562,0.023670148080312925,-0.014039829427804561,-0.001090384147877974,0.02442195805493609,0.023089967216343803,0.0014872867590624674,-0.11697434794907681
CEACAM1,0.005639823934114182,-0.017345624891891807,0.08075297719589355,-0.008331619010848453,,,-0.06859082872704761,0.08722383151202127
PDAP1,0.0036189226677511613,0.0501531123654508,-0.011737039730528784,0.05000693651617515,0.027936715196480586,-0.02146461066403411,-0.15625632190131297,0.04624405708490146
QDPR,-0.047712442922797006,-0.018859458581173688,-0.02348094285741479,0.031812845980683783,0.03450410347749282,-0.03086659550794656,-0.060790005975938456,-0.058025685026534546
POMC,0.038950730734811236,-0.03490349903943213,0.030749551006909126,-0.020630253372404914,0.030222344026716915,-0.040669851426668326,0.040256909926287845,-0.071030870070838
CCL18,,,,,,,,-0.028143722480342602
CCL17,0.036292517091560554,,,0.04061837373073645,0.027083754640787217,-0.017340899898657315,,
VEGFD,0.039993364702189074,0.0050236569765906266,-0.021516061520221525,0.11910206000529032,-0.022361303289842538,0.05265188296596408,0.07537491125885701,
TNFSF13,-0.014599783490069388,,,,,,,
WNT5A,-0.00042643953309770744,0.055713947294496184,0.044021116579423036,-0.02787518218962899,0.04091910125557083,0.01916061392536366,0.006309592930870058,0.0765164403534806
CXCL8,-0.027674018068332425,-0.04048701759545809,-0.0033393571418132875,0.007158438514368716,-0.006875559246547191,-0.014472414986845943,-0.013463000769196001,-0.03393070139070077
GRN,0.004708256298865819,0.04478800329093013,0.00024240102918988,-0.029062424610149757,-0.04026760861307942,-0.01424377367355795,0.06044011712326773,-0.04281518841626533
MIA,-0.015055240874382094,0.033890944618104914,-0.0247290172521031,-0.015272498041516354,0.06687720225892148,-0.02545270725722504,0.09801572439363862,0.07388750623863106
COL4A4,-0.037893830330888036,-0.02419021717520086,-0.012656171137864955,-0.023151229593727746,0.014396746586409409,0.0031470850089712083,-0.07301480791015912,-0.03558245881331368
TAC1,0.01820882755998811,-0.044268161646350924,0.0020492380789510936,0.000925961787423637,-0.014134635876002936,-0.0018624462236351354,,
RARRES2,0.027094588394265488,-0.024662867436951428,0.015339490739828616,-0.018311885365827275,0.004876683241365137,0.06324977535211732,0.0003569825004697631,0.0667120642399213
FGF7,0.09622987647596432,-0.031775195752910546,0.07046057592115297,0.050343369819845364,0.02210620757954357,0.032526389718237236,0.05425592927065108,0.03965757825298219
HBEGF,-0.025770904869509732,0.004554254038587375,-0.016035094477498926,-0.009672956404878127,-0.013257156540750594,-0.014738906624175836,0.009303293804954487,0.0008061282653691571
CSF3,-0.02522794076352867,-0.034088483267162774,-0.013389985462816414,,,,,
PI3,-0.02989929358353546,-0.0424204462467889,-0.015077300359810177,,,,,
PCSK1N,-0.003106178893110955,-0.04077268003081261,-0.09337418360924682,0.04027202333606508,-0.059656198358918305,-0.008393395925335887,0.050544921598909165,0.09806912979917326
NTS,,0.06753093551606405,0.031001221383797167,-0.02644758865279928,0.07161212204092164,,,
SFRP1,-0.018468090398964698,0.019418960363148042,0.10500235731058771,-0.019587960763510853,0.05609627666841994,0.009947312401990647,0.09057962740248181,-0.024067098903315255
CXCL13,,0.0418426192627213,,,,,,
MICA,-0.045084921589245944,0.032637669073834266,-0.006661747655536459,-0.012412937414145082,0.04540969788679203,0.05868865685461815,0.062094702906899696,-0.050278041572865306
TG,0.010159186371772233,0.08180202414387677,-0.016160514478729817,0.05213262665860297,0.10863519395971633,0.0007716415393992978,0.04583285113433709,0.020134314324573396
ADA,-0.0014593928957330302,-0.015880497223715217,0.027833028310550397,-0.000414849535815873,-0.0018876728415206376,-0.0053688232209626804,-0.05490402060284239,0.07745480277330997
LAMC3,0.03263594365059009,0.046959431261716596,-0.0398821241945421,0.040076819909185275,-0.04639624651668522,0.0017511643894817907,0.07768121430360878,0.0375378026518255
CCL7,-0.014409354917076254,0.036161904220352155,,,,,,
NGF,0.0050776008871956275,0.06087859855659658,,,,,-0.018661395109030504,-0.04182334846418385
TNFSF15,-0.016045521452685643,0.02131605368819247,,,,,0.016199645927799284,-0.025726783269749372
HMGB1,-0.005656947831968189,0.023309158503314737,0.034379369848684074,0.0011121823743079837,-0.03894742582830941,-0.024918756120312774,0.020539971949640808,-0.04611385779569258
ITGB3BP,0.0231200954251247,0.01176606146738407,-0.042584031248757474,-0.007477869591780462,-0.014277268849160555,0.03873512688952438,-0.01762545617219874,0.05864367768888981
AANAT,-0.014599785048276493,0.0060057413940084745,-0.012078129246183369,-0.0064599787208759205,0.02256684136707694,0.020643668302576516,,-0.029312866695785197
