,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.01585955234227495,,,,,,,,-0.026830553490546846,,-0.017974690485112986
BMP1,0.04421143180440989,0.028138884818072772,0.07278565151071711,-0.053283309789026186,0.054807809973928485,0.06924405860526031,0.08975845117008766,0.03209111431615052,-0.01900016481369681,0.011291830493627513,0.004532583600140959,0.04360588868765898,0.007028654589700009,-0.016340522302367242,-0.04032424600668471,-0.042751338508302365,-0.03550492988929236
NDP,-0.015634270433309703,0.061972493087771176,0.03539175238706224,0.004947997476857775,-0.0323493486601328,0.007856767409751502,0.07440929561680085,0.028550240555392434,0.01461196477515092,-0.011144868475002793,0.07651046324750545,0.0774794099201285,0.08601209091873138,0.05349079777987938,-0.041842626971027044,0.06905238274711235,0.05281486626098638
TNFSF18,-0.04821033674066012,-0.014779484073040526,,,,-0.02026187765903858,0.1264302853056891,-0.015882540609570804,,,0.04269462966964342,,,,0.06380580703860589,,-0.01605610269586762
IL36G,,,,,,,,,,-0.013349799268401814,,,,,,,
RTN4,0.03595370848379341,-0.022440200679737503,0.023896519903838023,-0.04501167544575922,0.05660734638477877,-0.17038012953886522,-0.10438759791950934,0.037592950025407065,-0.03400239525392755,-0.06354119344010602,-0.11403265325622541,-0.035878125591522494,-0.0466792865855782,-0.02432577819793898,-0.043274177438951,0.11345627343831974,-0.03411325123030522
HEBP1,-0.0193681197684577,-0.02791714320347321,-0.06065680225667199,-0.016846594590615535,-0.0110656604015564,0.0928633224167079,0.06803666932970812,-0.005134620802174225,0.017741217258756988,0.016336329790983834,-0.08354438008026323,-0.03320523332623709,-0.009585491559654285,0.05768707481392948,-0.039163012078791165,0.0019659852887702538,0.06160994180021667
WNT7B,-0.008646092281826447,0.024074130240359592,0.099602594093707,0.01911544903886292,0.036064681351840336,0.03002340080842622,-0.03141414546927325,-0.02046916155429844,-0.003543362962322893,-0.01467296784552413,,-0.052208423272536796,-0.012538676742465046,0.07594708686564651,-0.02047621613619308,0.06344443027358912,0.009102493558918123
PTMA,-0.04138746795767876,0.045106760322985814,0.07513257357141051,0.008683998764046323,0.006823719310630855,0.24317243261205365,-0.041218149947007954,0.0525781727494086,-0.02709474859767577,0.08837658880636737,-0.04634570031628635,-0.09730999609014637,-0.11943251271734093,0.030441415363301434,-0.04001389871335394,0.019036788073575887,-0.039885660778473706
FASLG,,,,,,,,,,,,,,,,,-0.015589442925584224
CEACAM1,0.0021473561980028537,-0.023775740185393964,,-0.01522801136096873,-0.004651269839150485,,0.05770075732294384,-0.01323904009334589,,,0.04627042831788027,0.06349818036831256,-0.025722964823369453,0.047586970115837554,-0.03975872336505666,-0.043304267508124716,-0.021690420158555636
PDAP1,-0.007272456521655243,0.017971795265160056,-0.0010517108659015423,0.005333950818153276,0.03567609642293197,0.08136170972629397,0.07231261291245712,0.015260692074585401,0.03350897723478601,0.016278028075684504,0.07553008264173924,0.10330966983112476,0.0020825092824961018,-0.0052371498240687065,-0.030377225680711255,0.029829671886039685,0.06347214099316013
QDPR,-0.05516213836784621,-0.05126181216002174,-0.013140538703652537,-0.010194125506853289,-0.022058629975239,-0.07893569156749455,-0.11796297980443861,0.02268237732629727,0.06630485811041018,-0.04640933819471726,-0.03135407472113368,-0.11521109698601423,0.0948277330208337,0.02649736233769694,0.03758056176541375,0.000987543272709764,0.03282962625768272
POMC,0.058834552844903326,0.04787037332466726,,0.03896006291262018,-0.03532203825607158,-0.046477190080155696,-0.01814021064265517,0.07120409539195281,0.017809488080359124,-0.016244065352935332,-0.09777359197905224,0.00012472664800395998,0.044076280658231756,0.10659610171326077,-0.004733408118594754,0.013096711884332582,0.018801331567695083
CCL18,-0.01692078689928853,,,,,,,,,,,-0.03319710713084014,0.06695039234941913,0.021258196391965505,,0.02585964331702143,
CCL17,,,,-0.012663908735674528,,,,-0.019808620375810247,0.005742229785766015,-0.012195420632357783,,,-0.018298803581816545,-0.021996442235207716,-0.02061959603851295,,-0.014130079011753493
VEGFD,0.03245281020755033,-0.03405397770389452,,0.01758049048318237,-0.02881407096541899,,-0.026569004399336616,-0.021104409574263225,-0.011044630669532516,0.012170380514027678,-0.009300235379977333,,,0.0785198354625405,-0.02336665012180949,,
TNFSF13,-0.04623001551063571,,,-0.016879442205821823,,0.059020349386786554,,,,,,,-0.02588415749132318,0.043653942575295486,-0.010069017418690996,-0.014762232582082294,0.01448613383585838
WNT5A,-0.004858114499419227,0.0015372824717660547,-0.0023355858835563217,0.0017928877283475322,0.031620869860809885,0.18869384502941935,0.07167422568262764,-0.025763985951147216,0.06249629879969699,-0.03206977841453382,0.13929838598285513,0.03811824839467155,0.040821934738082565,0.058872184180389565,0.010477513131555274,0.016280637987638246,0.05003653992527141
CXCL8,-0.04118292336884688,0.010577978125739343,0.007222998963203487,0.0775744193386406,0.01159195183234427,0.09509875204324993,-0.02963017927709352,0.012887910570058739,0.04565284713735379,-0.030315437029041815,-0.035877261946498956,-0.03277004605774043,-0.005513187221108757,-0.1057080507942519,0.13222196743441816,-0.07320874144843383,0.01285458038777356
GRN,0.03846126004652967,-0.01744585815459554,0.04137067895478649,-0.010541786695021538,0.053462025525861843,0.1081531684918323,0.09160531648866223,-0.0036767454139452383,-0.06122058276478233,-0.04999250154483658,-0.05381725075408486,0.04026575054322588,0.012392715884354524,-0.028848606124190896,-0.0202342310605134,-0.07392840159611104,-0.0929314866906919
MIA,0.03352746472575705,-0.008033469527960666,0.00168952175927892,0.03931778703533326,0.04525809086769947,0.041820919955709246,0.01042991178670434,0.011291523386510412,0.016544550824083005,-0.017900251604483303,0.015561877685535143,0.10979424300686261,0.1901942090700452,0.1543428809340048,-0.00024243681308973148,-0.07232600013509641,0.05071894221629464
COL4A4,0.022911979418742023,-0.037701105564670545,0.02397700827331845,-7.51595384049429e-05,0.020553126466778458,-0.018695911295596532,-0.015628411655388735,-0.020680812524744522,-0.024992363593998864,0.04156333899665712,0.009158125540987824,0.02466564953839183,0.07974843789077432,0.03816866781740573,-0.03469103991373195,-0.014692445666103483,-0.04149560007988482
