,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.07598800609319036,,,,,,,,,0.023670629122708977,,-0.020566580290106818,
BMP1,-0.029142077629658876,0.01640320984364818,0.018841287511576703,0.054737907770896745,-0.025729092697758266,0.03116406567148246,0.1654329126126467,-0.0039316190393248315,0.014979260147030774,0.04678175497590546,0.05414603943586487,0.010026973016131894,0.06944492165080925,0.03473508774199499,-0.016804909854006428,0.08152467043416488,-0.041321545679628195,0.11288749879043812,0.02814975045414661
NDP,-0.06867449398112295,-0.0072717705782917915,0.05135705137409284,0.06744614111758919,-0.02328550385612914,0.02060660617601988,0.04006522377054939,0.05029014871043147,0.011278131573815343,0.03504047041244278,-0.003770063627260974,0.057400267489494394,0.02016756981740744,0.017473623305599855,0.03397766438727593,0.041936927471316984,0.033290050302101346,0.023911614791414206,-0.025391520163439384
TNFSF18,-0.020895700484328438,-0.03480104073856807,0.01951101336972101,,,,0.06449516244497862,-0.014682541271500205,,,,,,,,0.03662650786751519,,-0.022202975062347224,0.027724522369987896
IL36G,,,,,,,,,,,,-0.0177712841160844,,,,,,,
RTN4,0.040399908570306606,0.00665427512031762,0.0093426057248327,0.013818433089905924,-0.03525815383657674,0.023412366450220486,-0.17120383662563493,0.03866813080801449,-0.04312764708231946,0.006846991264206792,-0.008732799893743707,-0.029748821385133822,0.040443117461297175,0.007119159903993031,-0.002271652699302667,-0.10959252716976836,0.06270221737719263,0.0089420371831027,-0.04424971448939227
HEBP1,-0.05143221256452598,-0.001994031723637892,0.01770313024039766,-0.04896293956107434,-0.0028729748745258436,0.00033408517904757405,0.056254482970061,0.03984683404083824,-0.0038687959922024968,-0.0317678415883449,0.017815078434080152,-0.00891444280921513,-0.06567116837557939,0.06798077019477278,0.011191430345150194,0.020042128820797266,0.0003294652144526372,0.0782124272764168,0.004525143320978478
WNT7B,-0.018408457655154684,-0.02956869509980252,-0.017227635528266325,0.03564695392143018,0.004920495585843682,0.012975952440714103,-0.03349250867873442,0.053523408443329715,-0.018277119324148584,,0.02165174675416137,0.01446847989795476,-0.04393175802763001,-0.05023518557226608,0.02635715448421568,-0.030944470724614218,-0.035551417674235315,0.037634779011804044,-0.03204533944274438
PTMA,-0.03188695994189242,0.00585677422417056,-0.06645203112365848,0.002391571137231579,-0.05656684260994612,-0.009963707757058436,-0.059752827106342866,-0.017068399764779637,0.027468798198152324,-0.012883078241317326,0.13347608465723798,0.06505134527861413,-0.054894998459944576,-0.08411580779572769,0.010045899477305085,-0.002972252795160077,0.07708975409930553,0.01375686053087507,-0.012411781570670992
FASLG,-0.018408462859178507,,,,,,,,,,,,,,,,,-0.01783738806921939,
CEACAM1,0.08450952941989137,-0.022149908683319033,0.010880458702696466,,-0.014202676673430286,0.15158622163105878,0.05189817742680781,0.0018238225083362625,,,,,0.02812761110353867,0.06707883949933414,0.03947700059873226,0.003887538407849175,-0.0235959929595591,-0.02481810566287934,
PDAP1,0.012446906869985688,-0.015341912907611936,0.07672284117288107,0.010629513082908621,-0.02984915733454947,0.0038638851998931134,0.12536459700768118,0.021811724860656523,0.017794935309968323,-0.0005300319412855552,0.02721373748532063,0.0281535781157261,0.028982149221604837,0.01724101662268176,-0.022405624792113187,-0.03718523383175816,0.05029117648663961,-0.048792451651026046,-0.006770451229243674
QDPR,0.02100469980300613,0.04506721838011429,0.011551718318043984,0.029660944444186203,-0.013359142837205917,0.013500594938026238,-0.13525700137425103,-0.00763554983232556,0.0126194832071539,0.007484113084994032,0.042919768040972056,0.02109910987005845,0.01001814635209954,0.056423793555130504,0.007469856467359217,-0.0038822278785431708,-0.039876254250267834,0.011736976599533482,0.0342997459921248
