,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
ICOSLG,0.05294614703606869,0.016193541723418577,0.004993726799218435,-0.027883712416638718,-0.030610597668621377,-0.034684014518416226,-0.003354840660109897,0.033079340221963245,0.08384730789445795,0.042784002308498,-0.024424629779460267,-0.08635708588083182,0.07639811849283074,-0.007032129591028523,0.035027643674523885,0.02573124888941301,0.079572350294393,0.06695672441860563,0.07091054257029562,-0.031759614547080185,0.017237702080681722,0.04317342912156333,0.129683650797863,-0.027065023450244963
WIF1,,0.029042499222646168,0.001881573922695133,,0.02849989037669104,,-0.01694918263403336,0.06551171839764303,-0.027491380154645684,-0.014777270384317445,-0.024218450390171793,-0.05922497364115672,-0.003837747479924709,,,,,,,,-0.01297238298270899,-0.043230325127150804,,0.07920120893023153
NPPC,0.004342045817659488,0.04302865265344962,0.05452921856802709,,0.04334871739145986,0.0015570166087418907,-0.037883973228112294,0.025076582250402327,-0.029177441258215395,0.04848038631015091,0.09259246759301838,-0.06418900856277217,0.0755827625483882,0.02035134570900306,-0.10112086329624569,0.04550462020295329,0.04284807411818707,0.0020332609662309397,-0.010047422883059771,0.1453769675653919,0.02235700734145281,-0.07379058073230178,,0.043053898029031694
LYZ,-0.07917124939587705,-0.0012184424327906528,-0.028882213126187845,-0.09380108474827624,-0.0177979479218433,0.035734818779794,0.0010151271073621218,-0.029899362034003535,0.036758705704230774,0.005440069809011347,0.0449152282747678,-0.010956559668011834,0.01965848760534736,0.00841741661198813,0.093273717366581,0.036406845834885446,0.031245641992051577,-0.013887170009010342,0.025950812250974398,0.04574464724356237,-0.028190074807352347,0.059220176972252896,-0.01185940523516933,-0.04281192197060647
EREG,,,,,-0.05518843769772202,,0.03756097912209042,,,,,-0.006352499854550099,,,,,,0.08247424888874397,-0.05966432980454403,,-0.059132159420087586,,-0.04504724777671481,-0.023564216094371173
SPTAN1,0.08263576097533515,-0.0029155023445588536,0.00024010185023733626,-0.016750830609696236,0.0291409410890824,0.023724746427194052,-0.04340081057683062,-0.0210977861261682,-0.004031010474694053,0.030106518212079453,0.02118166050701568,0.034427425461506164,-0.008314209158312626,0.0039177291237090265,0.04712052461554913,0.06684821921660554,0.14166103391909735,0.024650725806561687,0.08458627082200544,-0.013308069299843059,0.021866090766711775,0.030999460119625497,0.11789317361119979,-0.09975438931663927
PTH2,,,,,,,,,,,,,,,,,,,,,0.010195584701669423,,,
LIPC,0.04924855402986825,0.00010045961617839688,-0.024883370326737667,-0.029189724102916557,,-0.044314576685534485,-0.010114534730219385,0.02944383816517929,-0.03327270607242518,-0.035802073167388315,,0.011176215653726727,0.02090607993100071,-0.03298874202766868,0.2515495334314773,0.009306842241301665,0.03494926182701146,,,0.010608811308540503,,,0.07674340931036587,0.056713829179911156
COL8A1,-0.05325294284811149,-0.028556401859978223,-0.002701344728267076,0.007550096452313486,-0.051118350214362965,-0.015843239890152766,0.028013661130874026,-0.05599930695616496,0.1144458059415426,0.051892270390932034,-0.056536705799702686,0.09198645601952446,0.08289296503738194,0.12035943762919887,-0.029463859443439752,-0.020789170675366377,0.06867714013652003,0.02220038920099541,0.04265167022196168,0.0719158348447354,-0.011809411856474513,0.032100586245921665,-0.025305016239348412,0.21457193955939663
GSTM2,0.04002459529442292,0.004382781750427811,-0.006581022085396218,0.09657527620441168,0.015771182828736408,0.003981856989968513,0.003926683828969472,0.018126253085805597,0.049668308549754604,0.06983421211539066,0.0016164498781885452,0.05029354063213688,-0.01175272728450714,-0.0013136298726130757,0.031725872781872326,0.019250945265946506,0.10347115067678778,-0.027793777381401142,0.03063384922467691,-0.028214511426704014,-0.027058240228384302,0.04664222043971576,0.056025809666971384,0.055329687228917374
IL4,,,,,,,,,,,,,,,-0.06968979678016665,,,,,,,,,
SPX,-0.05398753127806906,-0.010163545485899097,0.011764775537219005,0.02189753374627098,,-0.029261498662323887,-0.03518245612872243,0.042109833346076576,-0.06022090908630807,-0.02910800088778185,0.021838822489121393,-0.025855974116202222,-0.04473384812456905,-0.04124198717576475,,,-0.027608039954829768,0.05640601758013405,0.016833512392487017,-0.00021321097063327354,-0.070489951798536,-0.04814435370122672,0.20097161829037288,-0.019993923131688535
