,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf
IGFL3,,,,,,,,-0.0006376708209151611,,,,,,,,,,,0.009118584900268257,,
BMP1,-0.011313068674040595,0.08142449706859359,0.09555754647763169,0.02935579791499679,0.03723217800651477,0.007637885143049947,-0.04169641404429921,0.1433160003895732,0.05027489348020841,0.017619055434993702,0.07912396281947195,0.09645400080316524,0.10026843627818373,-0.008446709204104433,0.019238620193498337,0.0238276924206728,0.04528540999438835,-0.058195751840949425,-0.06990310998726734,-0.030237959815520923,0.012764645331876793
NDP,-0.03912793594488193,-0.003479058100791805,0.03852978704213566,0.006784663653589489,-0.009044669464081105,-0.01691696151178372,-0.008179120206839835,0.010864718804636377,-0.016040268555433536,0.006862038054059275,0.07184481780107856,0.07594462860502253,0.050343511854859226,0.060118743627825676,-0.04007166060687803,0.013790050838185216,0.04887350338688349,0.10096709362856088,-0.03499750146697103,0.028104533295333686,-0.024757853265693235
TNFSF18,-0.010744575099765036,0.19319500520996435,-0.015630568721339604,-0.004240274662276822,,,-0.014130674451123143,0.020734709077827904,0.028703831968758378,,,,,0.15419734740371396,-0.043522648878201405,,,,0.039831825830198474,,-0.043532899420808464
IL36G,,,,,,,,,,,,,-0.02637987890747213,,,,,,,,
RTN4,0.02448363858041359,-0.059253014313033314,0.017219377821255273,-0.041835543694291745,-0.033707268305448665,-0.007928100814723182,0.01667968067574955,-0.16639329351986826,-0.048178758144549035,-0.013665395928912033,-0.013341765393571252,-0.08835509008191697,-0.0895483308925981,-0.018872139804148768,0.04808944912061778,0.03016770470590282,-0.055130964998132734,0.0013720033087385225,0.04307865565641049,0.06223321449802281,0.051247830424839304
HEBP1,0.041499097441100044,0.0012578887714433864,-0.005794779594545662,-0.040939407126280414,-0.01200960168358605,0.03193993117920303,-0.020368197059033474,0.11302441019879085,-0.020158858324347332,0.008944926553880747,0.11547469957974346,0.015827607704003866,0.02336320658783585,-0.010440737354372061,0.0173635908975306,0.039045561721625474,0.012835075046576973,0.013773653353029021,-0.037330515212019855,0.04152228404693434,0.007327849062252187
WNT7B,0.013836146463920502,-0.009729016949018175,0.01533930744208264,-0.020997618181399436,-0.037424038775190745,-0.02028671803551424,-0.012810760793309181,-0.0879977762500871,0.03223681738197429,-0.01743575336153162,,0.04869160998072769,-0.02899452697347542,-0.027806289488564614,,0.010157002517615085,0.008648484101531661,-0.0011437964760045423,-0.05583641130835751,-0.02415945712353435,0.08360480526122469
PTMA,-0.02667817112826657,0.008211856489439258,0.03651079963617249,0.013568192390316884,0.004477580101585008,0.03630295416834521,-0.06777694912300906,-0.05286482231380242,0.0032082130070486205,0.04095782318722015,0.12937601468268595,0.039761663840626134,0.09871643736305792,0.037373687020571006,0.010876348781879463,0.02902442449633878,-0.11539007046260305,0.01774485277003997,0.06442807307834256,0.07628671740108199,0.10333831966382268
FASLG,0.0730730524026223,,,,,,,,,,,,,,,,,,,,
