,MGH258,UKF243,UKF248,UKF255,UKF259,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.005125012985459306,,,,,,,,,0.019369759518697863,,0.04026913875316352,
BMP1,0.034902388954922786,-0.013988801187540253,0.06722960809407293,-0.004122288331912856,0.02814285179662178,0.09708279141115955,0.051165551982721894,0.12750205472271567,-0.00024885314715309635,0.11882927968205462,0.08914447456380523,0.02117240675117779,0.022555171059542505,-0.03683359516383285,0.17254203249706385,0.10037694586158724,0.11903760329942803,0.10381206890197445
NDP,0.014964074547364445,-0.055116806006072015,-0.06097322947673205,0.033279402934883476,0.0009975304791458482,0.00926251107748871,0.028161017277922494,0.0955547013051255,-0.02340963472567382,0.1458764589520866,-0.0286916710267532,0.017617326765332227,0.024005145656446458,0.07721898490521584,-0.01633578876926757,-0.035948826844662954,-0.028036616055027504,0.04094211461766825
TNFSF18,-0.020102978653779833,0.0768256500695605,0.08263411725047862,,,0.08397992294966737,-0.013506325325882383,,,0.12597416285194912,,0.05164109578987972,,,0.12641781030651836,,0.04162001665851723,0.04496953400789973
IL36G,,,,,,,,,-0.012934686501652219,,,,,,,,,
RTN4,-0.03364311690891633,0.03378757071722504,-0.005414261840281315,-0.04099765036292649,-0.06500485915732034,-0.0647297330552295,-0.026281152099814863,-0.03720574429717177,0.020259580521972846,-0.08839137747559765,-0.016984939977436803,0.0425123706103631,-0.036804941135842144,0.002037663683658457,-0.07627706886397895,-0.08302094182709067,-0.07461527853669501,-0.026800621434630915
HEBP1,0.0018060754587432312,-0.04625885672829293,-0.012484203868074535,0.08995427624868438,0.01751447560188633,0.0283438756294008,-0.008357473998065194,-0.015164262681389774,-0.007777671830807918,0.03803476820637842,0.02053818383556378,-3.416717206549376e-05,0.0017451270777723916,0.028891437916099237,0.05540238364653479,0.0723894593614085,0.034013971924055426,0.0017314849517197032
WNT7B,-0.017710094551179535,0.07846410157838324,0.015897705079945566,0.050133667261969335,-0.02722906253813379,-0.036940442250214735,0.015603722150170064,0.02627455829060355,-0.01421671107669014,-0.01847264062723193,0.012572691876270695,,-0.029792600314117852,0.1142741750672817,0.1244611963088296,-0.02287289728319348,0.09440890879024538,0.07149672576851591
PTMA,0.01800814687355454,0.13909452046986664,-0.006722191482123347,-0.012665211936970972,0.03133235866450904,-0.052158675428370466,-0.04715246784806492,0.14374327955346394,0.0005968413030149902,0.05356582869298008,0.030070637868124642,-0.0161515545727139,-0.049445816025736035,0.013657528502725854,-0.0815459011616805,0.021278670733164418,0.11032134943797152,0.04367403982752038
FASLG,-0.017710099557777897,,,,,,,,,,,,,,,,-0.039561374462185835,
