,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.02606624272258941,,,,,,,,,0.057323997884289296,,,0.022297053992979994,,
BMP1,0.03367354831954814,-0.014775161209618639,-0.0040999246937676115,0.08506189644423166,-0.0081353139738838,-0.06779901699816257,0.031028113520022292,-0.01985084668531363,-0.030794776386468988,-0.012237732015959775,0.02431187988371608,0.029902674210839288,-0.08742864475514012,-0.050892058863975985,-0.0007984940768276722,-0.007596909650494767,0.038810933390524986,-0.02304114892627676,-0.0464089113865568,0.033851187672175306,-0.02057037207278356,0.014014455655116718,0.020258129339974843
NDP,0.012900371079024737,-0.05444942326629648,0.049028146041360375,0.0076369314450192745,0.003384879815182929,-0.03615917322907747,0.0685685521461279,-0.013847669370308983,0.09470607633311136,0.05227758784920682,0.029620960313927754,0.0969354327010811,0.02729959987288263,0.04718766151520018,0.04517020054991966,0.07845459594773284,-0.02653517129693723,0.021130430926834493,0.0670097219843893,0.0551843578821105,0.06809447829066104,0.11243309554247963,0.08120393423580761
TNFSF18,-0.019279987219288242,-0.010843369013511168,0.04430010788989215,0.0068838421841452705,,,,-0.026878765175752276,-0.008445514260428997,0.04518470138612694,,,,0.1529097749764555,0.05985484775721923,,,-0.0532838411059597,,0.038550957978476325,0.006636683597714449,-0.05378318479343829,
IL36G,,,,,,,,,,,,,-0.02670785665204604,,,,,,,,,,
RTN4,-0.04101213452028945,-0.08067688723288291,-0.016970195676197522,0.04897473381929485,0.008972686988195467,0.008664223562835962,0.00011625265089281843,0.01283405856270552,-0.07784074764689469,0.002247631205519367,0.07513791078331866,0.0031419394885251676,0.14567863519671007,-0.01252323258827744,-0.053397440673401804,-0.060926921792661015,-0.04282398968470239,0.051174660024783256,-0.0011727407519383632,0.05410168510966201,-0.0439669623327492,0.05944092067905115,0.0053809992592423785
HEBP1,-0.027548786700797835,-0.043803115089752466,-0.018475554642979463,0.0011121451506562639,-0.0905290806862686,-0.017702682116309668,0.06309498038077212,0.011356249393869764,-0.011400696192454887,0.019080377797576948,0.03860535958924116,0.037906250060525205,-0.003823406573694241,0.02100221975091863,-0.07614947330212947,-0.060492891288194524,0.044599561867014255,0.04017356898871513,-0.026399085850127523,0.021298356471274555,0.12452863047341482,0.018145631426739924,0.0478915702277717
WNT7B,-0.01698506487420097,-0.0704035432988735,0.0073055783163236635,-0.009667370468258182,0.05466593570004303,0.0036905873398273455,0.01054270080250271,0.02647648122303782,-0.0631376703731609,0.031179425106378104,-0.02138465882767229,,0.11226434089029107,-0.030909698690148445,,0.028504419936080976,0.015860911289806746,0.04688841218838016,-0.02206736381742265,0.026850423434467554,0.008699145978641737,0.039035211214104776,0.009021267555324302
PTMA,-0.016775841833512866,-0.003378064007324494,0.02969774669590618,-0.0375075217069419,0.005024178295202703,0.0013665584595621923,0.035461354803478236,-0.08072619005511376,-0.03574014044501902,-0.006606588772399646,-0.0493638491784614,-0.024685306769385934,-0.11581041226444842,0.07712461827711047,-0.04804950173813276,-0.1105512009032443,-0.001183562045511795,0.08014681380218266,-0.08200324124976138,0.10560519717762692,-0.10245571383114616,-0.0857967216347782,0.09209750849407163
FASLG,-0.0169850696758353,,,,,,,,,,,,,,,,,,,,0.035580809578379745,,
