,UKF251,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
DCN,0.0067824543358932145,-0.01771250899619463,0.012107970529920966,0.019932873460658196,0.021779843253892577,-0.0354943826644454,-0.018560765784396093,0.015827148599225654,0.057582489244706804,0.044707123931055845,0.01206018604524244,0.05562305951832446,-0.032965952663355065,-0.13312390273983207
RARRES2,0.027548823859626297,0.06018012715257657,0.08674758749375013,-0.05360819184669848,-0.0458328243612688,-0.005085026056611195,0.003683769750784377,0.03961137990115894,-0.02886335416420804,-0.02103558313274746,-0.028793364228683938,0.07070293539814039,0.028205450640354277,0.10252065829338855
SEMA4A,-0.05436812083299447,0.0197798654358436,-0.0664988318896709,-0.021438463389377015,-0.0057254514497683436,-0.06285208841262493,-0.04904883652301826,0.021416746462904264,0.01895085956120582,0.04558202672906156,-0.02076601840063185,-0.060640480335736144,0.06656921347355084,0.006104003378330591
GDF11,-0.030844253976502256,0.03658976941345665,0.005013452202467565,0.013044745108896052,0.02686280045676218,0.011740391829432017,0.09685560914870742,0.013529961960112535,-0.03521068319434395,0.027908499457877586,0.015897154238373314,0.008733065440932202,-0.037088668353782925,-0.04723197739676495
GPC3,-0.02326971698455232,0.015153192368381965,0.016961076887022326,0.01487311577985246,0.028885469074092156,,0.04105954252037329,-0.03360888471778145,0.10626565172013523,0.09545790878528107,-0.02472995090567447,0.04277469750126268,-0.015328334815687775,
OSTN,,,0.037268782121364426,0.015662490326265346,,,,,,,-0.03843370379364065,,0.0030007133269516605,
GRN,-0.04483335053058935,0.04828351829263681,0.06946310903021653,0.011000255168109695,0.04758517337399004,-0.029267495947259213,-0.06361416844631462,0.038141884657016054,0.008606118521189894,0.025108249282613793,-0.05936871344218947,0.03650460660196783,0.03195040571266132,-0.03769197493702508
CALM1,0.07474548630601566,-0.06001478026277348,-0.07494494145099692,0.06523137622738927,-0.06277959967013164,-0.06184361987363791,0.05902725081051331,-0.01972349323661864,0.05819281154898151,-0.026567719274421635,0.041779606279514526,0.008496885366840477,0.03792781474340351,0.040809799612634305
ANGPTL4,0.09248185478163023,0.07601986219548187,-0.021717507326257986,-0.03788427142773356,0.009677084272900052,-0.04548190783746075,0.012138264812636834,0.12373521802360553,-0.05554375868124373,-0.07955672733761168,0.04363260274840281,0.016391662080078438,-0.021886842560595424,-0.021230436814740978
BMP8B,0.008718161577918737,0.031076353984107522,0.012265426715596972,0.010635954489988855,0.03686919505686427,0.07804853232005185,0.011684488589278811,0.028634307063620263,0.0043086573976280655,-0.036700351931132226,0.017031401204734925,0.00999131815009219,-0.03979005602710289,0.0542684747973287
