,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.02017443553219936,,,,,,,,-0.03262448724957919,,,-0.03609541370219529,,
BMP1,-0.02807413460827739,0.06235412894071993,0.006332088968836245,0.026546864575665737,0.009779055801452679,-0.0005870958943175385,0.08075757952051252,-0.02824725128893893,-0.017838470513528906,-0.07696773822818194,0.032154447957480126,-0.08082079262483785,0.09216287405068571,-0.052300543686456355,0.05276530058641786,0.014076836311586904,0.07565468613917428,0.038635967832008296,0.033299183594009074,-1.495483129461039e-06
NDP,0.01590599733487124,0.04198446760265965,0.0303219008791137,0.05329306798458844,0.023932810565231714,-0.031016108172571732,0.011273332047368861,0.023353342664650324,0.05261162844752635,0.0007345708512174925,0.09967736457535205,0.09836962613158177,0.015239721732272211,-0.013795001920855034,0.009117406969903558,0.07064799962331385,-0.08062144964078129,0.1315146693691248,0.0952351203052715,-0.04198270265763343
TNFSF18,-0.022158375571527368,-0.03329846168776241,0.01017720951557267,-0.012642932974144698,,,0.08956899088249595,-0.020868320107138447,,,,0.015085528859565411,,,-0.0336450578444739,,-0.013133869646005584,0.03131094316788582,-0.044315768860293585,
IL36G,,,,,,,,,,,0.062246330427567165,,,,,,,,,
RTN4,-0.01789029973366328,-0.07744500568819788,0.07969293717179986,0.05653244910398813,-0.006088805912893146,-0.01550578650956955,-0.11130202055342273,0.06371769879535595,-0.037489063923216236,0.03551182849810481,-0.047919563822708115,-0.06261665055147567,-0.019194566221933697,-0.03491522449738606,-0.12649643087573087,0.047730326948894564,0.10039122746381332,-0.11496225342980275,-0.04372762397501155,-0.0501029581920121
HEBP1,-0.04823217242918207,-0.013704513210152498,0.03546150899954459,-0.05133405704006835,-0.03779614691681376,-0.001994651798069629,0.07324244440640915,0.006127035574340655,0.0698210385921585,-0.004939951385640108,0.014471105558046218,-0.020287447540035017,0.01780253814506676,0.03536474293670884,-0.03496238312195886,0.06231828457733702,0.07900814180679253,0.08488410961880892,0.028532867365868093,-0.04237197179720038
WNT7B,0.02920557595224367,-0.024973255664837476,0.021907062970653583,0.008127049508564263,-0.03109119462488183,-0.008763047691685837,0.012107194270266212,0.027627504798416438,0.008494436690618381,,0.05326377435444115,,0.08520469440370133,-0.01703185927427983,0.000375091319889475,-0.025860407247953292,0.14816534833501577,-0.019671266603439146,0.008278932064363196,-0.03270517309193344
PTMA,0.06410728020318252,-0.04573567354242688,0.10049754805848282,0.06420576971713629,-0.005845041126264943,0.05400158847146203,-0.04875580151877389,0.04421002352374761,0.017281072261616563,0.005871107751814576,0.029046946742775533,-0.0011928389278466629,-0.10653345678622399,-0.0009647207926279427,-0.0028904420283987495,-0.030486160106436764,0.08379393382131349,-0.09515452840256054,-0.04864731137685886,-0.08479106258174307
FASLG,-0.019520840377383466,,,,,,,,,,,,,,,,,-0.017209017913653778,,
CEACAM1,-0.009558148773735863,,0.02862269995713387,0.04604794401790153,0.09570429160798113,-0.016974350306568412,-0.008619525522269215,-0.03282089598437549,,,,0.05805004135324859,0.04704227889239615,-0.017644158560260772,0.07035112629269383,-0.017163928396483053,,-0.033179278217122916,,
PDAP1,-0.0035432468282900545,0.0198899209671779,0.05654636270842389,0.03271820245050354,0.011747865326014602,-0.03121797355006351,0.12854215842602362,0.05104080352821601,-0.028189342878567947,0.025648169560373905,-0.007472728703397238,0.018479303423614358,0.03931453707710885,-0.010082505974216118,0.01970227227010318,0.026890132305490883,-0.02460485453211996,0.06616611860151739,-0.04951862551882076,-0.011451829171703004
