,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.0018889656114769683,,,,,,,,,,
BMP1,-0.007410849384990064,0.029208933611976486,0.05305186084472118,-0.088046734218748,0.009010464821749591,-0.060790882585014666,-0.075753532161657,-0.08245064938873077,-0.04779456756181855,-0.0011880184791431296,-0.06520680101626185,-0.09956783742148977,-0.058409342467982746,-0.0286820358280632,-0.01905361110990359,0.039545168645848304,-0.010186313805442122,-0.02352947721674758
NDP,-0.09443961356377416,0.021011268560057875,0.06667121759218951,-0.034896005107496186,0.029178601184308463,0.09029266634238761,0.06199673990231852,-0.07210420384068973,0.08939568670352746,-0.034420013010445887,-0.10097425879773214,-0.035934948839051475,0.003813173869102364,0.07440774502142149,-0.010185914005372141,0.036526000151609415,0.05893543261871391,0.03745578925158369
TNFSF18,-0.018681602775043712,-0.04154367237692098,-0.006677788043062666,,,,-0.026096924968321795,-0.024727652497461946,-0.029425674524910975,,,,,,,-0.03458145993080985,-0.07901355292339858,
IL36G,,,,,,,,,,,,-0.017456432195592148,,,,,,
RTN4,0.1499748489261392,0.0070665682851038985,0.007613091435709614,-0.047537339021816984,0.031613480723761245,0.0845564083279138,0.2657652174615046,0.06699353267415081,0.13020310040086716,0.08764463346776924,0.2436163714014334,0.1541547954079866,0.08228385540642495,0.08542446324392279,0.132865139827585,0.005842844779347429,0.23920751628446216,0.01397125820060016
HEBP1,-0.02789607824959601,-0.012729972071738564,-0.017030667644387668,-0.004400577249698586,-0.05019447417914574,0.002457463256397277,-0.11819621307553488,0.023239100879348423,-0.018446126062532285,-0.04651621732587227,-0.11500431041128373,-0.027505464538258754,0.060419503995924335,0.054260656466025695,0.057563424368353815,0.032256493059490056,-0.06843032589363811,-0.11121210404084285
WNT7B,0.17694581490064412,0.013985504113080046,-0.002861906943340096,-0.033945889338017,-0.00423534591279417,0.02795781218061554,0.08672135055943424,0.008915384245826562,0.06378541597070346,0.18704347508726224,,0.05255714064985906,-0.01586816927736711,0.018335869298213132,0.05411922559362613,-0.03458142407243365,0.02029659231841917,0.14354636248978808
PTMA,-0.0014045252161712946,-0.04958012796781165,0.06942679335937546,0.030553270763188086,-0.006714058545678043,-0.07437225535487112,-0.16242501178107027,-0.08358264191899685,0.05027353217308481,-0.02649720567665557,-0.30089962887027144,-0.1461704787022965,-0.041827503738425933,-0.009904827471751473,-0.005517710816711177,0.08027535013342908,-0.07185052770230425,-0.19943655461688367
CEACAM1,,-0.026441408934610652,0.006607289233513967,,-0.0007004547522325688,-0.027661371911984086,,-0.02904327030230001,-0.032829168891358736,,,,0.057815486303099066,-0.027278716661944934,-0.01277370767857573,,,
PDAP1,-0.08555709073563922,0.014791868064319797,0.04136585429316469,0.002968594315136535,0.012862795751775884,-0.0341025552544834,-0.07369772645474197,0.025682036094635114,0.027402653379966634,0.035809847569816214,0.02251201130622721,-0.08468857258458279,-0.02216014024778347,0.05937805482765902,0.08344856183781853,-0.061528347690184254,0.03331177082334094,-0.05485858456634548
QDPR,0.07246145880618224,-0.0015933235461585424,-0.04517223461816736,-0.037480434161304345,-0.005314289417879812,0.14837866850095607,0.004176157717694839,-0.015468447681244234,0.0023991001757081697,-0.004218561541999392,-0.30791897398716994,-0.0035180214898472948,0.06704487667468761,0.07989267351876723,0.07911860019827414,-0.061578838179456676,0.09214258505036113,-0.17849223790382052
POMC,0.13878190909903923,0.0062767265371105035,0.0403176184918606,,0.012628297580074953,0.0053301120381324,0.004738133141769382,0.010988429815605218,-0.034143225791177644,0.03450575746011162,-0.10087641401393219,-0.008612376617549678,0.0195016978984218,0.004295662043808657,0.0004659289638196704,,-0.008149106364894958,0.02196547548748897
CCL18,-0.0011394437189216366,-0.03299638005959395,,,,,,,,,-0.07867379524827642,,-0.06920131697684513,-0.023955987842635647,-0.11835454006535906,,,
CCL17,,,,,-0.0015578618431321078,,,,-0.021114706671364388,0.04840009390183091,,-0.01594694639861543,-0.07074981368362333,-0.009710143142937118,,,,
VEGFD,-0.02822804543248799,-0.0222715874104504,0.007064611244527237,,0.039015528199445856,0.04432519438812082,,-0.006258128339989662,0.02223849585220871,0.04977217835311455,0.07219430843992637,-0.017090836385537257,,-0.021569329339976386,,,,
TNFSF13,,-0.024900135147551343,,,-0.012324304911946807,,-0.011766739997838739,,,,,,0.020416316888258897,0.0280337603850693,-0.04596160473389374,,0.0006657278257812046,
WNT5A,-0.07097581314061567,-0.0036512272686638355,0.03434245066628764,0.0519481764464912,0.04584533006816275,-0.09248016414950976,-0.0979304382291879,-0.05173793603666224,-0.016770860397916684,-0.05827616404384487,0.025048370883415168,-0.0288654636095631,-0.024878015912268278,0.08348799892313909,-0.02388958176407823,-0.062423877558119865,-0.01548873729413428,-0.0031057056632649753
CXCL8,-0.07291915466479056,-0.006378516732035447,0.01622738423777362,0.041172993564296566,-0.038502672741457224,-0.04347364198263099,-0.042348804793478766,0.010613708388346067,-0.07226158913485628,0.017767713081951148,-0.06803734843559091,-0.0227791475608633,0.0007845525671478829,-0.0959045619275748,-0.11386980494772324,0.1493086424156654,-0.12021861250362047,0.12530272716406785
GRN,-0.08614525870388941,-0.02102821548340316,-0.0543014744683724,-0.01836283328959893,-0.00073183517003776,-0.08756081883694544,-0.13894258167064233,-0.10412658047874755,0.0586598531048457,-0.04854242622831253,-0.18210721492792342,0.0672745291232655,-0.05844110136176675,0.07948072162067434,-0.05164193424952871,-0.010905729177848256,0.11722374331711458,-0.0220284952691741
MIA,-0.013027204571952413,0.016057482523376916,-0.010909048744561094,-0.045238312221970375,-0.02887099234787538,-0.06472374948043537,-0.02353994774468101,-0.030087650429680264,0.015038962037610392,0.015240166117640182,,-0.023406683661327483,-0.045997318420588344,0.014017224143450947,-0.0038619887619382527,,0.005582236383865836,
COL4A4,-0.028416454113493042,0.005369133919881555,0.037962906745714814,-0.03442385577249918,-0.006365240181801125,-0.08530350468514131,-0.03495586821555295,-0.028259262072815042,0.06365049442090431,0.006095561976672233,,-0.0227053515183482,-0.004405827834882947,0.015599845572937102,-0.02113357079051905,,-0.025262133021908696,
TAC1,0.18084727608080445,0.11346329937194119,-0.050680778717390226,0.019041036678317563,0.06987359468358843,0.14569436008188696,0.11506153015721397,0.12268800657597669,0.08478763533073988,0.05316763235683493,0.18117624810284766,0.1957003175278608,,,-0.06216806195733717,0.04462657193113521,0.16757887902829868,0.18360260823545604
RARRES2,0.013931148821026569,0.018839903435404325,0.010924898577447715,-0.022705090048211557,0.04360647981567884,-0.09279965806648434,-0.10997371384421194,-0.06513384325332319,0.028470035697523717,-0.04218110027698287,-0.009268895445089907,-0.09372592911423397,-0.03670645435909531,0.0014278904155106342,-0.06686870340778764,-0.09401623793175355,-0.20754638539187084,0.004004871389923198
FGF7,0.00020902454310948055,,-0.047829153672638305,0.01460160849096864,0.04511722736037463,0.11667076081198757,0.017766051080762017,0.026543680047533574,-0.001243290490034093,0.03136875543769707,-0.06725749478064465,0.017641731320663115,0.1114002308727887,-0.027456695124330403,0.06842957339047794,-0.04128604604827488,0.13018853806307054,-0.06269450251156668
EFNA2,,,,,,,,,,,,,,0.011242565731743637,,,,
HBEGF,0.018938785505057457,0.02809041542131264,0.017499576899927278,-0.0045119849744000495,-0.05922992876531471,-0.08430070881829234,-0.10197852442039834,0.047305308211149324,-0.10495345375442448,-0.00423855746645407,-0.1353698995379933,-0.009457834739212096,0.011067086874222613,0.07432390364913964,0.009115611157034374,-0.009252182860506568,-0.061053518279371326,0.013737835990781528
CSF3,-0.028416431616101436,,,-0.024095390501606306,-0.02129598938790713,0.028652905002496124,,-0.0045363999528785955,,,,,0.026326085845670495,0.00037857657031395116,-0.02188500483605511,0.0017277655991951428,-0.05896448790520234,
PI3,-0.03366350073549722,0.05870560033874832,,-0.047909868519168085,-0.03675044822425308,-0.028035252056510567,,-0.03366526713151741,,,,,-0.0016514770163234783,-0.03669949219977211,-0.06557049083967025,,-0.1395044942997556,
