,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,,,0.02403476371429325,,,,,,,-0.020187811332214374
BMP1,0.03789796011761585,-0.02876172881666519,-0.046096003824881535,-0.00602940153067362,0.023786073602453977,0.04559494160472439,0.048907292166834954,0.08637036328934682,0.05448696163432038,0.06489903049293978,0.04006676686522553,-0.008136726300755353,0.005424118585012625,-0.0072298485532608665,0.08241775833703592
NDP,-0.017406575890288697,0.02340125553746798,-0.059802516587792794,0.021870231331950415,-0.06440764398920594,-0.0067184038598184425,0.05656308753079478,-0.002859126770695689,-0.03941922454643943,0.05572334018966338,-0.004091834375797884,-0.09737542593797906,0.05423077848840901,0.06593015131740794,-0.04668634973522756
TNFSF18,-0.002183556446189182,-0.020724173891560494,-0.024469139276943337,,,,-0.012399100697985664,0.045500829437467076,0.04423255094679605,,,,0.006753463697334117,,0.06488335366869419
IL36G,,,,,,,,,,,0.08436406514131686,,,,
RTN4,-0.0045980592385043055,0.09089017992623116,-0.02329741910444611,0.021075270816864507,0.019220455090614312,0.03515041758800261,-0.027268719253725104,-0.11213820853704637,-0.03158378608579941,-0.08103819270763325,-0.07832287802052745,-0.023093224696171654,-0.16438117480867143,-0.014638158234152062,-0.0667830839278541
HEBP1,-0.020633942758948153,0.07232815468459544,0.06867747627919223,0.0008706047050925333,0.01821961281604136,-0.048172884784234794,0.04791038157556805,0.11383108798273904,-0.03720956148532215,0.005820551113078663,0.035756654089106304,-0.05357974106393134,-0.016290180369200394,0.0071630380633144865,0.04219750453960887
WNT7B,-0.019736369069060393,-0.04837045223629785,0.007472579233748375,0.003751124162927003,0.07230600712879344,-0.020967051339071882,0.02487669934727095,-0.024702933013410554,-0.04036442827025319,0.03680047348691069,-0.025802097980757242,0.02017357629189401,,-0.016211657956216378,0.0634006937620436
PTMA,0.00952247048899906,-0.09212287286596384,-0.07347835655236463,-0.023560642569252298,-0.01281701897732114,0.028054932803575634,0.07820298167113823,-0.07687783824517386,0.02945633425554311,0.08627648776174224,0.10898559783464376,-0.09425838710380473,-0.01870615900183044,0.02475260107083397,0.07252309929560814
FASLG,-0.01973637464848137,,,,,,,,,,,,,,-0.017508881881258175
CEACAM1,0.07660188488963018,,-0.01557393655595631,,-0.021507480891407298,0.04748627369884314,,-0.03626473241586991,0.0738027843239914,,,-0.03401245089423149,0.07180381802898696,0.07274662963687775,-0.024361037551107974
PDAP1,0.06652059854844017,-0.01791649470084093,-0.044518460620081565,-0.01829693253635176,-0.0075036167994896475,0.04073471944016776,0.02341319712589857,0.07879139554630422,0.008340470163712447,0.040309406898163196,0.07621330678006563,-0.10921707254930363,0.06300952859591433,-0.038091163179313964,-0.04396891374891222
QDPR,-0.013121289303543253,-0.04966727975170602,0.0012893382135017789,0.05440411294645374,-0.0451155088077911,0.015973265200107174,-0.04605983734037109,-0.12704878088294722,-0.045959144021666946,0.07551536811819358,-0.08682937201978165,-0.09635815020063877,0.02896897917881344,0.03967707997740225,0.001483837040102787
POMC,0.10658291525704232,0.021323763810520653,0.03801747034468428,,-0.007758443542134658,-0.009903924927929568,-0.02152590066355837,0.05343189091781769,-0.02063025332472415,0.015410242391530549,-0.043462417298555225,0.11903187031112508,-0.06902077062012896,-0.004744220182315749,0.006114687985181313
CCL18,,0.05349062694748938,0.23147713474592083,,,,,,,0.005952131324969135,,0.05058977672259843,,0.04639979820106955,
CCL17,,,,,-0.018054782359879236,,,,0.028025462053725837,,0.028638222007337573,,,-0.02637683121058432,-0.015869834834419883
VEGFD,,0.06082816722332504,-0.019434807505048494,,-0.020115021333474647,0.0487539173812744,,0.08494156428580432,-0.0005566482590250544,0.009004827981514585,0.08015549816536055,-0.034190971851725455,-0.041688968327996574,0.13753746897030192,
TNFSF13,,,-0.014666129402624156,,-0.012453784793883699,,0.10999006044951212,,,,,,,0.027419851903486062,0.07106465626068927
WNT5A,0.003793523560999461,0.03964152862742904,0.04102215155171648,-0.035627350384909974,-0.046235458666232576,-0.04522495369557629,0.039838478871890584,0.09107124791600384,-0.036213985703305744,0.025796373789275653,0.05902413485817567,-0.10451539368878053,-0.11061705019885872,0.07237358862318743,0.03494898818223768
CXCL8,,0.10443671048558384,0.13963715870615523,-0.005114859144406197,-0.020065529240147397,0.11752978152816135,-0.017104129782913303,-0.009588758778947994,0.028136381968035154,-0.0033743487355925223,0.1652528059266449,0.06275835253103075,0.031670257957217444,-0.06747863978771368,0.01223910973050718
GRN,-0.001811286913426162,0.009597709183494306,-0.0380347663359819,-0.02969025112496643,-0.008716387854041935,0.015874576273275723,0.0075512014653410986,0.06960552391356345,0.011240544062368761,0.07524855389889704,0.040464294676084554,0.038684327469372455,-0.06628435407906387,-0.07309835250782694,0.05942570305710508
MIA,0.009517424891536138,-0.008974652321855648,0.04767261499924283,0.049864226147768004,-0.01231536177945771,0.055886842611347735,0.01201905948531238,-0.014851686007253673,0.11632081969491492,0.006545243307413328,0.1497489229095428,-0.0426871491426038,-0.04438487808910584,0.1660528818747704,-0.0137597002750941
COL4A4,-0.02285712670738254,0.04004218427526666,-0.023341038498426954,0.10333743614566314,-0.028009882355252768,-0.04062127388355535,-0.011440819587186693,0.0681514853249911,-0.023151229540220492,,-0.04228236623159964,,0.06456280413810904,0.04388652361842188,0.0009051375406833799
TAC1,0.027895444964762144,-0.03948059416847309,-0.0466311039708217,0.010787169993943427,-0.031281654464996346,-0.051876283215268645,-0.031117799934873725,-0.07730103006125057,-0.057463338603030704,,-0.059285089459723786,,,,-0.020862511602572204
RARRES2,-0.015895355965868684,0.06084737036094924,-0.017274847426081517,-0.02019832011454322,0.015539237033343185,0.02239345317163307,0.02932643731988637,0.11560489812197368,-0.11696870092373225,-0.05861380888771002,0.04339033564810348,0.072549957749037,0.041914354127858496,-0.04000711373428636,-0.014880926278699387
FGF7,0.042617298890941464,-0.03640341960255966,,-0.02269756774695408,-0.01430387119409213,0.06950517613165087,0.07099829446283802,0.010354702524414172,0.021966408331089194,-0.018668074699868392,0.03149722426847279,-0.09046694964838338,0.00419285801862181,0.1288624932809422,8.902000683614695e-05
EFNA2,,,,,,,,,,,,,,-0.017366347487000746,
HBEGF,0.03942757865485124,0.017521237598664634,0.05295574346410788,0.05386342809487742,0.04984110682060096,0.07229011463904003,0.03827463065088597,0.064709721767738,0.027757331562872543,0.09069564838786648,0.04285972722437131,-0.07531250949088655,0.028117494545166516,0.036486056298817,0.016823142913496413
CSF3,,0.06222627453383875,,0.02800055372282251,0.0340324493959137,0.07175711105837657,,0.05901070769087867,,-0.025197652374726497,,,,-0.02744002458632974,-0.01670848786966154
