,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.015031582556673166,,,,,,,,-0.00453020698230327,,-0.030232666458633865,
BMP1,0.07975125883592486,0.10558785292289294,0.034654669337703704,0.03825944559837847,0.01761437725058525,0.0006045483324679657,0.05671295438105712,-0.00017651387728209744,0.02858295727482641,-0.007639768074562791,-0.008723709058986619,0.028634311288935763,0.037149511621173754,0.04298394677339419,0.00825128674424929,0.015724239864000226,0.04779270720650678,0.04229772022222717,-0.04094888332622578,0.06074936859371557
NDP,-0.03926187010475978,0.09537420583487675,0.04101653487354561,0.04121789658797899,0.07842748434963835,-0.002899462831136967,-0.01885430751371402,0.034103577166586733,0.03222557991632839,-0.019247250584821143,-0.012298555748210219,-0.005517474657018017,-0.07522554126262958,-0.010053478193208228,0.02410614351777553,-0.01204751918457745,0.03854320131636536,-0.056095872540933886,0.10657811238920387,-0.021426561676358005
TNFSF18,-0.026663119501477883,0.14799490622836217,0.06948122912522561,-0.02528979954525549,,,,-0.004955376500533846,-0.022321448836185392,0.012850578207773926,,,-0.02874298504667667,-0.014514841033635524,,,-0.006490715445508077,,0.06421634930162476,0.09258328787150409
IL36G,,,,,,,,,,,,0.015624659936655948,,,,,,,,
RTN4,-0.10400618520490905,-0.09139211756244024,-0.04589068229146742,0.016880622282250082,0.028796062864484065,0.04008198359417468,-0.023866004067343558,0.052027001489721475,-0.10005341647369595,-0.0017194142113645264,-0.01047001901715673,-0.03511889887255967,-0.017272373885742723,-0.03357140243236515,0.0863311119280879,-0.00027186315614047084,-0.04187927117029853,0.12388028047439976,-0.036006818551521755,0.025979607352112317
HEBP1,0.03989519009181978,-0.01467366786739903,0.01144360620324617,0.029203093214951407,-0.052608067688073086,0.01644644312307407,0.002658058349043851,0.015309695472505953,0.034003756082487645,-0.023938879681536712,-0.03983737180968729,0.001085560012593058,-0.04519088554920177,-0.06358290929851432,0.03392515291641946,0.043477091219856275,-0.06543214585757616,0.04094001044452097,0.06892454537795312,-0.021699203505175037
WNT7B,-0.023489373168676487,-0.052504804458871304,0.02770770134196177,-0.015709239525174813,0.02189842239666381,0.13058954603945744,-0.014151168252269537,0.0725630840625126,-0.0365155813379901,0.0006731669119573879,-0.017110579926045005,-0.0325583211885511,-0.03164322106555483,,0.03454910136867153,-0.005790488564818595,-0.015333614658146496,0.004103733941799573,0.030438592463196197,0.08031028390051385
PTMA,-0.03041033906250028,-0.025573918830978686,0.09655158357495455,0.03802508719520878,0.0859592996107805,-0.029823012621426517,0.04999384505793494,0.017863806466995872,-0.04024852912142556,-0.032054012430011485,-0.04662466591046747,0.10925143414180552,-0.08027079815310419,0.0915126571197461,-0.04369005939958648,-0.026385567901495863,-0.04486012394299938,0.012110314320838634,-0.02198399841724727,-0.07908578478319153
FASLG,0.05750488870707102,,,,,,,,,,,,,,,,,,0.0391188532234046,
CEACAM1,0.056164406305161695,,-0.004381236654252241,-0.012055896488437145,,0.023686262422675602,0.007052456377894507,,-0.029373755333755396,0.05195230554344966,,,,-0.03797084463294244,0.026829477214839952,0.014916633819065519,0.08530416361138869,0.007856853480588018,-0.036482366054890025,
PDAP1,0.08973484398505654,-0.050620767558383836,0.052260124733921366,0.0595884341243505,0.009162175321598664,-0.0015811622036061659,0.03149317182295302,0.00483167150259025,0.09085572904621894,0.04289854573155628,0.017198767172871984,0.004926679335904238,0.02471795524397755,-0.011418317847061864,0.006101372898824014,-0.00016894426572951584,0.00745232484416225,0.049483756493410656,0.0026952674521448987,-0.02040192155985412
QDPR,-0.09725846304027833,0.09280259521123516,0.0073489698092096,-0.058747159772681315,0.05899613043680599,-0.0024306763266271395,-0.05691830452816011,-0.07912188856161442,-0.08369248847270687,-0.021016119558201006,0.01757328228742544,0.034094822577117365,0.11238410504583499,-0.018717470864335305,0.016781700192834162,0.06318410593425557,-0.02695798985583427,-0.032226791153744855,0.042620943126291666,-0.06570766866938742
POMC,0.05404945990193184,-0.01270287900374891,0.048113754188180494,0.04108594797037083,,-0.023014169675004467,0.009400644621177278,-0.051423167682041304,-0.0378643990986987,-0.00757950700809699,0.03234606874933915,-0.028351640859338473,-0.032420127069255615,0.041213238020457996,0.015953806003205097,0.040865004288749,0.07661433728525238,-0.028360499676705054,0.06574189047919803,0.063532279277576
CCL18,,-0.044158383941550125,-0.013374075604844009,,,,,,,,,,,,0.04210439647816822,-0.05318970665241914,,0.031236064288157693,,
CCL17,,,,,,-0.014324222732381427,,,,-0.022293062841414336,-0.007864677161396756,0.02247512461683889,,,0.016623342984045192,0.10339418547475573,0.03107749633842516,,-0.023766193145316958,
VEGFD,,0.032760589574573354,0.016610765270838018,-0.01726765295281577,,-0.01595876594378522,0.028901719200105695,,0.05080279655192643,-0.01165785687427393,-0.015534393473997194,0.030148099085346346,,0.040472607250528106,,-0.018293607194890888,-0.007240044922719174,,,
TNFSF13,,,0.05483276454165172,,,-0.009880528255225573,,-0.021616202250983117,,,,,,,0.05130479609612155,0.014238283652295259,0.22271505065123953,-0.0026772415632066956,-0.016287559890293877,0.03509643682103645
WNT5A,-0.017611439124337366,0.031936234505436346,-0.07098098106885092,0.0819704901058307,0.09308947714217232,-0.08184908846276477,0.09539652861047992,0.04415229317116782,0.09006146270004904,-0.01036151106731534,-0.038133599721860305,0.0013231340161243437,0.10023632497557224,0.03155735315084944,0.04222219967364254,0.015975281762149726,-0.030150822693663332,0.02759629797379364,0.0070895700856978775,-0.0033760031537182714
CXCL8,,-0.11658626342444021,-0.06756061674757384,0.003800316851953641,-0.04867995845301005,0.021038910465212717,0.018862885431926532,0.04081607514467023,0.05674763192937249,0.013274911613281858,-0.014466302660870218,-0.04898349172751218,,-0.07387444825780616,-0.07850990356394746,-0.06120895184476376,-0.003253627799360976,-0.03695229765543147,0.033247202610441465,-0.026371707576848105
GRN,-0.12194783639321588,-0.007438517117346329,0.039434489980412935,-0.056017826941157145,0.04681900973712786,0.029744456117883823,-0.005227670230693703,-0.024437016261317127,0.10576157661368697,-0.002802877045610284,0.05301182146646096,-0.03587935538534525,-0.00827753600783886,-0.02137983427294473,0.06394076487466473,0.008289696570198655,0.0605224394006051,-0.11765480355847605,-0.035754808034106335,0.04660830232714769
MIA,0.03185657049193274,0.04446769478153757,-0.014798594095876314,-0.015356642960508524,0.04850730230572623,-0.030162007506647104,-0.010728663054944609,-0.010850916090090965,0.005833829378594588,0.007099864518923585,0.048689496040469966,-0.030380071892518394,-0.04483242514752177,0.05529921296319707,0.006132461373214593,-0.06965467713515626,0.13470085150977734,-0.09147063257758735,0.026058097237980943,0.1567025787372512
COL4A4,0.0074173979555999525,0.06501392478859176,0.010829169356875756,0.03634972914226651,-0.041979340081635494,0.023076188533094823,0.0696295925184052,-0.020566861429005757,0.036480213943469765,0.024559031500443147,0.07013126249208321,0.09853260942290205,,-0.040419892549971866,0.014683589724827174,0.010725127578162292,-0.051548115955937876,0.0607284847418209,0.09833612207880836,-0.05022714243389118
TAC1,0.17415199957593963,0.04791445325736986,0.07274925359858321,-0.04836485559593317,0.10813798977026778,-0.028560339560607086,-0.08943336696921117,-0.009196765626401109,-0.0713648015653001,-0.0034745386146058425,-0.000524336795736286,-0.035105457586328756,,,,,,-0.037612819016759814,0.026276603650263835,0.03208000937815025
RARRES2,0.16430472266613225,0.00021643944166912978,0.06508938694190847,0.056304462019369464,-0.0114509596968212,0.026241424786783048,0.05650672473974385,0.05218180939208231,0.08432778297977923,-0.024368679893497457,0.007110571894040286,0.036245434698248605,-0.053259339059283116,-0.03895905585666955,-0.013799526255084576,-0.05217662375077363,-0.0364263521158417,-0.04893716130933513,0.04952711296208425,-0.03017853787509694
FGF7,-0.011322763251366687,0.010937889750893444,,-0.01948973928325289,0.009797625178484556,-0.02539101383542146,-0.027256098848928986,-0.032375665695225306,-0.04221339500284605,-0.007819969213598984,-0.03464289625182839,0.02839147481897984,0.019979762851502006,0.03884316448176376,0.08902358829553943,-0.03706610257390135,-0.05405599993355428,-0.05594570255554756,-0.024999060579927148,0.0491066550291956
EFNA2,,,,,,,,,,,,,,,,0.11040809416227886,,,,
