,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.044715624829424955,,,,,,,,,,0.009536946744784553,,0.008234908102313112,
BMP1,0.004578932412091606,0.017993593378608133,0.011276085700262294,-0.011610317110051819,-0.026076888404266533,-0.0025398459546246317,-0.04098799550762219,0.003825768422847709,0.1921277922461699,-0.03608400778501014,0.022098678022887324,0.055425538800187,0.006870906848467395,-0.007763891291192232,0.016821779290976776,0.0243242032731915,0.02607508862210293,-0.02469808724593659,-0.009683603497801174,-0.010293214553208398,-0.03381808194328446,-0.010908430976556896
NDP,-0.034909809411389256,0.01811960270029631,-0.006941930982908913,-0.02000580998142863,0.10122787624349207,-0.01944368479100926,-0.04006215196095048,0.011146050202284694,0.0331661697666844,0.03369514737492092,0.00437337997008898,-0.03767827882367468,0.026041393019517235,0.10381578000553082,0.1480475706891683,0.05354290213946901,0.019266255684949316,0.06514765351254348,0.006328562025331755,-0.02812424727334005,0.09506054279876103,0.05662026568947782
TNFSF18,0.08648654937605667,-0.02795778280592536,-0.007897510295208491,0.014000024720696308,,,,0.024811896987978158,0.05561470528466637,0.0010564389785125688,,,,,-0.03428482902911154,,,,0.00864669066912267,,-0.02499108095317016,-0.016035362080658068
IL36G,,,,,,,,,,,,,-0.01941856264089265,,,,,,,,,
RTN4,-0.03332416269910717,0.04991615080205673,0.027662287205033925,0.04769084381776127,-0.09630752033471762,-0.01691172412416144,0.01765235790780385,0.04115555516921831,-0.20740811106073742,0.06305641239133586,-0.014340955528166291,0.03583705715402329,0.03803364195191428,-0.04368892717936316,0.017173226613304924,-0.056369488592684966,-0.03887365608324887,-0.07493128990149875,-0.003968026640155453,0.03588881392455097,-0.02832891556084208,-0.030412715780749625
HEBP1,-0.0034432312604235887,-0.003664172510987633,-0.0038604182281452575,-0.040932267328619654,-0.07223535151416315,-0.027503862682516707,-0.017436172198725192,-0.006108576908043994,0.09523373091205826,-0.00028707895791610583,-0.0038970381404900235,0.030510603194964573,0.017036964033209666,0.013928507141041062,-0.040123095289136705,-0.027142103810565615,0.03964541349485169,0.011842748307393021,-0.03085745256088237,-0.005335904872489033,0.09739138054122538,-0.028620310192878085
WNT7B,0.035188862047045875,0.0842687854584222,0.039305230285477145,-0.03061187080547837,0.09755434864484169,0.011750612132707625,-0.03876827046064906,0.03527146676648103,-0.036328675835590615,0.038132176011360326,0.07469631565344582,,-0.02134323816467575,0.12170422012839718,,-0.005927807058557562,0.02736069502278029,0.011452465565477877,-0.0046700428127936415,0.04276981895539167,-0.0180952163580652,0.09865774289817057
PTMA,0.03385964222152952,-0.05027828598184691,0.0133304691981044,0.017674813707275364,0.03167120395725841,0.010798861831339159,-0.02685924261411939,-0.030163153207937398,-0.11703952889779366,0.03909756120467537,-0.0036613483791235373,-0.027715603170567676,-0.0622908361668528,-0.03109701890707796,-0.007080143126937902,-0.08558936035271099,-0.030287355034251146,-0.042878907214144474,-0.05374230141411509,0.04764737560968383,-0.05535377990321566,-0.08115446861674547
FASLG,0.0391012584470996,,,,,,,,,,,,,,,,,,,,-0.03210816404543508,
CEACAM1,0.05750190142255298,,0.14759759866600541,-0.008847317087822127,,-0.016937982151718333,-0.039789734595457316,,0.07181882503820487,-0.02363910683579568,,,,0.1030587454887889,-0.0246066318548573,0.06602958597648173,0.05985176287090218,0.03208186834549422,0.010803148322353968,0.051235283168146295,0.03565778116811973,
PDAP1,0.03575394007098647,-0.018372021013895318,-0.001140696436345578,-0.005814242530294921,0.02797095609262712,0.06892241386936855,0.014054323318037566,-0.025701112455682306,0.1620056354773338,0.034679895698594504,0.011484568034353531,0.009784906726332471,-0.003597752588264321,0.04137398909362424,-0.08611994736371638,0.09734315805669994,-0.01873732415761523,0.009952990479392557,-0.05151647037090034,-0.016005186718610197,0.030905461454312926,0.01794399217116292
