,ZH1007inf,ZH1019inf,ZH8812bulk,ZH916T1
IGFL3,,,-0.017543368295695826,0.13079370607075183
BMP1,0.0810236098997277,0.031840043638248466,-0.043022408704937815,0.04126135287714234
NDP,0.13677928270997755,-0.0012636560916063641,-0.042553882993840886,-0.002609289935503994
TNFSF18,-0.025625194718562436,,-0.01809216606471597,-0.012562777176103691
RTN4,0.047901522844344506,-0.044262258959878856,0.07816442480298433,-0.02554958302932976
HEBP1,0.055381363735066275,0.05962075516590204,0.02002917872299056,0.03497977372571661
WNT7B,-0.0282108382275039,0.023205174106234547,-0.03783218285947188,-0.011704171553574345
PTMA,0.012597120141710898,0.015289639223190446,0.033910629384607885,0.005324491534345862
FASLG,,,,-0.014443460391352145
CEACAM1,,-0.03203774550015354,-0.02599655378729423,0.06493584826243708
PDAP1,0.0022840342280199435,0.04419375187758853,-0.010529984753923333,-0.01740316357394456
QDPR,-0.02815684913893179,-0.030039784491715023,0.01616782152908902,-0.01850559805308249
POMC,-0.05639523635290281,0.03938904448457982,-0.034178797678366686,0.039697085940717095
CCL18,,-0.0227152883106741,,
CCL17,,,-0.02312991770487027,0.049648765457739434
VEGFD,,,-0.024394924145294553,
TNFSF13,,,-0.004461752125186572,0.03781724526690943
WNT5A,0.07907325364240785,0.0298873955212296,-0.028577437201922424,0.02672317817755132
CXCL8,,-0.039993841439376995,0.015918764687266645,-0.0357129425949858
GRN,0.11548970265635904,0.008098631424433051,-0.06816151751816961,0.017027152101608614
MIA,0.1338584735718288,-0.01711504998617999,-0.014758663525390344,0.05587385933181743
COL4A4,,0.06619161980107076,-0.0063653196509223,0.008279870580608223
TAC1,,,,-0.017209943047158366
RARRES2,0.009640243666789462,0.021542758392242824,0.018229399271260695,-0.033565384212570756
FGF7,0.0751743096381139,0.1341816203381574,-0.0057354641355851785,0.010749357224041835
HBEGF,0.04324021653289665,-0.035941533791881926,0.08039648896704003,0.012400397016425624
CSF3,,,,-0.013783197829620779
PI3,,,-0.01965263749463895,-0.029946309865187308
PCSK1N,0.05657895576326533,-0.03579278247018294,-0.08703265830112393,-0.028863623154249323
NTS,,,,-0.020411036492031482
SFRP1,-0.012053482612715447,-0.07021573585671367,-0.013289982422507361,-0.019936735714131286
MICA,0.04040319145064016,-0.008591979497565037,0.05911146271979626,0.010679677730378707
TG,0.011079124706129284,-0.0369858001554884,,0.08184054979565107
ADA,-0.03512306297506867,0.018732720131798004,0.01068952711930427,0.024226539455685724
LAMC3,0.0985733449327843,0.024196258038811445,-0.04916780962532983,0.0819825448622493
CCL7,,,,-0.01444345525543003
NGF,,-0.013177926620082164,,-0.04324326971592531
TNFSF15,-0.03027005948264662,0.11243687688514839,,0.006333406697190478
HMGB1,-0.09525430442440293,0.0022249308637503676,0.03485659887266851,0.01806077467774684
ITGB3BP,0.009869439609255208,-0.001055810482042576,-0.01624140904549752,-0.030884408255608675
AANAT,,-0.02365892495821015,-0.028610966145099774,-0.015281777983789806
RELN,,,0.01962946213891436,
IL15,0.005685104588172506,-0.039993945966831194,-0.035629764001624056,0.009712989431207537
UTS2,0.04096884088571731,,,
BSG,0.0486531397595505,-0.0052321307434852055,-0.102656680461128,-0.013194451121047317
ADAMTS3,0.07657752766476486,-0.02832915405905584,-0.018923383829683654,0.0907763716352115
CD34,0.06513852400506054,-0.008599452431460455,-0.036575247474795104,0.0687841536142792
CCL23,0.07649049478098888,,,
