,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.00017324863057266825,,,,,,,,,,,-0.05003172106809691,,,0.020580517743352587,,
BMP1,0.03871379719428099,0.05476800609266655,0.0842850402081355,-0.00866052372234698,0.011785904482313913,-0.05035105548778326,0.03316480489892097,0.006650780235240377,-0.12337717569680409,0.06378482626219271,0.016261997800429882,0.10163547702069971,0.06951704451111637,0.09669847490516187,0.0355512686572304,0.0036270098549144743,-0.014163359689579371,0.0702246650483635,0.027775960820976376,0.015990695994448204,0.0330482845922598,0.09120049350530446,0.14837159629427893,0.15426629560241614,0.1118439639542947
NDP,0.04448105754567472,0.14719004172306555,0.010321469678649237,0.047896738645654136,0.035332902224509986,-0.028252721017952082,0.00963537026577637,-0.020138768249384886,-0.04214430965670607,-0.021282448145036843,0.03980971028059232,-0.007639563553601305,-0.04070443094500261,0.013571440869810937,0.08160367682033302,-0.01721015458673959,0.08183400869486154,0.05987902317803392,0.09025822800409647,0.052757124867865435,-0.07865951712800141,0.007368867917183581,0.05302198240897038,0.08891463484705658,0.061870489199877594
TNFSF18,0.08930786231048908,0.0017647468307094474,-0.04188249150553203,0.01780970506919098,,,,-0.008107525906812784,-0.024306276969186486,-0.03340488193737273,,,,,-0.03248977646789386,,0.030524389225467536,,,-0.011299247407729102,,0.12023062038992383,0.030835296097898073,0.13897176239676617,
IL36G,,,,,,,,,,,,,,-0.0038440920388796863,,,,,,,,,,,
RTN4,-0.04333354578410495,-0.17232916870535173,0.08023062627951578,0.06705955256179566,0.03328007052548353,0.018719613121688183,-0.0024466424783991113,-0.09565760467709478,0.20446275560091645,-0.09520630004022337,0.00798803238704127,-0.04769008721007242,0.0286294814508433,-0.10676702562712438,-0.004979188240231707,0.03529356859265275,-0.017222752936275343,-0.11624862297205164,-0.08468662766776792,-0.011571227765610712,0.06537472134984597,-0.11979127721328643,0.000673328836191514,-0.22835455908654043,0.03322591166634471
HEBP1,0.05025022400719535,0.0282570815825528,0.03554656224889526,0.035543739980850766,0.08082435324436213,-0.011215704709368607,0.00496575754386665,-0.029424640385686516,-0.07032325302685215,0.05032430465754448,0.013050098499097348,0.04915649373157937,0.03941927321791228,0.01619611854058517,-0.044813398766313385,0.07974174690689693,-0.028117524562228248,0.0709356898828485,0.046053098142302476,-0.04761393625672512,0.05688078383912716,0.006923898181747008,0.04655827217781516,-0.0035532925783460087,-0.06963815341645498
WNT7B,-0.021389024577095423,-0.1301464023073694,0.07682566354744483,0.037700577371055824,0.08169764126950496,0.0001331972031019356,0.0010967766870602282,-0.0018712395533539198,0.1140070157798968,0.06311547693942351,0.00681065051300565,,0.08633271749803666,-0.04348277050178717,0.06948799198706955,0.042049235648320527,,0.0588523717451052,0.12525719710129563,-0.06679247989578233,-0.011537327968899933,0.050702237718117014,0.019978160402889588,0.09911138147934094,0.09785257657416455
PTMA,-0.07083766388874456,-0.11872499604954063,-0.008049122726229931,0.03717998601438967,0.02075909893752755,0.057652411173817975,-0.0032858819755058463,0.04630607420793145,-0.10138063568689311,0.008148001094211862,-0.06650198485823026,0.07974981589680595,0.048363127466682095,0.16601536427164035,0.006758820833182344,-0.02186644435713764,0.019186085442351456,-0.14378544925338443,-0.005029429792519686,0.04313591557119602,0.010724277897661161,-0.023007669184928695,0.07821189027168847,0.12353206024882349,0.04361739323396446
FASLG,0.10881754642690211,,,,,,,,,,,,,,,,,,,,,,-0.04445617598189381,,
CEACAM1,-0.02969885621113797,,-0.0038774546395728576,0.006730437949539616,,0.060718523984371206,0.07723957502348897,,-0.045548958710403396,0.016167262152299834,,,,,,-0.08028930167236575,-0.010835688272682676,-0.028115505195654485,0.01706353777995854,-0.011488796257802377,-0.018082880089011474,,0.025460157649428355,,
