,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.0133150299540819,,,,,,,,,-0.004980842025948013,,0.0694015704820292,
BMP1,0.01962849941147856,0.07660712778669795,0.03956541091150102,0.025616963881280114,0.10783531945929813,0.009411066885686149,0.023237068336323056,0.14990194752845576,0.29143759647414574,0.051625058417236386,-0.04073559088288061,0.11714429218499081,0.101171166808595,0.08530011680344732,0.09909547280493722,-0.0017266047155636297,-0.03623440354355349,0.07170044111483512,0.009507186175411273,-0.02043358043721367,0.012783790214006996
NDP,0.014823839443011867,0.16908300991082736,0.06923353391700014,0.02763359338256069,0.12378901807878948,0.031753280413962526,-0.007405901427060929,0.010068271844533398,0.028580891229467605,0.006615395719049568,0.07543046867375654,0.09714581103375618,0.008949996437459308,0.06510015448154959,-0.03073024682102698,0.03733890979129929,0.11439614870724611,0.022028618689309293,-0.0011963388958990092,0.050411825413968415,-0.00463834242644976
TNFSF18,-0.03510137747071852,-0.0014398975154323022,0.006143987971944434,0.029381707466380576,,,,0.023271267035333006,0.10384705253551571,0.06253927904301257,,,,,-0.050711759120381686,,,-0.004214519094264107,,-0.040887640391366456,0.01804646820327658
IL36G,,,,,,,,,,,,,,0.10800344477226059,,,,,,,
RTN4,-0.0012208511426661734,-0.12863140904820303,0.04902144487015961,-0.008001080735313224,-0.051983297480648435,-0.04103253491752227,0.08278036723291618,-0.15818088334117017,-0.35640930570369805,-0.044789842004619135,-0.036146565117767135,-0.07331643616996857,0.0030776131109898825,-0.04321494324503715,0.1382443964452078,-0.02623938733272393,0.06030458415073794,0.02770708391744057,0.07062458048786455,0.016692183283287393,-0.14856732503556505
HEBP1,-0.006768424823851551,-0.05131107780169133,0.0021316895522081204,0.043705358624794646,0.010482496614261953,-0.02695308660458854,-0.024592166511967335,0.07355619935839587,0.10936377821009785,0.021203876779937587,0.07004328749458394,0.09575499930824294,-0.019198304957061398,0.05705984491269745,0.046682976255820026,0.019068697934717948,0.06501154352907962,-0.027107109221796752,0.024523681602198043,0.0881078251900075,0.05414449184803324
WNT7B,-0.0007344203190404687,-0.029919825744911515,0.012245908756373615,0.01654551244558122,0.03309925236343649,0.012711957300113697,-0.021932790171165728,0.03557188866801654,-0.11381833958782435,0.03597183739033083,-0.019290950575104097,,-0.06109167131938412,-0.03474848940953805,,0.0568498110684069,-0.05900746606882086,0.04091265328715742,-0.004227943848377245,0.0294815596952608,0.06535418467307538
PTMA,0.017338208034621695,-0.15821704058398742,-0.004857282844166533,-0.002423101895665627,0.09323747257287976,0.008839457722197947,-0.039295158393745554,0.21289891009227396,-0.15399259910116228,-0.10919789334533825,0.05828939564607767,0.1783805596006095,0.16954459240342235,0.08674582098808598,0.05039010672145669,-0.015026811857620965,-0.030487085315551655,-0.04296748172943831,-0.03151721199106691,-0.0898648696966383,0.11061646928125234
FASLG,0.07686926311049452,,,,,,,,,,,,,,,,,,,-0.01890670657802487,
CEACAM1,0.0010109560244612372,,-0.03479801948339978,0.039395933371926706,,0.03840454772743914,0.03272775182193727,,0.11256124218407239,0.017050065776074912,,,,,0.07526959879930115,-0.04309354118203393,0.06661499766107828,0.15940271528943717,-0.031009872964600414,0.012641102961833748,
PDAP1,0.04859775637937784,0.013736835354011453,-0.04123253073600756,-0.0061459716566349305,0.042090081110383766,0.0849014618116229,0.0019613090137306096,0.051412966679365825,0.2663418161243988,-0.004627040911544756,-0.0362917719719375,0.01695315556982727,0.08131591293416968,0.08375968046083229,-0.020094649873081606,-0.02980260933865389,-0.05275566238384502,0.0038467006774321757,0.02702343611125128,0.07761102511295206,0.049132036918716246
QDPR,0.014541431032906397,0.09443806952358316,-0.021613944737424888,-0.02929296181617765,0.035773679285313116,-0.03369391603925632,0.015124306394911007,-0.04963700666759314,-0.2751970668970531,-0.016660505076854362,-0.023514936737302185,0.2292995401550875,0.16394129576442046,-0.00293358878955824,0.009057540500785803,0.05552465761735005,0.04520381658912713,0.010068328611603155,-0.02720593432971439,0.10966688987144314,-0.16558244102121322
POMC,0.0006213145628927445,0.012043987830612819,0.06088533436804223,-0.007255090757545134,,0.0594406104235885,0.08643072518301748,0.007807656424342183,0.06218914973929683,0.003347968582838391,0.01228501112427469,0.02971352721954422,0.034597513308618225,0.032482384302368154,0.004398381242555341,0.10248889946583488,0.037767153173818006,-0.015300524992076184,0.02882643774519795,0.09011946363581778,0.005922175278707346
CCL18,,-0.060535614103782116,-0.058163769979800724,,,,,,,,,0.155290022368136,0.1458468455910548,,,0.07286854485563829,0.039755253531183636,,-0.008486644770323909,,
CCL17,,,,,,-0.0006681481207187455,,,,0.009973275694709518,-0.020751253513937497,,,0.04278445431790143,,-0.030572781682629894,-0.005638823203839354,0.046956593481966694,,-0.03724577964333108,
VEGFD,,0.03801894392938756,0.07827527201636052,0.02063641813691159,,-0.010971806130571273,0.02051087563154378,,0.04519542918363402,-0.0001351092317204502,0.03278146626833662,-0.04772343606370674,-0.0007162639336290421,0.013404100895341955,-0.04847759260815916,,-0.025355107277986476,0.003985237613518356,,,
TNFSF13,,,0.05493634032528039,,,-0.031490992275186855,,0.056722726387017454,,,,,,,,0.04345198420104987,0.029334929723875018,-0.03484162383345596,0.10203442735476466,0.04043290802482185,-0.026759840712420175
WNT5A,0.036521869459619445,0.11052007728472797,0.029428768143596046,0.04078801626318995,0.06605984889806671,-0.036344874253044376,0.07147081316820963,0.11990627014197039,0.17689999078148147,0.025909900241063447,0.04669345835749588,0.10285791629522673,0.013610816358462162,0.055823391645726014,0.09549903934533173,0.030752869461736786,0.04180710628316488,-0.04987378571496692,-0.014180116883158784,-0.02728984393146963,0.08313207788063391
CXCL8,,-0.16613406014286375,-0.04249422246522378,-0.014211498955878945,-0.028594296111096335,0.003129658052229443,-0.036509409122985094,0.046560895935087304,0.10794140336206152,-0.003632560080783214,-0.004697257370885921,0.05998837117618004,0.026823638807831895,0.013266146558303736,0.05209482504928416,-0.08994623307934561,-0.11144629420676536,0.001683686572348199,-0.06100066291989,0.030192092760784325,0.14679349759518204
