,MGH258,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,,-0.016649266655723943,,,,,,,,-0.018435295817456385
BMP1,0.015083866978017313,-0.0018738177020181505,0.01886709030269445,0.07068041573048019,0.011706534020521383,-0.030516980117801053,0.07545002033385552,0.00527601562738509,0.0021254936049546285,-0.04778553554742362,0.0432292267384063,0.07209184772265682
NDP,0.007736740817506571,-0.009916738414768853,0.014209577911106934,0.017616172388689105,0.0029232323592651094,-0.008960278009499377,-0.030617879361296507,-0.01410276350888227,0.012302205179329947,0.047739943355927024,-0.016590144798900124,-0.023786670731356614
TNFSF18,-0.01026312756133107,,,0.09899518658333495,-0.013987921009354882,,,,,,,0.042269401162082526
IL36G,,,,,,,,-0.012934679853888586,,,,
RTN4,-0.0020865449068144365,-0.02487142034266435,-0.0151260814059866,-0.10577256881312871,-0.007001859623306785,-0.06945690483647904,-0.019464362603442108,0.02088405997450878,0.006912260704804939,-0.0835326585662897,-0.0005050057180881708,-0.06493253421907735
HEBP1,-0.03467675963479055,0.014808816971926061,-0.019339679054435822,0.03598535917908554,0.04261101332363027,0.0011874013176524526,0.022375628395951287,-0.02415501850187661,0.06669835407615753,0.009831370017488189,0.03479368430761684,0.007207604391725293
WNT7B,-0.024212814257072838,-0.003755689822880196,0.05959748665152341,0.04383014190463686,0.001958655269313992,,0.06328201427977614,-0.01421670377003181,0.120955306918228,0.1663985977693039,-0.02301164593716973,-0.0676213885882931
PTMA,-0.12356462646840351,-0.017695427846761737,0.0099297318878029,-0.0040991986239367695,-0.01562831713374338,0.11264578288833657,0.12986934720482174,-0.058609369837878,0.081054926806612,0.049283453538264264,-0.05105496590908772,0.041971461503614235
FASLG,-0.0242128211019734,,,,,,,,,,,0.09927939429146841
CEACAM1,0.05322125931827024,0.01104194567307459,-0.022230441890480387,0.04810444394294304,-0.009273237188832708,,,,-0.04706682382237857,-0.0187637893835166,-0.022637190323210876,-0.038230644595563
PDAP1,0.02037081082681132,0.018174856469690314,-0.03666768378340903,0.05161471014350016,-0.029063904144568362,0.03623124165449025,0.03104783028185443,-0.007187160380629983,-0.11254924446495514,-0.01628477280386174,-0.04451264631912587,0.01769087586693661
QDPR,-0.1082105979309617,-0.0033701835901389023,0.03605354790028257,-0.11459941017369507,0.04617969563831782,0.0146172025572349,0.1219222563445392,-0.012636230603837829,-0.120164181432839,0.011178067870733858,0.0016478392848755612,0.020649015800154834
POMC,0.0019588063955303,0.04903512873258294,0.0427651622494339,-0.0135488905016068,-0.01623047740051784,0.04618261817410039,-0.009706512340394111,-0.02771269022258072,-0.0662473808156414,-0.04505314282027755,0.04873305981323157,0.06981136758941792
CCL18,,,,,,0.04665876943887619,0.03961941836269758,,0.01457706602385804,-0.03433750440404625,-0.015259381789361535,
CCL17,,-0.012711628102648871,,,-0.017445660863235086,,,-0.01181619726196377,,-0.013312000374670204,,0.010181700078140878
VEGFD,,-0.03557805406058794,-0.02126882815412826,-0.02789198771030412,-0.003542837109903941,-0.02241637951516321,-0.004838003079085452,-0.012663784592703594,-0.04546705558757577,,,
TNFSF13,,0.00376498760595246,,,,,,,,-0.025543729225859808,-0.025420047531079376,-0.040580777627776454
WNT5A,0.0134193204579797,0.07611216013068008,0.028306325315590165,0.11774246092283215,0.06708013429612772,-0.053011314788540945,-0.021402345084339035,-0.018675889455374874,0.09960514550770506,-0.037198620284677096,0.0006360502476756621,0.14033023343956755
CXCL8,,0.002322805823085655,-0.04699873517767509,-0.021327716601853036,-0.02755786570314156,-0.0013774951571713205,-0.04913568876913215,-0.008246334190200892,0.1388443913556066,-0.024778942928487206,0.04125053088728215,0.04460434606227987
GRN,-0.02502493345392973,-0.013944958570272021,-0.042169429728878514,0.12136669485797567,0.04112299975189974,0.07757555930948762,0.09377662649709305,0.01628483645260521,0.07380975589929409,0.006235275720445676,0.15234048013723034,0.18590838414630276
MIA,-0.03169249441452388,-0.024514863311389128,0.0012065448778430532,0.02906316242439017,-0.034289677196298655,,-0.0408877052945324,-0.017343633350059003,-0.0664311793738157,0.023524392606740746,-0.026012172840962442,-0.09714485342874626
COL4A4,0.03796988112498921,-0.05689202830627163,0.08263510593739082,-0.016406616494615816,-0.002702810861484364,,,-0.016823967782717632,,0.06964347279233299,0.018900189113562085,0.14370771905591695
TAC1,0.014054475755456914,0.02216731124078372,0.0013098209321107143,-0.037155708239944886,-0.028209668113642512,-0.059909512523118956,,-0.01771035718600692,,,-0.028801966474258995,0.04701826960013789
RARRES2,0.061495190851356275,0.08870781358751866,-0.031146494521311158,0.04817623205379601,0.020768775597422708,-0.01715033856213569,-0.09263397286282811,-0.04008328176798849,-0.0013353668541066918,-0.055834077447529974,0.04459921818486021,0.0646674478376607
FGF7,-0.027490561345632124,0.014192038720129144,0.013221429405531001,0.04407483564679714,0.019523031008745934,0.02146790862607371,-0.03544287439809561,0.012348956463314483,0.027344828530963972,-0.04334931432045825,0.0012231997044123359,-0.00019428776830067223
HBEGF,-0.015253826410986887,-0.012136168863420699,-0.037362607989713886,0.0415630488100013,-0.05609196666855564,-0.019774244676458084,0.06622114694523534,-0.0614350139836666,0.02156431503625284,0.049870477764523156,-0.00834755215718613,-0.027797169418695717
CSF3,,-0.015144727046502491,0.017844240634418387,-0.0173578844631497,,,-0.04529390512114192,,,0.007216133881067608,-0.03245350453832037,-0.02622122559986176
PI3,,0.0201367569332267,0.021590933989101994,0.05943486616510622,,,,,-0.06460155223459937,-0.06160788627651863,-0.028575534575905195,-0.04241484266623004
PCSK1N,0.03518104915356758,-0.01965235258861632,0.025999803148395114,0.010003830379131436,-0.011711504607925253,-0.13419586708888773,0.003096797514470352,-0.048220220765231345,-0.09241933772416028,-0.04810755110530781,-0.09682604228479497,-0.06955220308429125
NTS,,,-0.010797069441228784,0.12138604521498178,0.03292763381475748,-0.020181942312164903,,,,-0.031055511145936448,-0.020501648241518098,-0.027575185393259812
SFRP1,-0.03523024714673536,-0.02786368977371815,-0.00918928404028182,-0.04419153244150135,0.03809499555960552,0.05837820601554105,0.047053759824933615,-0.033740476428281735,-0.10828426046633202,0.016292588310480707,-0.038048889994608155,0.10388774168508698
CXCL13,,,0.07041169611129174,,,,0.04021008212153625,,,-0.029901482184002105,0.03275374732273129,
