,UKF243,UKF269,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,-0.012238775290546728,,,,,,-0.014974381159226413,
BMP1,0.04837342424034461,-0.0044304817299913885,0.035373249004584266,0.01894606108509491,-0.006725717197782331,-0.01675892041415959,0.030241507952768698,-0.05801217121943258,-0.04986055770900473
NDP,0.015321750266997168,0.007020690443097445,0.0537744139331137,-0.00639709807221355,0.03751125026319819,0.05023117969326199,-0.08289061245811076,-0.029559624170154213,0.015849645751526382
TNFSF18,0.1060285043234957,-0.018174213888359297,0.05264500707296113,,,,,-0.025259103871066398,
RTN4,-0.014985849765997969,0.04970830202789428,0.015514367771696992,-0.04127313577553954,0.009439646212951543,0.05557808681563645,0.04341449574558276,0.0632974753859014,0.1168313354743945
HEBP1,-0.06346662775620206,0.0441324734664852,-0.0107432220438314,0.02181275889197853,0.031595580309469615,-0.028059496465807406,-0.0732366758669712,-0.002725167933279327,-0.006017053886650442
WNT7B,0.05753796327472424,0.00294469153571253,-0.012327231142798213,-0.09919905306024022,-0.025556214766077348,0.026969474645044345,0.012312974776718225,0.025776774657646315,0.05496362220512055
PTMA,-0.06399562305454316,-0.04384534509737974,-0.006033613243189875,0.027923281361839695,0.0149609999623923,0.01613563696287928,0.018778893232507383,0.0073526885029839666,-0.081724943419292
FASLG,,,,,,,,-0.012987275670813118,
CEACAM1,,-0.006871283603558223,,0.0075179642799502394,0.054966691933932096,0.016823421991669054,0.04790530976794105,0.05358728301178758,
PDAP1,-0.0885026162098778,0.024320454754178288,0.05842025666243057,0.043616697789345675,-0.01866788681208767,-0.036893060255864765,0.005610340523803738,0.009405502057746101,0.032165896168732735
QDPR,-0.06814867641923657,-0.010170396835543053,0.0833778315111344,0.11839153811869343,0.040544274130116825,0.037024929612152625,0.02263474278119491,0.004326701404639556,-0.006588491104623311
POMC,0.0004886559078776393,0.07619829456539902,-0.07689513529560459,-0.038724721462916965,0.055660020729446966,0.012580713229199845,0.021326932700466,0.03559436787740802,0.09382929609534574
CCL18,-0.024639281332543114,,,-0.03872959238516696,0.014799519218522354,-0.03165331896387347,0.05711108090297087,,
CCL17,,,,,-0.012027040204480166,0.04376383362065075,,-0.011771506669737912,
VEGFD,-0.0065042435468158685,0.01833330093106644,,0.08274073598306769,,-0.01577477618341019,,,
TNFSF13,,,,,0.12804861351986946,-0.016730325922424325,-0.011942605601040086,-0.0191806875905983,
WNT5A,0.03642609454625902,0.02817059917420598,-0.008522364448392,0.07232774201347317,0.01055000955765191,0.032762378183688996,0.03669450297424633,-0.01716763197877342,-0.029801811602482332
CXCL8,-0.12283562431892604,-0.020181740968613564,,-0.02130120746604688,-0.08919692550506308,-0.10750580263998932,-0.014103256609495235,0.0005685305265853485,0.042965291366594376
GRN,-0.030768444633209574,-0.03247666902765316,0.09420218711836931,0.016026612069019907,0.003132309877210998,0.004670238485669377,0.05037121948859766,-0.07844629618180153,-0.04657155131688884
MIA,0.02335544078558476,-0.02234915987476937,-0.03514207339249366,0.00014336410203438958,0.10366785657431174,0.09377239216781409,0.16128400315374156,0.020503270154770378,
COL4A4,0.014621356945778608,0.11431355872198301,,,0.042868570672797056,-0.011077576831037245,0.023277386840580835,-0.02138769804055324,
TAC1,-0.0025230460206766606,0.053326445675981334,,,,,-0.021025939981492055,-0.015474842494549534,0.16464034300370062
RARRES2,0.021013790228459527,0.004652201823322632,-0.016205183644823512,-0.01357947971106359,-0.044827412472754825,-0.01549188063110175,0.02932361268481877,0.04157085986898498,0.03011253245324472
FGF7,-0.025756857975803148,0.003191555631931233,0.025162957767350152,0.19740117160077944,0.04229932982357356,0.015541010814796719,0.05276494785425448,0.08322665896166923,0.10384610145063751
EFNA2,,,,,,0.044288357598119193,,,
HBEGF,0.05047013939742277,0.010041038070049198,0.045757349009922135,0.07032790396367146,0.016070941294590864,0.0233821107284574,-0.04536666906312728,0.03466930349404104,0.04753283609678084
CSF3,-0.027946539417872486,-0.012759675957903274,,,-0.0523380110271917,-0.09047228079708823,0.017636126603401858,-0.012393580553993557,
PI3,-0.03310684335590837,-0.01436756353809299,,-0.046500846444242676,-0.07936818489538829,-0.08693505541982287,0.10835997542320527,0.03449431082286849,
PCSK1N,0.11510492611039193,-0.0074360179929263545,0.02898985769101365,0.060429047446779884,0.08070135759367476,0.07851430275667572,0.10535525783084487,0.010794751122240818,0.14152899229389307
NTS,,-0.015683176631098455,,,0.04433901320936319,0.07786962406057252,0.013229518934931503,-0.018353202796731107,
SFRP1,0.044240585562612914,0.0044151938887614295,0.04671952207747946,0.10472227610631278,0.05884767958633711,0.07572601599287872,0.006249969349042091,-0.01792672086050763,-0.09946741616065415
CXCL13,,,,,-0.0017180866452517506,-0.013392954246704062,0.07076692715778783,,
MICA,-0.00014784116427022439,0.06894265762071501,-0.009900479579528974,-0.04948565579434666,0.0350152648815124,0.01897269029260077,-0.042467207113824595,-0.054229718512923866,0.04861381616741578
TG,-0.022277852512997142,-0.015399787298814919,0.06324323195248778,0.13716180144310983,0.0003350319665199048,-0.05739338670220541,-0.016823564693174045,-0.024169846061332788,
ADA,-0.03294530442075392,0.03160984232776867,0.0869651384709215,0.03638512350912002,-0.007501104759343918,0.015938805007185763,-0.01259604605355741,-0.006003888735441668,0.08516558741145638
LAMC3,-0.009579949244365322,-0.005692365073427212,-0.04196762286971852,-0.010534685667814762,0.01922898505148907,0.028141002413167273,0.026142356529828156,-0.057402564564310914,-0.05191655370878921
CCL7,,,,,-0.05473249734066632,,,-0.012987271052692909,
NGF,-0.01610079578089638,,,,0.019739271850316525,0.014103707122178562,0.04305304021647543,0.0063862844806105365,
TNFSF15,-0.01991869381512671,,-0.0006770221290589253,,-0.0327960272551407,,-0.00809616629287477,-0.0343146186484199,
HMGB1,0.04722440495547763,-0.005607135027646494,0.022273411703106132,0.017949367153714934,-0.00497027212725227,0.014820201064576377,0.041406302057573216,0.06212122960376088,-0.044387669608676995
ITGB3BP,-0.009278222210820551,-0.002622361445378723,0.03273426770082818,-0.08310531298608265,-0.01864878039460659,0.02172305071732491,-0.005078402058754076,0.04720304896465941,0.09847556965307395
AANAT,-0.028858130585302157,-0.011509573015365962,,-0.05729707893457004,-0.0018288267180237873,-0.0025776584412292103,,-0.013741074371240817,
RELN,0.24924260621221903,0.03857911470275829,,,,,-0.03367654414743154,,0.04390860633507633
