,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01520053847626129,,,,,,,-0.016113806938538387,,-0.005662754085639948,
BMP1,-0.011465555181288958,0.006125787730353274,-0.016005251397027385,-0.07112899315242724,-0.04827251201491508,-0.025049672435271137,0.06947822167056003,0.01622976302875072,0.05691599071377256,-0.04965944582233161,0.009864682753947245,0.07147378508858188,0.07018831708677886,0.06602364638650994,-0.04465878087941714,0.24297479482072282,0.07811628354231238
NDP,0.006468980196223773,-0.049162014595263294,-0.04635595420185839,-0.01777829118923649,-0.04361361986732979,-0.05049376307306946,-0.011949814123280243,0.031574211139240915,0.0008004140361804843,0.083565988811901,0.011491031804381643,0.028547684731501006,0.06281913852753958,0.040394182163133896,-0.11257397679631581,-0.025750634519338428,0.027976676075375018
TNFSF18,0.035434528249030955,0.020941906460183773,-0.029043204955016985,,,,-0.022572343304578062,-0.016298663296446362,,,,,,0.1078128799093375,,0.019439241725932515,-0.01873416706222417
IL36G,,,,,,,,,,,-0.018385985938461264,,,,,,
RTN4,-0.08418235283253024,-0.06290407837377192,0.012058104325483808,-0.10132910482569933,-0.07046266243634912,-0.12766173021236174,-0.08194012881722779,-0.05907660040112181,-0.01709657069504524,-0.005482455390664472,-0.06782143123935726,-0.0652815517699543,-0.09788668236341998,0.03275248639726304,-0.010862505458047629,-0.019263670360037056,-0.06334100600768615
HEBP1,-0.015355527049572049,-0.040130960565392615,-0.0557441618192027,-0.026834514447597775,-0.04268693932753302,-0.02520245976252691,0.037911588362437985,-0.004739341767366542,-0.059345379074196083,-0.0030568385891865555,0.027134887103074018,0.024550930922100627,0.04263732480265065,0.10246161171645629,-0.03247721756715453,0.003438589836218089,-0.0053458074493777374
WNT7B,-0.02556107203274079,-0.03732717452862682,-0.018040738614818336,-0.023113914431147044,0.10054421667206476,-0.05608513210259229,-0.011052722787573091,0.018225496926035232,-0.014267905480893567,-0.07205657768754517,0.02999636287539581,-0.05587356143907,0.03232886706530997,0.022143767688901125,-0.020366671197185545,-0.046052840220501635,0.06966263615827366
PTMA,-0.01301249347797755,-0.06215270944226902,0.06493227998322097,-0.11007658366563303,0.05084091394709248,-0.04326542499584121,-0.0006952376806216844,-0.10941760434831183,-0.018379625430546272,0.01999884680766249,0.03872682903116201,-0.0836856936450421,-0.06827053276366901,-0.0523450186986337,0.023134011380998687,0.16479381385420447,0.06474440646773708
FASLG,,,,,,,,,,,,,,,,0.06612906953177118,
CEACAM1,,0.04985459000526051,-0.013845181809510948,,0.039027236452628386,-0.017528510716406858,-0.02970391816427972,-0.025633914468948475,,,,-0.031308712262669576,-0.01626885952252974,0.019011732689546104,-0.013517655880337041,0.1061874556116456,
PDAP1,0.028778855574311986,-0.03507304006502816,0.01722250339007044,0.004860422899797794,-0.003244568875937251,0.08270000329408832,0.08717014444109883,0.06094716298536075,0.04182689787385287,0.08004995288757746,0.046416576284830306,-0.02027651553701996,-0.029407819516749808,0.06567858150927465,0.02931107135054567,0.02504526390974579,-0.019119747594860563
QDPR,-0.016640668071804178,-0.04607415758649121,-0.0161255801098562,-0.07165151799630323,0.0033392716049972767,-0.012935736541518106,-0.0871147950834061,0.002751364867301101,-0.01802293260885992,0.0334311841085095,-0.08504396778051312,-0.03347739163360376,-0.04448685926847738,-0.014028605802170059,-0.014996437193507142,0.011432879151917387,-0.005238685800045318
POMC,-0.04164518032375933,0.004407631100842942,-0.024600679179231172,,0.006898541047943919,-0.03527150856575774,0.001688524993805344,0.041132148052853486,-0.029825923242900197,0.09656983976910201,-0.02158849980092511,-0.01735561830510785,-0.017289017165180946,-0.007845052107350075,-0.02211310926482989,0.09609138760797684,0.09846610397302748
CCL18,-0.02183951776217574,0.07239078993967116,,,,,,,,-0.008175730563376548,,-0.0009518671256307073,0.06890279560526835,,-0.011943216054866748,,
CCL17,,,,,0.020967159729186197,,,-0.020327606382942693,-0.017659667292537727,,-0.01679612013274818,-0.022212015966094165,0.04675131300868444,-0.02124512363409729,,-0.034992983449418716,
VEGFD,-0.015095152586948893,-0.03299638271659549,0.04746327887632758,,0.11015474239740222,0.026016395315437344,0.05220050309178602,-0.021657345268422428,-0.01295357952494794,0.040798955722928715,-0.018000922178151364,,0.059030719836819394,-0.022407048141035085,,,
TNFSF13,,-0.024900129245653324,,,-0.020189789694357887,,,,,,,-0.011835229648191581,-0.025527522585991648,0.0215120219476895,-0.01517942156605074,0.06332340287724382,0.043824575952459977
WNT5A,0.09254111297330157,0.06040424919185194,-0.005730734245354956,-0.032242162916609016,-0.02414408782805535,0.0459795282733159,0.006946877590136999,-0.004599635309409425,0.05678034381900601,0.04168173979217846,-0.04339436749825139,-0.011663178059098877,0.037596400489863416,-0.041578457990631236,-0.022278764466848653,0.13565861845429047,0.028340824775882872
CXCL8,-0.06743720026400603,0.12873273974702246,0.10642197635140015,0.22174216747604641,0.10071183905541697,-0.04816559739075544,0.09991571090841847,-0.01663905755836182,-0.012062936493994349,0.13510450408695673,0.08208020361625509,0.07343390088786157,0.08092587384811088,0.006347997064569592,0.030323857692399717,0.016226908412185378,0.004060713179968095
GRN,-0.032635736536956325,-0.02614696140687344,0.0041956431321049275,-0.13119268840507697,-0.06535630606160116,0.029923560252231373,0.08476899094192182,0.004454984436519685,0.03397597244700936,0.0003678377629940028,-0.0013329272273344343,0.04362772292445088,0.05043605141641788,0.05350008866890767,-0.040798433731219635,0.1617144173492647,0.02219250019016046
MIA,0.09262063795027026,-0.019677132112700235,0.018983135482653048,0.027178912827638086,0.04988555292102925,0.055791728814506295,0.01461208449611504,0.04898360843144963,0.024987057261306747,0.08757857067567631,0.08559439482488941,0.054500617975753146,0.03410527732199864,0.054941474556365555,0.03282261363756779,0.02793119844609983,0.009963534910980785
COL4A4,0.04230086979732672,-0.004143498456062641,-0.007422243118009595,0.004546978840642134,0.040325458385536125,0.0008672426709334302,-0.014979002405846618,0.03191256596058221,0.00965855496487666,,-0.023914409832816893,-0.03405206261134449,0.00499744322757294,-0.03272639560820758,-0.02724274873318256,0.054246431213518014,0.09449423051687196
