,UKF248,UKF266,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.025018554454973564,
BMP1,0.04621947201940226,0.023475548921769958,0.014648346097531541,-0.009211344048761939,0.0364032157809193
NDP,0.0054281252435869395,-0.02228182443796437,0.057681368766621555,0.03589126018875775,0.03606176967008406
TNFSF18,0.025588109980606455,0.09359670196344799,,-0.012839927193869866,0.00529760967142334
RTN4,0.04210186429106921,-0.017625568588559105,0.036048230878279214,-0.02080603160462132,-0.022694342313089387
HEBP1,0.06466089152927172,-0.013702944434322347,0.029408681236404954,0.07939634555453075,-0.006117547388229128
WNT7B,0.03084411755747527,0.040867328233902996,0.035171227023689786,0.09182628629490995,0.03323939041504252
PTMA,-0.022518139092501045,-0.0006298113055479728,0.013569269343761644,-0.05067994884996095,0.052342015846354034
FASLG,,,,0.05719500008167887,
CEACAM1,-0.017122071720668867,,0.06327298132365099,-0.01590783365033798,
PDAP1,-0.006591442990649056,0.0468254346203599,-0.04994382310991948,-0.020968762409851932,-0.020473155644302205
QDPR,-0.026047808803438943,-0.00862740362111042,0.004808909352202801,0.011899626614785327,-0.06963888333449726
POMC,-0.012421983183184491,0.025574270508659947,0.08384881305852779,0.05018308698964084,0.06022576889433646
CCL18,0.04286776984616387,,0.011842639765707342,,
CCL17,,,-0.028494026108948987,0.002031582097438533,
VEGFD,-0.02136673453004193,,0.06278745863637736,,
TNFSF13,-0.016124023530858782,0.04264640081360545,-0.030972032200668523,0.02295643412300124,-0.03139681270741147
WNT5A,0.06926864148143468,0.019254200193478926,0.05129795098746555,0.03633400377950713,0.052142508873125576
CXCL8,0.03966553077914767,0.04127403401936436,-0.03750605001628202,0.05431612191119977,0.04207844767531268
GRN,0.06519183010598731,0.01392575887167893,-0.01575780062907595,-0.01188917589234492,-0.030792962192073857
MIA,0.05681399394818085,-0.023906486557678873,0.07131262938886873,0.09412234963501769,0.06831907173112109
COL4A4,-0.02566126642220801,-0.012579391418379849,0.02075760007406559,-0.04152846863228233,0.02463075800278171
TAC1,-0.004358620261717564,-0.038878532783996625,,0.037873534084592396,-0.05449468267124666
RARRES2,-0.01773066626126809,0.0688842596714499,-0.014689169278525547,0.05485848579220534,0.04671800134136433
FGF7,,0.02650907461108341,0.024015167934988788,0.007191053119871237,0.06777608564470736
EFNA2,,,-0.01876029591125089,,
HBEGF,0.048407883021737395,-0.005463255298398457,-0.03368882605326123,-0.028129301514440246,0.012275997308770185
CSF3,,,0.0019253856649207991,0.02054636314553037,-0.03691139330208936
PI3,-0.022478698446573873,,-0.04759598704441645,-0.035508134625001866,0.02849626276077598
