,MGH258,UKF248,UKF259,UKF260,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,,,,,,-0.02683056571825987,
BMP1,-0.020875388105507098,0.008251220453775939,0.0446423242644507,-0.0346433096142262,0.04511761572839457,-0.023527492950238725,0.052449928225499716,-0.046251886725902365,0.01125139236928433
NDP,-0.03484495188884469,-0.0005082454450355013,-0.03889217354663293,-0.0003952475116445682,-0.04862041625130741,0.026530808664804003,0.03870034538700176,0.020309798168665894,0.05409770660859771
TNFSF18,-0.018998240692298884,-0.0007718332627233161,,,,,,-0.009657212366167156,-0.02855811927189616
RTN4,-0.02495150448141412,-0.004679053860171071,0.020442641777943645,0.06296656339739244,-0.013415250450887728,-0.0388295226584318,0.016675467704517225,-0.028635285873990977,-0.08030184289071839
HEBP1,-0.03366883935337284,0.05484081211358681,0.01965321950816528,-0.012257940411876144,-0.048787049311036404,0.017060988005548994,0.0008452992006810935,0.01975809030226029,0.013544370531630464
WNT7B,-0.016736855008469963,-0.002988090905548231,0.02927099875957591,0.021353644033454716,0.043940634487739376,-0.011491241873630516,-0.020015001774111633,-0.011592035309560822,0.020623500007607053
PTMA,-0.04682578659020062,-0.0353343486483201,-0.01362711398694616,-0.034219247867017494,-0.001192151340077783,0.008362181908008364,0.030588898456834202,0.106674067046359,0.11614156856011541
FASLG,0.09590286959598673,,,,,,,,
CEACAM1,-0.0021765170578306728,-0.01733250514458667,0.02342369271707329,-0.014343779788462456,-0.03312230905084884,-0.004983810760759476,-0.016268860516898975,-0.039758741484632903,
PDAP1,-0.05652734303108727,0.06131552240383492,-0.0072033618675529645,-0.03324105512273339,-0.018109875701923055,0.05022564620362969,0.0475575753871666,-0.010098410268783458,-0.044649384782160684
QDPR,0.009647338198785197,0.02896712171215756,-0.01698469965644296,0.03587072125554504,-0.033892696368324475,0.018019318891117568,0.013656933220255126,0.08789733283505814,-0.03914772843650634
POMC,-0.011263005901611578,0.0031091499021163563,-0.012318046128742613,0.049007506965308936,0.07794517122624962,0.02891696448693622,0.04098123588456944,-0.03203543933822854,-0.06836872680133217
CCL18,,-0.021629328775557188,,,-0.02348426170005239,-0.033140653066120254,0.003946722408595356,,
CCL17,,,-0.022722726807541463,,,-0.016913324267667163,0.0500034919125255,-0.03537455103138446,
VEGFD,,0.01045363040316328,-0.013830677658321959,-0.013723316383202748,,,-0.016268860516898975,-0.0373092330070318,
TNFSF13,,-0.01632219075818291,-0.01567362840219948,,,0.02348191731518657,-0.025527524146259785,0.01717655724256157,-0.03106716024665181
WNT5A,0.03513775361029143,-0.05755218687163744,0.05707598577552288,0.025328256346865904,-0.027662375948627842,0.014717972221212947,0.10401165834977877,0.061362734462428334,0.11072033712244943
CXCL8,,-0.012061519116998593,-0.01360093313513891,-0.02907378293918644,-0.041347740161034166,-0.050496626181350826,-0.017448078205975867,-0.008630980405201502,0.11619340141311274
GRN,0.057004326319272984,0.01273087022786204,-0.02343707675399246,0.0004039963961695821,0.07382756942138191,0.05073097543713918,0.0475319974720777,-0.06050488728372766,0.017201557095113194
MIA,-0.021907105809382935,0.061761251806132164,0.022517605513194507,-0.03146401020747703,0.1379608000743601,0.027132411142709326,0.011956870305803455,-0.054683884131100785,-0.056910334465844675
COL4A4,-0.019383322954342214,0.0289193421023635,-0.011128372825919965,-0.01811178481621825,-0.029691444523262715,0.027176242781883204,-0.026048989468896125,0.03762833872757449,0.05316593320247459
TAC1,-0.01673685063409927,0.028157068820969626,0.003387533200557288,0.039763547730270084,,,,,-0.06546209311599806
