,MGH258,UKF243,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.015200532765845974,,,,,,,,0.07113973744948632,,,0.00807782273867386,,
BMP1,0.054068986013060004,0.02044864381705603,0.009378006841106554,0.00038033246027906604,0.044356101579215844,0.04382873476502228,-0.0344746522554465,0.04328595130098462,0.026587438207263222,-0.004381667376070264,0.03217572790686347,0.033153293779835405,0.04409826702298863,-0.007728798521448221,0.02844426901040934,0.050708331599109334,0.07142536058233094,0.13251037965603904,0.1587252341774513
NDP,-0.03400173034966772,0.09090422638272158,0.06850122814742225,0.020924997447418964,-0.013072322484020418,-0.05886421663302458,0.009837952245927761,0.0055491133103558144,-0.02947200930832864,-0.00891831652969157,-0.1388668318021621,0.05142737970408176,0.11401282142176727,0.06630297429796449,-0.02970261527237538,0.009684946945999258,0.025873187021445608,-0.0072693515753611895,-0.034783935090480986
TNFSF18,-0.02215838029620029,0.11382718436131811,,,-0.01507972814403117,-0.02257233482478275,-0.010647509216605143,,,,-0.002945820062933696,,,0.055576565456281764,,0.08044133737686686,0.06422889812350534,0.02509084057484957,
IL36G,,,,,,,,,-0.013349799970391252,,,,,,,,,,
RTN4,0.003155967400673039,0.0237675291902619,0.014839409554938692,0.02327355997082953,0.04657096364088823,-0.08597240800945587,0.04354144933529063,-0.03665439894835684,-0.02276838037538608,0.10870772082591103,0.015213892332589171,0.009439908507361322,-0.09274930654698388,0.028079677720127656,0.1083615408954664,-0.06626540824918101,-0.05521260985626679,-0.05504671096467479,-0.07925147667401616
HEBP1,-0.03397434506845407,-0.08198936473833295,-0.029737157991521067,-0.0021124480369651808,-0.031359792777005555,0.008484452171644284,0.017570768088967383,-0.054178334810225645,-0.017541166615319636,0.047098397560373234,0.037633716291060555,0.012597618554121339,0.14283706639052074,-0.0042882429348829925,-0.02368894817397241,-0.09699251920215496,0.06989222885383825,-0.010907414568713806,0.11590568793026865
WNT7B,0.0039529383207843926,0.03992617516290703,-0.03801098867305382,-0.013525600084595173,0.05600402289241491,-0.06291453565301718,0.007298280152364257,0.028318863182625997,-0.014672968617091421,-0.016996172310849187,,-0.036576167335417416,0.0633781945679641,0.04500591812466837,0.05505698619474531,-0.03505054831656039,-0.02305009674825639,0.1036635775139491,-0.03929230895582721
PTMA,0.05835204133291258,-0.10285841634060043,-0.05322413627634579,0.0746063276741793,0.0034377820741250697,-0.07626490327976503,0.01968863976368564,0.06766539324829214,0.033127957596246656,-0.10464276812418927,-0.000961154159865073,-0.09597133615742713,-0.07406812106913556,-0.019005678962567475,-0.04167418982435571,-0.014819311695614375,-0.013198778600228486,-0.011924060896900615,-0.0595140094886374
FASLG,-0.019520844539673503,,,,,,,,,,,,,,,,0.002703409635942291,,
CEACAM1,0.008470251839885711,,0.06873299211155272,0.05643078884600279,,0.03426997738295241,-0.01674599539861076,,,0.04292745816154477,0.10435432756261907,0.08875442118719008,0.04784893285927277,0.045417787362595136,0.03897311880550638,,0.06962895385172749,,
