,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.00678156130127008,,,,,,,,0.07780962305307394,,-0.006348762106570328,
BMP1,-0.0037112221026707644,0.05909443621886624,0.055928091907065706,-0.042582386031838546,-0.015688972635582967,-0.01453096907716802,0.028312368078788026,0.1509935196751814,-0.005513391839799744,-0.003463186700670269,0.07897050325401068,0.020323087469574744,0.07278447967391795,0.012644499328543436,0.0071248918086974766,0.011598608065905786,0.02425894446007043,0.0703161395241261,0.08008164007945946
NDP,-0.02458554622556394,0.093311530277465,0.015756888178162204,-0.049906050167793495,-0.00872207602954541,-0.007819443331525348,-0.01449868396844196,0.009874311312273364,-0.002580737092431374,-0.03292125000193655,0.0335167763202317,0.14221894859522302,0.028863863274992706,0.0690923108190818,0.09685666770815345,-0.021794216290535306,-0.017343637507466297,0.013154666861124563,0.03570274901755246
TNFSF18,0.06530169506048959,0.03255075601156407,0.01455401641943123,0.04001420017825011,,,-0.01294157591280628,0.22338793143080282,-0.016503116528553158,,,0.10192351536080073,,,,0.0027200632383147347,,0.02966729183669453,0.04240119059364562
IL36G,,,,,,,,,,,-0.016140241789719442,,,,,,,,
RTN4,0.002245326114821893,-0.05412923234121188,-0.053508749300921594,0.03770961059880711,0.04472875494566824,-0.04528464668769229,-0.11421406678938359,-0.16276903099235895,0.007588986741367756,0.0020957461591533657,-0.0006810700443151712,-0.06123071779265753,0.026198451116678276,-0.038370919763403614,-0.057211045318763296,-0.03801565092536723,-0.0036326437136477725,0.027393600078696526,-0.09166180024196457
HEBP1,-0.08660785041764395,0.04416798524686086,-0.016871246053435294,0.019914463649251726,0.07111898469117059,0.029575310482532494,0.008152757722081204,0.0353220722352076,-0.01177797694593753,-0.044034496433229445,0.06457613804950381,0.006562706941700401,-0.04340506361038582,0.037401988596866415,0.007947193023948626,0.0719130024905882,-0.005346671565937389,0.03279699833692835,0.006084505419597715
WNT7B,0.007190254586393502,-0.04965490819281702,-0.032538983758785375,-0.01993682142712748,0.1303464588304762,-0.026695718423147413,-0.003476818445470659,-0.04888411368241166,0.003241083959845261,0.0038276756791171523,-0.017739985750953542,0.04769322241886475,0.09124934481448956,-0.010094814260662359,0.04146398300245411,-0.010788888219672187,-0.03104438355478177,0.02466700392442511,-0.008174802727328189
PTMA,0.016709572767759494,-0.13830981744317378,0.07805877654458591,0.012078757820182511,0.0036060672394040046,-0.018822232162942463,0.11899786279429589,-0.07205792102725546,-0.05539650934909043,0.11445261535077386,0.044486790612466694,-0.08108344799062313,0.013403279498298695,-0.066061601911035,-0.048501445955130014,0.017496950515852185,-0.041939968397544825,0.024705147954646012,0.0443691819067268
FASLG,-0.008795079677738453,,,,,,,,,,,,,,,,,0.03014349872950177,
CEACAM1,0.0164740345296775,,0.10968973168660227,0.06985034871539485,,0.02016508493671638,,0.03984010527569417,-0.015422480992999994,,,,-0.04163911727872351,-0.02342001929195731,-0.025816670952419924,-0.043138862188842525,-0.020604608865523642,-0.05740795438965457,
PDAP1,0.07964246441059972,0.030513602924104263,0.007419965554351163,-0.023940999910126135,-0.010359337715193307,-0.027136930994460094,0.02665709330727809,0.11203103328571944,0.018884156571317427,0.10371485029424994,0.021742599466774568,0.1095648671532884,0.04650671597905667,0.050108168241611926,-0.03735502394852381,0.08503446066251921,0.037747431435133906,-0.014843507865671516,-0.05091580615968662
QDPR,-0.030101293408708294,0.05744261221307385,0.04245766301924277,0.03734508511020605,-0.028206534826721145,0.008073462184042923,-0.02034007165161895,-0.13127066678711513,-0.023456124725066894,0.015214362211684554,0.020423614723410626,0.01200656426480958,-0.027195910180124357,0.02703199366908254,0.006103293379526898,0.06385182844316743,-0.008054692085533017,0.026397860538866367,-0.07219247108584312
POMC,-0.015632893329573492,-0.04016979729088399,-0.013360264775579162,0.009068944191190004,,0.026908286512649152,-0.02183569161818736,0.03546568051020166,0.03932062473468435,0.0544019360555859,-0.014420821246301072,0.0606179817350447,0.024108934991793753,0.08621157743522771,0.06478715678250477,0.007245600657558152,0.04948127890073267,0.04345576549846855,-0.05304922349495342
CCL18,,0.030712565964532285,-0.028663081840918796,,,,,,,0.07903926743622752,,,-0.06339308901928588,0.1404219149948054,0.028690469729262525,,-0.024236316402958848,,
CCL17,,,,,,-0.017867073622861683,,,-0.020582599369201485,,0.09712644616083688,,,-0.03178305455172759,-0.03726798527580555,-0.010400256863482032,,0.038814369650509446,
VEGFD,,-0.014729613905115355,-0.028663090942789776,-0.021914626283099318,,-0.01990589307181373,,0.045082915388820415,0.002735672023770273,0.05261546724647161,0.0053092428208926555,,-0.036757137854710346,,-0.025816670952419924,-0.027843069835260588,,,
TNFSF13,,,-0.021630088218622178,,,-0.012324307508134574,-0.012550628870392905,,,,,,,-0.05300996078296412,0.03557680349304871,-0.04115967376957653,-0.023137594782859018,-0.0003188756369394315,-0.026443257342729787
WNT5A,0.0297553168367094,0.050061462658517665,0.051261037826368816,-0.00689313967167837,-0.027953963452753538,-0.07006993082877414,0.06656894262410984,0.09008066548487649,0.02624534586947904,0.016685641988443314,0.07839016400193392,0.0668400967799463,-0.07946300417721028,0.020371439701215265,-0.01641849284863119,0.019615932858757144,0.041162750985013,0.0383326451515233,0.09557577523270697
CXCL8,,-0.017603030810634013,-0.013726192976702774,-0.02051955713016944,0.024217852467208423,-0.015472881479110825,0.0033557978283124956,0.0662196272793305,0.03693886925562835,0.040891997242549036,-0.00291466192027689,,-0.05994192971677571,-0.06379975784511538,-0.1397182402681602,-0.04498954735816797,0.019295655155663182,-0.0071106441473787335,0.008113141629339153
