,UKF266,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH881T1
BMP1,0.006069691828199412,0.016982549317575042,-0.05257137067851032,-0.10193634634018318,-0.013359636820686171,0.007460342147762747
NDP,-0.0015659331544212512,0.014471773576935415,-0.0018677981244245216,-0.024125686188337922,0.0411913620722572,-0.05627102681982138
TNFSF18,0.0266797387092585,,,,,
IL36G,,,,-0.012506365496282446,,
RTN4,0.07499791284936583,0.031903647831503915,0.056547946647022965,0.13334818722965716,-0.022369571204008308,0.05449835112195849
HEBP1,-0.10385230905523693,0.004456061166962392,-0.07912592772121328,0.016273523236098507,0.03653075098839611,-0.0006265218055329823
WNT7B,0.07698317042043867,-0.0137412414154803,,-0.013745936931476674,0.20015828444486874,-0.010845631047271603
PTMA,-0.02435915283302562,-0.03633060979605298,-0.059017282646032496,-0.13315971704641014,-0.017417615776441544,-0.00022165487167338378
CEACAM1,,,,,-0.022091365351620755,0.010340639905588346
PDAP1,-0.019200665759327905,0.02680660458429342,0.03179406836126063,-0.07677124277035191,0.018496374108244354,0.05334734105101296
QDPR,-0.019920495473957495,0.041270314162120916,-0.043798860976341704,0.03718991835477556,0.012768822906854422,0.007180228783818773
POMC,0.037106726821820646,-0.006786720683707515,-0.06505546844244336,0.049855817461149844,0.02564047911734238,-0.037031476387381614
CCL18,,,-0.061682875618396554,,-0.023251189649618722,-0.05798085170821261
CCL17,,-0.017007804818218116,,-0.01142491993645007,0.02144402577903727,
VEGFD,,-0.012475430516784208,-0.020126946707817128,-0.012244440563786194,-0.022091365351620755,
TNFSF13,0.04605337159401699,,,,0.08484390587824059,-0.01051497221391083
WNT5A,0.0014992913899745353,0.007245520225716332,-0.005212780707603203,-0.04096275114551669,0.0025002802061921355,-0.02373076799711427
CXCL8,0.02276472249370203,-0.011617663346982214,-0.032172920925352,-0.036814347611105906,-0.1378730011116637,-0.08707214628959498
GRN,-0.011140296950811162,-0.03823169657224498,-0.04669130002869591,0.023374132047401127,0.009133182157884223,-0.04712598434190379
MIA,-0.0321978307854436,-0.014188174911638717,,-0.016769322484942874,0.14807952621304632,0.038066145871254266
COL4A4,-0.02497213981367035,0.09537913760044442,,-0.016266864937139684,0.10478111163527484,-0.028203903562160567
TAC1,0.0661240686606454,0.011316519432465528,0.06016521267265699,0.15201432821034253,,-0.029654150438173637
RARRES2,-0.036415124704548905,-0.011570740229252871,-0.06677404948747921,-0.06320931016885471,-0.05543981975354064,0.011563462304405202
FGF7,0.027443332931953026,0.04715244743661589,0.08180523693394756,-0.003582711629405253,0.043995855263990816,0.050277979133543566
EFNA2,,,,,-0.020996364344567146,
HBEGF,-0.014749209201022916,0.02153018754688108,-0.05355923147100177,-0.025522743572584383,0.07147871023624361,0.030427058103704736
CSF3,,,,,-0.09097663107754592,-0.032453510469119796
PI3,,,,,-0.13027509340536858,0.046904969231948125
PCSK1N,0.02312393388086275,0.07439569663813576,0.07017365669637864,0.13785592904622113,0.031189484052556643,0.07370686110478833
NTS,0.07002529174020536,-0.006250764838121666,-0.018120717357698834,,-0.025580085611869103,0.04506494988484142
SFRP1,-0.05357223178564954,0.16620080049152341,-0.09186897909819929,-0.03262320637212646,0.047584577148186015,-0.003817200654240279
CXCL13,,,,,-0.053945645435880166,0.04356009545462271
MICA,0.022222384861088147,-0.010415822004918267,-0.03615015111211773,-0.05731703691210949,0.03058692891084039,-0.026461812817182725
TG,0.010510301182076135,-0.012308474488491894,,-0.01716184183432649,0.06114288139191328,-0.026709737815577075
ADA,-0.041230844168667354,-0.019989952417488025,-0.009797808006055593,-0.05229717249996873,0.03513745493650594,0.010305131048756877
LAMC3,-0.026029041551505705,-0.02812019581472964,0.013783225698622184,-0.012687779630109973,0.051155599691182024,-0.0026857353922958667
NGF,-0.03357886896845995,,-0.018120729288988925,,0.13725183689503384,-0.005840796615630061
TNFSF15,-0.0020970780715713015,,,,,-0.02015307284329387
HMGB1,-0.04392962095042885,-0.07251238094476856,-0.015407624622475195,-0.041373300077384,-0.029892127381888244,-0.062128631739969103
ITGB3BP,-0.04049608928752208,-0.003296348123330672,0.035511417998775725,-0.08344783030839147,-0.05040589312509789,0.003131511536312914
AANAT,,0.025806622178959553,-0.017036150478384752,-0.015325437289352189,0.07881726895345689,
RELN,0.022006317385210257,0.044914189867242285,0.0001641423269470954,-0.01696658187205687,,0.006683960919011565
IL15,-0.029011779089968093,0.016820078753943115,-0.018896757674799987,-0.014213634755685132,-0.05122681299032506,0.030722367614579617
BSG,0.01162009572086935,0.01257388662815298,0.0538920906212622,-0.06340897851832496,-0.02848968539563311,-0.020897044644659708
ADAMTS3,-0.046729583371549546,0.003779266208971358,0.012378166866219845,0.06755718719054236,0.043378237092631035,0.04061872996169735
CD34,-0.03957353220528591,0.017370207398934703,0.0029060258344689805,0.039272227781740214,0.030603806505573625,-0.020537264580735484
PLAT,-0.011167783939347599,-0.0417452559105281,-0.06248676486473091,-0.03133906458713302,0.1463528587675194,0.03981002852960042
NTF3,,-0.022903100234607593,,,0.12631384305127735,0.03203843967030692
LTA,,,,-0.01421363651022284,,
CKLF,-0.005923330627215507,-0.036442550790837046,-0.0617153136029674,-0.05900527249196126,0.04265182989118082,-0.027649583541295868
