,UKF243,UKF248,UKF255,UKF266,UKF296,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,,,0.010614973123363281,
BMP1,0.06318179780497965,-0.011198067002262663,-0.013928122732158767,0.11952875544477541,0.04408866993428188,-0.09014633689958443,-0.0046490051348958535,-0.03766158439736011,0.004029300919653768,0.09705382028788849
NDP,0.15144268252788748,-0.01544450745069669,0.03445680763120865,0.03042745715927722,0.04998791454174207,0.08514024335921454,0.10161276178175596,0.09060925894182058,0.02149420811535949,-0.005209577445227347
TNFSF18,-0.0409435528520594,-0.006049291684510612,,-0.018297104639951402,,0.0864261306031569,,,-0.028787292430691384,
RTN4,-0.018763889565459532,-0.047054774246015625,0.025558997767973598,-0.17287243274222586,-0.1186630472664246,0.030125199543557822,-0.018624343339900186,-0.05216545716302988,-0.0005424508598508844,0.03773236995013942
HEBP1,-0.007960029468457253,-0.07070711548805964,-0.018359715212210033,0.059050484459757725,0.03992033233179594,-0.16490891993639747,0.07222680669364573,0.07604845497902613,0.00023941547455100118,0.013161372418440682
WNT7B,0.031193041527451015,0.0050354801791246346,0.0818414112201827,-0.007095781939031064,-0.044250723693411806,,0.014072240044873958,0.01661873405032517,-0.01695714041510316,0.00700190027059701
PTMA,-0.12345715608499296,0.03349459135229655,0.06473438776520324,0.17778333458196122,0.12256768977703571,-0.12020528461776128,-0.09529191904403017,-0.02523968351113963,-0.0022079303178544753,0.04303615373810552
CEACAM1,,-0.018414672902904314,,,,-0.030603815919253267,-0.017567540603746667,0.05415033998189216,0.007840497375025395,0.031038143918110796
PDAP1,-0.01359339917903286,0.06418201682601433,-0.043059204138649165,0.053270061480108495,0.06293339279930366,0.03204075813204094,-0.038658091263653646,-0.01087918115232647,0.035316469059877356,0.08497172043836082
QDPR,0.050723215208845804,0.08299508807706282,0.011392165435714304,-0.04159676609937815,-0.02018704293760566,0.010046117751568773,0.09882327182285415,0.06943526343953962,0.01421804986707272,-0.05375262425424935
POMC,-0.0006721120662216085,-0.01605358247876226,,-0.04058994088341018,0.023348429658210598,0.11304011465698947,0.11702736781833188,0.09742582009544527,0.028510492376069757,-0.05769201999517552
CCL18,-0.054908670926577835,-0.010131749201158067,,,,,-0.026403709943077162,-0.009353601117825482,,0.058164015485910193
CCL17,,,,,0.027594655720159737,,0.012602545249699462,0.012214857932526035,0.09110032820453515,
VEGFD,0.01715463962586187,0.0677891556085275,,,0.04314107590951811,-0.04160521709547232,,0.007368633656372177,-0.010242969816824097,
TNFSF13,,0.0649201905859482,,-0.017744374509408443,,,-0.020777970566668014,0.0403669240874035,0.08099165370954038,-0.0058632618024293225
WNT5A,-0.02174769893118869,0.0052528706527964234,0.0034474334493352,0.1634710313597876,0.017002689107894497,-0.02318424331860048,0.028790124793100485,0.045419727780602236,0.0505566529986523,0.02588568575675203
CXCL8,-0.0835599938221415,-0.07554222319008676,-0.04807158289358392,-0.02524022185448629,0.029407717114025997,-0.08007455619814488,-0.12746762044227822,-0.2063062388428763,-0.042531586188956645,0.002354491500156464
GRN,0.08698384018169196,-0.01895449997575652,-0.014546395938501735,0.07279173509351271,0.06816829807411025,-0.11500197942411451,0.02680203270163992,0.045279898146308326,0.08737843770352291,0.01835488491726405
MIA,-0.002536774808735863,-0.03249195686064428,0.020118073615637687,0.03767388627819128,0.019789749500935486,0.01339471065918729,0.18400686190190482,0.22313378915953053,-0.02835603711040791,0.06598784495790926
COL4A4,-0.025137095923769216,0.02637676164298089,-0.018405595258823255,0.02611741070673854,0.028527085234548267,-0.03257770436852876,0.10233695626222289,0.07617948033159287,-0.001391165482526425,0.0068238164028123416
TAC1,-0.03825517257863408,0.04610564672956986,-0.043720838436321394,-0.12335149522837123,-0.06451645634361339,,,,,-0.05928690605732954
RARRES2,-0.007511023367578683,0.05115886094026419,0.0013050910576202853,0.09960518832286533,0.025004931309776997,-0.10185257509683379,0.004562145656181564,-0.022207268564442877,0.012242880111611048,0.130154651897987
FGF7,-0.017240843006548216,,-0.06674646726512032,0.01402969528395668,0.026762218306281095,-0.06126306976667055,0.04201602358269253,0.10491512699196708,0.00913252780471922,-0.0004817313985008885
EFNA2,,,,,,,,-0.04876673914806157,,
HBEGF,0.05613624597315192,-0.034215075041011726,-0.03946519534457399,0.07866752590858572,0.006579816125047414,0.06159721573847445,0.07419665876761844,0.055063521751817744,0.04428251647451807,0.029692788924723938
CSF3,-0.03114897501405018,,-0.0392877159275231,,,,-0.04885507201473245,-0.09609374099141055,,0.06618043071071236
PI3,-0.05583571193474478,-0.012581505152387222,-0.025851687656810694,,,,-0.10934267355112941,-0.17064072895841675,-0.03127023157806855,0.06426368517538975
PCSK1N,0.07658264647211215,0.06239716819270143,0.03873782805092234,-0.06401955109931164,-0.07337208009296808,0.0500350999344351,0.049075171806308514,0.05621930046876478,0.02247576053923371,0.11477502442314881
NTS,,,,-0.020610292873430004,-0.006959855690028142,,-0.011774768925295798,0.019952551699963784,,-0.005332203758742713
SFRP1,-0.06691886984166977,0.017086208021094833,,0.06619972707281743,0.0030438066162882024,-0.0013492343714061085,0.1314420055138195,0.05559463170620491,0.05153625797947314,-0.09187520110656425
CXCL13,,,-0.028527530395631127,,,,-0.009239507913277458,-0.0665383260078649,,0.009391871475480155
